civil_status,Race,AgeGroup,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Divorced,Other,51-65,Non-Veteran,B,86.59112337802303,58.19620758612908,B,-64.94519372911478,C,100.04004369509565,C,A,A,46.322385768258286,-66.12568920195572,C,B,32.35814251718416,56.005911652222196,C,C,-58.31612790365356,0
Single,Hispanic,36-50,Yes,A,4.206670448591957,-20.518461477569357,C,132.9843110868259,C,69.10404176082385,D,D,A,-74.91786859615085,63.96742283516467,B,C,-200.6952807794719,172.40006482678334,B,C,17.363501045215877,0
Widowed,Black,51-65,No,B,41.50586601128444,-80.11124884660161,B,25.175293540208514,B,-226.09111477591952,B,D,C,-128.07315113972527,121.55196263185132,E,D,175.25435517483,-129.1159603676551,D,D,-182.33363879094475,1
Widowed,White,65+,Veteran,A,103.99438053193752,151.2010458653731,C,-155.0157325440932,E,26.79685341413612,B,C,A,-21.78158831236799,-199.5190856403883,E,C,156.8258817989128,30.723967642777737,C,C,50.58122815464419,1
Single,Hispanic,26-35,Non-Veteran,A,51.50710246099508,-23.775074309939033,C,-4.241170113486181,A,-121.62781125373377,B,C,C,-24.942497556560582,-135.47103780907815,E,E,-5.959860091121434,-40.14411195267885,D,A,46.379585083814845,1
Single,Other,18-25,Non-Veteran,B,12.885757062982831,164.82955886711665,B,-89.52532108879258,A,46.62138367185036,B,A,A,4.864189715977615,158.10574929389708,A,B,-343.5959933745376,134.07999310187532,A,C,-33.649342656900316,1
Divorced,African American,26-35,Yes,A,176.43244915276554,106.1119257170922,A,12.051102196786873,E,38.514309016958705,E,D,A,-49.82825897911635,-21.47620444622234,B,A,-57.181260004348154,128.36103522666852,D,D,-130.6421708324474,1
Divorced,Asian,36-50,Yes,C,137.24591207295512,-85.17705018120932,B,-213.81585142087243,B,43.10810878778502,B,E,D,-28.145018289099273,14.560254915227617,E,D,8.85789944238769,-2.9280329098278846,E,D,180.49648055781853,1
Widowed,White,26-35,No,C,43.828379279637005,31.059344124825788,E,42.210340557905376,E,-64.27713160110281,E,E,A,-46.12575801601487,-89.2592805427371,C,B,-59.484052576672795,-216.14922701192287,A,E,-175.55459734681128,1
Single,African American,18-25,Yes,E,40.85124562344619,83.32980671120312,B,-46.15948004378872,A,-41.05002740713683,A,C,A,-114.0300643100454,57.54502199286955,A,C,-144.72153243308767,30.917251499518954,C,B,124.00080274106193,1
Single,Hispanic,36-50,No,A,-31.753321433831022,189.7524250092403,B,-75.88750439793367,D,46.05939210381238,A,B,D,-71.06526593743136,-68.77233207615481,B,B,-33.6650825964228,-73.93980278138727,C,E,-9.475690305759114,1
Married,Other,65+,Non-Veteran,A,-2.326769223913741,12.339422242366297,E,-87.59138942352784,D,181.38366670024632,C,E,B,-28.487518378866294,-94.07062787282916,E,E,-125.21454760190416,63.27896768972631,D,D,-110.3846040852436,0
Divorced,Other,51-65,Veteran,C,-86.21568466136229,82.70420654593205,C,13.260217196700008,B,88.67946386393174,E,E,D,65.23424544095373,99.03027913125277,B,E,49.584092144138914,80.43306319018903,E,C,58.43165193208689,0
Widowed,Hispanic,51-65,Yes,C,-33.41048001128039,136.42597745010013,E,29.461161691642022,D,177.20097771220338,A,D,B,107.80532719582735,-44.37998196121304,C,E,5.821674721342732,7.833955405811412,A,D,-43.82584156556543,0
Single,Hispanic,65+,Yes,A,72.40133715131432,-77.8615253781598,A,-95.52682143931358,B,67.3860819418182,E,D,A,-14.524546778926469,49.42237397813957,C,D,85.86185170992117,-24.03269647803372,E,D,37.73530162319443,0
Widowed,Black,65+,No,B,47.5549339917898,-137.9322845967742,B,119.82653759417869,D,82.98182231231172,A,B,D,143.77859297720374,-75.8888407043833,C,B,98.8021702619278,65.00433571745135,B,D,12.162110960941074,1
Divorced,Black,18-25,Non-Veteran,E,65.77737027645142,22.99749716543384,E,149.44537222314688,A,-14.151081040623742,E,A,A,93.6350952207695,36.42691258586351,B,E,-143.26159318324238,0.36345517186738713,A,C,-130.24071072177054,0
Divorced,Other,36-50,Yes,C,109.76039707551406,-66.96137554646253,B,88.14373393702282,D,78.0100716121376,C,C,C,21.481829101563424,-17.756041324122222,A,E,106.15767731589312,-97.60238412275814,B,E,-13.328705661987875,1
Married,Black,18-25,No,B,151.10738351706158,136.9521775134242,C,27.191019530293843,C,126.3397129502408,C,D,C,78.9087007457326,193.2306036812417,D,C,24.38528880985347,-139.30721843278263,B,E,-12.253705473545098,1
Single,Other,26-35,Yes,E,-135.9170376994698,-45.689569442568256,A,-31.994765931662656,B,-31.988809221528626,A,E,B,-39.6942575277272,130.2708533990416,B,C,-60.956104721753476,6.655555297452481,C,C,111.4564215094555,0
Single,Other,18-25,Yes,D,-57.935470609216345,-135.6030003535785,A,70.00899378258751,C,-121.51105905059947,B,A,C,15.477239077956586,-100.88729544040385,D,B,82.6954220101495,79.73854317896198,A,D,-7.493509439492587,0
Married,Hispanic,51-65,Non-Veteran,B,-1.3953331561662254,47.41023002662809,C,65.98858326960088,A,-49.0611997794056,B,B,D,-72.243063896096,152.184692833935,A,C,22.09295666058224,53.40028074522254,D,C,75.25197069291967,1
Widowed,White,51-65,Veteran,A,-50.903047552151605,87.22749780833925,C,9.432943718511352,D,109.15267839819289,A,A,E,82.7539036212425,208.5274517356445,C,C,-5.49867417290443,94.07603365471508,B,B,38.899015179306105,0
Divorced,Black,18-25,Non-Veteran,C,146.53424020532228,-78.90964121894318,E,17.37793035161486,E,103.22509372473232,E,E,C,-72.61828008663717,-100.2245797901129,C,C,-19.491913499040777,104.84231460779945,E,C,67.456071035852,1
Widowed,Black,51-65,No,C,16.78034081039781,-81.95670482213679,A,-135.35700645999722,E,-100.26055894394636,C,B,C,-184.9310791819534,-12.949297563425644,A,E,-67.58941290258791,30.060911875955682,B,E,9.65848516063352,0
Single,African American,36-50,Non-Veteran,D,-70.26451464261773,208.27544679518036,E,-72.3223423893073,E,51.6263749909661,C,D,A,4.837748619804332,-21.24121738708551,D,D,-236.29614497091032,-2.2441249024365675,C,D,-47.31882567250431,0
Widowed,Black,18-25,Veteran,B,147.27707561017198,-34.183327498828355,D,1.730104302819931,C,155.60444086125884,C,B,E,-122.44165014329835,-50.90176977106978,C,A,-25.51688846180556,0.404681895788164,C,D,62.59068643947177,1
Divorced,Black,65+,Veteran,C,-46.70558836669245,-102.29288550523994,D,-94.22071259954079,B,-32.841810632795095,C,B,A,-47.82158636756986,-53.864039442229874,D,A,-172.5111375125873,-60.05982453507882,B,A,-45.841090222065986,0
Widowed,Other,36-50,Yes,B,-115.3739852611265,17.78151094599557,C,227.8591475370674,A,-16.63580803938467,D,C,A,-22.770109406199737,80.95864274127959,B,C,191.51424027915996,-1.7902945450458105,B,A,-34.0823335194368,0
Married,Black,18-25,Non-Veteran,A,18.46409533339437,42.62826805528793,B,83.3813382530386,D,-60.07862679457394,B,A,E,14.126882312168675,99.78634414011765,B,E,-63.02232535680846,133.69196162581162,E,A,90.2107841284118,0
Single,Other,26-35,Yes,C,-96.47154842063324,-23.61235420083945,C,72.71713502944702,C,-206.43904687009905,A,C,C,88.4176181939449,3.694702995774342,A,D,41.16692574551116,0.5603304114538705,E,E,63.89906966558624,0
Married,Asian,65+,Non-Veteran,D,-140.85232076982058,0.2523585726918279,D,123.91823645286924,B,-75.68910978439098,B,B,D,-72.20781750051123,135.55733333537216,A,D,-87.24814073965594,-69.07653712718533,C,A,-98.7828598696275,0
Widowed,Black,65+,No,A,66.20030326501788,-23.829433235537465,E,-131.11172247071397,D,-66.86388723621666,E,D,E,104.27533898842461,157.84370372128157,B,D,-60.43479176914771,-12.14740005742281,C,A,-79.02409033655509,1
Widowed,Hispanic,36-50,Yes,C,60.36862754518148,89.89896336273875,D,109.79842491708247,A,-42.755279553985574,A,C,C,114.86456339971475,-22.15486863015308,B,A,125.05708112571334,46.278743572505384,C,B,-2.087142353846431,0
Divorced,Black,36-50,Yes,E,94.33680044346386,42.009927547156465,D,-53.837744226403686,E,37.01226503168145,A,A,D,20.077419596733808,87.10160905535713,C,E,6.1903666677082745,52.41655869494137,C,C,-103.75864177188483,1
Married,White,51-65,Yes,D,-39.73082075067021,83.85223969709497,B,88.7805597506007,C,-21.25239027096136,C,A,E,-49.14025469413192,205.38551803339163,E,E,57.82170308020705,123.38056663941184,C,A,27.11208863176732,1
Married,Black,26-35,Non-Veteran,B,161.91042610605214,154.9752475323605,D,-232.05499090992464,C,90.03183585852646,B,E,B,45.31934713200796,2.9113443338824174,D,D,-9.391309926105128,114.03165408707834,E,E,-40.15807871308205,1
Single,African American,26-35,Yes,A,-54.549700276646476,56.53042528916416,B,42.75946732901949,C,48.280712476977804,C,A,C,49.96444739734494,-192.39157904560489,C,C,-20.742533240547807,0.7125691722825819,D,A,-212.21781894617752,1
Divorced,Other,26-35,No,A,-91.16911085797538,-160.6828110067882,B,-95.31580805829442,C,120.20327884532689,B,D,A,59.44565924091385,-48.393166901866664,B,D,-52.768708342279105,-36.22589329301689,E,C,-58.792179854579665,0
Married,Black,36-50,Yes,B,-165.95860481821896,-10.706994564432886,C,-154.8564033031265,E,-223.51656954076566,C,E,D,24.589055995373396,44.1768787344582,A,D,219.3156911045834,-33.65519000866817,A,D,-61.80222151783062,1
Divorced,Black,26-35,No,C,-60.86330486468696,15.14113719399883,D,167.92696694425297,D,-104.78284378933238,A,B,C,-31.754499732232606,106.52485734152835,D,E,-27.375585586632763,115.04257613939299,C,A,125.41237633516641,1
Single,Asian,51-65,Yes,C,124.76661268238043,2.467785846654581,E,189.4050009365111,E,27.333950039894162,E,B,B,-3.3538748443501554,101.96401500111216,D,E,37.864937480179734,-124.03396844909244,C,C,25.093025300192878,0
Divorced,Asian,65+,Yes,D,-89.57997372248389,7.103204710588966,E,100.47881094035193,E,-86.72337666643334,C,E,A,-83.63196140073069,25.59080440681451,E,C,43.862251488605764,-41.34693939411937,E,E,-17.561445168659652,1
Married,Hispanic,36-50,No,B,-333.8194912372072,-120.4836630173352,C,-206.92735058895187,E,34.2859715095562,B,B,B,-79.53844254681998,-13.647889288078524,C,B,-64.03184552840706,248.17795959370042,B,D,29.24212814371266,1
Widowed,White,26-35,Yes,B,-42.696025114984685,-114.61449852048953,A,-154.43470254066622,E,-62.284918821587866,E,D,C,214.3332795901767,161.46370261424352,D,B,-209.72895368324043,-6.0593958907718495,E,B,101.32695226290367,0
Married,African American,65+,Veteran,B,118.77253528831831,24.254169937354007,C,6.441676088837845,B,140.53741884106586,D,E,C,2.695054823523565,-81.63332396935542,E,C,-100.56399691931523,92.52313431187072,B,E,-24.521430054167585,0
Widowed,Other,51-65,No,D,34.582342484053044,13.70926664589878,C,-33.6712806772781,A,-205.0546138279413,A,D,C,-72.26587783129169,-45.6600386941757,B,E,203.17152025620575,-198.44200134967912,B,C,87.98521095837219,1
Widowed,Black,65+,Veteran,C,-100.90594077494906,-108.727100638541,B,-18.52224732196617,C,-68.49262637003982,A,A,C,-35.82226282236108,94.35894968037789,A,D,-68.58260787008862,41.78206036451538,C,E,-237.96641919386948,1
Married,Asian,18-25,No,E,-52.127077025591305,-103.24259829598117,C,57.271262612548746,B,146.9872617929543,A,E,C,-26.416875456718426,-45.34038621466227,D,C,59.78215880949877,59.48804773006562,E,D,66.2101935017268,1
Widowed,White,18-25,No,A,-58.07184756033359,0.4690364122917706,D,-1.1329774427705905,E,-71.56168808081698,E,A,D,-38.777212558892025,88.58647202516691,E,B,43.67517118619407,68.10383307843996,B,E,24.359248688283746,1
Single,Other,26-35,Non-Veteran,C,105.09899585334428,125.12773933721162,B,-90.37764276243466,D,95.56007890849195,B,A,E,-49.334067896422475,3.2686689321772713,E,A,-19.00474572282415,-30.106509883669748,E,D,119.53903731657635,1
Widowed,White,26-35,No,E,-10.361953604115893,14.280366263616973,C,180.83738096776935,A,150.6064400919026,A,D,C,135.75365820262684,-60.108671678542954,D,E,74.88681355091855,-80.7287703110254,E,A,-78.31134048934283,0
Married,Asian,18-25,Non-Veteran,D,-40.79542232992044,30.317924987856127,B,-120.18586397044204,C,-34.669953271491735,C,E,C,11.312058598360256,67.59937164163578,A,D,173.13138491571135,19.494952774872086,B,E,49.368699520836586,1
Widowed,Black,26-35,No,B,-38.683858764687336,-10.071414937682183,C,4.704652173374824,A,-25.239125785112158,B,C,E,-26.898843207482408,218.5706650358821,C,B,-37.70691115325308,-65.36577612455807,C,B,21.781801872066342,0
Married,African American,26-35,Non-Veteran,B,266.58635725368487,-93.22318751340255,B,-69.86066195585711,A,-77.42480013320584,C,E,B,27.046132286642973,36.589951693328864,D,E,-49.37303075340933,25.677136372302012,C,E,-246.01586296484334,0
Widowed,Hispanic,26-35,Veteran,D,-49.63163961863874,1.4896862443626615,E,-86.7337958693399,B,93.6833831869205,C,E,C,93.55298187078654,-16.22068818383287,A,C,-31.86046175783077,-14.235618182617781,A,E,-59.79263447513314,0
Single,Other,51-65,No,B,-68.93742528734049,174.2342672415352,E,29.017497972369803,C,62.763671236010154,E,A,D,27.422920980812926,99.23246625446046,C,B,-114.7310389039782,161.76299564981755,C,E,95.59017453429888,0
Single,Hispanic,51-65,No,E,-130.50174291014434,105.9383248041911,A,123.07721768059174,B,-117.7591961014999,A,A,B,-200.58723865043632,68.0516459405694,A,B,-120.32236049474807,-37.109776459714084,E,E,-6.719721953622367,1
Divorced,Asian,18-25,Veteran,C,-99.46236639368993,-41.90524497747722,D,93.07491040158334,D,52.75369095567416,B,E,C,-87.85999540068656,-78.5082269671241,D,B,112.5356453156992,-64.98660377235372,A,A,75.37177625293634,1
Divorced,Black,18-25,Non-Veteran,E,-114.23960731429246,97.91620659494552,A,62.353247858683794,B,109.55341704091235,A,D,A,200.82576490947193,54.75605033887102,D,C,295.8860170156879,95.55247895952158,A,C,100.98160834898184,0
Divorced,African American,65+,Yes,D,-119.40220892008502,-168.92061741430268,B,-52.37460770011248,B,-34.813218584917514,D,E,B,-36.47949578257224,74.7654799069329,A,C,46.68651662249007,-24.494193131359182,B,A,-27.638044150144513,1
Divorced,Black,18-25,Veteran,C,-103.80947697038265,103.95453714223268,C,119.10044996021966,D,164.8432132314072,C,A,C,45.51796282855027,-225.24948851156051,A,E,-43.19145506277447,-14.922173657317106,E,E,80.79721841677791,0
Divorced,White,18-25,Non-Veteran,C,-28.13074058985411,-51.58757471457023,B,-35.698029433407505,E,-37.616823183883234,E,B,C,140.55074874345706,-117.90615811544802,C,A,56.33218694092156,124.04105306560378,B,B,-160.83516107053669,1
Divorced,African American,65+,Veteran,C,40.789217803741394,-7.802456634676168,C,-42.56730837393078,C,100.2977325690007,E,C,B,82.67411736385034,-64.51102993105738,A,E,-137.6639931956527,-51.44563359528532,E,B,-100.63583448958808,0
Married,Other,65+,No,A,-54.339030839928384,-14.574695466312978,B,-60.19746290466259,E,-10.535868737630679,A,A,B,-89.27847571178866,-22.77364809941495,E,C,13.00229383798355,56.092805966007695,D,C,-34.96688495721419,0
Widowed,White,51-65,No,B,1.939171260615125,69.91556004701278,E,48.24340361582166,B,28.295538426182844,C,A,B,43.92970215921889,-130.44815823771913,C,C,-228.561813982733,-229.5501956126479,C,E,-76.10028406390444,1
Married,White,65+,Veteran,D,-67.60282512797518,107.74670739338825,D,-154.84349175805173,A,-34.59574540869365,D,E,E,4.63600609830773,-95.1336180924238,B,C,-271.1845176343432,-118.72331964144858,B,E,0.5369533417133332,1
Widowed,Asian,18-25,Yes,A,34.48453470742388,84.25172718890599,B,144.54362241288817,B,-45.02529987778363,D,D,E,-166.21467217877597,-45.10767338114267,B,D,48.90675391511016,153.45407787328148,D,B,67.82618436270337,0
Widowed,Hispanic,65+,No,C,9.799324414067517,21.583344821705236,C,33.916236104176086,C,120.03626547855775,E,C,C,-50.05263930869561,20.978725701561874,D,A,13.18910391562533,96.58427112383715,A,B,-123.25360074666985,1
Single,African American,18-25,Non-Veteran,A,49.39562591893537,3.751965197675353,A,10.069080598100138,B,87.30393987316533,B,A,A,12.962012033124564,145.2767823882328,B,D,79.34883379755203,125.85661888174045,C,A,-10.982636473040472,1
Married,White,26-35,Yes,E,-30.665081828559444,32.338214832092746,E,-150.1716232449525,A,-58.302554736205856,B,B,E,-23.951404956554907,-65.47739336448392,E,C,-62.99540523773217,-21.843514847537907,D,D,-135.8768700944062,1
Widowed,Asian,36-50,No,C,-39.33797624207225,-135.92956539803473,B,-73.50095797741207,D,150.40608225643012,D,D,C,-32.84815676453295,154.32329724267464,C,E,-48.51408360189717,-21.792504262184085,B,B,40.76295688540406,0
Single,Black,65+,Veteran,E,-178.28557301530847,-51.96602365992392,E,41.91951940278375,A,-9.02471673022123,C,B,B,284.90349956038153,12.71567369819871,D,A,2.038324915711809,11.730460483319296,A,B,73.50153890063623,1
Widowed,African American,65+,Non-Veteran,C,-77.96481208733871,80.97345097905674,C,58.34958882922685,A,73.19997459054123,E,D,E,65.20490133477162,137.70424334842565,B,A,-251.28641960664635,170.67459215741712,A,D,18.021938183174406,0
Married,Asian,26-35,Yes,B,-46.84193124201776,-16.53216708376732,C,44.64154894402002,A,-182.91572610755424,D,C,E,-1.5339035442970346,-48.18813021042258,E,B,-39.325332819333276,31.988452201464206,D,A,251.6946556090523,1
Divorced,African American,36-50,Veteran,B,-138.42597183331117,-56.055942220981,A,-83.0085224287186,D,-91.1539257679292,A,C,C,96.3094881310469,-57.25489111988823,D,A,42.05287581991924,-151.34461704110035,D,C,106.11796005778523,1
Widowed,Asian,36-50,Yes,D,0.5771736038791694,79.1929923003462,C,121.54984511663429,B,66.98300682882176,E,A,C,-211.75449366647362,-0.8694313994013328,E,B,102.15029033984952,28.69666097900318,C,D,20.481523955117645,0
Divorced,African American,51-65,Yes,B,-61.82599910325344,-33.88775314413975,B,21.936755502310646,C,-7.005883236227831,A,D,D,129.9800707943056,-110.11364764831744,C,D,-137.3542231713506,133.07292931604863,D,D,66.98729335038792,1
Widowed,African American,51-65,Veteran,E,198.77086048614808,-22.41721672693498,E,55.013632929936165,A,-10.231684929389171,D,B,E,-134.98306593315345,26.981504769054744,A,E,-6.502034685845856,0.8792339870875008,D,C,-6.625277352207158,0
Married,Black,65+,Non-Veteran,C,49.238130008931066,-282.77580273873804,C,110.74558003477684,E,-84.18745884018281,B,D,D,-58.29275942689777,16.156959739468693,C,E,-2.25710454506667,8.71795647089195,A,A,-24.93156944425807,0
Single,Hispanic,26-35,Yes,A,266.2105544503141,77.87628420809307,A,-47.32177911047112,A,-20.974256055890127,B,D,D,70.4488059278892,32.465971101540696,D,A,-140.4014606787727,-33.07144126433975,A,D,212.93360389571419,0
Single,White,18-25,Yes,D,8.222974609852098,-37.10231157136744,D,64.04665201878767,D,117.91950379587813,A,B,C,200.70405765451315,-111.65508539644213,C,D,-31.669561329841954,117.00306577578358,D,D,-24.22022333804485,0
Widowed,White,18-25,No,A,-17.956503569760027,-95.74337676286501,D,111.1100844475961,A,-91.27395941297934,A,C,D,-258.10547938784316,-90.65149781200766,C,B,-52.14578008574728,305.18743402310713,A,E,-65.34791565166273,0
Married,Other,65+,No,C,119.48637184207604,-43.543927621127146,D,-134.7252117042043,D,-25.43829259124795,B,E,D,-80.13912098930508,-165.77511234579703,D,B,-70.10522041050051,-153.79551933374108,A,E,-45.452986914377156,0
Single,Asian,18-25,Non-Veteran,D,163.96556496599666,51.01558180440019,C,52.968376728680575,E,96.84720962495888,B,D,A,-170.04638640644808,-77.37222001783259,B,C,-56.734352452345284,78.47353939814636,D,E,37.81089198923098,0
Widowed,White,26-35,Yes,A,-43.81744832742191,-24.71678816492856,D,-175.1896040649908,A,0.7268298808820125,A,D,B,-81.47544218900197,33.04861633959021,E,B,-181.59547039677003,-145.10614475939886,A,C,111.19612991014442,1
Married,Hispanic,65+,Non-Veteran,D,-122.0123913558993,10.66448386931996,D,34.02998118508619,B,-75.10957367743134,C,A,A,-117.56412148081452,46.196674795351214,E,C,68.5234713112039,-76.33261646827123,D,C,53.41505660900627,1
Single,Other,18-25,Veteran,E,68.4839963265527,157.30445774254355,B,-104.18463491301742,E,6.744146977346991,A,A,D,85.13337188941634,-107.43465468167422,A,A,92.39226851628202,62.49330220845176,D,C,154.68443743830363,0
Widowed,Black,36-50,No,E,-41.77153742517335,8.01479883169072,D,-8.911269607492654,E,-43.36140485666405,A,D,D,9.640894195908833,90.65538462308032,D,B,204.1542571827281,-112.67284850046065,B,D,-41.99132198259917,1
Divorced,Hispanic,36-50,No,C,-114.95940978983859,-241.39328345330676,E,171.73248705891905,C,52.17565219975175,A,C,C,1.9674939538212137,-14.733635149032933,E,A,42.7827937999581,-145.79850622945386,B,A,-120.93762790217124,1
Married,Black,65+,Non-Veteran,E,-185.18699043359447,-20.824774896607856,E,46.97849839534208,A,22.57539833915908,B,C,D,1.3748334620238507,31.49415552994135,D,A,-53.83893348838589,92.52985095195014,B,D,-112.80658651298367,1
Divorced,Other,51-65,No,E,25.38432183446736,-144.88540201986348,D,48.423055267365264,A,27.207481419470025,C,A,C,48.76258786873878,74.07904677527834,B,C,-137.03119929139336,90.81079946631951,D,E,76.24494143984334,0
Single,White,26-35,Yes,D,-50.35498338376999,63.96856018664825,E,-219.55028867812922,A,-112.76033660793068,A,D,E,-48.728296392753215,54.135675461325995,A,A,193.3119617161385,-69.79425265585473,D,B,-30.738764782893764,1
Single,African American,51-65,Yes,D,75.9010974757829,61.368957273613404,B,107.45557497984679,D,161.04325325266245,E,C,B,-114.5232343029547,105.36282145500225,E,C,17.87035529074719,21.216403163588147,C,C,-124.98259270950416,1
Single,Asian,36-50,No,C,115.58678415486916,-13.28803881377846,A,-23.67441750474906,E,-111.79809987635532,C,D,E,11.469073779117608,-102.75458062452256,C,C,-58.97974139077887,-15.641792631888759,C,D,-43.179203485744104,1
Widowed,Other,51-65,No,A,-7.083145991483815,124.84072661159833,A,55.916093192976334,A,-16.39820164478241,C,C,D,1.9696826916810528,-0.209640967608821,D,D,-35.010004624178286,-108.70406655100278,E,A,9.417655562527115,0
Single,Asian,18-25,No,C,-114.90648061558792,33.9536053256171,E,-113.96755555077651,A,80.73840359930502,C,D,C,144.5237170449363,129.89160437440188,A,C,247.98794610872537,-174.32926607676023,C,E,245.92216255322214,0
Divorced,Asian,51-65,Veteran,D,75.37999080674066,-40.733701158732835,C,92.95389143459339,C,52.00838485054773,D,A,C,86.05019443670557,-16.975502029098184,E,C,161.47785797946753,10.685216689834487,D,D,21.379062913489783,0
Married,Other,26-35,Non-Veteran,C,114.57740915606553,-101.15374423911376,A,-30.16971671313114,D,-105.16877387887132,A,D,D,-41.96874240115268,75.52038612840312,D,B,-111.7199931025478,146.07746305396222,D,B,-117.67107933876575,0
Divorced,Other,65+,Non-Veteran,D,56.28327871529487,-12.14304208059894,D,-91.04011602394529,B,-65.28381575783787,E,C,C,-7.095187655956909,-96.82720843452962,C,E,-0.8385242916484622,42.1408120843996,B,E,36.272548786254674,1
Widowed,African American,51-65,No,E,17.332260866614707,45.366154131138835,D,-101.5031209579762,C,93.02955339186099,B,E,C,-150.45425778094219,34.4119531608846,C,E,-97.20825561285234,-154.5727795482264,D,E,-147.2059925247969,1
Single,White,26-35,Non-Veteran,C,-42.08608155060237,15.139366073873173,E,-62.67990625721445,C,94.23988685573873,B,E,E,158.91114953008963,-31.541822017406684,E,B,27.047360145131638,-62.850301830819355,A,B,24.128899716531567,1
Married,Asian,36-50,Non-Veteran,E,21.192490609743977,-16.3665582351466,A,4.740894597324454,B,-81.72120787698397,C,C,B,133.64077462796962,-12.681926328052448,C,A,-163.91422798549576,223.40776271156625,C,A,-104.94975652470234,0
Single,White,26-35,Non-Veteran,D,12.760346069994455,-92.25384545574224,B,-131.53873781198183,B,-2.6237569479178324,B,E,A,-40.230859257634556,-44.35063254596566,C,D,159.08857041737815,31.54422569641799,C,A,-108.11744670669495,0
