RACE,AgeGroup,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
African American,51-65,Female,D,69.46976168404501,D,-204.52079098792083,B,-62.53095239247386,15.865057206590352,E,-6.848478764829283,E,B,58.59274250357487,50.46660855334999,B,-14.778630437007607,C,1
Asian,26-35,Non-binary,D,-88.26140656962026,C,-95.65166964189658,C,-11.70221825851674,-30.53086971520832,C,-64.80928978614727,B,C,95.21026602654084,-113.55823390632422,E,16.442339829749123,B,1
Other,65+,Male,A,-21.617648572841173,E,-29.663631393886526,A,54.197243841216824,42.37734208396077,C,-224.7463617886287,C,E,15.42329980060137,-9.711530302000284,A,76.19201193716263,A,0
African American,51-65,F,E,-2.686717779639319,C,51.57983405307659,D,101.21509730344016,-42.387839073207765,B,17.02205942828406,D,E,-47.59196547016274,-65.20227460127056,E,44.20383915334531,E,0
Hispanic,36-50,F,B,53.36406810730118,C,-64.65727216445622,D,81.76602581325903,-54.5782539293337,D,118.74509920524751,B,A,31.726721829462683,-65.88158514765418,E,185.00871798957553,B,0
African American,65+,M,C,8.67149248892721,E,3.783871898015522,A,-87.65701709638368,-99.26870415641264,A,-176.22713922731296,B,A,46.64823172554941,110.09403933280129,D,-135.72883546934733,B,0
Hispanic,51-65,Male,E,16.572670725887082,C,106.93323980434859,D,-71.75752258486159,-122.31991532246997,C,-153.73998637274025,C,D,101.10549095067047,93.1073686993345,C,-40.4369169615108,A,0
Black,18-25,F,E,71.0763011162627,D,-62.6571828137389,C,-86.76608402977268,24.169390175652737,C,34.30926893265058,B,B,89.54724825264844,18.96148852500497,A,-50.72022234750939,C,0
White,18-25,M,C,-117.46584008374931,B,134.37263894072083,E,100.3051046620194,-11.886165605208662,B,-24.905356699429245,A,C,96.58352979153287,39.18371993688083,C,160.8553627851198,C,1
Hispanic,18-25,Male,A,-122.83859849110056,B,78.89270955507769,A,55.376931622309456,229.34594680241042,B,-52.18873743129953,A,D,100.44066797194218,85.44050118175325,E,-100.46921108784599,A,1
Asian,26-35,Non-binary,D,-15.74544361370664,A,105.41447059604701,E,-19.959763291178824,-58.683606136921526,B,21.91461341662385,E,B,134.0259780093207,-22.58122489574092,D,54.48312478288483,C,1
African American,51-65,Other,B,86.5824440713172,D,16.95283556112476,E,13.75581056397791,-17.892285071819273,A,202.01235810579382,C,C,-102.69492696461995,-15.19933703199198,B,8.569589367525289,E,0
African American,65+,Female,D,76.75484178320559,B,153.94286584851292,E,-107.79655234725567,-3.600866082136245,D,97.34397273177751,A,C,-147.32497804434897,173.70817610292178,C,52.21511860740342,A,1
Black,26-35,M,A,16.98107359086391,A,80.48607337177557,C,-67.47091462981687,127.9709809057932,D,0.5139095007408011,E,E,-82.4182012004101,-80.37178406317308,C,-76.21829826095721,A,0
Hispanic,51-65,F,E,-122.47744524165671,B,99.00000397036797,A,-97.47200439165535,-0.5340672256237963,C,38.11765751877048,A,D,-136.3930434015294,-14.335562045021671,D,58.556713773558556,B,1
Hispanic,36-50,Other,E,118.73334887564543,A,-77.22541294699955,A,173.1355278255696,-308.05500233963545,B,9.92733615427633,E,D,109.35402924786486,45.44097428999944,A,40.021715811428145,B,1
Other,26-35,F,E,-126.43135644516217,B,195.3573647282548,D,-49.144326227976514,44.441166831489994,A,32.24210890082637,D,D,8.219631405872002,-18.487003718027267,D,14.812304366923831,E,0
Black,51-65,Female,D,142.61872909941215,C,57.9352730478451,D,96.67396832304186,119.79419034848576,B,-31.63980673903119,D,D,-106.28691236849923,-80.12008471530741,A,62.87529045131798,C,0
White,36-50,M,D,-20.087695134471634,B,46.01276337262596,A,-59.571731131528125,46.86530691215759,E,-7.909882001718188,D,B,14.465144613015152,-11.463361812284594,E,10.87222472566352,C,0
Hispanic,18-25,M,E,-96.6595570696154,D,-39.7092881459635,E,14.501673141404014,-223.67516744785104,C,-145.7908931390387,A,C,-45.82710495695228,-30.47207216509645,A,3.71836657474256,C,1
Asian,51-65,Non-binary,B,41.049982551288636,C,-59.37148242444059,C,-30.153348086469666,-139.85190554307763,D,-29.390628029394954,C,C,61.05159316596416,-35.298270340939055,A,-42.18920083003,E,1
African American,36-50,F,D,166.16278230676926,E,-22.580851557837228,B,15.385680720847558,-13.450420733772747,E,-37.0022870733296,B,C,94.65208794167,-118.48842469332685,B,-148.44607444161818,D,1
Other,18-25,Female,D,95.90288036156163,B,-166.27694918179984,C,-64.27899227578516,-134.533994141556,E,-117.2133477228285,A,E,8.890819183901925,-2.430028072490876,D,10.659336611330618,C,1
Other,18-25,Female,B,17.552020516853847,D,-0.5958088542049038,A,-117.94303005298823,160.56864175008639,A,51.92749485884508,E,D,-90.9893073228437,-73.02066054263743,A,-23.070822774938566,A,1
Other,18-25,F,E,94.9397907777027,E,10.714463698657545,C,31.895877709486502,-82.93149698293891,B,-126.25300522320208,E,D,98.44785979054855,-128.6145721659912,D,-105.77673072369123,E,1
Other,65+,Male,D,-128.8957464426725,B,27.609478100526502,B,110.72711042830718,16.547578912782036,A,-4.132775574000915,A,D,-9.107839953150203,12.811816476143179,E,-69.6939901728818,C,0
African American,36-50,Non-binary,A,19.40015704861397,C,16.248493994382844,D,-31.452725664377834,-33.88407968897415,B,-82.14538261691085,A,C,-116.20219327846493,-157.05709194896954,C,22.79865397334724,E,1
Asian,65+,Other,B,-158.6392669910216,E,-7.324053217998096,C,-32.529042086808666,37.452655340234415,A,-338.27549970083817,E,C,157.08384161267924,44.66204966771878,A,-94.17908677181364,E,1
Hispanic,65+,Male,E,66.56213175984905,B,157.86612684630697,E,-93.75705193661558,-96.85900164564057,E,67.48506121508,E,D,-87.73656901669415,28.72679159136205,A,-151.8398155230887,A,0
Asian,36-50,F,A,-44.123805225256206,B,25.60304742679314,B,30.684444048101327,30.316291125329283,D,-220.10457426234518,D,B,-68.38096382763847,-144.28643203060196,D,-118.75246314107373,C,0
Other,65+,Non-binary,B,161.9874614915398,D,-227.83773118297245,D,226.12845409351482,-61.82255681705002,D,-8.877965040677614,B,D,96.21112068439142,179.0090742889686,C,-49.571590170283905,A,0
African American,36-50,M,E,54.267714808702415,B,-5.429630914156544,B,-184.7349385317665,-2.4497925535987517,B,11.045993396552701,C,A,-159.67544657043524,-78.25319858840697,C,66.70499582697857,B,0
African American,65+,Non-binary,C,63.038135202066215,A,154.93140972097723,C,-6.429913167007964,42.94598971342783,A,9.131317690505718,A,A,126.95751696191373,80.81375878603637,C,-221.0217485288344,A,1
African American,51-65,F,E,82.52387663315868,E,60.69775224007541,B,14.698059710148575,34.59143708881521,A,-37.65759498016404,E,C,183.45182920996655,-203.57047902994157,A,114.95272205111446,E,0
Other,36-50,Male,C,-7.911184362826196,E,-120.11819787457674,B,-117.22032838772701,123.71358681621243,D,-27.219142728364687,E,A,126.45983893061982,-58.063112458107454,E,43.7164920226685,B,1
Asian,65+,Non-binary,E,-65.23517395130007,A,-77.00716115729243,C,177.26970188807337,-101.80001045458542,A,68.92876475767329,A,E,-138.59840129986475,71.15833636893417,C,-10.71379074153401,A,0
White,18-25,M,C,55.15219884769689,E,-22.50611350416996,C,-77.79019756550598,-36.39873366673454,C,246.5250336410528,D,C,104.75210214381072,41.68569760849752,D,-115.31186517630758,A,1
Other,36-50,Other,E,57.90248988217267,D,-131.41380812110629,A,145.88379622727473,-64.20221335384264,D,133.16310604446537,C,A,101.96365887520176,-44.20215130687558,B,9.740827933923592,D,1
Hispanic,36-50,F,E,-214.07978915128686,C,-94.24732379775116,A,142.36726368307603,59.2885601152222,A,-178.75439103739853,C,C,-50.46712128465109,39.37163588988454,B,3.6071019593830433,E,1
African American,26-35,F,E,-55.146558812688895,B,-47.08905326100784,D,-85.43990816180553,81.96321877829948,B,161.48283186111334,B,D,30.659444495126188,121.41149352255643,E,41.206211925772536,A,0
Asian,51-65,Male,D,-133.23367449282142,D,-12.19382660403459,E,-70.60444138322501,-142.5025064964934,A,64.58818269640845,A,B,-178.7797667309404,28.262423920442043,A,17.805755698810984,A,0
Other,51-65,Other,D,311.78493708823817,D,-66.27195272211847,C,-4.489145380995777,22.014398432783292,D,-4.420370635206243,D,D,-19.717683406570327,176.3986929163367,E,-133.4141350982016,E,0
Asian,51-65,M,E,96.82015416918819,C,36.5626111773441,A,27.245596496258894,-125.35747428067828,E,195.1122085390476,E,B,-104.55983177417558,67.58960560859875,D,66.06098266153492,D,0
White,65+,F,A,103.16915842970202,A,101.05659351128034,B,-4.27496842214181,31.71492313973524,A,66.46520766795607,D,B,-45.94730549043,101.2492920306056,D,-25.316215929824175,B,1
White,51-65,Female,D,-42.844864260583115,E,-44.56988162339105,A,-92.77477003440005,-160.76391039973623,E,8.672081378713266,E,C,144.69299822626473,-99.22346590794268,A,-172.82271158049548,E,0
White,18-25,Other,B,-84.81229193509749,D,33.10328204579027,D,-37.835064388278475,-9.22965873185694,D,70.38592540380037,D,B,-21.964203779676918,47.37952669533701,E,-89.37420442235212,B,0
White,36-50,Female,E,7.775686539415499,C,151.15324970036565,B,103.24448623669772,72.48762869948611,D,-26.3127467718483,A,E,-25.54881822226277,143.74458474926902,D,-24.793539679441597,C,0
White,36-50,F,D,-110.07173240647639,B,127.99616005341903,A,-119.56190950636851,-115.08253252233784,B,-43.70122917851524,E,E,-134.92988172692333,-148.43051374266122,B,-17.28878677733574,D,1
Black,18-25,F,C,126.37618557128955,B,130.11659815159874,D,-64.32187510475926,-143.2343563265505,C,-72.76378278065903,C,C,-76.16826370521454,-24.58598688239598,C,90.16995418030378,C,0
Hispanic,65+,F,B,-134.43614025135037,A,12.50984404959359,E,323.33768585468545,-3.5532315240213475,C,8.132148176871713,C,E,-82.5096204981667,-120.00655390617115,A,88.27822293091818,D,0
Hispanic,18-25,F,B,-114.98882925930386,C,-75.57549860743478,B,44.72894542342032,-13.412390432758558,C,83.18728883191162,B,D,62.63432812659586,29.57568378578092,B,80.75684937697721,E,0
White,51-65,M,D,99.80568650530492,B,11.769725575571194,B,-191.78174902490804,156.54696421542135,E,165.27262614974632,D,A,-185.5677847403085,-41.1369063902274,D,-167.5770897155817,E,0
African American,36-50,M,E,4.944100864525787,D,246.35096890112393,A,72.31835289444356,13.542863420550443,E,14.368975657034303,D,C,-175.97363369411113,-125.43956962262001,E,-57.21033091063039,B,1
Black,36-50,F,A,-140.87346590952023,D,-14.586593971073045,C,125.73222614964719,-94.4557633103833,E,-42.37774667742725,B,A,-88.79536318341262,-5.852126048190714,E,214.56892917647227,C,0
Black,51-65,Other,B,-112.35725183989254,E,84.49638861587009,D,159.07269444477149,-142.45687601939028,D,107.3168583263794,E,D,-70.34617042640512,51.93189705593028,D,-67.62140417386347,B,0
Asian,65+,F,C,-10.033760315152245,B,103.91133767798695,E,-14.678593693727723,-55.026633856764796,A,242.01142367229346,E,D,134.37400756293815,-8.140093726712992,E,-172.31908899351055,C,1
Asian,65+,Other,D,-268.1336185527965,C,-54.98697756910804,B,101.24555038285881,-109.45132085228238,B,-148.6334438297348,C,A,-19.065603878859903,154.85438594100123,B,154.42573149576288,E,1
Other,65+,Female,B,42.357912376785784,D,160.90739524405424,B,118.14432167305033,92.26644858221293,A,-41.81912889611188,D,E,-27.366265597191834,108.24604850971173,C,135.43633119579758,E,1
African American,65+,M,C,78.7257827848632,C,-133.75119534133844,D,-60.42747556390423,-103.25282548952175,B,42.19312224044946,E,E,-95.29131340444869,122.91689962381027,E,-99.5192763746213,A,1
Other,51-65,Other,B,-87.47141938645767,D,13.100417754534549,B,38.30859621253274,-82.21804249352338,A,23.11721067609876,D,C,138.35639555934293,152.3070180258054,A,67.25296423897261,B,1
Other,26-35,Other,A,105.55433438754875,B,34.667407371789224,D,-158.93943282573176,39.51852118057613,A,-48.04115414157518,E,A,-150.60421703271928,-187.6722048114832,D,6.358813360381621,A,1
Black,65+,F,D,137.6925108337535,A,17.384808489371103,C,165.30125427758992,65.59359907482111,E,137.7107259272409,E,C,-58.570064046570636,102.0080703423947,C,54.64226571547616,D,1
Other,18-25,F,C,-107.75242053569936,D,103.48520349057478,B,6.52437259039631,194.35813234186827,B,41.90946369322161,B,D,9.115675976398926,-137.92301542712556,C,-35.20575651854605,E,0
Hispanic,26-35,Other,E,10.771271886371446,E,-77.76393505104897,E,-86.51856526563358,43.31737819552699,D,-81.40182335171595,A,A,-36.39243979509637,-140.9951777539281,B,-244.62188948618726,E,0
Hispanic,36-50,Non-binary,D,51.36739749091886,B,29.916452713109408,A,205.64718484892813,125.60896496791428,A,10.572171426903337,B,C,149.15204903621137,-55.324518278630876,C,-46.747197683674024,D,0
Black,18-25,Female,E,46.64333238701677,B,-77.82162603156408,E,51.03280659678132,20.800571908987127,E,-72.45660731834344,C,A,183.89796946390865,-108.51595960255023,E,239.65671357021927,C,1
Other,36-50,Male,B,-44.15339605712049,E,142.39192624221982,D,-67.27625184973944,-128.44580574810348,A,-167.05675346954322,C,A,-30.04861573351947,25.311065106366566,A,-94.53070071590592,D,1
Black,36-50,Non-binary,E,-112.98219176005489,B,-37.52323828074643,E,95.23379138043808,1.2716586768315905,B,56.32826016729624,D,D,-93.0601424888036,-105.08410954891956,A,-79.0646075451352,B,0
African American,18-25,Other,E,-34.46954677418487,A,-146.99921905236187,E,196.5417380437624,111.64831259125478,B,8.30678404891419,B,B,-88.89446976289219,13.101113449711496,D,-111.45977599259692,D,0
African American,51-65,Non-binary,B,99.25237900070329,B,71.2638009757988,B,50.15966305720797,-101.6868481274248,D,4.174395482286136,E,E,-134.945372972906,69.81218841667098,B,115.08302183029615,C,1
Hispanic,26-35,M,B,-62.51093248086712,D,10.391170533495321,D,-100.63430050110263,-159.86156551554382,C,-136.4373409454856,E,B,-158.48213762323152,-136.51059160452758,C,-36.738682827488454,D,1
African American,65+,Non-binary,D,83.73867082869845,A,11.284240116614255,D,108.26085912707804,-100.39822779005456,C,-157.4716122873707,A,E,97.02485472422224,-73.28896131498063,E,-201.2897582053276,A,1
White,18-25,Male,C,-71.32062407444558,C,227.22116780118031,B,-49.80440203685868,-45.98347413565945,D,-0.031075865944706765,A,C,-195.53794929029715,6.98298829491162,B,-76.68121241468346,A,0
White,18-25,M,A,-9.55060782851771,B,13.273211869764086,D,69.11126794985714,40.32017899799833,D,-58.26633683935526,E,A,123.4183545307007,40.44292296372366,D,27.41241187465634,D,0
Asian,51-65,F,E,-150.38625929706527,A,121.49550709472796,D,-59.96532893345058,52.92894503435449,C,106.26232503932246,A,E,56.25052036983856,-117.75849180263185,B,25.840354685342433,E,1
African American,26-35,Other,D,-97.15575788905322,B,-192.56613555862901,A,-146.86569657026672,-83.44978035152279,A,-23.87475244992963,C,B,36.64654501975363,-187.9645661730191,C,56.06399805954547,C,1
Asian,51-65,Other,D,26.87264872478875,D,-57.11779146099934,E,174.90910659604546,-103.66117184516672,E,218.2231654328326,C,E,100.00464862560175,10.249576687393617,A,10.76242256644579,A,0
Asian,18-25,Male,C,177.40333414785823,C,-11.403712959971163,D,150.10958501731378,-45.82421481918392,A,-172.5602082646311,A,B,82.03933987648688,15.867520461963835,D,38.13478804791453,E,1
White,65+,M,E,85.42897230441613,D,-89.6320747672867,C,-53.19064641509769,45.46154246614251,A,-177.44728815735104,E,B,-21.100363811422536,-21.80511185035555,C,177.19471226940215,D,0
White,36-50,Female,B,133.8084031582416,B,0.6275368527557923,D,-64.89573712898344,-36.284723531419786,C,6.944860510121738,D,E,-26.231358598945263,-67.78701470972234,B,-90.78965812543235,B,0
Asian,65+,M,A,-177.8277020130898,B,-56.58711259541498,C,141.234002603645,-11.51840061844104,B,7.10569952559372,C,C,-178.78917827586295,99.38570843904586,D,46.45576016467757,A,0
Black,26-35,M,A,-13.15226556144166,A,58.44947531276492,E,-9.8574471696464,-69.2423042674688,C,104.68179646256391,B,D,-53.5515787779268,149.28113750537833,B,-100.53015761187787,B,0
Hispanic,18-25,M,A,-146.98467484723955,C,11.460550136735623,D,85.55317496071171,-32.938629728258064,B,-64.55200170012519,A,B,-68.11347956904899,91.57993503074205,B,-66.69414962054357,D,0
African American,36-50,Non-binary,E,-119.27130957579324,E,-62.34475322506599,E,-44.990480349689896,-24.193687888517807,C,-11.473837978314485,E,A,-68.93661104771954,73.04893986263949,B,218.5771293711206,D,0
White,26-35,Female,A,62.766572351250424,E,127.86413558671912,E,-55.97228049644,82.28783158257737,D,-246.74338842632437,A,B,41.88813007000922,-8.456670225442604,E,-72.56409188406658,D,1
Asian,26-35,Other,E,46.62899011375021,C,-86.68436483218251,B,-39.1047327184884,-53.10617945586997,D,-35.221063781527384,C,B,-32.225948875919215,122.02926339510883,E,-92.74451008829352,E,1
Other,18-25,Other,D,324.56308829164317,C,-119.32924559177494,C,-4.508957997782497,-140.41929527801116,C,110.87332963959172,B,B,-190.31631189713906,-20.291457538340065,A,-75.89975804099332,A,1
White,51-65,Non-binary,C,223.80955494327458,C,39.798726103040636,D,-227.173110351541,22.97171098596086,A,100.52313797479167,D,B,-9.310700509720423,341.0793737212649,A,-8.027223631253708,B,0
African American,36-50,Female,E,-133.24647041854584,A,20.55514757873676,A,64.8259953710579,-127.63072005286918,B,-138.05700101868354,C,D,1.3744060491536785,-46.0145783188135,D,136.66125254726197,A,0
African American,18-25,Female,E,235.79344298669636,A,-168.44262269718857,E,125.54763658401582,-47.08625523793831,A,-211.62454651656157,E,E,-13.693740119544753,-92.95531665239626,A,-69.05682110153334,D,1
African American,51-65,F,B,-78.65996541351417,B,110.80052647725455,D,130.53897215139472,-85.95298682870673,D,-166.34561226642617,B,C,223.511453536781,116.27912374399749,E,-44.97719216059801,D,0
Hispanic,51-65,Male,E,101.44296609086463,C,123.59369003561211,C,44.31258945174792,-41.405110929524746,D,141.07509193101828,D,D,-23.29944330456181,11.282117635459974,D,148.63017439805725,D,0
White,65+,Non-binary,C,108.60977840548836,E,-51.746677881656744,D,118.1418239393015,44.71945600675011,D,48.06536264248657,B,E,-32.40412448810541,-67.62250031016158,E,131.90779937288676,D,0
White,65+,M,A,-128.36394219779592,A,111.97576430611649,C,-51.807106174845785,140.29184043550217,B,10.329494486193,B,A,-93.03349278481701,160.23774613149826,C,-48.84182703649182,E,1
Asian,36-50,Female,A,112.03873657774155,B,12.173029373506687,E,30.627427113924615,-73.142507457406,A,244.21549165657444,C,D,-33.76311083627627,-186.3000998532073,A,-98.6183752965597,E,0
Hispanic,18-25,Non-binary,C,-78.03329958174852,D,-81.59698739147315,B,-34.31909806370154,-71.03932629284225,D,-135.572319280858,E,E,1.501176318500808,25.02403944540008,D,-130.68078804272636,D,0
Hispanic,36-50,Male,C,-190.60081249446213,A,-2.0108403547720086,B,0.7307963517961962,11.897451667870138,D,112.02676109242277,E,A,-62.32837669263838,193.53884342136791,B,-43.85420480453209,E,1
Hispanic,26-35,M,C,45.83055944087158,D,10.093250369777909,E,35.97426542790066,-127.18573067931278,A,-178.9209028211839,A,B,6.402298463314763,-45.376128308238606,A,14.873139863877299,D,0
Hispanic,18-25,Female,D,229.22136854449744,C,-74.58251407401278,A,60.43680647027511,28.298375619406247,D,-81.52253465977326,C,D,-18.733420083252188,-64.51487611965146,B,-90.09063682434002,C,1
White,26-35,Male,B,-88.30582174391785,C,10.63364053203349,C,-76.6494154513208,-171.76397461805985,C,112.59133328325636,C,C,-56.79625929736507,-60.90168826841127,A,-42.492756968968145,E,0
Hispanic,51-65,Other,B,-171.0545967286836,B,2.150332603910444,B,87.03018721094689,-168.2991309813019,B,-116.49809550645729,E,C,-27.574405956565677,42.859754112307435,B,-76.06335680438275,C,0
African American,26-35,Male,A,89.67929499249526,A,-28.734710642799506,A,-65.2362921126635,85.76591630854654,C,142.76644717881447,B,C,-66.18767712408827,136.3853909619418,B,22.585038311638666,A,1
Hispanic,26-35,Male,A,1.2437214894364008,C,190.1843132808697,C,-140.22161288700445,121.2309770132453,B,13.404362291166752,D,E,-40.80540882278104,209.93864818073683,D,-223.03660350451122,B,1
White,26-35,M,E,11.616201402523622,A,158.7597129044527,C,30.175484691284083,-68.14171113434806,D,-86.25249698098625,A,A,8.899780711933072,-65.13351521708879,B,-107.03682625654966,D,1
Asian,51-65,Other,E,46.021608509327926,C,-12.138207400101205,D,12.721359329052664,-131.87180920787227,C,-121.98867615280551,C,A,-78.80905678839522,-55.8411606753771,C,-85.03616459007658,E,1
Other,65+,Female,E,-135.9100998437938,C,-200.72834862674983,B,-101.80353451092054,149.05441677335335,E,4.003666493614121,E,C,12.76042496359917,-32.172096575780465,E,28.824865848506022,B,1
Black,65+,Other,C,-154.74489560831606,D,47.329380544510904,D,-135.4844450232546,182.0306392483405,B,-150.6684558607416,B,A,-74.70936647211782,-14.668262197546989,B,116.71556423926046,B,0
African American,26-35,Other,E,-209.13026693869256,A,-4.81980884177987,C,-83.66231507811786,-12.518319592958576,B,-130.10935185548763,E,B,-9.676455075264089,-150.07379621374085,B,-119.19937534101686,A,1
Black,65+,Non-binary,C,-204.69455381359043,C,11.2171458430252,A,-3.368872531595572,51.18048062356161,E,166.47657767210043,B,A,-143.10260672040957,145.60258577390388,E,46.47939088434263,E,1
African American,65+,Other,A,92.47557444075481,D,-191.31052226663948,B,77.02688191848857,46.320134310432096,A,-67.16729960564514,D,D,-162.68026119806123,26.411370962737802,E,-190.79669867290036,B,1
White,51-65,M,D,119.96453458391609,E,-14.45671744677445,D,-25.949935676590957,106.42299015422377,D,117.57400185660458,C,D,-64.54154926447646,-12.361784455970469,D,-86.01724752171891,D,1
White,18-25,M,A,-103.85704894692387,A,99.20441609071983,A,-47.72909143570753,-127.41313589126149,E,-17.371639605052227,B,E,53.103828625165484,197.38842674989598,A,13.411529917213775,D,1
Hispanic,36-50,Female,A,-51.40089347018256,E,111.71867267471738,C,156.89520328515445,24.284347514437446,B,-68.55311073047176,C,A,-71.29385038523401,-10.107562031827962,C,-8.120987534184007,B,1
Black,65+,Non-binary,C,-143.74378412305308,E,-98.64625792164867,D,166.6465740211821,146.5319058204675,E,75.21686307727077,B,B,2.606243294130053,20.40706162641986,D,-4.408373025725436,D,0
Hispanic,65+,Male,C,1.613709707738264,C,35.7755551701703,C,-0.1019379757371561,-170.5818126048082,E,39.87868288720321,A,D,10.500853556036393,-35.58848949785575,E,95.78459273457722,E,1
Hispanic,26-35,Non-binary,B,-69.73981681443807,E,-108.21846546344247,E,-56.13442119373221,1.2149075451721554,E,14.02209650482856,D,A,47.321232979044765,119.36996932151874,C,28.830793977637235,E,0
African American,36-50,Male,D,-62.71510531822907,C,156.2416630796922,B,-12.615520241417697,195.96675769391675,A,62.368358649505765,C,A,-7.939516708420127,25.002245169104715,C,47.20243445108886,E,0
White,65+,Male,A,-75.61469001945302,D,-28.46480249039342,B,21.940156431403533,-13.01947964550027,E,123.62629715044152,E,C,22.536410373712982,-85.2938903431599,B,-141.38423069977918,E,1
White,26-35,Male,D,26.336048032775505,B,-78.26046854516524,B,35.74421450193711,21.21389731989813,B,-18.233943231644314,E,A,-113.13509611016298,-68.74917830613441,C,-15.848743517556784,E,1
Black,65+,Male,E,-46.79423097298323,A,-58.61475149098159,D,31.381645335675756,1.6625140127864078,A,34.48229158342647,E,D,24.200104173292296,213.47799969360474,A,3.9702056821205574,B,1
Hispanic,18-25,Other,B,179.81693503649794,D,-55.80615779784743,E,45.235659055352066,-39.36222625606231,C,4.601165149451584,D,A,-255.00497762534317,49.210829905065445,E,25.724649912725173,C,0
