religious_affiliation,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Hindu,Physical,-71.01954883739087,E,D,B,-74.18826343461845,B,B,A,1
Muslim,Both,9.798806434370508,D,B,C,194.29895581363917,C,D,D,0
Buddhist,Physical,-3.214425740913,B,E,B,-106.0806011069818,C,A,C,1
Jewish,No,-128.45477940657753,A,A,A,29.59486190870406,D,D,A,0
Other,Mental,39.276214857074905,C,E,E,14.134506025255853,C,B,C,0
Buddhist,Yes,5.434164613677445,E,E,C,96.78850588348897,C,B,A,1
Hindu,Yes,-66.02573957147513,C,C,A,-15.545241034592083,E,A,E,0
None,Physical,148.57952897052144,A,D,C,184.2260144371242,A,C,B,1
Other,Physical,2.2720494091726677,A,E,C,-156.4654036078866,C,B,D,0
Other,Mental,132.0273666243133,A,C,D,-200.98675833289778,B,B,A,0
Hindu,None,-59.84562247395431,C,A,A,-86.978865022523,E,E,A,0
Muslim,Physical,175.3241858593284,E,A,C,13.368421572836315,C,E,A,0
Christian,Physical,88.24326074050394,E,D,E,-80.46559121285337,B,C,B,1
None,Yes,213.85775115564124,E,E,D,109.85018661595088,A,C,E,0
Christian,No,119.74502358593526,D,D,E,224.02529781678533,E,A,E,1
Hindu,Yes,-77.83413677414413,C,B,E,127.31778130570987,C,C,D,0
Christian,None,26.229280459874673,B,A,E,-45.76216619699546,C,B,D,1
Jewish,No,16.9190254394004,B,A,D,-33.31774688262622,E,C,E,1
Hindu,Mental,27.71082996780898,E,C,C,-75.71147544834783,D,D,C,1
Jewish,Mental,78.87312291833726,A,E,B,-166.40278034963913,C,B,B,0
Muslim,Physical,162.58646559969398,D,B,D,-169.14394054858894,D,C,B,0
Christian,Mental,-78.93604251121727,D,C,B,43.63750587932031,A,E,C,0
Other,Physical,113.90248098131079,B,A,B,199.9704535167227,A,B,D,1
Hindu,Mental,-6.97153288194717,C,A,B,40.312455793187965,B,E,E,1
Jewish,Both,-5.176185952566497,E,D,A,-79.99338055871834,C,E,B,0
Hindu,Both,98.21856018489406,A,C,E,-68.22258329213882,D,C,A,1
Christian,Both,88.59796074425331,C,C,C,194.12237294919424,E,C,D,1
Hindu,No,-32.925930419724416,A,D,C,97.56794542875451,C,D,E,0
Hindu,No,-0.20829697646217832,E,A,D,63.47201931786043,C,A,E,0
Jewish,Physical,27.86407997034407,B,C,D,-92.86621939219023,D,A,C,1
Jewish,None,35.090655757023335,B,B,D,129.19158273323393,D,D,B,1
Other,Both,1.5944368593066194,D,A,D,27.958955741701697,D,C,B,1
Jewish,Physical,74.39273826007357,A,B,E,-221.16909726429833,E,D,A,1
Buddhist,Yes,61.34316178249139,E,B,C,26.656090509343606,C,B,A,1
Hindu,Both,30.338068316821538,D,E,C,-22.124608932954963,A,E,D,1
Buddhist,Yes,106.94356899406993,D,A,A,42.763497835200845,E,E,D,1
Jewish,None,79.90659559812386,D,E,D,96.52648768484016,E,D,D,1
Buddhist,Mental,-32.41892381317971,E,B,D,155.98765264042467,E,C,E,1
None,Physical,126.39400980070752,A,C,C,25.20709713717619,D,E,B,0
Hindu,Both,-0.04300794662954797,B,A,D,20.884258175528,B,E,C,0
Buddhist,Yes,103.0251790650115,A,A,C,4.177334099719674,C,E,D,1
Other,Physical,180.88313009537356,E,A,D,260.92584334306434,C,E,C,0
Hindu,Both,136.67387522508693,C,C,A,27.805760307022727,A,A,E,0
Muslim,Mental,34.3976218938587,A,C,A,35.52584876543581,E,E,D,1
Buddhist,Physical,58.13573234564983,D,B,D,-56.721277768025516,D,D,A,0
Hindu,None,-66.90511143463435,B,A,D,36.973833487947594,B,C,E,1
None,Both,-60.049699114045616,A,D,E,-142.30093174980232,D,C,B,1
Other,Both,-40.55380897371261,C,E,E,-140.35259206582637,C,D,D,1
Buddhist,None,48.22716178043208,E,E,E,-13.333915050664578,D,E,A,1
Muslim,No,-39.754847490853216,A,E,A,19.819035542488557,D,E,D,0
Muslim,No,47.326562103304276,C,E,C,38.15203649378758,D,C,C,0
Hindu,Both,-88.27479094611171,B,C,E,194.3870559235377,C,D,E,1
Jewish,Yes,123.85035511322162,C,D,E,-235.29563661135472,E,E,C,0
Other,No,-80.3920154114867,E,B,D,-46.12560630739214,E,A,B,0
Christian,Both,3.1983275286240733,E,A,D,-136.62519355802482,A,A,A,1
Hindu,Both,-214.2227392554608,E,E,D,105.1611812250254,E,C,C,1
Buddhist,Physical,-4.3872901276449054,B,B,D,-141.6865748894962,B,A,D,1
Christian,Mental,-96.40647926817259,A,B,B,20.95611000581564,C,A,A,0
None,Both,-116.04664230044959,A,A,C,-61.7232206709228,C,C,E,0
Jewish,No,59.39495002943048,B,D,B,34.14044824698673,A,C,A,0
Jewish,None,128.7755925349276,B,B,D,-96.14884386776436,C,B,C,1
Other,No,-30.190129575841677,A,C,E,-86.58086919373054,C,C,E,0
Buddhist,No,118.53373889298612,C,A,D,59.38377820441957,A,B,A,1
Christian,Mental,50.5175813424134,B,C,A,-72.48607145896197,D,C,A,1
None,Both,87.55928195251458,C,A,C,178.13716187910387,A,D,A,0
Other,Both,-142.27457674503646,B,E,A,50.16230873453538,C,B,E,1
Jewish,Yes,-118.5945713692268,B,B,A,35.09472937834592,C,B,C,1
Buddhist,None,-25.6756724305639,B,B,C,63.17982686868927,C,A,C,1
Buddhist,None,-70.66012737691601,E,C,D,155.89661022851539,D,D,C,1
None,No,40.566148198041994,A,E,D,-155.3860096434673,A,A,A,1
None,None,142.5888654364992,E,C,B,21.86105811528406,B,E,B,0
Jewish,Yes,7.76062720922358,D,B,A,77.78360128171126,E,E,C,0
Christian,Yes,23.46708774738705,C,B,D,-183.9997093894325,E,D,A,0
Other,None,-154.77855717390648,E,A,D,-98.66449072716354,D,D,E,0
Hindu,Both,31.865346017366136,B,E,C,-113.47281368986808,D,C,A,1
Jewish,Both,205.16632071091675,C,D,C,-35.97800598529471,B,B,E,1
None,Physical,16.83225657997402,B,D,D,-52.11065743310984,A,B,C,0
Other,None,-15.354927473293861,C,D,E,63.05306324999725,E,C,B,0
Other,Mental,-88.04475021835691,C,C,B,-5.747288033331748,D,D,C,0
Muslim,No,-86.27582378815826,C,B,E,-61.60504205669688,C,B,E,1
Hindu,Physical,-116.27726775801865,D,D,A,163.289846171563,C,D,B,1
Christian,Physical,-249.2745960505749,D,A,E,-190.28681396476955,E,C,A,1
None,None,-39.16595710089714,E,A,D,47.09140242445732,E,C,B,0
Buddhist,None,-164.03241604938597,A,A,E,255.62171459790827,B,E,B,0
None,Mental,60.94090735784581,D,E,C,83.36174569809644,E,A,C,0
Hindu,Both,97.49560695525975,B,B,E,-43.600995649913465,E,D,D,1
Buddhist,None,126.01677639806475,C,A,B,-177.8081820944353,E,B,D,0
Muslim,None,92.51685976951497,A,C,D,-1.545792268447902,E,A,C,0
Christian,No,33.37397657570278,A,D,C,111.16486276487265,A,D,D,1
Other,Mental,-73.33782624833646,B,A,A,-283.5731911037791,B,A,B,1
Christian,No,69.69240971679336,C,A,A,-69.95788614131149,B,D,B,1
Jewish,Yes,61.79507115846741,C,E,B,-12.532566580149087,E,C,E,1
Christian,Physical,46.310123267066544,A,B,E,23.65854969505599,E,B,C,1
Hindu,Mental,-58.91668262195153,B,B,E,63.68649206139939,C,C,E,1
Jewish,Physical,4.511785222542699,E,B,D,23.500916805394525,A,D,B,0
Other,None,136.501299676465,D,A,E,30.250006827380442,A,E,C,0
Buddhist,Physical,-46.714570121036516,D,B,B,77.13401212162047,D,D,E,0
Christian,None,86.30701817164817,E,C,C,-50.43442843314274,E,E,C,0
Muslim,Yes,89.66767765265247,C,E,D,49.00267435489776,B,B,C,0
Buddhist,Mental,77.98788588153019,E,A,A,-66.05277119198104,C,C,B,1
Muslim,None,-136.69158085885235,D,D,B,20.440678519520446,C,C,B,1
Jewish,Yes,-17.581264478942373,D,E,C,200.54991812961904,A,B,D,1
Jewish,Mental,8.119040126228537,D,C,E,88.62774428880111,B,C,B,1
None,Both,83.43388265867759,C,A,C,-171.85162977176577,C,E,E,0
Jewish,Yes,-21.515913372795225,B,C,D,18.128874207061905,E,D,A,1
None,None,71.22757856900176,E,D,D,105.36558357911726,E,B,B,1
Jewish,Physical,213.93067472268515,D,B,B,-54.23480818194647,B,E,A,1
Christian,Mental,-61.87281257428582,A,E,D,112.55292512381038,B,C,B,0
Christian,Both,-42.87776297722412,D,C,E,-48.03880899788267,B,C,E,0
Other,Physical,219.4841154325443,C,B,A,52.206704275862826,D,E,E,0
Jewish,No,16.928948271266968,B,C,A,-1.436080381442943,D,B,B,1
Muslim,Yes,-46.92241358191364,D,D,E,41.46424505340306,A,C,B,1
Buddhist,Physical,-34.65173190051952,E,A,A,-14.243246090686302,D,E,E,0
Other,Yes,-76.2856803196673,B,C,C,134.47574767796655,A,A,D,0
Buddhist,No,88.90951857464503,B,D,B,33.4617618384401,C,C,B,1
Buddhist,Both,-151.33618815483675,B,C,E,32.54402063530228,E,B,B,1
Jewish,No,-54.48517721283912,B,A,D,118.32392589160514,E,C,A,0
Other,Both,37.92665338892826,D,E,A,48.118261370862314,B,E,E,0
Buddhist,Physical,-21.017614102633672,E,E,D,-1.0972494770552141,C,A,C,0
Jewish,Mental,264.5032647297623,A,D,E,-13.52394706760364,C,B,A,1
None,Mental,13.788442094001388,C,C,A,-197.89736350334852,E,D,C,0
Other,Both,-102.37622405159658,D,C,D,-92.61254297898518,E,D,D,1
Hindu,Both,3.8836527874249924,B,A,B,-72.71310204914,E,B,C,1
Christian,Physical,141.74940971468664,E,E,D,-60.4342109851939,A,A,E,1
Buddhist,Both,157.79290557766635,B,B,C,-79.14201754350736,A,C,E,1
Christian,None,93.55898900234861,C,E,C,-80.35841070969568,A,E,B,0
Muslim,Physical,79.25619668922765,C,C,A,-26.205111177565758,A,B,C,1
Muslim,Both,-47.65248040158856,B,E,C,-62.82607732458977,D,D,E,1
Other,No,31.299878162217443,A,A,C,-129.7796050681863,D,D,E,1
Muslim,No,109.53517166958007,B,C,D,52.533518286883584,B,A,D,0
Buddhist,Physical,80.55150544959886,B,A,E,-123.60567571478467,C,B,D,1
Muslim,Both,169.00366837913663,B,C,A,-15.07525003236649,B,A,E,1
None,None,-169.94447705044672,B,A,C,-27.090206443572345,C,E,C,0
None,Yes,-75.50488819855956,E,B,D,-54.782302200163656,D,D,B,0
Jewish,Physical,-124.47809249649089,B,B,A,-178.90229224051774,E,B,D,1
Hindu,Physical,-185.73215062504855,A,D,E,77.3754155598329,B,C,B,0
None,Physical,-140.03099204855582,B,E,A,-79.22545296611938,B,B,B,1
Jewish,Physical,94.13536771928268,B,E,E,-106.12200067327184,A,C,A,1
Hindu,Both,-28.826004575371144,D,A,D,158.82566456590342,C,D,C,0
Muslim,No,-127.22700119238526,B,E,C,104.86228662400177,C,B,E,1
Muslim,Both,75.28628063350217,D,C,A,115.58065003424754,C,D,A,0
Hindu,Mental,79.87425820293247,D,E,E,-96.43336902398093,B,A,A,0
Other,None,284.3346269628129,E,E,B,93.35723136826844,C,A,E,0
Other,Yes,-31.41796947636562,B,E,A,45.89690843539892,C,D,C,1
None,Both,-41.671617771638125,C,C,D,-7.877889988849606,C,C,E,1
Christian,None,66.73480397718652,A,E,D,59.47646917601143,E,E,D,1
Buddhist,Both,-8.607672556561493,C,D,C,52.477085698382254,D,C,B,0
Muslim,Physical,51.315581475519714,D,C,C,-80.48123012954258,A,E,A,1
Christian,Physical,89.58804000352067,E,B,D,96.59774353597655,D,B,B,0
Christian,Mental,-3.4093103339346196,E,E,B,113.5809196686046,A,E,E,0
Other,Mental,-81.78144811971777,C,D,D,-96.5182435897897,A,D,A,1
Christian,Mental,-140.05804040697603,C,A,C,-177.05649900928125,B,D,B,0
Buddhist,None,-57.29298508875205,B,C,C,-73.37083723120934,C,E,C,0
Other,Both,-137.15902786029898,A,B,E,114.09014915519154,B,D,B,1
Muslim,Physical,100.75620696136276,B,E,A,113.02394443089933,B,C,B,1
Buddhist,No,-123.98006592388214,B,E,C,-56.371067726453504,D,B,B,0
Jewish,Both,81.10409709495195,C,D,D,90.23017627207217,A,C,A,1
Hindu,Yes,17.13793560581871,C,A,B,-63.09891825112377,D,B,E,1
Buddhist,Mental,60.90831629694785,A,B,E,-76.05581791118988,E,D,A,0
Hindu,No,134.0476936686799,E,A,E,-30.519768365830295,A,A,D,1
Jewish,No,-141.7204365504582,D,A,E,-86.91976387722254,E,B,B,1
Jewish,None,-42.33243313588134,E,E,E,216.03073018241298,A,C,B,1
Buddhist,Yes,77.61529077564845,A,C,B,-64.99416323717733,E,C,D,0
Other,Yes,140.85093482453084,C,A,D,-73.11460702272778,B,B,D,1
Hindu,None,-44.97404119382439,B,E,B,-16.18141136475423,B,E,E,0
Muslim,Mental,50.807994275510026,A,E,E,-7.025819458767082,A,C,B,1
Other,Yes,21.4865759187395,C,D,E,17.088117387762715,B,C,C,1
Jewish,No,-6.48011401008831,E,E,C,88.79515698980475,A,C,D,0
Hindu,Both,120.05778123956068,D,E,E,-26.240816502455587,A,C,C,1
Christian,Both,-44.422802936283915,A,A,C,73.16924300628894,A,B,B,1
Christian,Yes,-200.15991852655185,B,E,A,-36.57458523457025,A,E,A,1
None,Yes,-52.704240569633896,A,D,B,43.77065507124318,A,C,D,1
Other,None,-203.73399999394533,A,E,E,-69.90395101465711,A,A,D,1
Jewish,No,-10.494527697017597,B,B,B,-2.25387126075006,B,A,C,1
Christian,Both,-29.506522060210642,A,E,D,6.448254290459177,B,D,B,0
None,No,11.688106010908504,B,E,E,92.59698907810446,D,A,C,0
Buddhist,Yes,-165.33995956744906,D,E,B,23.11818159306422,E,B,D,0
Buddhist,Yes,-27.105217768529076,B,B,E,32.301292624362006,D,E,E,1
None,No,21.304724735519056,A,E,E,-140.3308516192179,B,D,A,0
Jewish,No,27.03867248009113,C,E,C,8.592637980743344,C,A,A,0
Christian,Yes,-213.6918583042209,D,D,A,100.94324602745885,E,E,A,1
Buddhist,Physical,-134.19948113070612,D,A,D,-72.10515320143195,C,D,C,1
Other,Yes,-34.75825939388021,A,B,B,54.16129075329551,C,A,C,0
None,Mental,110.2961241118964,E,B,E,87.02628905108118,B,B,D,0
Hindu,Both,-74.66038711444814,A,D,C,83.09587671031548,A,E,C,0
None,None,162.42164528092908,D,C,B,19.862973739476818,E,D,A,0
Jewish,None,263.34826210424245,A,C,E,-77.19636501337861,A,B,E,1
Muslim,Yes,47.93050293866003,C,D,C,-211.25889172033965,D,A,C,1
Jewish,Yes,-24.950040886841578,B,C,E,65.58590684927913,E,B,E,1
None,Yes,-62.78491704537379,C,E,C,-36.852376354928644,B,C,A,0
Jewish,Mental,77.41485193601741,B,C,B,-0.028312374780985368,B,A,A,1
Buddhist,None,-60.43676544923207,D,D,C,-75.58260508389998,B,C,D,0
Jewish,No,-114.32322142101145,D,D,B,52.369847447909926,D,C,D,1
Buddhist,None,-36.06265235725141,A,C,C,53.113984952755345,B,C,E,0
Christian,Mental,230.11532980922053,E,A,A,-49.91478638433873,E,D,D,0
Muslim,Yes,87.17010710911308,A,D,A,-61.10472040603664,E,A,E,1
Buddhist,Mental,-97.98740507288491,B,B,B,10.68642037414899,E,E,C,0
Buddhist,No,-45.32201187044416,A,B,A,82.48546858335219,E,A,C,1
Hindu,Yes,-195.3037421965122,A,C,A,-58.55491784493753,E,E,B,1
Christian,Yes,-21.801532180448397,A,D,E,-251.34371332682895,D,A,B,1
Hindu,Mental,108.41592800565087,E,A,B,174.59975207432495,B,D,C,0
Jewish,Both,146.84866273445547,D,C,B,175.6689712219826,B,A,D,1
Muslim,No,-120.08340030962488,E,E,D,-101.41560454120568,D,A,D,1
Buddhist,Yes,-7.540788987434444,D,C,A,45.01827600332305,C,A,B,0
Buddhist,Mental,13.839803215749347,A,A,C,56.010985949275764,E,A,D,0
Jewish,Both,-34.3771744603789,C,D,B,-256.00015983000276,C,A,E,1
Jewish,Yes,-194.58436805284072,D,C,D,-63.68991069633505,C,C,E,1
Other,No,-46.88069306629612,B,D,E,6.5856259352652256,C,E,E,0
Christian,Physical,42.78791179905793,E,C,A,-207.13013452654764,D,E,A,1
None,Both,-41.38889245501354,E,E,B,14.095483669849854,E,B,E,0
Hindu,Yes,94.82757703557654,B,B,C,-56.33395871997162,D,E,A,0
Hindu,Both,-64.37804593663313,D,B,C,-0.030466481053111533,C,B,B,1
Jewish,None,134.1591600659948,E,C,E,13.863177177774977,C,B,B,1
Muslim,No,-13.273452594128166,D,C,C,12.963097314626374,D,D,C,0
None,Physical,-29.46488352020419,B,C,D,-75.52037528424543,C,D,B,0
Jewish,Yes,22.673626185805098,A,E,B,140.56916225242063,E,B,C,1
Jewish,Yes,-3.316094438145574,B,C,C,9.342848041292624,E,D,E,1
Muslim,Physical,88.88239314251562,B,C,C,-113.93533840809712,D,A,E,1
Hindu,None,-91.6403818231184,C,C,B,152.0378725611086,A,E,B,1
None,Yes,-44.753817830946126,D,E,E,77.87582897309517,C,C,C,1
Christian,Mental,-113.62181135333319,E,B,D,-6.1798374271496925,B,D,E,0
Christian,Mental,1.7229168684443634,B,E,B,-2.9605261636100164,B,B,C,1
Christian,No,111.97853290222601,D,B,A,142.11966908877872,D,B,A,0
None,Yes,-29.830972525318078,B,B,A,-130.8013051431131,D,A,E,0
Buddhist,Mental,-31.812923618326504,C,E,D,-78.76476540804435,C,B,D,0
Christian,Physical,96.75825065988009,A,D,E,74.33864700289503,C,D,E,1
Christian,Mental,-18.418374303225317,E,C,D,-18.868275257017498,C,D,E,0
None,Yes,-83.17504532183995,E,C,E,-54.36720252634705,C,A,C,0
None,None,77.94782172894024,D,C,C,51.8624311859887,A,A,D,1
Christian,Yes,-70.69367831858979,D,B,A,33.33004879073959,D,E,B,0
None,None,217.2591611337611,E,E,D,-13.313838301950046,B,D,D,1
Hindu,Physical,230.54832228652236,C,E,C,156.72777208233143,A,A,A,0
Christian,Mental,50.089964877301696,B,E,D,122.1634431326768,E,C,D,0
Hindu,Yes,-351.5488827714365,C,E,B,-82.94933342511894,E,B,E,0
Jewish,Yes,64.5284691941906,D,E,A,180.1169246053357,C,C,E,1
Buddhist,Mental,175.2927319664498,D,A,C,-97.70757084690499,E,C,D,1
None,Physical,-71.68732728687547,A,E,D,87.38653252431412,E,D,E,0
Buddhist,Physical,62.02999920673018,E,E,D,-299.0571820174656,C,D,B,1
None,Both,126.98896305216701,C,D,C,-86.17871778549521,E,B,B,1
Jewish,Both,-67.05631816120527,D,B,D,73.84070401432533,B,D,D,1
Buddhist,Both,122.96186585214726,E,E,D,-90.81580381487359,D,C,D,1
Other,None,41.80027588978079,A,C,C,-84.56002960130381,D,B,D,1
Buddhist,Both,-319.39145059582967,D,D,B,-99.78304350793503,D,A,D,0
Muslim,Both,86.59672881347136,A,E,A,-8.403313411554123,A,C,D,1
Other,Both,120.1118813407118,C,C,A,149.1874651155959,A,A,E,1
Muslim,None,-46.8998839054937,C,E,E,-10.745163543424926,A,A,B,0
Hindu,Yes,-69.94047405137918,B,B,B,-24.26821726199478,D,E,A,0
Christian,Yes,-114.71408184080127,C,C,D,0.16284671096540318,C,C,E,1
Christian,Mental,112.37097116730845,C,D,B,-84.26318308168834,B,E,E,1
Jewish,Both,-33.94676048508305,D,A,B,-136.41759294347185,E,C,D,1
Hindu,Yes,21.649471202794494,A,B,E,68.67869243367196,E,B,B,1
None,Physical,-171.48629337811693,C,C,E,125.3739572520583,C,B,A,1
Christian,None,23.151606388309347,E,D,B,9.504126234026176,A,D,A,1
Muslim,Yes,-74.31525928566789,C,A,A,71.76718602135014,C,D,E,0
Jewish,Yes,-77.07014452250644,E,C,B,-121.40407801340574,E,E,D,0
Jewish,No,80.15131711644791,A,B,B,-31.105269410578074,E,D,B,0
Hindu,Yes,-20.184713759196466,A,C,A,-27.7116248008046,C,B,D,1
Christian,None,-137.02697881304536,C,A,B,-51.988202773274914,A,C,B,0
Muslim,Both,26.562388247838314,A,E,A,-94.27332253356586,B,D,B,1
Buddhist,None,-114.22250289755607,E,E,B,104.93521790277364,D,B,C,0
Other,Mental,-127.35693693699655,A,A,A,-79.13318483704536,A,C,A,0
Jewish,Physical,56.712412114364206,D,C,A,-56.102045821461665,A,A,D,1
Jewish,Mental,-65.40286152650931,A,C,B,-11.751069906474259,B,C,B,0
None,Both,90.91398129203554,E,E,B,-154.13389973706765,A,B,A,0
None,Mental,39.63400512263961,A,B,C,10.3156805559802,B,E,A,0
Christian,Yes,-82.6755326147361,C,E,C,35.49149100205925,C,C,A,1
None,Mental,1.0735576630080987,C,E,E,-55.02816423617632,D,A,D,0
Muslim,Yes,162.58648181558507,E,D,D,216.8309330237748,E,A,C,1
None,No,40.82042568118905,A,C,A,176.83216266041825,E,D,E,0
Jewish,No,56.89061005856805,B,E,D,89.25601625040937,C,B,C,0
Hindu,None,123.91167682534474,C,B,A,-112.83329798678126,B,E,B,1
Christian,Mental,-76.45086732350026,D,B,E,6.119728886055496,B,C,E,0
None,Physical,43.71175659733263,C,D,A,-66.4578057280075,A,E,D,0
None,Mental,-57.736994575141196,C,E,B,-31.520867515220008,B,A,A,0
Muslim,Both,-238.7644139705562,E,A,A,-30.20935247821997,E,C,E,0
Christian,No,-39.992644217555004,B,B,C,-135.360558068674,B,D,C,0
Muslim,Both,-80.47380065959257,C,C,B,130.78756461434602,D,C,B,0
None,No,-150.56241539030356,E,D,E,199.58694935924345,B,B,E,0
Christian,Both,-60.20134644511492,C,E,D,89.1582858067307,A,D,A,0
Muslim,Yes,186.55823114588392,C,C,D,21.733349035545775,D,D,A,1
None,Mental,-18.114815603421075,C,A,D,-78.5774218618524,A,E,D,1
None,Mental,-18.59304962914057,C,B,E,-165.63867547001016,E,E,B,0
Other,Yes,-66.24670630038638,C,B,C,-117.65481087831444,E,D,A,1
Christian,Both,-57.21966090985471,A,A,A,132.0990909618698,D,E,E,1
Christian,Mental,-145.60339898206726,B,E,E,-19.24082950456823,B,D,A,0
Muslim,Physical,-0.03182773013059456,D,D,A,46.815357537436114,B,E,D,1
Buddhist,Yes,-261.99992380822164,A,D,D,9.88973228200628,A,E,C,1
Buddhist,Mental,75.59647834817892,D,D,A,70.44344623001658,B,D,D,1
Buddhist,None,-66.77473862951601,A,D,C,11.823645521619037,A,E,A,0
Jewish,Yes,206.0299315017244,E,A,B,-95.81284215066724,D,A,D,0
None,None,-123.05920990347946,B,B,C,-31.587547568775072,A,A,D,1
Muslim,Yes,-105.95422185950423,B,B,E,-13.681534032507884,D,A,D,1
Other,Yes,60.971215236123236,A,E,B,166.91719303971195,D,D,D,0
Jewish,Physical,68.31401184901267,E,B,A,-16.002467520097248,B,A,E,0
None,Yes,135.86359800788966,B,B,B,-155.31843935142922,B,E,C,1
Other,Mental,146.92271116918332,C,A,B,1.3362837266091963,E,C,E,0
Christian,Yes,151.43467347892457,B,E,A,75.86302546256407,A,A,A,1
Hindu,Physical,6.733239645269985,B,B,A,157.56924481468857,B,A,A,0
Hindu,Physical,91.88261229924574,E,E,E,77.03214518714108,E,C,C,0
Jewish,Both,-20.245262101111138,D,E,E,-118.27449069856841,A,C,B,0
Jewish,Yes,-153.1508906697186,B,C,E,132.58766094522719,E,D,E,0
Muslim,None,-207.65919534778843,E,D,B,-13.936154568680099,E,A,B,1
Muslim,No,27.92355423589608,D,D,C,132.11890539423567,E,A,B,1
Christian,Yes,204.06170258780446,B,C,E,-101.79754489262858,B,C,B,0
Muslim,Yes,-38.89695939300885,A,B,B,-23.10038657057919,C,E,B,0
Buddhist,No,-75.9398485054201,C,E,E,-1.6883962301938429,C,C,E,0
Hindu,Both,96.72646074692918,A,C,E,134.0313012882989,C,D,B,1
Muslim,No,28.153807690610343,A,A,C,138.1759774042997,D,E,C,0
Jewish,None,126.21438031573258,D,D,E,86.34839119493914,C,D,B,1
Buddhist,Both,17.09604592946746,D,B,B,-138.65985433442617,B,A,C,0
Other,Mental,-121.76599436363975,D,A,A,-6.205015049415119,D,C,C,1
Christian,Yes,-13.965285537209606,D,E,B,-60.72153263212161,E,D,A,1
