civil_status,gender,feature_0,feature_1,feature_2,feature_3,feature_4,target
Married,F,-49.82044648036714,A,B,-49.37049264923304,-53.1719258155375,1
Divorced,Male,2.5544977463651635,B,C,56.883160283750776,194.76634818718088,1
Married,Male,62.780219156659236,A,B,-30.640331552448874,-4.5852238824913325,0
Widowed,Non-binary,-29.472181175767727,A,C,-76.75872639508538,-113.67004113315264,0
Divorced,Other,-153.544595859502,E,E,77.52688680676924,209.93068936241212,1
Single,Male,-112.43178386742268,C,D,6.143883813842648,-99.16525728499462,0
Married,Non-binary,-97.947414529759,A,C,176.98934531646526,-27.57665562025163,1
Divorced,F,117.57786010238762,E,D,67.37540862340875,-24.74497421401564,0
Divorced,M,-213.0420476996722,A,E,-181.53420542627293,-43.91641342464157,0
Divorced,Female,-66.19085427432809,A,A,-48.18552895570008,12.807874633928792,0
Divorced,M,182.90677324447535,A,C,112.74992201731939,-90.69763834424604,0
Single,Male,139.76721415723762,A,C,-63.48830665967291,18.757027086652993,0
Married,F,14.025381744190051,B,B,-101.2075958461777,113.38700740421419,0
Widowed,Male,20.943025523720753,D,A,-3.1429399898964148,95.08385153274008,0
Divorced,Non-binary,194.6324967461906,E,D,-19.902710042400287,78.02013978563582,0
Single,F,-158.96842075026223,E,C,-95.9995589537498,-4.515648515703553,1
Single,M,231.10630344086638,E,C,109.71051505290654,139.6031310779343,0
Married,F,17.03723997052642,A,B,142.1085186301736,-157.06160651371195,0
Widowed,Male,26.082041380959264,D,E,31.694058467133008,-128.77421654772573,0
Divorced,F,-1.6410938569054991,C,E,5.469829376850141,52.633883666697024,1
Married,Male,16.622043391019897,C,B,-7.889405721091953,188.71607197735747,0
Married,Other,-128.32284552862453,A,E,185.17186008029086,170.8286631999972,0
Single,Female,-70.17532804751728,D,A,78.74841513136995,55.45873475990175,0
Divorced,Other,134.36172396102396,D,A,46.4774824243714,-20.037516118586183,1
Divorced,F,172.64325228534275,B,B,50.106109690612854,36.284599716842926,0
Single,Other,148.1078562999882,E,C,33.39369211305452,-132.4913719893137,1
Single,Non-binary,109.46677909875957,C,B,-174.23976111640926,33.67133144659829,1
Widowed,Male,-108.65602709795985,E,B,-67.49554098534261,38.018714849859784,1
Married,Female,11.902346388258694,C,C,-18.229365955547806,75.46192388822266,0
Single,Other,31.328913580112616,E,E,86.2243580821974,-12.105004492381253,0
Single,F,-100.77234737101067,A,D,27.354833733624716,59.00812819077457,0
Widowed,Male,-3.6107737970753693,A,B,60.57461611685152,98.28377076399568,0
Widowed,Male,112.01080790588635,B,C,58.64386851524126,-24.876383178113606,1
Married,Female,-147.0492430281267,C,C,132.29109307359755,-53.74211394455298,0
Married,F,9.29922172322882,D,B,-38.31634384943675,109.9509947651269,1
Divorced,M,-138.08494500388423,A,D,288.2568798567833,-44.36272193402503,0
Widowed,Other,36.62963079815875,D,B,-197.42042218261017,-6.264186486398167,0
Single,Non-binary,-0.0008813183806112586,D,B,-112.55043690084436,-28.92899537188624,0
Widowed,F,83.62211861073261,D,E,102.20487720371703,133.0735203253954,0
Married,Male,-85.69448773712239,B,B,192.15127623168755,-44.11065942454886,0
Widowed,Male,26.661377607892717,A,D,-90.47095972152334,0.4274082745002379,1
Widowed,Male,-105.2015261723533,B,B,37.042360135971016,67.94763898361383,0
Divorced,M,93.81989323147764,E,D,-1.5866239837594684,-122.5488434770782,0
Single,Female,0.28887039089269134,C,C,30.16622496245666,87.20863602923242,0
Divorced,Other,-282.597032537079,A,B,-73.96959916913285,-72.30333979270893,0
Single,Non-binary,-7.69435722462424,C,B,-97.65259927012255,-72.7786340658682,1
Single,Female,66.13983573815878,E,A,-4.5162669172542405,-15.90749322368058,0
Widowed,Female,-52.998090380174304,C,B,-154.69571502472297,-43.412938074298566,0
Widowed,Male,146.2912796906868,D,B,68.588839769834,-50.69771396710971,0
Widowed,Male,-40.42792918047293,B,A,22.709343115076223,-35.41637356208438,0
Single,M,-92.73702757171345,B,C,41.89137316691795,95.14502424901016,1
Single,Female,-7.633893701813054,E,A,-13.53872763381712,-103.5793379180201,1
Widowed,Other,50.315801423372044,C,B,67.71094959459565,104.00575551903498,0
Widowed,M,-9.030901981328816,C,D,-102.41539731749316,-182.0352861200952,0
Divorced,Non-binary,62.93851103540609,A,C,35.93037993886371,-88.0588891453824,1
Single,Non-binary,182.512561470027,D,B,-15.357964842133418,-63.636488620948974,0
Divorced,F,75.41283184523616,C,D,-26.167407027695443,-178.07077832748513,1
Single,Female,-136.42992505758153,A,C,-118.31889059491529,288.51578502630684,0
Divorced,Non-binary,-140.31546279585586,A,C,12.39687106198129,-111.86111353711115,0
Married,Female,-85.2882092344298,A,D,91.870936496433,-35.99596798847868,1
Married,M,-246.6408108522148,B,A,-68.82743209767241,213.50984972375278,1
Widowed,F,56.375258888572134,C,E,-95.48165733003576,-1.2940460929943,1
Widowed,F,41.702065877382864,A,E,89.7786619754522,-21.256531465020796,0
Widowed,M,22.11301872811585,A,B,-125.5902263336737,129.32539502470556,1
Widowed,M,-113.59026909015076,E,B,102.08041108793327,-23.694858511683154,0
Widowed,Other,154.16047496686554,A,A,117.47469733773812,-83.82297139323475,0
Single,F,-41.27623725679775,D,A,-114.20210869281053,-23.868349702150553,1
Divorced,M,-11.317614722774321,E,C,18.143387932259024,-24.698661655669703,1
Divorced,Non-binary,115.05637105082822,E,E,81.74868792966072,-39.62486390149543,1
Single,Female,214.991589113515,E,E,-49.41142408564647,-123.35240026711847,1
Divorced,Other,10.363151721322653,B,C,-33.44434201727158,-133.52057057989785,0
Divorced,Other,20.82950216659068,D,C,-104.73277754601489,-129.30255268493923,1
Married,F,3.9556900381309346,A,E,41.86028829445899,49.85967953141692,0
Widowed,Non-binary,-45.09047733233006,B,B,-99.09659239917022,-108.515102364867,0
Widowed,Female,-23.267831118265754,D,B,34.92593997660528,-73.97157969248728,1
Married,Female,-107.78603830904432,E,D,42.06776414713113,-38.8998611057185,0
Married,M,87.47483884552888,E,E,15.455317925290505,226.81851978155785,0
Married,Other,29.571218800918015,D,B,-76.41640470983181,65.36421997591529,0
Single,Female,3.0474744658911206,A,C,-202.46498521213528,-52.28632657014196,1
Married,Other,31.420073540446825,C,E,-3.3949858317527895,52.77014987883377,0
Divorced,Male,-61.31808418658371,B,E,100.27246690634321,-105.16718583631173,1
Single,Other,188.09380277304498,E,A,82.23009921566955,-126.29102438148368,0
Single,Other,-121.2174966883558,C,C,50.055078986607924,-20.808097386402746,1
Single,F,8.270856383446256,A,B,40.7328879269774,106.41931531671088,0
Widowed,Male,68.44522224255563,C,D,87.69641347519762,-53.0944497734288,1
Single,Female,-14.421856967354527,C,A,56.13705401484642,-4.675914460941802,1
Single,Female,27.125237646699507,B,A,-29.06543139561888,85.44422435227465,1
Single,Male,55.920616565896175,D,B,-6.994555365132338,-21.777962857483494,0
Single,M,-23.55779501139203,E,D,52.79464936792127,-6.962655133615563,1
Single,Non-binary,101.83670989408333,E,A,87.69440172896915,53.81250579100399,0
Single,Non-binary,-26.41510325126938,D,D,89.53133237905647,37.13170314044195,1
Single,M,114.76863403091593,D,D,-36.05730035269368,-21.026239237147994,1
Married,Female,-8.661990540305107,C,C,37.65344616057489,-30.101676520084613,1
Married,Male,35.33990188059641,E,A,-40.86728720519036,-75.86017955836812,0
Single,F,108.25728496696753,B,A,215.34567283564274,12.957924759068076,0
Widowed,M,-124.4147040868826,C,C,-29.38951534702231,116.96237121314384,1
Divorced,Non-binary,-34.97015765911856,E,B,-7.086791408996379,-82.78529935254075,0
Married,Non-binary,-51.528332538719965,C,D,72.41951522026378,198.4034846629438,0
Divorced,Other,23.374177616229762,E,A,69.43361939752666,42.22428131542246,1
Widowed,Other,-57.351666804129174,B,B,-135.32428881793578,-156.7770156760232,1
Single,M,-55.090461752369855,E,C,143.86978630808537,-49.79577262101283,0
Single,F,21.693953856340073,B,B,-114.1540034479837,94.45004030060159,0
Widowed,Non-binary,55.459859079879,D,E,112.42374771580741,-59.0823433952057,0
Widowed,Female,-151.64908765502778,C,D,-89.64940791212392,-15.190784976965432,0
Single,Non-binary,193.3009223106309,A,E,-19.766189790332398,-89.30851125310998,1
Divorced,Non-binary,94.63526715555126,B,E,42.69665083523357,160.09186799796268,0
Single,Female,59.85248017453072,B,B,-182.50632261802252,-157.0289501044638,0
Divorced,Male,-62.1559186307824,D,D,41.93611849466194,-91.41705874748331,0
Divorced,Male,51.01838112885597,D,C,99.32676821208042,29.38087879568092,1
Single,M,-199.73388208183823,A,E,76.97622697740732,-114.20150185584421,0
Married,M,59.44682185142598,A,A,-82.01126406118124,-72.40280105274184,1
Single,Female,-127.04724616695376,C,D,-49.204334619012265,-160.86555461236895,1
Married,F,-65.86682347253031,C,A,38.893334178212584,-84.90192571118399,0
Widowed,Other,-126.75090594006642,A,A,-27.960616154147882,-109.41263908205923,1
Widowed,F,-27.595568498084326,D,D,-37.42834000078027,58.69330764313434,1
Married,Female,-174.0051975282077,E,B,115.25504817701926,-124.47631729920732,1
Single,Non-binary,173.34577993448258,E,A,89.39296528382705,137.42289532752216,0
Single,F,89.23769723801452,C,C,-28.93932746811186,-226.73452899348442,0
Single,M,32.390447405277776,A,B,-25.66187956089694,33.55464677905719,0
Married,Other,-8.948808328243125,C,C,39.59699572119831,89.34586412407575,1
Single,Other,112.3622848039329,C,A,-16.338688991415783,77.72365976363356,0
Divorced,Non-binary,-42.422491068920785,B,D,-98.44597398266812,-110.13658722113608,0
Married,Male,-67.8767211356146,E,A,-142.73508554054695,60.47773497437588,1
Widowed,M,-4.357354822998371,A,C,64.01955185182376,54.81603228121269,0
Married,F,-165.98734385245697,A,C,153.46835962780537,-126.4945926117805,1
Widowed,Male,45.868522341261695,B,B,174.75173669333466,19.468070940452687,0
Single,Other,-129.04079205391272,E,B,58.084669973866276,38.52222858946622,0
Married,Male,48.42225873340381,A,B,1.7930433083055235,33.3075884938726,1
Widowed,Female,79.51103965877085,A,A,-83.27592605696047,71.16270715339407,1
Divorced,F,41.925105754462486,E,C,-139.18571155324878,-103.45949102646257,0
Married,Non-binary,-124.54822693279777,C,A,33.443830962341195,-95.5402811099917,0
Single,M,50.87233009337835,E,B,98.49160983958683,-91.47702170095472,0
Married,Non-binary,-38.145830166434756,C,D,73.55727959783064,84.30625141279614,1
Married,Female,120.83345660802478,B,D,-45.31344974482704,15.511954893191124,1
Married,Other,103.57420990302526,B,E,71.23614707179749,54.263711447084695,0
Single,Non-binary,56.315071941456615,A,B,135.68896812441344,62.57782383876768,1
Married,Other,-23.25968890293414,E,C,-206.04475620080777,202.6127075952498,0
Married,F,104.06972555345956,C,C,-80.92240023956609,-106.76544930441476,1
Single,Female,25.536382128292594,E,A,-34.26285335427464,133.20298323258268,1
Single,Other,-41.89171289904015,E,A,-79.3094367869421,218.72390183926913,0
Single,Other,-58.93275078611491,E,E,68.47359151214553,30.210986631254784,1
Single,F,-212.682612926216,C,E,-3.867432527186534,5.466663607641974,1
Divorced,M,-66.91817978937533,B,B,-49.27390134171177,-115.23015052850106,1
Single,Other,-35.79746969431974,C,B,-94.88164255688048,-84.1118416451416,0
Married,F,-14.852845806009757,D,B,-104.73350177516971,-91.69991033037327,1
Widowed,M,-146.2148362294667,E,E,-20.91506972616564,28.96751525779427,0
Married,Other,-135.17578645094085,C,E,-83.25315490512902,50.7201946133666,0
Single,Other,-99.27518962684242,C,E,11.270843537806059,-214.12152750185905,1
Married,Other,-19.92054804138151,A,E,92.11691481455946,133.79400419334522,0
Widowed,Female,18.00001852445604,C,B,-51.042492480254445,118.62273954822118,1
Widowed,M,11.67074775034725,D,A,-52.28116249090194,36.0029119522568,1
Single,Male,-46.71734257491942,C,D,264.69387560660203,73.88440749391366,0
Single,Male,-123.87516452164921,E,E,-14.90651063973823,21.932950747447315,0
Married,Female,15.103256732097428,C,D,-7.759122068550998,43.14313765124501,0
Widowed,M,-18.41444734982555,E,C,10.173456655569282,146.41000137228815,0
Married,M,-19.96210614919898,D,C,-19.792167802884038,58.372820930244394,0
Divorced,M,192.16207724326318,E,E,-5.573153468352544,48.231767696114886,0
Single,Other,16.830982253916112,B,C,64.2032042334145,23.72211740459444,1
Widowed,M,40.144255234222705,D,B,111.10918091984436,39.662863747834095,1
Divorced,Other,126.81789238179728,C,C,-5.152773579016599,205.52095833351268,1
Single,Non-binary,-11.358744393305116,E,B,157.55024553392164,-114.65412832880943,0
Single,F,129.84578214180374,B,D,83.98078557942426,-74.06742925139983,1
Divorced,Male,-28.183242527535757,A,B,115.18002455623471,52.39386318617849,0
Divorced,Male,-31.284359008499912,A,A,-28.524065442170315,-37.123429593271226,0
Single,Non-binary,60.53402574438854,A,D,-1.2902872840663833,-62.974604300740566,0
Widowed,Non-binary,-46.85285817168809,A,C,-57.48600624721283,101.98528624316434,0
Widowed,Non-binary,59.40047818840404,D,C,-52.37723185774805,99.69908133714986,0
Married,F,6.341035932331211,A,B,-23.594862994832724,-92.28680286157528,1
Married,F,25.317751486785546,E,B,111.49045252575237,-90.61500280164913,0
Divorced,Female,84.20348261976852,C,C,-111.44325205958113,-61.889380527198426,1
Divorced,Non-binary,118.76566595079608,B,C,43.21527564843944,-32.03193513173033,0
Married,Other,81.2627461984336,C,A,-101.99098789892686,31.866685785260007,1
Married,Male,48.612699968623346,D,B,-107.50899700777697,317.9929276331566,0
Single,Non-binary,-3.6332466132892107,C,A,-81.18276557577664,-130.32129961205442,1
Divorced,Female,56.029156503747004,D,E,72.9925298451082,-78.99601617961463,0
Divorced,Non-binary,90.85130133635946,B,A,-232.74314474667491,37.030459393179854,1
Single,F,111.40601175612439,E,E,-46.491431153613384,95.7422520410331,1
Married,Non-binary,28.74732588476414,C,C,65.25229379707149,-3.432442966493691,1
Single,M,-106.5997995075004,D,A,-12.874445338206634,-148.91145285266953,0
Widowed,Non-binary,80.65330841192926,A,D,-100.49021193319928,-35.53326260857794,1
Married,Male,55.47363694531746,B,E,16.187421768638128,-135.5830886866721,0
Married,Female,276.780040617953,A,B,-214.97584266806143,-87.4894927116163,1
Divorced,M,-93.8249894188917,D,B,91.74029214762747,-59.617778390510935,1
Divorced,Male,-108.97252125596168,D,B,4.149352812416325,15.661026001866441,0
Single,Non-binary,-17.754134167911783,B,D,106.12424991871396,-93.0628667839406,0
Married,Other,-121.31458999791857,D,D,-148.0524887227733,52.53343192617601,0
Widowed,F,128.93348426341618,D,E,-137.76215082329125,15.93510602744887,1
Divorced,M,-119.23834850919238,A,E,26.740338274652643,-83.98852246801196,0
Divorced,Female,-91.03822729090902,A,B,-114.26289979473567,49.87170205340912,0
Widowed,Non-binary,132.7151732990784,A,E,47.527844843199816,-3.612364491078493,1
Widowed,Non-binary,-98.34200589841564,A,C,-41.05532523258228,-204.87937286062441,0
Single,Non-binary,65.3512700145858,E,B,-138.23296987182434,-18.459692505032624,0
Widowed,Male,-91.23476510775865,E,A,-77.60474153327402,-28.14848566585934,0
Widowed,Female,160.52966410980244,D,D,84.02780562859837,-39.43176457272552,0
Divorced,Non-binary,18.399150816976068,E,C,-50.10626081961808,-85.71686646778922,0
Widowed,Female,59.219154980075395,C,A,-124.94751059312046,137.79989492686897,0
Widowed,Non-binary,7.352079250750014,A,C,152.85344926267072,21.76358862560173,1
Single,Non-binary,-59.66371656530981,C,A,41.125600248056806,-75.81617930017298,0
Married,Male,224.98105244293106,E,B,-78.18823199049366,-67.57722204914653,0
Single,Male,123.6574955422406,E,A,-125.34541012821525,60.11336218929879,1
Divorced,Female,119.04453140279567,D,A,57.19906230710971,-158.23714365524924,0
Divorced,Non-binary,-67.61690836961256,C,D,-88.88642388541818,131.76161650891788,0
Single,F,52.75105858624231,A,E,51.37928764629142,48.775021024936635,1
Single,M,36.658251972857684,D,A,42.76703370473239,204.2877879941107,1
Married,Male,38.76729686716674,E,A,190.8798767649408,-35.866491110052394,0
Single,Non-binary,18.566749852447757,D,E,136.2370991609767,193.13991788837674,0
Married,Non-binary,-170.75585357157473,C,E,-64.14144396668429,-33.072758103890635,0
Divorced,F,216.313831496919,E,D,186.5780676165332,11.91366789602933,0
Single,Male,43.62864618917181,B,B,136.59183119954747,-100.20865529927312,0
Divorced,Non-binary,57.02776298866308,D,E,-99.18494027818464,56.28703368635867,0
Divorced,Other,225.71978503469018,C,D,-7.534704906031021,25.892077426096154,1
Single,M,-65.32881942648555,D,C,71.15859689914839,79.90039950949883,0
Divorced,M,-31.148917110333173,A,B,118.91606414667974,91.06971051936299,1
Single,Male,41.63316215723014,D,E,36.72888154851739,-61.22707108550336,0
Divorced,Female,31.806721571341036,C,B,50.2892882750594,-80.85136784440809,0
Single,Female,-26.32005932131138,E,A,30.534305150026285,-24.56102401935397,0
Single,Male,-138.75368674227704,C,E,-12.147582332048442,79.00177300827959,0
Married,Other,-10.51690491166803,B,C,-17.390867293225433,60.5174955348712,1
Single,Non-binary,60.100897074484806,C,D,13.0813428646396,37.65458244844138,1
Single,Male,145.33259255457776,C,D,129.57035458397502,136.7347198015461,0
Divorced,Female,-23.202512927168357,C,D,-7.97808059749872,89.81749549837058,1
Single,Other,139.13188887018782,A,D,-220.2938950784404,53.37361733050785,1
Widowed,Male,47.087040308251936,C,E,-137.43983353887876,154.1739236092666,0
Divorced,Male,79.38220646065265,B,E,76.9008665783614,87.47134295873833,1
Divorced,Male,-96.41351527774512,D,A,55.934179284084394,86.9540761120944,1
Widowed,Other,-160.12191016534817,C,E,156.50099306536495,-158.51843193204087,1
Divorced,Non-binary,-84.57717513663648,D,B,110.07816562575618,-36.48284439149064,0
Married,Other,-53.20088625673988,D,D,70.90927114921213,-155.7828149260236,1
Single,F,18.565739213703914,B,E,-78.36915713438245,15.37493171514654,0
Divorced,Other,193.3361464330787,E,B,12.410215397400796,127.50777830247824,1
Single,Male,-74.37454755283053,A,A,136.99676847617158,-51.8321675995454,1
Widowed,M,5.38097353707807,B,D,-22.06865845045525,51.26038758136554,0
Married,Female,-38.585919831709255,D,D,16.752432693313544,16.82359367202903,1
Single,Male,-75.7637970831265,B,E,22.491307520146282,54.60439220889778,0
Divorced,F,31.99708436275174,A,E,185.45974871940297,-95.35913703043423,1
Single,Female,-25.19281038113356,D,D,-173.52731192625933,-307.09668655106543,1
Single,Other,98.53546192378951,D,E,16.904583871052232,48.95899761670389,1
Married,Female,31.79500727010909,E,A,95.21511087408435,-99.83404284667081,1
Widowed,M,146.4807863699379,C,B,-82.17872092995837,38.5283083425759,0
Divorced,Female,90.04926814860394,D,D,19.553916765492808,24.88447659237157,1
Divorced,M,74.26591555343457,A,A,143.27070392289394,-38.76894622025839,0
Single,Other,-21.440465263752245,C,B,206.35568040262854,-56.7054370170971,0
Divorced,Male,190.42038184061767,C,B,127.05989294958884,-69.83400146528544,1
Married,Male,-65.5479334606764,C,C,16.154171264832364,9.584503742324545,0
Married,Female,-135.62859784042058,A,C,-15.415231235968324,178.76595378067213,1
Married,Other,-65.12447466917612,D,E,-87.06103441325362,13.848668071970579,0
Married,Female,-121.72122960826606,B,B,68.65034974466305,120.59043565408464,0
Divorced,Other,-72.85305036793999,D,B,155.81596806813366,-33.865948820982105,0
Widowed,Male,-65.52128223700056,A,A,-40.61765412984987,-33.210096067437924,1
Divorced,Other,54.69232586099294,D,D,126.77551977947354,-38.71378818318984,0
Widowed,M,-63.78243028333244,B,D,-139.0424954759478,2.5611629696187417,0
Married,F,33.253816338853035,B,C,-114.09310761691103,152.45821781065285,1
Single,Male,-65.65090269963379,A,B,156.8184756821708,216.74625034284966,0
Single,Female,31.760970716911668,E,E,2.6545179148852416,-28.534211838518875,0
Widowed,Non-binary,54.41301792559932,B,B,151.5628404824778,32.99941865337092,0
Single,Male,0.8140926566858305,B,A,142.35138195863206,-100.00626631395298,0
Divorced,F,59.33679488530041,D,D,48.05354834953916,10.419296135572619,0
Married,Other,-0.9253726112841398,D,A,259.49488930330074,53.368962731699874,0
Divorced,F,-111.57355378050123,D,E,-107.08034516509235,130.03932377978003,0
Married,M,-97.17096101318326,C,E,-118.00823757069236,137.95000972029163,1
Divorced,Other,46.7138497635515,A,E,16.239478348980015,76.98681929226296,0
Divorced,Male,55.474666276156924,D,E,112.82811367527434,-84.63963073786978,0
Widowed,F,3.707550382162461,B,C,-225.33556741207096,194.04977863891014,0
Married,Male,-92.66908046375953,B,A,2.754857850823891,139.3564238898673,1
Divorced,Other,-82.59141919477808,C,B,-11.933634621815951,36.408897412350285,1
Widowed,M,-12.492774339758588,D,B,-172.42155397402504,-121.67235732297847,0
Single,M,39.87679632764088,C,C,-86.99165437362257,159.60800245481983,1
Single,F,-88.54584890158675,B,C,-167.3307247148934,-37.926631118280234,1
Divorced,Non-binary,6.861582379897162,B,E,-33.95193094089751,-183.54409905141472,0
Single,Female,292.76381610634417,B,D,63.48588004905675,51.60538236845892,1
Married,Other,25.188538493734153,E,D,144.3677101279077,-155.3638695615466,1
Divorced,F,-78.874523412751,D,A,62.70120262878663,67.86516645562013,0
Divorced,F,137.0102777831566,D,A,-105.14514920284516,-4.403770185024243,0
Divorced,Male,-40.21314854138154,A,E,210.3056095362609,-33.4415799687041,1
Divorced,Non-binary,-1.7472487387586673,C,D,-16.3922460088204,-58.0164446709867,1
Married,Female,333.0974304501037,A,B,96.30111964895669,143.0169250602154,1
Married,M,172.359465732805,B,A,-120.86797472423514,-83.79067402229043,0
Widowed,Female,-38.78982288465972,A,D,192.57370861965737,-27.856420353422134,1
Single,Male,-183.26172398938215,A,D,201.05685794796466,-7.6211276329357815,1
Widowed,Other,42.462474603846736,C,E,-28.642544855953243,-80.50541127946745,1
Married,Female,44.51195089779786,D,B,206.9416200614187,54.04314780173869,1
Single,Female,-0.9232516755240441,E,E,-200.7817642610424,-258.09932187813087,0
Widowed,M,42.67592991599315,C,D,126.81411565826117,38.3720897321091,0
Single,F,3.959222360542485,B,A,42.32473128934504,27.50363244698857,1
Widowed,F,-47.93749206632085,D,D,77.87729507296278,-15.468231849349163,0
Single,Female,-18.892809104833326,B,C,-115.77840409327902,29.98300182178087,0
Divorced,F,-35.66310017984111,A,E,-75.68509806014326,-140.77867031286507,1
Married,Male,11.227999167586109,E,C,67.80355753371438,39.28433397445778,1
Divorced,Female,46.14695234706382,C,C,24.437980972411065,201.70171362082075,0
Married,Male,44.71243136060806,E,A,-23.1496210266224,-45.557557444593485,0
Widowed,Male,-29.919567391494063,C,B,42.89285214362849,298.6234510944237,0
