RACE,Veteran,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
White,Veteran,F,A,C,-36.65489422531704,40.971522244295,C,A,74.71128135961652,D,-46.44900658595469,-57.45830635892004,82.52175505202614,0
Asian,Yes,Male,E,A,-30.755587937631603,-43.39944376087585,C,E,-162.8247564881491,A,48.702454622963195,209.21305788792154,-15.30317524836898,0
Asian,Non-Veteran,Male,C,B,-61.77823780363543,-149.13651529861198,E,E,-49.63425660852147,E,94.67298418880564,8.93389063943269,0.8942211007688345,0
African American,No,Other,A,A,-119.09925438759741,-138.8622636645971,C,C,-41.0589264446615,B,178.20112773504647,12.339640758356982,-166.55777423397333,0
African American,Yes,Male,A,B,100.89334953622667,-90.13577860384235,C,A,72.27704365398193,B,-61.98157401179988,-170.86327091109453,-88.65606977532411,1
White,Non-Veteran,Male,E,B,-60.71112098277466,161.09995981664474,D,C,63.41335349440512,B,-100.13683507342152,-30.846689119144944,21.635459348963312,1
Hispanic,Veteran,Female,C,D,-92.75520656463323,62.31666106927922,C,A,26.25648585389359,C,92.94046536326496,-16.291892273208887,11.44990611418598,1
Hispanic,Non-Veteran,Female,E,D,63.01514307522294,188.72635711445076,A,A,-104.17782260754767,D,35.31986931813063,45.22203871760555,-129.42454374008955,0
Black,Yes,F,B,E,-52.46955784947329,110.15327189034605,C,A,133.31784941145835,B,80.89981602250998,-273.99572950880963,153.8917128242742,0
Hispanic,Non-Veteran,Male,E,A,-87.06233680868583,-18.488549757953944,E,E,-132.02442294908883,E,97.18347120347413,160.94551217397589,-22.66938773897947,0
Asian,Veteran,M,A,C,-94.30836082237069,46.139877710071445,E,A,-17.049976458349175,D,10.546433763697944,6.355008971872095,14.293379201149028,1
Asian,Non-Veteran,Male,C,A,177.69726283289705,-76.52459607571893,C,B,35.58799176880875,E,-92.08192956798761,122.6984146895776,-15.23685276543534,0
Hispanic,Yes,Male,D,A,-21.021598568843338,83.35015893148639,E,C,-102.30026748359006,B,-4.938504395330744,41.07691465682297,78.24288005380171,1
Other,Veteran,Other,B,B,23.559849589777386,-64.47547659626672,D,B,-133.1125150831451,A,-91.62835171274591,-35.71242682074913,-76.75694729116312,1
White,Yes,M,E,A,171.2661181621777,5.923362079565901,D,B,7.737245777130665,A,-167.16115749763802,-114.16585382726619,100.57266423557634,0
Black,Veteran,M,E,B,45.6322842160465,92.40881125073656,E,A,83.02875340039614,B,-53.66774546762066,-21.097436863149134,30.729764879799344,0
Asian,Non-Veteran,Male,D,A,-66.19413759921791,-219.91757691132204,D,B,32.676417843686586,D,-96.86091131475219,-170.63631675000923,70.8196714642884,1
White,No,Male,D,B,12.778192713827922,99.90149748006596,E,A,-160.1997554570804,E,39.15749065115526,-184.35753207551605,58.78298144455627,1
African American,No,Male,B,B,-155.8388862105111,-24.187445366423198,D,B,-131.05636687940168,C,206.1195789276003,60.38032360813983,-46.61115927010183,1
Black,Non-Veteran,M,B,E,26.369733045151182,135.19387624194218,A,E,-105.46917247351335,C,139.58161523002352,97.45444485256864,50.32678239954027,1
Other,Veteran,Non-binary,B,B,136.53597802800743,-243.08453602719803,D,C,31.244027249149763,A,13.145013889466236,-29.905657233069828,38.77282577827439,0
Black,Veteran,Other,B,B,-20.54731703357006,-119.06333121190809,B,D,-58.8089236177578,D,39.02516997560949,-18.828294621405565,110.01775823190624,0
Asian,Non-Veteran,Female,A,E,-82.76679745878074,-75.59803769527915,B,B,-14.170973548109552,E,44.245255468468095,-136.6666427966,-136.50313833709373,1
Other,Yes,Male,B,E,-17.887587229875955,-73.63777821418354,E,D,-183.61076197973063,A,33.26803406314938,-215.1026454017089,-63.92331505573657,1
Other,Non-Veteran,Other,A,A,-1.8901037033084187,-165.37239861237467,E,A,-73.67402311438389,D,106.52772255187841,52.262888277446265,-60.293001088135725,0
African American,Veteran,Other,A,E,29.57571033755693,75.861714746592,C,E,80.32191570545626,B,-202.28334056950303,6.497026718653648,79.77930189326828,0
Other,Non-Veteran,Female,E,C,-1.1295640348348206,-102.11115996216344,C,E,-0.20016677629893007,A,-123.0193803055573,38.99723226573293,-84.06139148616502,1
Other,Yes,Male,C,A,98.31888484863197,61.71816898960277,E,C,-20.142052755781272,D,-13.051854928378159,103.83091917438895,-137.53386403315443,1
White,Non-Veteran,F,C,E,-80.30380157786657,-40.689394784401436,D,B,-35.9228555273839,C,-40.86145155891649,-8.458518861790381,52.25955979997112,0
White,Non-Veteran,Male,A,E,81.30985264073541,-65.74502648135034,E,B,-228.88656147136913,E,-121.12161330412042,37.19290332450883,-71.67583780928163,0
Black,No,Male,E,D,-58.19767593900905,-156.07901170277447,B,E,-65.70893776575483,D,-99.08987276649361,-75.33889456304139,-71.20742425739336,0
Black,Yes,Non-binary,B,A,-72.16520980516704,-134.04244343286754,B,E,-83.36004701705826,D,208.0790685346744,35.41043763416607,76.91958747639801,0
Asian,Veteran,Female,B,B,92.66175128013914,-46.43216291145617,E,E,-318.0153346922558,A,119.00278500124838,122.93616086248996,183.59591697172627,0
White,Non-Veteran,M,C,E,142.23488238521827,-78.60125738576167,C,C,-209.0333492160081,C,-289.3694884677416,-94.99155059494738,31.900320512947744,1
White,Yes,Male,E,E,-5.160100061813619,-172.92887663475005,C,A,218.38319447231385,C,6.966159332694049,-109.01949088101846,-65.13564043871123,0
African American,Non-Veteran,Female,C,E,-56.054025630669166,79.58821485355033,D,A,-123.43008485984859,A,1.264499901853959,-125.31055542971944,56.01407482314785,0
White,No,Male,A,A,18.9340922849327,141.62902773573947,B,B,84.78465404364913,C,-68.02049186322321,61.42351878903801,-42.191717767177295,1
Hispanic,No,Female,A,A,-9.381629944425267,-57.171597018551324,E,A,80.43816106239564,A,-28.070793890680207,109.40421207026809,13.052796693905028,0
White,No,Other,D,C,77.19466943732313,86.02244530778454,A,B,54.666651056330615,C,11.879583379137246,26.406208598725776,-9.255116322819186,0
Black,Veteran,M,E,C,22.563715464108117,81.63420533369542,C,D,94.51062339407285,C,46.07936455726136,-23.590345124580477,2.888919287058826,1
Asian,Non-Veteran,Male,E,D,28.00416309024759,-75.98964585900731,E,C,-146.79377922536813,C,0.8848057628125525,93.33967609151279,-54.01498744839398,0
Hispanic,Non-Veteran,F,E,B,27.60546915723158,14.706659192127125,D,D,147.1833402307592,D,-35.19442331029642,-65.5991597014052,42.211356223121335,1
African American,Yes,F,D,C,-101.89345489661741,-53.42745035933848,D,B,264.9889514277548,E,124.7509195874345,11.484411140766515,74.82837536070778,1
Hispanic,No,M,E,C,-115.54157262461324,234.144310956136,D,C,-62.40601546292325,B,-12.044430339664553,174.90719528770012,-61.39734504563846,0
White,Yes,Non-binary,C,D,-28.53499681880952,0.6969718245793431,C,A,-174.02442993456896,D,65.90597736289799,25.397610810680565,-22.91880260059756,0
Hispanic,No,Non-binary,A,A,89.63515147861844,-109.58680898205213,C,D,77.73683246360193,B,-22.24065416091164,209.16135827654006,-159.28440851043678,1
Other,Non-Veteran,Non-binary,B,C,-148.06933530801908,-223.7597301030811,C,E,-24.251047663966556,D,54.52650569570504,99.9141534566745,-27.405742058460913,1
Asian,Yes,Non-binary,E,A,-13.159778945736747,-13.741936406070817,A,D,173.4731217827467,B,-62.85808221458355,16.812080542640324,-69.01572977936522,0
Asian,No,F,D,A,20.61337651575715,1.8102236267910254,A,E,-102.13436915630783,C,-22.628991579349382,83.55241409095476,3.7051659499473297,1
Black,Veteran,M,C,B,51.853895206261114,0.18561741647331437,E,A,-13.241429086884926,B,50.58772281924535,13.030726141697135,19.23365919310237,1
Asian,Yes,F,B,B,-34.32706843351653,83.96571439959438,C,E,188.45748577399016,E,7.638794762153845,205.4709862635126,95.63185189150238,1
Other,Veteran,F,A,D,93.09986161910983,-91.80903412754344,E,C,-23.228868466752473,D,-42.006491094261904,-160.57430700767358,51.60008925958138,0
Other,Non-Veteran,Male,E,C,31.850425037377107,2.90418228749835,C,C,40.51602117121227,C,86.50422703493568,-104.38796064345786,-9.756561278914475,1
Other,No,Non-binary,A,D,-183.26598902478054,-161.14527422418894,B,A,81.44479121141555,C,-61.025752787132014,-50.98928503062896,24.495984087381018,0
White,Yes,Non-binary,E,C,22.716105637270083,40.87752834725866,C,A,-13.580048214562531,A,28.073655384036115,-76.00505157460292,1.5102867096431989,0
African American,No,Female,C,A,-41.81911229920103,-22.017381149807886,A,B,17.773249312589908,B,-46.20848573446834,-105.97071626947911,-40.892560168345724,0
Asian,No,M,E,E,-60.77788143966549,234.51341191559848,A,B,-24.20825334654292,B,-4.5200907259153285,151.39930367650769,-64.767689621578,0
Black,Yes,Female,A,C,-51.25651964635889,-82.28606132409992,C,C,-24.18828448741796,B,55.6725952651931,-89.57201496698187,141.65157999716882,1
African American,Non-Veteran,Other,A,B,8.575970136296812,105.47702816830997,D,D,-57.66421458217892,E,47.709084317637576,155.81068075421854,2.668574505603415,1
Other,No,F,E,C,60.12884721047872,76.95406741830601,E,B,48.83270035118615,E,123.30769290070151,48.93082231993359,-17.288821333425904,0
White,Veteran,Other,D,D,-15.877367716597067,-6.332402472993107,A,D,120.35272785965265,D,2.587834730791069,109.07496908612546,-37.659522570763464,0
White,No,Female,C,E,-140.12896330774836,-5.031662292150767,D,C,-22.028659100912144,A,151.04314129203692,-77.12581860326168,-49.152874756804636,0
Hispanic,Veteran,Other,A,B,129.65233187101052,-140.02484512755282,D,D,-67.69719375297008,E,179.3909102779698,-31.05602429392546,-52.883540137046715,0
Hispanic,Yes,Non-binary,C,B,-102.49951941274729,-45.64330010798617,C,C,-107.46300147478196,A,40.703129063114815,-101.08366945488964,-143.37852765276276,0
Black,Veteran,Other,D,D,91.97231828760323,84.47510984533567,A,A,26.99102956400216,C,-102.0056933862946,194.6612683930011,123.88431981202596,1
Hispanic,No,Other,A,C,-83.91777448103939,-64.6389961291953,D,E,-20.3916039458827,D,-108.46456497272814,161.3932725864817,-92.6800047121857,1
Hispanic,Veteran,Other,D,C,-58.658065154074556,17.50153424854048,B,C,-131.7775262722385,A,-96.1495979741418,140.51016671236096,-160.6392432725027,1
Hispanic,Veteran,Other,C,A,13.212480122356066,-137.0039912219783,B,D,-12.874772988656177,C,-5.797518529873069,231.32552571883642,191.44212758423268,1
African American,No,Female,B,B,-0.48272880660217227,-10.089951253817317,C,A,136.14492931681272,A,232.3956847438939,-76.90850108197841,38.72600913521108,1
Other,No,F,E,C,37.139857056894336,-36.64538149841354,E,D,-163.51989740212417,C,-97.70067444419847,-125.71876748887072,-126.37869335903895,0
White,Yes,Female,D,E,-70.2228508247424,61.371352435549696,C,B,-41.58599632013396,C,18.548851569847876,62.31620151790096,54.53879240612524,0
Black,Non-Veteran,F,C,C,-243.00477249240834,-84.79825645355548,C,D,223.07209199448175,A,89.56611864120374,-63.529689377493014,136.26494777789097,1
African American,Non-Veteran,F,B,C,-86.67275472717574,27.519112847295467,A,D,0.09379222925912803,C,-155.9403291981704,-20.5479034144827,-19.734272255810442,0
Other,Yes,Male,C,E,-184.10410401568353,-21.066669038411792,C,A,16.2762328784814,C,69.68752072108187,54.27029287641526,28.15981917898236,1
Other,No,Non-binary,B,B,-112.68825768955307,123.85942379601774,B,A,35.83942615148229,C,19.650117983661207,-22.478404907584316,-27.825663430336174,1
White,Yes,Non-binary,E,B,257.6508520401937,-74.9311726032934,E,D,57.61038380164858,B,-84.24476057622553,39.61363558103459,85.06908740221878,0
Hispanic,No,F,D,C,-81.26624899206142,28.789493987141036,D,B,-138.36657345249893,D,-45.41970792118871,229.93686029043974,-35.60641042132912,1
Hispanic,Non-Veteran,Female,D,B,-147.96699513325885,-98.20066538834834,C,B,19.548196829808177,B,-307.9252212740343,36.83488470728864,11.665387975554145,0
Black,Non-Veteran,Male,D,B,-13.355751199978627,61.88343397313382,B,B,-2.5186167234763324,E,-28.833531578404546,-44.75485595381274,-94.80578206875616,0
Other,Non-Veteran,Male,C,A,-27.746007114847426,-37.36781349963806,D,B,243.4886153064686,E,16.72147089475427,201.52897564311587,-45.477814361566175,0
Black,No,F,E,C,6.459661214287175,-65.30359872029939,C,D,65.23168403894361,A,-140.73428831690273,72.40041641994415,-16.036688358693628,1
African American,No,M,E,E,63.676375147330134,64.0017628059735,B,A,11.216723864845623,A,116.50569278203096,-40.65091468445624,65.96549913663658,0
Other,Yes,Female,E,C,-149.65873941028775,-66.26166350504978,B,C,-272.77321371024624,A,-2.7544767843941607,-14.787848020223135,-8.132681453577572,1
Asian,Yes,Female,C,D,-42.92744153097717,-122.76283585616518,C,E,56.78766145484013,C,-74.49650510966025,46.67287910613233,122.47294334487711,1
Hispanic,Non-Veteran,Non-binary,D,D,-27.76237470224972,85.87184962800356,D,C,54.285751567424036,C,-237.28607525967544,-86.92742678213085,-8.929976113803892,1
Hispanic,Non-Veteran,M,E,B,70.77561795421846,87.26454858339426,D,C,-112.98036869373627,E,-135.2974917076753,58.18276036578782,111.91662778244304,0
Hispanic,No,Non-binary,B,D,11.420520115360938,30.8135617875834,C,E,113.27128509995966,B,-89.87694652267906,-60.96678956886444,-51.43428876807944,1
Other,No,Other,E,B,-41.671352234387385,56.565707910549456,D,A,-46.4182265621499,D,203.7058225480265,87.2552180538651,-301.60496023659164,0
African American,Yes,F,C,E,89.38147926438552,-43.88980236391246,A,C,42.07654666225999,A,66.08428058829342,97.71473121115606,-145.80733140077479,0
Other,Yes,Female,B,A,-245.30298715132366,34.40328960909191,B,C,-59.22407489152746,A,-81.63395560533169,63.75848279276363,57.70819232902098,1
Hispanic,No,M,D,D,35.56072156628926,-108.9469266432952,A,D,74.93469998740242,D,93.32888468302927,116.20690790384025,-10.750505009848348,0
Asian,No,Non-binary,B,E,-38.59853878039459,-132.62681315712146,E,D,-82.70064132876563,A,-20.663058336246564,-37.63489207814724,67.39568696067779,1
Hispanic,Yes,F,B,E,41.11263996211941,-7.677895855482972,C,C,-54.25475290448861,C,28.086585473401477,-35.04702315737454,-31.095677527426258,1
Hispanic,Non-Veteran,Female,E,B,-168.40122781028896,92.8558933649148,B,A,-124.93360501248729,A,16.135365433631996,-163.16965634865457,-25.21121850549562,1
Asian,Non-Veteran,Other,D,B,182.42044045913036,110.45254615447004,B,A,-114.74038484785947,C,-159.1982699386098,84.5836735054709,68.93395173431497,1
Other,No,Female,D,E,-41.92087417103492,131.23088779593394,B,C,-20.582224971792797,B,-211.0717335382865,59.90108300816299,-5.899369752268892,0
Other,No,F,D,C,-32.335918045237065,-20.768794353585072,C,C,-187.87216096830988,A,-131.82864251788817,134.2023855576517,-85.03155958466952,0
Other,Non-Veteran,Male,A,E,-82.44829855690423,139.8090634040765,A,D,88.8171346869615,E,-116.39808224480986,4.728022144487578,-88.4305568544629,0
Hispanic,Non-Veteran,Non-binary,B,A,-64.85948267072843,20.85707293163806,D,E,154.7671368588682,B,-63.225234754535755,-98.36062284184561,-2.2160579859336464,1
White,Non-Veteran,Non-binary,E,C,-80.12041265741414,-70.55023284344361,C,A,174.59665221905288,C,-78.66833210902315,223.46056257595072,143.4988843399811,1
White,Veteran,Female,E,C,-5.768248829079013,34.04625047328265,C,B,-4.96686387963947,B,27.740046787730783,145.16296477271513,-30.860638212909336,0
Asian,Veteran,M,C,E,-48.69863965580597,-128.26679283272148,E,D,34.76167716708185,C,19.402341544193284,59.36505118291344,6.211963788499111,0
White,No,Male,E,A,-112.41858787763803,-37.37043896690373,E,E,-7.560469855885381,E,-1.2943964805794492,9.69683218851219,-12.403985984769955,0
African American,Non-Veteran,F,B,C,-261.13855225638105,-183.0739644557688,B,A,-72.50931657562147,B,-43.54202423590131,52.644586741001476,-73.82777489706555,0
Hispanic,Non-Veteran,Non-binary,B,E,52.80516377425324,83.50617349081362,C,C,-73.72228199879041,C,11.37952522132154,165.66916733236997,-74.63436081237423,1
Hispanic,No,Non-binary,D,C,148.09864089632393,12.182538167630302,C,C,-96.84330978737795,D,-66.13809633090064,50.9829211316395,4.148781312213348,1
Hispanic,Non-Veteran,Male,E,B,-103.29851474929421,38.92001327667792,C,A,-16.344735001253767,A,-211.63412170259818,127.4241208387477,104.73183436291826,1
White,No,M,D,C,204.04607868456495,-207.65222259063432,D,E,-102.99493181596833,A,144.53710976484044,120.14597485240853,119.20066887011433,1
Black,Non-Veteran,M,D,C,28.168933129940793,-110.81425144686446,C,B,88.05084139479673,C,-66.39274851299359,24.732228750675656,18.48313932585881,0
Hispanic,Yes,F,C,C,2.6021823364942156,59.59851658124536,E,D,52.09182120736353,D,-12.424906097184442,137.3833632822442,99.5508412839286,0
African American,Yes,F,C,D,10.869144158935653,-13.232165976850293,B,B,36.78274558961589,E,-29.014541294119756,216.0222993333833,-110.69762266164749,0
White,Yes,Non-binary,C,E,41.992571663942954,-223.44417244507113,A,E,-208.80356365635046,A,48.068597169574936,156.4328554173346,-123.69666694892459,1
White,Non-Veteran,Other,A,A,-59.880902004440095,7.541060122787282,C,C,159.871877605881,A,-31.637940738167615,187.9774096163075,57.64369734720379,1
Black,No,Female,C,A,-29.057165994046073,86.19650125293414,E,A,58.23871823218929,C,0.3944355739148261,-28.338169960319608,102.72528957109776,0
Asian,Veteran,M,C,B,-32.34000604252812,21.6995728449093,C,B,140.03261158267895,D,-7.652955463043629,57.94325338811234,-19.861344764381546,1
African American,Yes,Male,A,D,113.02470755715852,95.68040958399152,B,B,-7.25293969490754,C,-220.46424956096214,-42.1362949225808,-124.07373901425053,1
Other,No,Female,C,B,-128.53854116583244,-14.46658941154275,C,E,6.005448087457384,D,63.622276195549645,16.667587863636037,-11.560738686518523,0
Asian,Non-Veteran,M,D,E,44.8899533268145,243.29624451932662,A,C,-21.056466271912385,E,-209.89574608629775,141.87222866543877,163.24933980325116,1
Hispanic,No,F,D,A,48.34162805383759,12.492133489487129,D,E,-7.693785851037611,C,84.14528720306558,-106.29740732585937,277.7643950856745,0
Asian,Yes,M,D,A,-235.74233716914352,124.85611301588915,A,B,-84.56089592600581,C,21.607487322689657,23.658638201235494,-18.726435436927446,1
African American,Yes,M,C,D,21.813003011037534,136.3592583869762,B,A,-70.12528301133163,E,-7.0758983629623335,139.51516491141638,-8.774021396220196,0
African American,Non-Veteran,Male,E,D,36.49180334857122,60.74409219426444,B,B,113.86533752075235,D,-69.88234717555288,116.0266645024612,49.362897467654996,0
White,Veteran,Female,D,C,141.02639137812753,-39.935391770052696,D,A,243.73305155946744,C,210.83788106949916,107.10600244625523,-77.29542377366742,0
Other,Yes,F,E,E,-107.72206862800644,-36.64178077013857,E,B,-55.76210381678162,C,57.4673950582376,104.53147100889568,-40.01948779393076,0
White,Non-Veteran,F,A,E,-20.98587706928734,-2.1571557388958795,A,D,22.689651735237177,C,200.09927308678002,20.21410646773156,183.65806087159032,0
Asian,Veteran,Male,D,D,158.22974107200616,-0.37008551466606343,D,D,46.316844362369764,D,-66.33935387544649,-191.43444454774635,-68.89285773239891,1
Asian,No,Non-binary,C,E,47.05035503056388,32.910863849643505,A,D,16.046783965607204,B,42.76382213418513,-9.147498449002256,-46.94820726434597,1
African American,Veteran,Non-binary,D,B,-78.4671366505736,30.585338687944734,A,E,9.053486611050912,E,-140.7242225820942,108.22036496907384,102.78811294170784,1
Black,Non-Veteran,M,D,C,13.183804841420807,47.55842191149135,C,B,-82.61178291993158,E,-0.6244076198902583,-79.86713266076892,-30.623493434219125,0
Black,Yes,Female,A,D,214.7235642263225,-43.769709271842835,C,C,-69.20369832271552,E,42.704854017873124,210.75221012891464,48.89166246754902,0
Hispanic,No,Female,E,E,-98.4979863657515,187.50830318112352,E,D,-63.080077851015105,D,-49.44490207670371,-61.039174253765694,-18.95261090083449,1
Hispanic,Yes,Non-binary,A,B,202.55269775649776,-10.783178436144423,E,D,4.832241932705227,C,170.57088740878535,-126.38240875197708,95.04795215083462,0
Black,Veteran,Female,E,A,23.105534447127823,-108.73427276995373,B,A,108.94956677170045,E,-39.31846045263843,-117.03122652517037,67.58970614291027,1
Other,No,Male,D,C,-31.073358148201446,-257.59458336056935,A,E,-33.79997103048268,E,-40.339543717311635,-84.30670972558805,-21.36195208100099,0
Other,Yes,Female,D,B,119.42682145753632,-75.86698892747617,A,E,-141.14199949454576,E,-73.12456097257004,59.04766990066087,-66.6145799926041,1
Asian,No,F,E,C,121.38977051101674,-12.025267997117577,A,D,-178.87201560184158,A,133.57512997019495,-94.15894052741825,66.28657626019675,1
White,Veteran,Non-binary,E,C,111.45621646361914,107.12330282523021,E,E,-23.07008177624795,C,10.326081556535673,-134.09626380827387,-137.797330838928,0
Other,No,M,C,C,20.172303225384987,-81.93219412005108,C,C,-119.4215328115899,B,-90.02190954766948,-42.930968987359634,-73.02142438664269,0
Black,No,Other,E,C,128.7018873261399,4.948817125956192,D,E,-169.698706474156,E,-17.542429036032114,-95.62544927933612,30.490208168243644,1
Black,No,Female,D,E,67.20200813800736,-94.19304753882014,A,B,-107.05814300945956,B,-38.31871983316747,169.25398711113218,-13.616843769368325,1
Asian,Yes,Other,C,E,86.72652211609825,114.88254710364225,A,C,77.88744899603209,D,88.9008340252334,78.51043377393422,27.859393739083814,1
White,Yes,F,A,A,60.288477843443424,82.00247010296053,C,A,60.55795932189063,E,-8.874324623387729,-165.35577443707362,98.40485050081499,1
Asian,No,M,C,C,-24.832011159522054,127.94770615636118,C,A,42.66779349713618,B,61.02700922733526,127.15581994765839,-126.17297974283039,1
Other,Veteran,Female,D,A,167.61786748750836,-2.3657976948170187,B,C,51.12466787332749,D,-21.04335872757488,-19.491565992818206,-6.212277311047501,1
Black,Yes,M,B,E,-17.959140506482598,-2.9145596094143578,C,A,128.99893913022296,E,128.3100068358127,59.522913610891734,-72.97506217283691,0
Hispanic,No,F,C,B,23.288571440870708,134.80284041342676,E,B,57.33964678835887,A,38.467430305053824,31.78003485930238,-116.0500504279421,0
Other,No,F,B,B,54.78243561650417,-26.140958064507963,C,B,-24.331143771926474,D,22.39288660144045,64.05872995256249,82.98080839220319,0
White,Yes,F,D,B,-45.75530294309815,201.15298467843945,D,B,-45.782614775807254,A,84.51432511590258,-109.4948868444074,-108.28243173295269,0
Black,No,Other,B,A,19.62095628361603,-45.488407778444504,B,A,3.2271950213384843,A,-42.65464789830047,-93.01846369629332,44.35542928619235,0
White,No,M,C,E,24.859435520150438,-47.564017514708986,D,B,-2.7587810240911654,B,151.2379236089896,-81.95328156172596,240.6932907235853,0
Black,No,M,B,D,73.84831361326978,211.2986722705569,A,D,-72.8104594350181,C,-8.964334904328947,-3.8512968920492012,71.03334975428507,1
White,No,M,C,A,-125.85995244308259,146.99565597498844,B,A,-14.720509189199117,D,-23.836757834839712,-47.19370203858599,-214.03858389832558,1
Black,Non-Veteran,Male,A,E,-29.16852539577991,-115.26347094973961,C,B,-3.0009699803133207,D,103.63508631275641,81.10471358568707,33.862532245361955,0
Other,No,Female,C,A,-115.48992250799901,-115.66835377009335,D,A,-66.05661991830465,C,-25.5250629190005,19.760497760674454,37.322927451622974,0
Black,Veteran,M,C,D,85.60238448061203,4.689305232063984,E,C,126.6885997181916,A,76.43639346078812,-6.6920243049522545,184.83216041990477,0
Other,Non-Veteran,Male,B,C,-42.8201659062459,19.096585447089474,A,E,-137.1510955618594,B,-36.55081012860919,8.99720508924925,-8.946046139862004,0
Black,No,M,C,A,-90.37306238933029,154.96512830413835,B,C,201.40119388336916,A,116.25323070391853,51.01056330664373,1.123436157269334,0
White,Veteran,Other,E,C,108.20342019580835,113.17535126153804,B,E,-141.15014274073516,E,-116.45993042200288,102.5359447583287,-261.49197364787,1
Black,Non-Veteran,Female,E,B,-12.066678894210437,119.73136346856515,E,C,-41.83030079066841,C,-47.603722131401966,75.71280378663144,31.811259524095707,0
Asian,Non-Veteran,Female,C,B,43.252180392176584,-20.139772229877014,B,A,137.1237151906737,A,55.583636856796204,34.70885645336895,68.02517120446588,1
Other,No,Male,C,D,93.78883001007246,-41.41997959707774,C,B,29.232153414806067,C,30.00356194423663,-96.86838619500261,-163.11419808258057,0
White,No,Female,A,D,57.677368963594155,1.5386154214014518,A,D,-102.80217109458259,D,-9.177175328041438,100.18496140511463,-135.05392873058707,1
Other,Yes,Female,A,D,-26.909858250328426,38.36230491370301,E,B,-5.576833399122411,B,67.6659857617319,-25.52140020170529,119.6438015010592,0
Other,Veteran,Female,C,C,-42.16206119500978,-105.49615929286726,A,A,-80.15144069942883,D,-26.130572222056518,-81.9098034354661,-140.47114969421574,0
African American,No,Male,C,A,-145.13460888893087,-44.70264986574388,B,C,-100.90732074426391,D,244.2825861514331,-78.68524107444318,198.11827569157856,0
Black,Yes,F,A,B,-63.84990255889363,31.54994853320634,B,C,106.0698994852672,A,27.236801411154172,183.45792774613471,134.9268176135669,0
