veteran,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Veteran,74,A,D,E,E,D,175.74673688003372,-97.50147618838584,E,-43.27325295704637,2.3958414464792464,D,A,-30.61878976705101,D,E,D,A,122.74809555287935,-20.59078968514968,1
Yes,63,B,A,C,A,C,204.12892225123502,-32.87418090604843,A,-9.17025654597252,-0.20685131486488545,A,E,255.26554912013003,E,B,B,E,-50.03604075164917,44.76360858181694,1
Yes,40,C,D,C,A,B,23.16630801940635,123.25295704566336,D,-47.23638921689176,5.927966126963502,A,B,-84.60781899173301,C,C,E,A,-2.3049388449396093,71.56378154435318,1
No,47,A,A,A,B,C,88.35383326162004,13.333401379700788,E,186.36670586701158,-185.2549160092893,C,B,-74.8532099329747,D,D,C,A,-88.80233456595704,86.26804611125206,1
No,68,C,D,C,B,D,116.90911294856623,43.71830060502541,E,-132.77251650641315,-97.6865818530025,D,A,-90.60934026050725,B,A,D,C,-68.25283723400756,-142.4261948700038,1
Veteran,68,C,D,C,E,E,147.34293171245204,-53.083345100509085,E,88.58405292076557,-19.378776077705727,B,E,-74.85870065640334,D,A,B,C,-1.9731459038122394,115.78928379738771,0
No,56,B,A,B,E,D,-60.737252894493935,186.76826596406676,A,-52.14098477989495,-182.9512637235083,B,D,131.90155608115376,A,D,D,E,6.491301355284729,-6.775648776036995,1
Non-Veteran,32,A,D,E,A,E,-59.97824157241649,-74.51239683573215,D,-134.0819931233096,-154.97254788545936,E,D,61.825134880018894,C,C,D,A,-29.834642114177395,-158.0622272569552,1
Yes,79,B,B,D,A,E,35.44810977228877,44.29851908784323,C,-101.59600004306218,-84.73456488762181,A,E,-91.30179345804768,D,B,C,B,-164.60272500427521,-142.24332892347496,0
No,65,C,C,D,A,C,-2.8973110486855793,-26.164846272149823,C,283.78073473293324,-95.40381607215413,B,D,11.109751576450739,A,D,D,C,111.36512619640821,-22.799708416372695,0
No,60,D,A,D,A,D,76.25016967940542,-126.12344818597916,D,-72.8418718305689,104.33705220867667,C,A,21.870577561706828,A,E,D,B,-25.48124373146597,84.33804343210815,1
No,25,E,A,A,E,C,79.47522470912484,72.58896741494499,E,-77.24735334820068,112.9273934236978,A,A,-47.31472645945388,D,D,C,A,-136.45144293812106,151.21662728613273,1
Non-Veteran,65,A,C,C,A,B,-118.86311489670551,81.48884524046815,E,-58.94157531868732,-230.1933222617014,E,D,61.50658289029851,B,D,E,E,-26.795631045770907,-12.115671065502982,1
Veteran,34,E,B,D,B,A,26.31115499209484,109.58277689164588,B,90.91885509882981,58.17203718734133,A,A,179.75691877849135,A,E,A,E,12.158553952462983,-121.90824337085442,0
Non-Veteran,59,B,C,A,E,E,-113.62561116357672,-88.67760486732676,A,186.40903123027968,3.586171814606372,C,E,-29.158246986750385,A,C,C,C,106.4800186435727,86.52922959653844,0
No,46,A,C,E,B,A,-110.37355875864678,-52.723691725154254,C,-10.914095350075335,-36.26715146816633,B,C,-57.49324494104263,A,B,E,C,-132.84000795198227,-94.79315881890277,0
Non-Veteran,72,B,C,C,C,C,111.06796563137213,95.88300365178773,D,40.3928199165068,1.504191458431352,B,D,21.902805130197635,E,E,D,A,52.366066066495684,-116.70881214351554,1
Non-Veteran,50,D,B,A,E,A,-84.46461306296759,6.032797066753948,B,13.5364160640322,16.84399908769834,D,E,19.41488500329737,C,D,D,A,175.89223899213943,-68.1859998333967,0
Yes,52,B,A,A,E,C,-76.46963612821068,36.38663979181586,D,-113.80501989692078,57.38356839805153,D,E,16.7794335647711,B,C,B,C,61.261563532786454,150.77281236071204,1
Veteran,47,D,E,D,A,B,4.429508080639417,26.995862381619894,A,-118.43212624229251,-200.97614456769602,D,A,-65.73375820769527,B,D,D,B,-6.904705201365285,34.54908292523543,0
Yes,39,E,A,C,C,C,-172.22868486187858,-144.6021861737995,A,-60.78616419757703,-62.34241277291195,C,E,176.12008353814136,C,A,C,E,186.82257611412192,-40.555279908202145,1
Veteran,43,B,B,D,A,E,-117.90845006479455,80.45097015272894,A,-39.9924892013298,-185.72565598204844,B,E,-17.868468219230497,B,E,E,A,43.6441988891875,13.248842609673298,0
Veteran,21,C,D,E,C,C,-17.52912513829586,158.2761070207171,A,-214.2785555511478,65.90728757570487,D,C,150.47460155773743,D,A,B,E,32.90791471405315,1.15595353438184,0
No,61,A,D,C,B,C,12.037854002989125,104.99236346489991,B,-159.0477151042549,288.8986430728458,E,E,86.66561107975382,B,C,D,E,223.6815504150353,-13.733553286213878,1
Non-Veteran,36,C,E,A,D,B,-88.29865819582997,-2.954940890488923,C,28.28689803461229,102.74878352062866,A,A,30.277531822075698,D,D,C,A,213.06727757966075,13.237761924368932,1
Veteran,39,C,C,B,D,C,157.10452904308198,-22.622022698858945,D,117.17451041690086,-129.74025324609707,D,C,40.586170388370846,E,D,A,A,128.65771323219232,-45.10154422930031,0
Non-Veteran,38,B,E,C,A,C,-19.28833387559636,-93.09567773561119,A,31.399126055872845,271.51297267581344,C,C,77.67474023239066,D,E,D,B,-111.82471156079042,-68.3318360383084,1
Non-Veteran,63,A,E,B,E,E,162.02532960434638,-156.37310042619973,C,-132.28211795184288,-261.6939503899841,B,E,-40.51003248157615,A,B,C,D,26.654149327736782,-152.8470709314027,0
Non-Veteran,42,B,A,B,C,C,-31.07529604935193,-20.47732653525417,A,43.41799736151161,197.34073018412482,E,A,-139.70109008654683,E,E,E,E,-153.55672082736388,-84.60134766464695,0
No,65,C,B,E,D,C,-103.54096576331746,26.318370817067894,A,-8.435360303143524,8.207672905412407,D,A,-125.08778448830054,C,C,B,B,-167.60616119113072,122.61402579835716,0
Veteran,28,D,A,B,D,D,-323.6589883389057,141.98560421471979,A,-51.82520916176853,11.61380820514418,B,D,-31.666827436911138,E,C,A,B,-54.63765505650441,-66.78091207037994,0
No,58,A,B,B,A,B,-147.43820661366672,-47.99273656970862,B,-39.18577879729245,5.7330924123470055,D,C,96.49225377997443,D,C,B,A,16.953807411561854,92.42468304856756,1
Veteran,53,D,E,B,B,B,222.02063636644525,-70.19807803999146,C,30.217721105847296,-47.41823396145767,C,D,53.826412613981844,E,A,D,B,-22.12336018143511,-10.340521859706723,0
Non-Veteran,33,D,B,A,C,A,-116.62912843516706,195.65255628769506,E,91.26682499921132,61.29020281401512,E,D,-41.05268873408727,D,A,A,D,93.65695346051986,-47.58683650448265,1
No,29,C,B,D,B,C,55.73798205401302,83.24866877584724,B,-6.148745200000868,40.551943754816385,C,A,-13.209917582397582,B,A,D,A,-20.79886578349141,73.59971758805885,1
Non-Veteran,71,C,C,A,D,B,37.17125232710118,-123.24520664686594,A,134.5686167847399,-90.22961095071985,B,B,132.1609184618201,E,B,E,D,73.80714901014149,-80.18825252084086,1
Yes,44,E,D,B,B,E,-9.45416893426989,-44.25265785608935,A,54.59836203105871,16.965370611447163,C,B,1.6560424914870573,C,E,D,C,-145.02321505499742,1.3608929593637202,0
Veteran,43,C,C,B,D,A,-182.22858119623618,29.44795276736351,A,58.90444268644066,15.913082386558244,A,D,-123.70207723483561,A,A,C,A,-53.860607866963015,108.73791562636954,1
No,64,B,C,E,D,D,148.07181856905711,91.48784849397657,B,61.0240959050929,72.1223379602441,A,A,130.1913740135953,D,C,B,C,208.9700796790584,84.10866375929493,1
Yes,69,D,B,A,E,D,-62.03024798782628,113.65665671770215,D,34.408313847037405,36.831084577841494,A,B,-38.254981890746535,A,D,E,B,64.2642698120484,-23.215826592508392,1
Veteran,34,E,C,D,E,A,-52.15651487901442,62.743846158803805,E,79.90832531248613,-209.6618729702622,E,B,89.66403930043576,D,B,A,E,-71.45883764511103,-13.406271452648044,0
No,49,A,E,C,C,C,-6.053526417406267,-24.834553557517157,D,53.82656016752026,-34.20979819481847,D,D,-177.71354408528987,C,D,A,C,-151.61042490685864,-176.93881726104007,1
Veteran,70,B,C,E,E,B,186.4477091314241,174.94357021546435,E,55.390131308885216,-145.28168148774296,D,D,-128.60880506519158,E,C,E,B,-52.20566568481465,24.452759025210668,0
Veteran,58,D,A,E,E,D,-42.538970496810684,7.0826088203777084,B,-162.47713063510383,74.52727927896906,A,A,77.58528738480854,D,E,C,C,103.91612931222225,9.33721356302808,1
Veteran,20,B,B,C,C,E,76.50869092482897,-62.05604849473488,B,189.95045868137845,-46.36226953571689,E,B,99.58341228677801,E,B,D,C,-68.5657213897299,-38.46039731249907,1
Veteran,34,E,A,C,A,C,12.33311058147324,-36.16348873560504,E,-30.588583643566952,-56.00425314072442,A,E,6.553225884502012,D,A,C,C,-110.86732498939978,11.34172956190349,1
Yes,77,D,E,A,E,D,156.7019102173296,-102.9772291514993,B,-287.88054729002016,65.63358341036741,B,B,-5.264930350214162,C,A,B,E,17.279391889394223,28.887355405516878,0
Non-Veteran,31,D,A,C,B,E,-86.50756660716063,-11.33107387333401,E,-12.471131333253247,122.14523779204247,E,B,-26.90556639282612,B,A,A,B,88.55833600558353,-15.795579707803004,1
Non-Veteran,62,A,C,B,C,A,-48.17448899599009,32.36206509751599,A,71.24394857045063,-22.04692301834498,E,D,49.038746793437596,B,D,A,A,-78.60750476948893,57.904918859498764,1
Yes,36,E,E,D,C,A,-4.345538624119017,-31.596725995658424,B,-134.44370159769144,-138.02690578599973,E,D,339.97439089600306,A,E,D,A,34.44558832591241,9.367432084862038,0
No,45,C,E,E,E,C,-87.18916720466616,-89.02076649029665,E,-85.85176451960746,-45.846111737381186,D,A,-103.45112491057553,E,B,A,C,0.17932962989490522,10.424747041828287,0
Veteran,52,B,B,A,A,C,3.7569055459089324,57.25752925958526,D,-172.1636229395959,66.68522568996879,C,D,195.60537429669455,C,A,D,A,-126.96438220425551,-53.26289975025929,0
No,28,A,B,A,C,E,112.37034768092417,93.5159965614914,C,-115.23207520480258,-153.5389224520112,D,D,-64.78134594849055,D,B,A,A,-69.52399735250485,72.50645097672802,0
Veteran,61,C,A,A,A,E,-15.360863952578555,-32.13812704515197,C,164.52631469958982,27.96314150892983,A,C,88.11316260869803,C,B,E,D,0.6836681709013653,198.02540776344907,1
Non-Veteran,56,A,B,D,D,D,306.5792049120307,-141.44419274735543,E,-328.8765232180368,198.62284386161534,D,E,80.62159850490322,B,B,E,E,-60.8900013948973,-128.05558687179797,0
Non-Veteran,45,C,B,D,E,B,209.87318979866484,88.16256224425322,D,-113.53020287544544,13.846224634025214,D,C,-21.79452130815758,C,B,C,B,28.420510253035303,-15.591596905257123,0
Veteran,51,C,C,B,B,B,-151.54787002151352,-101.31089206699242,B,-128.1681925969134,44.60135471512323,D,C,13.401844359182608,D,C,C,C,-85.77253352850815,-66.70550059204625,1
No,67,B,A,D,D,E,-138.6020348124806,-10.710640772320582,D,18.104413282386492,-98.83543874401362,E,D,-108.42870660043533,E,C,D,A,81.24100410852627,-397.9219764047013,1
Yes,60,A,A,D,D,B,-43.65898048086349,156.2822325732566,C,-14.36956503075871,-124.18501092333423,E,D,-32.34246518000985,B,D,C,C,-33.583582135267044,82.86183890781597,0
Yes,61,A,A,B,D,B,2.1001334083117364,-88.14196498559103,B,-156.6877279219776,154.64366292730563,C,A,-77.56821646100283,E,A,B,E,129.75838125953703,146.48428486091524,0
Non-Veteran,74,E,E,D,A,E,-120.05118287335274,-103.26371726745822,C,-18.527316750420525,-13.320048775260181,A,D,-44.39892327893172,D,C,E,D,-175.64636347113773,-110.93370498450146,1
Veteran,24,D,C,B,A,E,6.785882754415408,140.56491926666436,E,-4.5641722152930955,-195.8504821595905,E,C,57.656725943974685,D,C,B,B,59.65395563331045,-106.88026033433707,0
Yes,31,E,C,C,A,A,-62.48044423918802,167.12721423503615,E,-324.21262081187774,262.3767637139255,C,B,-98.59082375479832,D,D,C,E,169.34417998191097,-49.38594731208013,1
Veteran,56,C,E,A,C,B,-15.177381514244242,-91.24606531155338,B,90.0499404111192,79.0601540095239,C,D,89.9478502618378,D,A,A,E,-36.83400833691561,61.57539579194881,0
Yes,20,D,C,E,B,D,-26.741027325447064,89.64768486154352,B,-75.9842579538405,-115.69597529710866,D,B,-7.661431583271355,C,B,B,D,-183.03863357245697,70.46285908101959,1
Non-Veteran,57,E,C,A,C,E,-58.77834513490484,104.66801934936676,C,55.67710904084091,-319.50834298992976,A,A,-44.88969879377734,C,B,B,C,-45.67640320156724,53.15601106068528,0
Non-Veteran,21,A,C,A,A,E,9.610911351097098,-19.582972851121166,E,-127.32892014249934,100.63835083912063,C,C,-2.003724170947177,E,A,B,A,322.0108294973465,-45.67882051783664,0
Yes,54,C,C,A,B,D,15.710572359995997,19.575589319614263,E,36.48457392782282,276.86410305355895,D,E,-57.99699789856204,A,E,C,E,30.514778724076923,-105.83389048920095,1
No,56,C,C,D,C,A,51.595092623533226,-85.4393424010774,E,33.56542264918163,1.4474337602001792,B,B,101.82918649735191,E,C,A,E,-209.8647149408677,62.23736282612423,0
No,33,C,A,B,A,E,35.00514096160216,99.72192325466644,A,-89.92267779702406,-99.7119809220179,A,D,-99.54130493021256,B,D,B,D,-234.4567372773406,-92.82724725464718,1
Veteran,76,B,E,E,D,B,-27.206857932377996,-20.931710500286176,D,210.47310247058698,-55.60279403622695,D,C,28.656593482981936,C,A,C,E,41.62657111441178,68.35827574212168,0
Yes,37,A,A,B,E,B,170.3267265492453,-133.20033721140726,C,-54.59270467795844,5.297161168934087,A,E,56.91037496707072,C,B,E,D,82.13439164197239,-33.24594995997759,1
Yes,40,C,E,D,D,C,-16.200087330260295,-74.34070876349269,A,15.381449649804408,-47.1047060117146,D,D,-89.2827875882315,C,D,B,B,-132.06763150906565,38.49061779858051,0
No,44,A,B,D,A,B,146.44205910645337,-161.48935507280095,D,85.86557599341727,165.4429692551959,C,C,-59.61391424132886,D,D,C,C,-11.905519798672328,42.759990523506715,0
Non-Veteran,75,B,D,B,E,C,2.4325111927369742,72.2572197083055,C,16.049252198619097,-250.98850840102696,C,C,-174.86994972744967,D,E,C,D,54.0819630549741,-20.966260586308305,1
No,56,B,B,C,D,B,-36.32616053403911,127.09569577007747,D,27.41675393761765,47.00381787400138,E,E,-5.794038151479594,A,A,D,D,81.35226251735078,-27.42204775623081,0
Veteran,50,C,E,C,C,C,40.04962094007433,52.29385393686879,A,135.6296703907786,-22.683875027890675,A,C,82.54912086914466,D,A,D,E,6.582996286968859,57.213959202674104,1
Non-Veteran,18,A,C,E,E,B,-37.28947788135478,70.10166443130802,D,5.5378126333340525,-72.54058189935006,B,B,90.3480643744295,E,D,B,E,81.01905612901969,176.97883874627118,1
Non-Veteran,44,A,B,A,D,D,-34.60362323271877,-39.56612985961145,E,-103.1426576774606,35.96615875196495,C,C,63.41442375754137,C,A,D,D,-34.644703347661,55.74232748279988,1
Veteran,76,E,E,D,C,A,94.53179334026284,-91.61646577884535,B,-6.6135544979934044,34.399889366118344,E,A,-41.17635831579204,E,D,A,E,-51.745644935745524,-39.70895358667349,1
Non-Veteran,55,A,C,B,C,B,150.83194504774576,80.9179442357735,D,176.43348811880017,7.228612768601823,C,A,-31.56381751977951,C,C,A,E,81.73934708897997,-102.91769986137524,1
No,78,B,D,D,D,B,9.361336633496615,-53.22431156473684,E,-24.08589800749489,168.5568443835578,B,C,26.971721559985706,E,C,E,B,53.03587901695551,58.00896241556595,0
Veteran,20,D,A,E,B,B,131.11840261339105,-110.37975455115811,A,49.7961485999996,-27.936435656052904,D,A,-17.449371593840755,C,D,A,D,-30.59845157103553,-99.7399616470966,1
Yes,66,E,C,E,C,E,190.19088085275996,61.40242360897975,C,-97.79599977943575,-212.89165804701105,C,D,135.1638197702305,A,A,A,B,-58.43995996073033,41.05169810715179,0
No,75,B,B,D,A,D,11.679161784108553,94.5498047578349,C,78.83548737595548,-75.36636409901939,E,B,61.18217281774373,E,C,A,A,-130.2857831935289,16.608752813908957,1
Yes,52,E,C,E,C,A,-74.6981907294234,45.67253720798214,A,212.35287102905465,56.12131335852394,A,A,-120.08572590351771,D,D,D,A,-25.73065653925697,87.69690320019595,1
Yes,64,C,A,B,D,E,-10.003773907575079,9.149187950062023,E,-37.90020463201424,-134.73190882609853,B,B,22.167104751129443,E,D,D,C,128.13947623474655,58.96339248031377,0
No,52,E,D,E,C,E,-141.71948048472447,105.88805515062806,C,-91.83597372731076,-36.2352657715909,A,D,4.715358276340155,A,E,A,D,35.24522596400275,106.54740098791716,0
No,57,B,D,A,B,B,87.23842099341526,-27.811358478972863,C,44.169279535579335,-15.557012173370794,D,A,-4.685799580863456,D,B,D,B,-48.10892906739191,126.96897314335523,0
Yes,71,C,C,C,E,E,11.947564858312926,-87.770730907775,E,-28.588052466123102,-9.558826606794142,A,A,-53.602763262571116,C,D,D,A,116.2187930775201,-16.914380711077026,1
Non-Veteran,62,E,B,A,A,A,59.294403673986764,8.959523631432283,C,-5.012902611470773,10.01893002485791,D,E,-36.47873061600077,C,A,A,C,84.66748096080771,-58.046620046622834,1
Yes,68,D,C,B,A,A,-87.39375031947037,-65.12575171274949,B,-102.03866198206634,324.77640243688194,C,D,-86.47738293590427,E,D,D,E,18.198709639840445,13.564114079337061,1
No,29,D,E,B,A,C,23.23613491077437,-192.71246805532462,A,120.45825323207512,108.05780538832754,E,D,-57.12063221146556,B,C,A,D,53.530003756698655,-30.863403091165754,0
Non-Veteran,49,D,B,E,A,D,227.38564639548312,-73.30335340953246,B,-15.07599919986246,92.27725759819991,D,C,-151.4383085172023,B,C,C,B,-59.75207908465416,-85.69666580884193,1
Yes,64,E,A,C,D,C,47.24771076683019,63.23256132097952,C,-33.18333891978016,73.16570974121149,D,C,-6.36569297171337,D,E,B,B,196.77180319658743,-105.26764954253424,0
Yes,53,B,A,B,A,A,153.75449727690633,-70.90401121394922,B,-98.0942620625926,138.83116464237654,B,A,-155.95956269544996,C,D,A,E,-98.4105849186868,69.67828253272708,0
No,62,C,A,B,A,E,-51.991948765206985,-111.67225662260884,C,-138.37246371936794,12.77835671580869,D,E,-39.51515214019171,D,D,C,C,90.20490638557078,-43.3570338596918,0
Yes,43,D,B,A,B,B,104.4312038350445,-80.41754293131919,D,38.12669408802925,-65.61335726652509,B,C,21.437536437700206,A,C,C,D,43.43703686328285,-5.167013117005835,1
Yes,49,E,C,C,C,C,65.64494769955212,120.80979710434036,D,25.778682755708793,136.28726574216466,C,B,87.18807492019796,B,B,C,A,-177.31751006469256,-188.22759312812514,0
Yes,40,B,D,C,B,D,10.133508478351898,-23.05842259923704,A,95.86910371748125,7.407711064125393,D,C,-106.02253592721355,E,A,D,A,-80.81503789047095,-251.24343807298786,1
Non-Veteran,21,B,C,A,A,B,99.39499730363625,-164.92577390919777,D,-99.83724628524425,128.32650322020433,B,B,-85.0816244361369,D,E,A,B,41.251257706907666,-57.11511105230127,0
Non-Veteran,26,A,D,B,B,E,-107.02391844390759,-113.25194397493065,A,-88.15325414939164,97.19060371152337,A,E,-15.984994790391255,A,A,C,A,-158.37641222538926,-95.31927623604315,1
No,51,D,E,C,C,E,64.10484650399941,129.9720941060577,C,-87.34311324681518,-9.134662861275714,D,C,-63.956604310443446,A,C,E,A,168.88467646745116,-91.35732663951246,0
Veteran,71,B,E,A,B,B,-104.67685153537704,16.068813001506673,E,80.08844350263112,-6.90065399849141,A,A,3.3570288938242743,D,C,E,B,-37.299857866679325,-57.99500972179775,1
Non-Veteran,23,B,A,C,A,C,53.991437171048254,54.01132578042475,E,18.844137973145845,-111.35075839430752,D,C,-53.746835180816724,C,E,D,B,61.10810188612683,90.60124935594641,1
No,63,B,B,E,B,B,71.85119857418167,-249.61246184029298,D,-16.081614584759766,-175.54990318775447,C,D,-111.15852792598875,C,D,B,E,29.68518274368563,-18.713707391992717,1
Non-Veteran,58,A,C,A,D,D,-49.806271032981456,-10.916673170821346,B,-177.59866584369686,-131.82304426373054,C,B,-119.63205555910008,D,A,B,E,66.89053945516214,39.37334384033287,1
Veteran,60,C,E,C,E,C,149.946174261103,179.5259911955444,D,-47.13480607763794,100.76770883970383,D,C,79.31258630719056,B,A,E,A,87.1014037281238,-238.5679511234888,0
No,69,A,B,A,C,C,36.832668242321525,23.63126746957061,E,-48.34584636604127,-95.47982694643353,B,B,-43.290113179495734,E,B,E,E,52.49541162566956,-101.20401885414476,0
Yes,50,A,A,E,C,B,70.31067692690466,98.5050866131282,D,-5.964923210846888,-3.970148109628763,B,D,31.70831058805865,C,E,B,A,58.91012200387124,-274.5739958709015,1
Veteran,21,B,C,C,E,D,-65.61325752521496,-7.568049685490069,A,-36.43181414717699,-171.9343168966725,D,B,65.11224225262445,B,B,D,B,84.33018880625984,-142.4127769191086,1
No,43,C,D,D,A,C,242.130395958676,6.0476853613998465,A,-13.21511795489618,-65.62649559761931,D,B,1.862303792042554,E,C,D,A,121.26613766879277,30.35222906246662,1
Yes,51,C,D,C,B,C,15.431128849396547,-32.9830402000599,B,40.21862395438971,-33.49823449840848,C,C,156.05011178459546,D,C,E,E,-41.9849049287262,-4.267501259286646,1
Non-Veteran,56,B,A,A,D,B,73.86260037203667,-43.0045196475876,C,86.81326768246662,126.97654974230737,C,E,39.517399962461006,A,B,B,C,-124.75062054195136,-116.22573083036004,0
Veteran,68,D,C,D,A,E,71.10026587141947,-84.7742889762713,E,-21.429421590827328,199.08222736425756,B,B,263.71214336015936,A,C,E,E,30.02173412246324,-41.50971799799457,1
Veteran,49,E,C,C,D,E,150.19799860467995,-30.911718940484985,D,-108.64949654092322,-93.1920769034848,E,C,-142.97257391250585,C,A,C,B,-202.67866781609683,-13.332243525913057,1
Veteran,38,C,D,D,C,D,-130.6967316613139,-20.367441443419594,E,-41.93224004312719,154.42990592126006,D,D,64.83920662874641,A,D,D,B,51.940400915215704,45.897762976310375,0
Non-Veteran,23,B,D,A,B,D,-40.510607616607125,-115.55083072769116,A,45.61990015667033,16.792424392010023,B,E,37.41733030916716,C,C,E,C,-52.829319829073896,-3.831446217210267,1
No,74,B,E,D,E,E,7.825195176074243,162.09425237361,B,231.5350241775587,70.61954335460628,C,A,-47.8518406712223,D,C,C,C,53.39978256485212,44.66964709175224,1
Veteran,45,B,A,A,A,E,-15.403803822856721,131.70703080343307,D,16.341460682459072,41.62321234177436,C,D,37.169186841838794,A,D,E,C,-24.3559925654736,108.89733775865366,0
No,63,A,C,A,E,B,-80.63219412436172,-106.14034997885928,A,-95.2215616749995,-143.56097873214713,B,B,-1.370871001187202,C,C,D,B,-29.783480255726698,51.418628349114016,1
Non-Veteran,78,D,E,B,E,A,-80.96688995780671,-197.7621635877118,E,71.78596631598224,158.60240211688267,D,C,201.48166424371863,A,E,C,B,-151.41663661333246,283.4795745769168,1
Veteran,61,C,E,C,E,D,50.15903627357224,89.17516615788598,A,-134.97051778722997,54.81161776181963,C,D,-71.44880307718647,B,A,A,C,-150.5983387683942,-33.1703344507852,0
Non-Veteran,25,D,C,A,A,C,-1.3440067208576822,-139.60955469958904,D,-31.7544230293863,151.48190831389056,D,E,-38.11339320948362,C,B,E,E,-56.982392663709156,-40.8606280944827,1
Yes,23,A,E,A,A,D,-119.91540121660387,-141.77262207211552,C,146.47678451528225,136.36796826931106,E,C,-270.231737162858,B,C,C,A,-62.75780988545287,111.37180850858806,0
Non-Veteran,53,A,D,A,D,A,81.45927482849953,-98.906355639255,E,2.234517223920526,70.59853895291954,D,E,-0.33399116255832634,E,A,A,C,28.798623622259772,195.62213697913793,1
No,52,B,C,D,C,C,59.12708326833982,225.47510134390566,C,114.4276470308734,66.61396177757713,E,C,121.33191218518817,E,A,A,B,174.74581597675095,-45.98091179498166,1
Yes,49,B,B,A,D,A,99.25967432676998,-11.64946900651613,E,-133.36319888840256,-32.258550545165434,C,E,-320.8539008664548,E,A,A,B,91.37030481165696,125.8649904674384,0
No,61,D,E,C,B,E,36.78821508451526,50.27772500072491,C,169.07537360894506,-60.48683784179181,D,C,97.77739841564491,E,A,C,B,238.53802801297581,177.2464761298109,1
Yes,58,D,A,C,D,C,-59.70163624716779,79.37845722801008,B,-91.50620120890156,-36.28500165602658,D,D,-80.96496418268482,A,C,E,D,44.71142449845422,-6.544145766873362,1
Yes,75,D,C,C,D,A,-145.10718022892235,220.8547898459218,E,-144.3067794602639,-83.78544829296348,B,B,-4.576382966843908,D,D,E,D,279.25362763605915,-1.413315948269036,0
Non-Veteran,63,C,D,E,C,E,-13.031378988451998,-109.10380733888188,D,-11.087655162679244,-103.58545804758887,D,C,46.27395960252253,E,C,A,A,19.476402005091924,-110.95526437692638,0
Non-Veteran,75,A,E,D,B,C,-67.69305259854941,10.246225281420546,C,-0.9279079617786129,21.28459652720811,E,A,52.12679128672036,B,E,D,A,95.70376384251918,50.933639530180386,1
Yes,44,A,A,B,C,D,52.064376059177675,139.72754972470995,E,-27.795173727411033,42.87310803438722,D,A,95.15604516957966,A,E,E,A,-198.69793496236207,69.28026503492323,0
Veteran,68,B,B,D,E,C,108.10915746473322,24.077228779511543,D,-50.88818933659315,127.48558611657171,A,D,2.526283875594191,B,B,A,E,-39.93853970192474,30.391676145532486,1
Veteran,19,D,E,A,C,B,126.90864780937035,-27.98710788962075,D,-36.553691214893306,-33.848124440591285,E,A,-19.757592961924836,C,B,A,B,-244.39588329391145,1.7732997540852997,1
