genero,country,sexuality,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Other,Germany,Heterosexual,51-65,A,B,E,D,21.960502922674426,B,43.47038699722969,B,C,100.81951202737042,B,C,-42.93482812568871,13.951808161485149,C,E,66.77289151188222,6.003881490048375,0
Other,Mexico,Bisexual,18-25,D,B,A,D,-115.74957978777545,E,60.68566687841695,A,B,163.11823918014866,B,A,142.72252036638653,-176.40031444269158,C,E,-149.5978852543795,97.47497258691166,0
F,US,Other,26-35,B,D,B,E,-77.776512920753,A,-1.191367196750622,C,C,11.115433456736543,D,E,-97.78852365642351,60.70888793272782,D,B,-16.242052886916806,103.74811500900734,0
Male,Brazil,Bisexual,18-25,B,B,E,B,-128.47390768696656,A,-204.82308133525402,E,B,52.66027648794276,D,E,1.938029396093976,45.64646844305472,C,E,-238.44018544468332,55.52548470907105,1
M,US,Other,26-35,C,C,E,E,160.47878530155313,E,24.62301980044166,A,D,-63.64766551424449,D,C,106.96109048490716,-89.43774465169703,C,A,88.88965482219781,-53.4464331002776,0
Other,Germany,Homosexual,36-50,B,B,E,B,147.6148116517972,C,-58.151796707284944,E,C,-15.06313418870019,A,C,-199.88345226319402,-50.25532237170734,D,D,87.77246508141936,-9.994100425165104,1
M,Mexico,Bisexual,51-65,C,B,D,D,15.450364870824515,C,-14.240688621656936,D,B,-0.5828051212969727,D,A,-115.98646604492924,38.868972594577386,E,C,-298.81289590042115,87.08534757434839,0
Male,India,Homosexual,36-50,D,A,E,D,-140.17636769483485,D,-172.17023345830614,D,D,34.692356500674244,C,B,-41.282568963894505,52.69253060089887,E,A,3.3075440880974116,-55.0065901021126,1
M,Brazil,Other,26-35,B,E,C,D,91.37247000406306,C,-21.16265233184678,C,A,220.9885762846742,D,A,50.63104525803346,-8.939301539592828,D,B,35.64683051108582,92.70565463447126,0
Non-binary,US,Bisexual,65+,E,E,A,B,34.87257749248664,B,-159.75673370899156,D,A,117.94564882559746,B,C,117.9266122613043,-3.8961010059301033,C,E,-101.92037365312525,44.76654772170674,1
M,UK,Other,18-25,E,B,E,A,-22.29453722164103,E,-16.748028590111804,C,A,-98.89914228441792,C,A,21.512493216572675,-115.96446772048705,B,A,20.19899598668292,-13.478505676867696,0
M,Other,Homosexual,18-25,A,C,E,D,122.39692527336963,E,-42.81079115504311,E,C,61.82631698529446,E,E,44.874607456986965,-11.852912146134654,B,A,176.54263188311202,49.231950462905985,1
F,Germany,Heterosexual,18-25,D,D,B,B,-7.149469153131498,A,-13.474754918819015,D,C,-116.77544150556831,E,B,-4.466958237879705,128.46877152120513,B,C,271.17953889336775,8.521489205507283,0
Other,India,Homosexual,36-50,C,E,A,E,-49.55114323984559,A,141.97880146386595,C,A,-64.40432801412122,B,B,112.1171007435454,130.52038787634362,B,B,27.915522839255342,47.86173833397425,0
Non-binary,China,Homosexual,65+,C,D,E,C,-95.9288217753994,B,-189.27557692212454,D,B,69.83896474351303,B,B,76.76550743966851,-26.442472884300038,E,D,-177.49603692435863,-132.11504278279978,1
Male,Brazil,Other,36-50,E,B,E,C,-58.39129842148792,E,-62.88534532790574,B,D,72.33153292965356,A,E,-76.69593963582653,34.001273404080564,B,D,19.010212869614087,25.805072064034967,1
Other,Mexico,Other,65+,B,B,B,A,17.189566499567626,D,153.03733821803087,D,E,-66.8461313427839,D,D,5.060583709726397,-1.9853570839245585,C,C,154.25595494066278,-49.81685124818207,1
Other,Mexico,Homosexual,26-35,D,E,E,C,-152.8255727049072,B,-26.514500406935753,C,D,-3.364069818564975,D,E,96.10256776912003,37.17148648186942,B,A,4.711709602531724,-48.20202991217363,0
Other,Brazil,Other,65+,C,A,E,E,125.77693788245104,C,-43.7489331628266,C,A,-264.3822645825984,E,D,-18.69086460091103,-178.02649456785528,A,C,33.726909973915355,-42.50548316005484,0
F,US,Heterosexual,51-65,B,B,E,A,-55.02389516226356,D,-136.51194075388463,C,E,-266.5568905998854,A,E,18.020251489821828,-40.30366600865721,C,B,-88.8433200664786,-105.77870438668438,1
F,UK,Bisexual,36-50,B,A,E,B,59.032276850176046,B,-70.84643814465946,B,B,71.04826858852115,C,D,15.633595524426363,-19.16165033758333,E,D,-101.33242910439755,81.44337376973208,0
Other,US,Homosexual,26-35,D,C,C,A,-88.63648590727809,D,-82.99706257813178,C,C,-257.15142478830927,C,B,-104.6540932900532,-21.36561826648668,B,B,51.41237270593123,130.97580348955722,1
F,Brazil,Heterosexual,36-50,C,E,D,D,-9.53253276099321,C,-176.34198137328872,D,D,-40.28256187330092,A,B,-54.85088398665769,-51.58366051475177,B,D,64.75284996636792,-61.42126576875442,0
Male,Germany,Homosexual,26-35,A,E,A,B,61.913209739539234,A,100.08810503446837,A,C,128.13326834888784,E,A,-49.33397917678398,36.37182343039337,C,E,-1.2509260723272135,15.033094332532999,0
F,Other,Other,18-25,A,C,D,A,-17.763234050728226,C,-76.55118285194995,B,A,-146.6863020789519,E,A,-16.353014961948965,11.621432042231485,D,E,37.63986014015748,119.13412983239746,0
M,India,Other,18-25,A,E,E,C,-227.47610615569474,B,-40.91283729005735,D,C,202.1872478928697,E,D,141.692714391121,-100.23139726398966,E,A,10.243669570297227,-36.48429792118829,0
M,China,Bisexual,65+,E,A,E,E,42.34781647524,B,-10.49044251761018,A,C,1.7321386431630323,D,C,-80.2809196683121,54.02595268795487,B,C,-114.41963170577677,54.91566389350019,0
F,Other,Homosexual,51-65,A,A,B,A,164.59851514537496,E,58.97151611343442,A,B,73.51252720085866,E,A,58.918082436275796,-65.46629910069629,B,D,176.20034772161506,-46.80878671575352,1
Female,China,Other,65+,D,B,E,B,121.44297241404331,A,-9.259666602041937,B,E,-52.271613189667555,B,E,46.315415119903754,61.22550681269702,D,B,41.318874604798935,-12.387568214370702,1
F,Brazil,Other,36-50,C,E,C,C,-1.1869079435983427,D,48.99709235381848,C,D,95.73903560984583,E,E,41.531637428364306,-48.60750249878938,C,B,99.24948719571842,-58.06471487838041,1
Female,India,Bisexual,65+,B,D,B,E,97.61960954852334,B,49.04972072284827,C,C,-124.32902939962428,D,A,5.739756146122336,67.23060014683722,E,B,-69.0796988552506,-14.819699089580988,1
M,Mexico,Homosexual,26-35,E,D,E,A,34.9854581775846,A,141.7976613221064,B,C,-21.531821519239426,D,D,100.20830457697521,37.240304922933255,D,B,98.3670000810437,-51.783727158020895,1
Female,UK,Bisexual,65+,D,A,C,D,23.15318144629172,E,-41.971717452428756,E,B,53.598410773700046,D,D,-70.22100638812974,61.545744763379204,A,A,-168.1257476734833,52.63338833154177,0
Non-binary,US,Heterosexual,18-25,D,E,C,D,145.24306198693785,B,-28.84132876148896,A,E,50.97312884301305,C,E,1.4941298826781746,42.72015829767181,A,C,0.9494661966941931,-60.679291475730125,0
F,Other,Other,36-50,D,E,C,C,-141.8488465394513,C,-26.56543869927517,C,B,-64.70400116585986,C,B,14.241896936384366,-42.34484596037941,A,B,4.741537643748389,302.57202890401703,0
Male,Mexico,Bisexual,18-25,B,C,E,B,180.33330082758644,C,-195.93205386693705,C,D,109.3909402212827,B,E,-78.53195990667679,-21.374487468399288,A,D,-171.22221601939543,-59.950117977631535,0
F,US,Other,36-50,B,C,C,E,-190.33365067539972,C,-38.01245137954841,A,A,85.8425893142777,A,A,-171.69638516719868,129.34204173291138,E,D,-59.92752715347165,-37.24995626555549,1
Female,Germany,Homosexual,36-50,E,B,B,E,4.414967249608848,D,149.6316713689161,B,B,-35.725088324650756,B,E,232.12410407149054,-103.39342514306433,E,B,-79.71434122560827,-201.73384104964396,0
Male,UK,Homosexual,26-35,B,A,B,B,-138.44058835373275,B,103.22895060835002,A,E,-32.24660216990966,B,D,-2.5509718296054507,26.739963429202245,B,E,-55.24488358538909,-38.32591425671954,1
Non-binary,Mexico,Bisexual,26-35,E,E,B,E,-22.83244736309624,E,-18.40688446735123,A,A,-299.78751084178873,B,B,65.63424677214313,56.886363136188365,C,E,-91.94971351587029,-68.34118503661153,1
Non-binary,UK,Heterosexual,18-25,A,B,C,B,-60.061345849452664,C,-19.638538945354103,C,A,-43.631403000217865,C,A,127.95511593966967,30.543502292330555,E,A,-74.51901689233756,-152.02830810204978,1
Non-binary,China,Bisexual,18-25,D,C,D,B,128.99225844439383,A,-108.91350540742553,E,E,-29.044666954496414,A,D,-35.35561446041254,224.18480866430394,D,C,-8.020416683797595,-94.14023360544634,0
Other,Germany,Bisexual,36-50,B,B,B,D,36.7970300639652,D,76.55633087043626,C,C,-100.50754078312359,C,B,92.15519149944922,32.82668625858101,C,D,-115.0586314417768,-46.050153952267095,1
F,UK,Heterosexual,26-35,E,A,A,E,-102.76145069248844,D,-60.058720081101924,E,C,110.15439983541293,A,B,-138.8540818116122,38.49664960173982,C,B,-48.53369177685719,-21.59903332422459,0
F,Germany,Homosexual,36-50,B,A,D,B,-94.04033906454413,B,119.0700258634379,D,C,-84.44460261142653,E,E,10.348539535690774,152.35644183807125,B,D,-140.86423150740336,-24.212584776104347,0
Non-binary,Other,Other,51-65,C,B,E,D,-7.593955334865038,B,-38.38171902184189,E,C,-34.996915188275395,D,D,15.25975968208404,200.3506107713215,E,E,12.50176387168487,83.88954581855089,0
M,China,Homosexual,65+,D,C,A,D,14.308231529172662,C,-54.28553528638042,C,D,146.2649681635685,D,E,47.689916581120066,-72.52125305145366,A,A,-123.27402575432444,104.8625716983866,1
M,Other,Homosexual,51-65,A,A,A,D,2.2892830597670204,A,-43.90670301845416,A,A,44.81173395645813,E,C,-97.98330128878312,-49.22033378665607,B,A,73.11178072020144,-84.7204619153622,1
Non-binary,Germany,Bisexual,26-35,D,B,D,A,-208.18031034808695,D,17.364939887973136,E,B,47.66963017643442,C,C,-56.538602772901626,-32.5655390533894,E,E,-132.32246127700225,-78.6107406905268,1
M,UK,Other,51-65,D,A,D,D,-63.694072723767135,B,-66.3568302229682,A,E,142.15988442101795,A,A,92.9919947019399,-63.91978831500863,E,A,90.1369893723565,28.38084451096688,1
M,India,Other,36-50,E,C,A,A,125.72867698255212,C,-37.19417796878775,A,E,7.950624327456021,D,D,-20.525053781828216,-38.67435582952095,B,E,9.544430495013827,138.1486856669442,1
Non-binary,UK,Bisexual,26-35,E,B,A,C,22.096898791170442,D,-221.94317015969727,E,A,31.841360360779024,C,D,-155.59045513516335,85.87781758893244,E,A,-37.85001793138124,-15.861972640442875,1
Non-binary,Brazil,Heterosexual,18-25,D,A,B,E,80.03548033927194,A,-46.32211519191131,D,D,148.06818529451238,C,A,-15.81184583961851,-124.79145771359512,D,B,-96.91978426600872,71.15502305261525,0
Other,India,Heterosexual,26-35,B,E,A,B,-21.068379368973154,D,136.90933188423932,C,B,70.1932892786175,B,A,-11.63746719374384,95.72748944919255,C,B,-173.15507026294478,28.118925112309224,1
Female,US,Homosexual,65+,A,E,C,A,-87.4995823840949,B,-50.259255916359166,C,C,92.34232560227566,B,A,6.94592466177998,-40.08025187940562,E,B,-109.89636646311789,149.40019253831935,1
M,US,Homosexual,36-50,B,A,C,A,-53.14797627102206,D,-109.2385878049692,E,C,100.52416669045303,B,B,79.87070558268627,-20.153914617252966,A,C,23.092242607327826,-91.45186739583605,1
Male,Germany,Other,65+,E,E,D,D,125.6656155124484,E,-29.409705945964316,C,E,-133.7325475416083,D,E,-95.87901276431798,62.19384825746671,E,D,-99.25864360721522,51.803943040823775,1
Other,Mexico,Heterosexual,18-25,C,E,E,B,149.63445925990416,B,-79.24940580375743,C,C,35.009110889941624,E,C,-73.38390587537202,38.06866985643196,B,A,-7.22045155998526,64.58905353183088,0
M,Brazil,Homosexual,36-50,E,A,E,B,30.74749050685453,C,14.26666072375875,C,C,116.17205647703364,A,E,224.7529320158619,96.9388029788519,E,A,17.234431309187258,-82.82379509624624,0
Female,Mexico,Bisexual,18-25,B,B,B,C,-98.82026917670164,E,37.06911575250627,E,E,20.04148660421653,E,D,4.4609288446260305,-62.016495722897346,B,C,85.97646703792945,35.28938873266645,1
Male,Germany,Other,51-65,B,B,E,E,37.48238790918775,B,211.37690018038165,A,D,13.089032873665554,B,B,14.845818656432975,75.28057739252242,C,D,48.98789031728468,-12.057944985726051,0
Non-binary,Germany,Homosexual,26-35,E,D,E,A,-74.72766919142828,E,-145.2175927345198,E,D,214.7447546814839,D,B,62.686059403691864,211.2075813153213,C,E,-73.40537678082322,22.706124563017976,0
Non-binary,Other,Homosexual,18-25,D,C,B,B,-30.9765683648351,E,-149.65343815936706,D,E,-52.10346960189507,D,A,-267.47698207787016,36.18908091088004,D,D,-183.43246524504875,-211.04151283791848,1
Other,Brazil,Homosexual,51-65,E,B,E,C,81.13996355428054,E,-95.45121723227106,D,B,-76.47047308225304,E,B,120.06399614495413,52.521069014610646,D,E,139.5492522296758,-159.3792806129265,1
Non-binary,Germany,Bisexual,18-25,D,D,E,A,-117.36887325057089,E,45.07587430129856,C,D,13.877479175329894,B,D,-77.54301107670474,-69.44517627640322,A,B,-199.17142489235792,-42.98350145053196,1
Non-binary,Other,Homosexual,36-50,A,A,E,E,-64.44466034847306,E,-2.2858149351798103,B,D,-12.601701886926778,A,D,50.19419744870829,72.81270296507628,E,A,91.25254777023329,11.243961043104187,0
Female,Mexico,Bisexual,51-65,B,A,E,E,63.81902022732995,D,-51.99059507703243,A,E,60.075634994709446,C,C,-261.42927055680644,55.303841899921544,A,D,-49.99689535412916,-84.09683963281542,0
Other,Other,Other,18-25,A,C,C,D,300.3591279849338,E,113.9758115377223,E,B,195.89021706419848,C,C,-125.12995071683599,-135.88039415285712,D,E,91.33016017828359,-338.5052969438221,0
Other,Mexico,Heterosexual,65+,B,B,D,A,-26.442165289053214,D,187.89986887134498,C,B,-141.3236444629427,A,D,17.063872208543057,-105.35811286137502,C,C,-124.86912607992448,-158.550508515021,0
Non-binary,China,Other,18-25,D,D,D,D,46.658069808739114,C,52.35425072003619,E,E,-32.09548875146195,C,D,-32.13073310371705,47.62116408027085,D,C,-88.04874074137015,193.9752873250869,1
Female,US,Bisexual,51-65,D,D,C,B,-59.2563687289432,A,-33.9719685909675,B,C,21.966604370259738,C,C,-21.863689974772225,1.4183576231052375,B,C,-37.220332480210274,-42.072068493264226,1
Non-binary,UK,Homosexual,18-25,C,D,D,D,-8.253466196807327,B,20.634978149679444,D,B,-106.50664621032442,D,B,20.460831683441807,-163.89656456637306,E,E,86.07072188243069,10.964968856798464,0
M,India,Bisexual,51-65,E,E,A,C,-26.726802108336393,E,-56.50985975268067,B,A,92.71981701780857,C,C,-88.0922181669972,96.75328653822591,C,D,-95.4765489680964,-31.814539329217677,0
Male,Brazil,Bisexual,65+,B,A,D,D,-135.28326836622907,B,-73.9220474323617,B,B,-2.742437563565185,A,D,-71.04604239534403,-25.069160886764557,A,A,30.443753051501467,155.90927118190223,1
Female,Germany,Heterosexual,36-50,A,B,B,C,-91.21642763054484,D,74.45830271666458,A,D,-45.64723239674012,B,B,-11.979427433224016,-170.3834467958175,A,A,98.1236697591386,89.15568415848001,1
Male,Other,Heterosexual,51-65,B,D,D,C,-100.09794517102699,E,152.24596930550916,D,B,-87.87941094917231,E,A,4.51165306683063,-42.7521092802727,A,B,61.53622143691465,-148.2465877169125,1
F,UK,Other,65+,B,A,B,B,-52.85531079915853,C,87.22437297324593,C,A,-75.56090708890875,B,A,1.898975334664983,-183.28148162338266,B,D,-207.9876281825729,-48.6766479452356,1
Other,UK,Other,51-65,C,A,E,B,283.72215840914697,E,178.8163335961111,A,E,96.56992526572577,D,E,13.643244403262344,125.50375710268138,E,C,8.59675621049672,-114.7208470084377,1
Male,China,Heterosexual,18-25,D,D,B,D,-9.423172261280751,D,12.929042823411777,C,B,13.412766482463073,A,C,10.202901295881222,4.800620120868389,E,D,-166.89460740298802,-65.73196474923935,1
M,Other,Other,51-65,A,B,B,A,248.25063935727027,D,-84.07213522895651,D,A,63.504846885113686,A,D,35.93424189322936,-125.70253226873909,D,B,-6.025531500827816,139.76622380421546,1
Male,UK,Bisexual,18-25,E,E,A,B,-21.58170512093781,D,60.63149620184242,A,E,-284.78461077284913,B,D,-100.61092329242918,-5.747568237778539,E,D,-81.9469660135992,167.8834909683392,1
Other,Other,Bisexual,65+,D,E,E,D,74.43376868941856,A,12.098191172870164,E,C,-100.88726208957183,E,E,-77.58837809687664,-193.21727906569527,C,E,-88.47203508209516,31.302022871263684,1
Non-binary,India,Heterosexual,51-65,C,A,D,B,-69.87100346412348,E,-65.69089297390596,E,B,35.11262142260506,A,D,-34.27283139438184,6.28873667917932,C,C,36.032742806377414,-108.30174427902459,1
M,US,Other,65+,E,A,A,E,-135.35655379685412,E,-62.344721042100815,C,C,213.9996617216284,A,C,-4.58802846665891,-32.725904639213105,A,D,-109.60689325188856,69.00447332682099,1
F,Brazil,Homosexual,26-35,B,D,B,A,10.911323911631705,D,-46.632603786891345,A,C,46.923496087598274,A,B,-0.6042398333871584,221.74958115250087,E,D,-41.54450711343131,92.8953764140447,1
Non-binary,UK,Other,26-35,A,C,B,E,1.7803358275284782,D,16.97786190540258,C,D,142.06387919083906,B,A,132.5483403500946,146.9606408637598,B,E,64.56916271318377,-10.818803770228657,1
F,Mexico,Bisexual,18-25,C,E,E,E,-120.65833118710638,D,-74.3921221218968,D,C,42.79937189325335,A,A,50.936878034947085,108.04190305381782,D,D,-79.77913592992867,110.74071132764199,1
Female,India,Homosexual,51-65,A,A,A,C,-92.8364622571692,B,-41.22314571541761,A,A,-60.49717210530815,D,C,206.63277750898095,-93.57512351723251,E,D,23.964478372160432,15.885546750081932,1
Non-binary,Germany,Other,51-65,C,C,B,A,-128.82675392860273,E,-20.405342257334517,A,B,-159.5179305739156,D,E,4.467019394401668,-98.48530478407423,E,A,-159.2390326026518,-31.687455041593488,0
Other,UK,Heterosexual,51-65,B,E,B,B,-37.46875372182868,D,19.957013670739993,E,B,17.407404821652698,C,B,51.77855525639173,0.5824824337983717,A,C,-7.169191887142799,111.17172763844896,1
F,Mexico,Heterosexual,36-50,D,C,A,B,-20.625323719005802,C,-112.49256235582928,C,E,82.33346939162351,C,C,-29.815625646505083,159.22064511602954,C,B,29.377752871977552,-103.47913455714757,1
Non-binary,UK,Other,26-35,D,B,D,D,60.394302854162284,B,122.81652438412611,D,C,35.66147270792876,C,B,-20.22719068275696,95.51554753660064,B,C,-103.65655232171669,32.30032713090012,0
Male,Brazil,Homosexual,51-65,D,E,A,B,-62.453641976855025,D,-77.95468086691113,E,A,119.1511309485697,C,C,-144.8649196992253,-2.2093502595792938,B,D,59.889597360558476,-101.37598796343781,1
Male,US,Heterosexual,65+,A,C,D,C,-29.005244453820566,E,-77.15474659450476,E,E,71.4407608587053,B,C,-26.327075785712122,-27.25350788085916,D,E,23.715446327566895,56.03544202382459,1
F,India,Heterosexual,36-50,B,D,E,B,40.291094262221236,B,87.422826999196,A,C,-143.00119011657767,A,A,-24.713992250332907,-182.5278885019643,E,B,243.48348758440736,38.399201585550934,1
Non-binary,US,Homosexual,18-25,C,A,A,E,-81.48544962074043,A,-95.10170049531573,D,D,-66.86476539666705,A,E,2.230524100191668,5.601454060656046,C,A,-42.95682777586526,131.2150401636636,0
Female,Other,Heterosexual,65+,D,D,C,A,-225.6989742611662,E,148.60309461571788,D,E,-75.37115099782412,A,C,-109.79942476885685,79.81113544735638,A,B,-38.86313794114009,4.429204022163051,1
Male,China,Bisexual,26-35,C,E,A,D,-62.10883164721769,C,27.943627040317715,E,C,86.81239529442558,E,A,69.14842699404025,105.90051892016952,D,A,40.295906227911395,146.0144810712557,0
F,India,Heterosexual,18-25,A,C,C,C,-73.25789041915586,C,-185.9767178831236,B,A,-223.34114952003844,D,B,-79.43575258762358,150.40555232358537,A,D,-101.75285307727466,-78.70139954632947,0
Other,Germany,Homosexual,18-25,A,B,E,C,161.03405822378812,B,43.2392718019037,E,E,-134.5430347678027,E,E,61.41657044675928,86.2328486834516,A,A,-33.95247825252608,-17.399085191704195,1
Other,Germany,Homosexual,18-25,E,E,D,B,-90.34510126722536,E,-47.17735131297955,A,D,1.7618342075164815,A,B,-250.5375089875206,24.5145021926957,A,A,64.31772175851982,-86.66955427560188,0
M,India,Heterosexual,51-65,C,E,B,E,246.68431395633124,D,-116.88850572143559,D,A,-32.1568862178715,B,E,9.280707045826455,-29.129336159315606,B,B,157.18858926541256,135.07452431232426,1
Male,UK,Homosexual,51-65,E,D,A,C,60.68086023654937,B,-116.26736869265892,A,A,71.53898159389617,E,D,44.62234000553366,4.323040537115987,E,E,-52.37973159794876,160.05854421588268,0
F,Brazil,Bisexual,26-35,B,A,A,D,-23.74685579523823,E,-93.38791040219078,A,A,45.04177709943903,B,C,16.965425336421013,-62.383754576638964,D,B,49.56104136171251,-36.00016894114768,0
Male,Other,Bisexual,36-50,A,A,C,E,179.99980747369213,B,-15.13434682339449,B,E,-42.94658864411654,B,E,170.48396413945207,-185.71347975850043,A,B,-16.78681910339242,-0.9552582066556533,0
Other,Germany,Heterosexual,26-35,E,E,D,A,-74.34114800654613,E,-50.39420468964953,E,B,-25.640397144383094,A,C,-162.00145912523774,17.66160927788261,B,B,-110.36606242366278,153.68969353171738,0
M,US,Homosexual,65+,B,A,E,A,101.28787393476826,B,26.45524194324091,D,C,-79.25810318740892,C,A,-64.25174534588466,31.08114030366902,D,C,-49.19587652629414,-113.41148462974458,1
M,Brazil,Heterosexual,26-35,A,D,B,C,20.201874033765367,A,165.49827014640454,B,D,44.83882036873997,B,C,-83.75958028349268,-25.274898173558576,D,D,-114.34968291509018,2.820146166961645,1
M,Brazil,Heterosexual,36-50,D,E,A,D,132.0711005679419,D,160.13873586733612,B,B,-111.95068506751645,A,E,99.86231821614233,103.04365639183335,B,C,-74.44709597532793,-137.92161183177663,0
Male,China,Heterosexual,18-25,E,E,B,D,13.53814737664148,A,69.05964248152017,C,D,-154.8593311848302,D,C,23.619069678664957,9.015135939971582,A,C,98.72759149433837,245.427636028745,1
Non-binary,US,Heterosexual,51-65,D,C,A,A,66.30341865216367,E,-61.17584898825501,C,E,-141.3212769123475,E,D,10.11047178833704,148.44414076289917,B,E,50.74818095618884,-33.30118340372517,0
F,Brazil,Homosexual,18-25,D,A,D,B,124.83128152350258,C,25.30249513631849,D,D,-11.522435257240073,E,E,-85.34070188929408,78.94223315539,A,C,25.698026321491735,60.63317446262213,0
Female,Germany,Homosexual,18-25,A,A,E,A,-87.00319723951571,C,87.8262955092032,D,D,4.419947205913108,D,C,-336.77415537909405,-9.241847409962121,E,C,17.596760846304804,68.14975156329731,0
M,China,Heterosexual,18-25,E,E,A,D,-72.96935723013812,A,-3.4825042675993485,E,B,-164.4559468581058,C,E,151.96161555519757,38.29382788787888,E,A,156.63886459264336,29.281102046315937,0
M,China,Heterosexual,65+,D,A,D,B,49.001232294142106,B,-1.4060642055279218,E,B,-1.701461813949774,E,D,87.7054380147145,-38.75479065406424,D,C,-161.43360084415596,8.374079490444181,0
M,China,Bisexual,51-65,A,E,A,C,116.94308943301212,C,22.82213786051229,C,C,89.56462638855973,D,D,-49.366535596339205,78.04961258306679,E,B,-104.53617314215018,-110.82982856191958,0
Non-binary,Mexico,Other,65+,B,C,C,D,-213.91482705805376,C,-40.08272878166863,E,E,-21.199305075097907,C,A,86.93376101254711,6.651527910795961,E,C,-17.952076975620354,84.08813128128438,1
Non-binary,Brazil,Homosexual,18-25,D,E,C,C,-89.79428433107539,D,34.740385208954436,C,A,-49.715757027013616,E,B,-8.793827194682564,-195.17735036017524,B,A,27.64758166398005,13.215213872805009,1
Female,Brazil,Bisexual,51-65,A,C,C,C,-27.74688638494458,D,111.39248633049144,E,A,24.19376765361034,C,D,-1.4171131522089775,-70.60245166885841,A,A,90.52951172219619,49.617906312295496,0
Other,Germany,Bisexual,36-50,E,B,A,C,140.97725834966738,C,-36.62964024282002,B,A,8.99164290332758,C,E,-1.0958811954581011,30.129760301996818,E,B,64.68146909799056,94.97572275770595,0
F,India,Bisexual,26-35,B,C,A,D,154.1810793402148,E,16.091740800513623,C,D,-125.05914166908528,B,B,67.15990414484108,-75.97446696149908,B,D,-64.19102185915568,-93.23670388768544,0
Female,US,Homosexual,18-25,C,D,D,C,-143.7493868904609,B,43.710094908234176,C,A,106.45532149010539,C,D,186.56200687462976,57.042354785293014,A,A,28.915935491029227,-80.74280724716458,1
M,UK,Heterosexual,36-50,D,C,C,C,-38.23827609971907,D,57.33721499335762,B,D,45.506134094969475,B,E,235.16739660148747,-103.66314423398883,A,E,49.5134550232817,-72.83572669362785,0
Non-binary,Other,Bisexual,65+,D,D,D,C,93.122248670508,A,30.066134497119908,A,E,85.49721521391689,A,C,62.76857966903394,-78.86190890015085,A,D,17.86255394804253,49.14235379803396,0
Non-binary,US,Bisexual,65+,A,D,D,A,-39.83379300719716,D,41.25077450537133,C,D,32.68256228156542,B,B,-122.89270067073257,-43.059858467670615,A,D,63.7550121129551,309.0082163099005,1
M,China,Other,26-35,D,B,B,C,12.95257906467278,C,118.71831294509892,A,E,139.21592827235085,C,E,38.676180450625814,9.458477888278768,D,D,32.098545458078156,51.467805305065696,1
Non-binary,China,Heterosexual,51-65,A,C,B,A,-44.628738198016116,E,-128.50441420851243,D,D,89.75210980720536,A,D,99.68563019780832,-135.64339127202658,E,C,-44.97435934349594,-97.06033134387994,1
Other,India,Heterosexual,51-65,D,B,B,B,-19.82554406201015,A,-132.24399961567786,A,B,62.7681156863004,A,B,-70.49146847399463,-144.3230741080353,A,D,-184.4753653212396,95.16857846617253,1
