age_range,Veteran,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
65+,Yes,Germany,-198.11411297518916,B,A,D,144.20819307694404,D,C,-35.811829105016855,0
18-25,Veteran,India,156.85882039839524,E,D,D,27.542987206136537,E,A,164.80886911960172,0
18-25,Yes,US,-121.22951268480995,A,B,C,-4.79166220572593,A,C,78.32997209192064,0
18-25,Yes,US,139.2976344462587,D,B,E,21.219012834669513,C,E,131.09370688349375,1
51-65,Non-Veteran,UK,-115.39959440901781,A,A,C,239.19993908145733,A,B,-32.2457614411949,1
18-25,No,Other,-161.84277105520206,B,A,A,303.70416094902373,B,E,-7.0776134933662584,0
36-50,Veteran,Other,115.77063994290609,E,C,E,150.06975832749978,B,B,131.77632958960953,0
26-35,Veteran,China,-55.485633865558384,E,B,A,2.3033849462026397,C,E,28.34849169608949,0
65+,No,China,-116.889610928376,B,C,D,46.65874047047019,D,C,-6.628358973684156,1
26-35,Yes,Other,-73.56997779254606,B,B,C,-70.00224556735695,B,D,-67.01437939023927,1
18-25,No,Brazil,-0.5717943088125729,C,D,B,49.26542026373066,C,D,-102.82683587491206,0
51-65,No,Mexico,-109.29261674791537,B,E,A,-67.22146667447298,C,E,-76.08513946942723,1
65+,Non-Veteran,China,-88.53792678741543,B,D,B,65.87216776829818,A,E,25.19558632336823,0
65+,Veteran,China,-219.40777100416992,D,E,D,7.33592159572203,C,C,73.56003834157093,1
18-25,No,China,5.083662251337301,A,E,B,-138.40597380934724,C,D,34.23248356685753,0
51-65,Non-Veteran,Other,-16.212802113518848,A,C,B,94.64584076814717,B,D,-26.45085135565695,0
51-65,Non-Veteran,India,33.16438230990958,D,D,B,49.67995808282373,D,E,-17.267364517358587,0
26-35,No,Mexico,-47.31501775840856,C,C,A,40.90538779544217,E,A,-26.210092113686827,0
18-25,No,China,-85.0916723115805,B,B,A,39.947629205984775,E,D,-77.12444099597352,0
65+,Yes,Brazil,34.895247002099204,C,A,A,-118.37503553182107,A,A,25.995617146855572,1
36-50,Non-Veteran,Mexico,-158.15313867372325,E,E,D,197.7755836672369,C,C,109.06579729248386,0
18-25,Yes,Germany,-66.07318339672848,A,E,E,53.89510281269846,E,B,-79.3413727078134,1
65+,No,Mexico,27.04341695599599,C,E,D,32.31825060266547,D,A,-45.60891063814737,1
36-50,Veteran,China,-59.13768487208733,A,B,E,99.32873858715745,D,A,20.254346906264104,1
18-25,Yes,China,-71.05469204807675,C,B,B,-62.6887482914101,D,A,-75.303525945957,0
18-25,Yes,Germany,-167.44097728207518,B,D,E,-18.997091181509152,E,B,158.8313142430555,0
26-35,Non-Veteran,India,170.38448702066756,C,C,C,47.25439303058499,E,B,77.99999698987334,1
36-50,Yes,US,151.84496128989764,C,D,B,-170.44206721246306,D,D,-167.64288312013323,0
51-65,No,China,-80.82937232264115,E,C,B,-95.24446496861758,B,B,173.26453293314663,1
65+,Yes,China,-20.662547174146397,C,D,D,34.613148597278105,D,D,-45.27999674376234,1
26-35,Yes,Brazil,-187.93713089283023,E,B,B,-72.93509359091051,A,A,14.553091933481449,0
26-35,No,India,107.50339175380894,C,A,D,-4.026643828874313,E,C,58.2130180917487,0
26-35,Yes,Mexico,-98.37644750459363,B,A,B,-15.457697998505967,C,A,-26.286588815401306,0
18-25,Yes,Brazil,-42.32600091893977,A,C,C,77.5419531262525,A,C,132.37366469363772,0
65+,Non-Veteran,UK,-32.89591694235932,B,E,E,44.48516005681495,D,E,51.857483987257105,1
26-35,No,Other,104.90022703627406,B,C,E,109.27408449416593,C,B,-28.7752980418935,1
26-35,Non-Veteran,UK,-4.223962198355473,B,E,E,105.57405678667267,B,B,-22.310572838304523,0
36-50,Veteran,Brazil,-101.51537433570981,C,A,D,-18.505891579815444,D,D,-209.34453904919508,0
51-65,Yes,China,-30.542692383376174,A,B,D,-185.59757597323357,A,C,140.53515868253967,0
51-65,Yes,China,95.61499818938225,E,A,D,126.59740976564882,A,E,7.670671914739207,1
26-35,Veteran,China,108.37553923626919,E,B,B,58.50668191390977,E,A,15.112225426935636,1
65+,Non-Veteran,UK,-30.084633801688693,A,E,B,-49.38078852081366,C,A,-71.48181607312972,0
65+,Yes,China,-120.06659401013759,E,A,E,63.21721626815078,A,B,-117.44161371697545,1
36-50,Non-Veteran,China,47.9913423698627,E,A,A,77.7218007669848,B,B,-205.7630783924453,0
36-50,Yes,Other,-151.8296848440002,A,B,B,257.85436531815407,A,B,-14.050132294516299,0
51-65,Non-Veteran,India,117.01951404418067,B,E,E,-74.31164801237186,B,A,-159.36945697362924,1
18-25,No,US,34.421735632886616,D,B,E,204.34701149392885,C,D,-30.015363953263996,0
26-35,No,Brazil,18.430155423850067,D,E,B,103.09481782517764,A,B,32.942829447792754,1
51-65,Yes,Brazil,-85.19545738637365,A,C,C,-68.15651238877165,C,C,-68.22240236960255,0
65+,Non-Veteran,Germany,-209.51622092077136,A,D,A,-164.4762240970228,A,A,53.63612338197876,0
51-65,Veteran,UK,-18.177382297272292,C,E,E,86.05824614731797,E,E,-77.06910995009791,1
26-35,Non-Veteran,Brazil,-54.62380373218607,E,C,D,-136.60646398563122,A,C,10.352968700284688,1
36-50,Non-Veteran,Brazil,64.48215017070567,D,B,D,-101.31435339084716,E,C,-43.578928059054604,0
26-35,Veteran,US,-137.0264900921272,B,D,E,-110.5173156892344,E,E,-37.20752818771341,0
18-25,Veteran,China,-23.774299137577085,E,C,B,37.77541099513969,C,E,119.87843788944303,1
26-35,Veteran,Mexico,-119.00812372020549,E,A,B,187.96132320764357,D,C,-118.2898788730834,0
51-65,No,Other,-126.29858169156556,D,E,E,199.25213401062493,B,A,-107.90684153223499,1
51-65,Non-Veteran,Germany,-16.47649056702638,B,A,C,-157.62025851454948,D,D,15.012605498357583,1
26-35,Non-Veteran,Brazil,-130.69225157108158,A,D,B,2.920882877205843,E,B,-70.57153718281793,0
51-65,Veteran,Other,77.61676768686632,A,C,E,-94.47529883627466,E,A,21.275180256067515,1
36-50,Veteran,India,-9.353029028326478,D,E,D,-36.21402024276528,C,D,-29.23585176206726,0
65+,Veteran,Germany,4.678268478889558,D,D,B,-342.0958982915348,A,E,-209.12921198227664,1
26-35,Veteran,UK,58.62159718774744,B,D,E,-38.273880665581466,A,C,184.08398222122992,1
18-25,Veteran,Other,87.01966987452744,D,C,B,146.26060025283914,B,B,1.1009014949789082,0
65+,Yes,Germany,-143.22687013153597,A,E,A,-238.79276475786156,C,C,69.18398472329572,0
65+,Non-Veteran,Mexico,-66.86595541874422,D,D,B,-181.39698740370122,A,C,84.76458599690679,1
36-50,Non-Veteran,Other,7.811006289098,E,B,D,-104.13759780652181,C,A,120.58438145340224,0
18-25,Veteran,Germany,35.11182353709277,C,B,A,-136.5863314490235,C,D,179.22714453837554,0
26-35,Non-Veteran,US,0.22764683896748217,C,C,B,-29.55902760280504,E,C,66.22517635072342,1
26-35,No,Germany,117.56300034769221,D,D,D,-129.07504584873556,E,B,-5.630190899948352,0
65+,Non-Veteran,Brazil,-65.96072247956612,E,B,E,-209.73453366211814,E,B,25.59787349875323,1
65+,No,UK,-114.464885928495,D,B,A,-36.08846715691556,E,A,136.60682492217668,1
26-35,Non-Veteran,Mexico,-4.319867875252394,C,D,B,61.56250044392417,C,C,-37.80194867160315,0
26-35,No,China,-50.62991431365238,C,E,B,-201.07695657994742,E,D,-140.95448111445856,0
18-25,Yes,Brazil,-131.3411763519066,E,C,C,-23.538287619908665,E,E,-91.91965602524627,0
65+,Yes,Germany,-97.86224916172873,B,D,D,-17.57283501320026,B,E,-77.48053507906253,0
26-35,No,UK,-56.238069064572294,E,B,B,-40.86259346196433,D,D,-75.87894717641879,1
65+,Veteran,Brazil,-2.4574073410544903,B,D,C,-124.9531439570486,E,D,-16.73197066897662,0
26-35,Veteran,India,-72.83498704762066,E,C,A,67.13505385069773,A,C,25.082111049524187,0
51-65,No,China,202.1329536365927,C,C,E,104.80313254370124,E,B,44.902292905885396,1
36-50,No,UK,4.214324379329793,E,E,D,89.75640512510437,C,B,-0.6828636520379728,1
36-50,Veteran,UK,-0.8001342373429612,A,B,C,191.99748942228524,C,C,112.91913342022546,0
36-50,Non-Veteran,US,-117.38212904331404,D,C,E,-46.98249398248658,C,C,43.92473802477429,1
51-65,Veteran,Brazil,39.04588530231506,B,C,B,57.62126521815013,E,C,-59.89637667927125,1
18-25,Yes,Brazil,158.9347536312879,D,E,A,89.23006354816124,B,B,157.2578090362371,1
26-35,Yes,Other,-32.27194044771419,C,E,A,-82.07487598496841,D,C,8.564943011856094,0
51-65,Non-Veteran,Other,69.66026574094987,A,B,C,61.939631291981556,E,B,-39.00076345319429,1
36-50,Veteran,US,-67.5005556084189,C,B,D,-130.09867163834582,B,C,-131.02540367812756,1
18-25,Non-Veteran,Other,-74.62052371169803,D,D,B,-74.86180160717693,D,A,-26.33710563185033,0
26-35,No,US,18.045743235947224,E,C,C,-31.10132529445393,E,C,-7.681184398176004,0
18-25,No,Other,-164.03513194367022,E,B,B,-114.6841700542256,A,A,252.07795540852499,1
18-25,Veteran,China,-163.09586218442283,E,B,D,-101.24750832593867,D,D,-103.97732214096757,1
65+,No,US,-221.36572145869002,C,C,B,-30.152474329929213,A,A,-89.91660769057755,1
36-50,No,US,-275.3060713382358,D,E,B,-15.365873187829795,B,E,66.34695382196304,0
18-25,Yes,UK,-70.33670110348496,D,B,A,64.86572870892915,E,D,-38.39645591020206,0
36-50,Yes,Germany,-37.350480586593775,C,B,D,117.34182837378198,E,C,-80.47134949102877,0
65+,Yes,India,140.94650606087194,C,D,C,205.44797574186333,B,D,112.25937241469475,1
18-25,Non-Veteran,US,-20.57067192593083,E,C,B,28.933671185624952,D,C,59.023687819806625,1
51-65,Yes,Mexico,31.1279994207107,C,B,E,-128.97016925415147,E,C,37.147202804770295,0
36-50,No,UK,64.35444817944942,E,E,D,-107.980691371741,E,C,-68.37326575931102,1
65+,Veteran,US,159.99292592478344,E,A,D,80.52925387962712,E,B,-106.6955550002189,0
51-65,No,Mexico,-122.10813844470769,E,A,C,-70.62111453410431,E,C,-107.82598647703088,0
51-65,Yes,Brazil,-91.75007414833571,C,B,E,97.12602788986118,A,C,95.28061068631361,1
26-35,No,Other,109.66691585841713,B,D,C,91.90103807460068,A,D,91.31056672629023,1
65+,No,India,67.29441742999688,C,D,E,4.138021938146946,D,E,-71.2465850824297,1
26-35,Non-Veteran,India,51.893651524786186,A,C,A,-108.3775824426131,E,E,113.88457921671156,0
18-25,No,China,-162.81206552811102,D,C,D,33.92411377278593,C,B,-2.454858727022406,1
51-65,No,UK,-12.67809364899608,D,E,E,132.62570348034834,E,D,-22.214926600476854,1
65+,Yes,Brazil,-207.5876517227686,A,E,C,-40.556117791269905,B,B,-14.848616770195191,1
65+,Yes,Other,183.2952986907656,B,A,B,70.96582788288495,C,D,-156.66663368709607,0
18-25,Non-Veteran,US,-59.521170988937456,A,D,D,-134.9683024579652,A,E,88.37126498858079,1
65+,Yes,India,-140.37297793758367,D,C,A,117.0531307766353,E,D,-151.01216102882373,1
26-35,Non-Veteran,Germany,23.14091833575136,D,E,A,38.89876980795866,A,C,-165.82309442204587,1
51-65,Yes,Germany,49.0514597913917,C,E,B,171.5115483129084,B,A,100.2431712387271,1
36-50,No,UK,100.4672157604421,E,E,B,-176.51066938781423,B,A,-44.25431201181794,0
26-35,Non-Veteran,US,54.240954861687825,A,E,E,-172.2167623929675,A,A,-61.794604363035546,0
65+,Non-Veteran,India,-9.245176926600854,E,B,A,-7.061064512306431,A,E,22.80700163219082,0
36-50,No,UK,197.72181062325743,C,C,C,39.525646885463686,C,C,-67.86809223259948,0
51-65,Non-Veteran,Germany,-67.86327084166317,E,B,D,-98.7653731039711,E,A,-6.961034832992274,1
36-50,No,Brazil,65.73243886900316,D,A,C,-43.007704211410825,E,D,136.56292728633463,1
18-25,Yes,Germany,80.50337159400232,D,A,E,46.005604465828384,C,D,101.01813138085458,0
51-65,Non-Veteran,Germany,-83.42836915722765,D,B,A,-183.1059597492397,D,B,-102.86057166150142,0
51-65,Non-Veteran,US,44.106083285282836,A,B,E,-10.410957014322769,C,D,-227.84723190729616,1
18-25,Non-Veteran,US,-38.86555050593556,A,A,A,14.928126877043828,E,C,94.94986981940666,0
26-35,Non-Veteran,India,-119.36072822318,C,D,E,5.902420765234682,E,D,-273.2866624315105,0
36-50,Veteran,Other,37.873720507079305,A,C,A,-72.95929039612753,B,E,-86.20128725216092,1
65+,No,UK,134.74960496413334,D,B,E,33.98257083361184,E,A,14.860085603721803,0
18-25,Veteran,UK,196.4307554148902,B,E,B,33.68195944298208,C,E,13.871066590414435,0
26-35,Non-Veteran,US,-129.70959956575345,C,A,D,7.014738263237451,B,A,118.14725167728409,0
65+,No,Other,-225.63629940854452,C,D,A,-50.33151109698607,E,D,144.79532351377898,1
26-35,Yes,India,74.46743737357731,C,E,B,-102.94770693339214,B,C,-21.953356972089843,1
18-25,Yes,Other,97.48960849280003,A,B,A,2.2197954446404444,B,B,-48.30438556912562,0
18-25,No,Germany,60.567748325975835,C,C,A,129.5821659555258,C,A,118.17767379319572,1
36-50,Non-Veteran,Other,193.5802633948639,A,C,A,-8.864791427691667,B,B,-72.08781663969849,1
65+,Veteran,China,-131.12164513939408,A,B,B,-51.69497818391186,C,C,-48.68636355148788,1
65+,Veteran,India,-6.627764699263191,E,D,B,79.26008161444938,C,B,210.57384657202908,1
36-50,Non-Veteran,UK,-22.46986315342111,A,A,C,-90.91809790460209,A,C,-56.90794490059044,0
18-25,No,Mexico,125.67622286655134,D,D,C,85.7180637491029,C,B,-232.86385624826616,1
65+,No,US,-41.168661940770505,D,E,B,-46.302622258921446,B,E,20.12722968114081,1
65+,Veteran,Other,-187.82792098255422,A,C,E,136.98751868625016,C,B,-162.44317484128422,1
36-50,Veteran,Germany,-99.73044154169249,C,B,A,-12.99944968138364,B,D,-147.5952839001099,1
51-65,No,US,-53.535090223328886,A,E,D,118.89585150151814,A,B,-11.019299135598335,0
36-50,Veteran,Other,-237.9141502048073,A,E,B,147.71754815990576,B,D,304.68821335864675,1
18-25,No,India,-34.207846994396455,E,A,B,12.463860029773496,A,E,163.39182778485016,0
65+,No,US,87.72105287118163,C,A,B,207.83314938514272,D,C,95.2836661388305,0
51-65,Non-Veteran,Other,3.4034164930773514,A,A,A,141.5748692297382,C,D,10.289204192911107,1
18-25,Yes,Brazil,-49.30720406666493,B,E,D,159.0151694516192,C,B,-6.76086485735535,1
65+,Yes,UK,55.161496029002585,E,A,D,-120.77269845761849,A,C,-112.96437699562762,0
51-65,Yes,China,-58.20176572243649,B,B,E,36.94575961776183,A,E,13.17357179364863,0
65+,Yes,US,-94.61806523588649,D,E,A,62.19375383787791,E,C,142.66144599546163,0
36-50,Veteran,India,47.83910254549137,E,C,B,-12.961072097761178,E,C,-79.39852184205107,1
18-25,Veteran,Brazil,5.0711329548997295,C,B,B,94.99991108386496,E,D,15.982349906267057,1
36-50,Yes,China,-64.721112779426,A,B,B,-141.20482050438642,A,B,78.77062954000976,1
18-25,No,US,23.063583092514374,A,A,C,139.73763420321072,C,A,-1.6318494831234525,0
65+,Yes,Brazil,59.19659599256379,B,B,A,78.77745909429144,A,E,210.93989806846136,0
26-35,Yes,India,-4.963221888217154,E,D,D,-59.1697708333591,E,A,40.86569045708905,1
36-50,Non-Veteran,Germany,-50.11744895454369,C,C,E,-107.94417260657603,E,D,102.17957657162692,0
65+,Non-Veteran,Mexico,-2.9073101881525263,B,D,A,-138.8561942497103,D,A,-17.485202674387526,0
18-25,Veteran,Other,-45.4776009569993,A,E,B,-25.661713791752955,E,C,-110.57108069054485,1
51-65,Veteran,UK,67.35062692531865,C,C,D,49.38047034950085,D,E,157.68687405395926,1
36-50,No,UK,145.74650232554117,A,E,C,104.2004279759009,C,D,23.92461113385439,1
65+,Yes,India,-211.63760286917972,A,B,A,-29.490536526717097,D,C,28.483384505964125,0
18-25,Non-Veteran,India,84.94066997057013,D,E,E,-35.48559006244694,C,D,-135.1540255062015,1
18-25,Veteran,Germany,110.71925692310604,D,E,B,-88.21963112781054,B,B,11.636124163998907,0
51-65,Veteran,US,70.87567778962807,B,D,B,-61.446601593195325,B,A,104.49431426705085,1
18-25,No,Other,-143.43084291243244,A,E,B,135.80209027370807,D,D,30.42194898908947,1
18-25,Yes,Mexico,22.736035805300013,E,C,A,14.813140979260803,E,B,-23.18368139100638,0
18-25,Yes,Other,-271.92232070072083,D,D,D,-12.692402515531272,A,E,68.38711489932702,0
51-65,No,Brazil,54.027542484210876,E,B,A,-34.13279717348079,B,D,-52.9845305785121,1
65+,Non-Veteran,Brazil,23.295873982260726,D,D,C,-206.83209300322,C,A,147.95898663247897,0
51-65,No,Germany,10.827649850775433,D,D,E,6.51201562145883,A,A,109.06094521683562,0
36-50,No,UK,-60.58663056613255,E,C,B,-76.76701167936271,A,D,-108.16625899524617,1
36-50,Yes,China,-48.461197185397815,B,C,A,97.26169214795381,C,B,-115.1953260242673,0
18-25,Non-Veteran,Mexico,-69.58219426237939,E,C,C,-47.89830828198946,E,B,74.91768981224509,0
26-35,Veteran,US,128.85250617375186,B,B,E,-28.158656616004745,A,A,29.971464194268748,0
26-35,Veteran,US,78.34219496376123,D,B,B,113.27253226826284,B,D,24.590910771182877,0
18-25,Yes,India,-89.66653361541957,C,A,C,-133.52356104463098,E,D,-113.39345894593458,1
18-25,Veteran,Brazil,150.21350153839376,B,C,A,-36.07895222211954,A,D,46.65968140799152,0
51-65,Veteran,Other,-230.8431242383079,C,C,C,-173.4142589605786,B,E,245.62253826148512,1
65+,Non-Veteran,Other,-172.1081191616555,B,E,B,-131.60503724771098,D,B,171.34967163976907,0
36-50,Yes,China,53.49915832484263,D,C,A,-169.02327537069755,D,C,43.67090746003883,0
26-35,No,UK,-123.12383392795006,C,C,B,-27.75088888099487,C,E,-70.660797826608,1
18-25,Yes,UK,-47.428346417964576,D,E,A,-52.45186382809973,D,D,-45.31820969651351,0
26-35,Veteran,UK,-163.72474410805737,E,B,B,51.72980460401288,E,D,34.833039401795546,0
18-25,Veteran,US,-87.72315299783666,B,D,B,-58.27206267682954,B,B,-60.63860902527928,0
51-65,Non-Veteran,Brazil,-62.29348678710901,A,C,B,69.83285787160403,C,E,56.08164673687621,1
51-65,Yes,Mexico,-125.27919524688129,B,E,E,-206.64859154171737,E,E,-112.5088116573409,0
18-25,Non-Veteran,India,-5.541792946600415,C,D,D,159.91011173133347,E,D,175.31934680193908,0
51-65,Veteran,China,-86.2340077496739,D,C,A,-58.818601906495225,C,A,-170.35589999195773,0
65+,No,China,-46.56332680670477,B,E,A,33.98247533519166,D,A,-154.54787412852872,1
51-65,Yes,Mexico,-155.87181718706086,E,B,A,104.16947437507129,C,B,185.06099602740872,0
65+,No,Mexico,-85.99330292930986,D,E,A,165.32497536594235,A,E,-17.05348985956849,1
26-35,Yes,India,119.40630597745402,E,D,B,-93.50181403914213,A,A,70.99698489762022,1
65+,Veteran,China,40.582228875159586,A,C,D,-21.761758405971996,A,C,-45.91612728653978,1
65+,Veteran,UK,228.58270299798141,E,C,E,-232.56614964469074,E,E,8.774072698183593,0
65+,Veteran,Mexico,118.80968150379412,E,E,C,109.21653990304276,A,A,-113.049745688852,1
18-25,Veteran,Other,-384.0128325154012,B,B,A,-129.69310017275143,E,C,146.52042937014986,0
65+,No,Germany,-52.76251386737354,A,C,D,109.21847329801233,A,C,17.097922310354345,1
18-25,Veteran,Germany,6.817285175330406,B,D,B,-124.70784327794942,B,C,4.310043764262815,0
18-25,Yes,India,-72.3781847118107,C,D,D,85.21874805810677,E,C,34.95208686524931,0
36-50,No,UK,154.225381439505,C,C,D,-178.57400269667696,D,B,21.179096024985398,0
18-25,Veteran,Other,148.57064877723633,D,B,B,227.8221590683833,D,D,119.38624345747293,0
65+,No,India,69.04392803040811,A,B,B,121.40789979991166,D,B,-108.70580875185168,1
65+,Veteran,Other,-106.13094825802169,D,A,E,19.82500451323598,D,A,-93.7058531999031,0
51-65,Non-Veteran,China,28.757318648414227,D,E,E,13.743802629130153,D,E,33.994364359513234,0
26-35,Veteran,Mexico,-1.394357782198959,A,D,C,6.57782976101704,A,B,115.5491247213402,0
65+,No,Brazil,-14.356798894602926,B,E,E,-153.83084963997186,E,D,85.81967686229449,1
36-50,Veteran,UK,30.940077302455105,B,E,D,-178.89546295661972,E,B,3.58091679693717,1
26-35,Veteran,Mexico,-155.37389990442813,A,E,D,-64.5138326153961,D,C,52.20858989504538,1
51-65,Yes,Other,-34.993998679328,E,D,E,75.12187571987351,A,D,47.03179457436274,0
65+,Veteran,Germany,-70.24001211849918,D,E,B,40.905014502551005,B,D,61.07103321731352,1
