veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Yes,-5.8064317074948555,E,D,-86.99910068385427,-10.729173266274659,B,49.088219480066385,1
No,37.625064167233134,D,E,-89.07985980881216,31.899888575368152,B,17.774498354583244,0
No,-3.0707299542611954,D,E,1.4185760067582038,67.59880490680509,B,-31.866872855229104,1
Veteran,-77.19341772792889,B,B,16.832577555532666,-47.23075602248787,C,-27.67802753123266,0
Non-Veteran,40.42278432296465,B,A,-34.04584174109963,-84.76693836414887,A,67.46690254450259,1
Yes,-103.54010173144505,E,C,93.10488186331494,-18.51584246628323,A,8.767774766265308,1
Veteran,12.037218655895716,A,D,-70.66752677193419,-61.498639443583144,E,130.6426931259578,1
Veteran,-109.8293857456494,D,E,7.335403098816387,138.82842382063262,B,-3.1827176804210024,0
No,-97.67830979720642,A,E,-111.1410940042109,63.07327572948624,B,23.344607922652756,0
No,90.25070198349631,B,D,-74.33056950935367,75.33752405964913,B,65.8308636339867,0
Veteran,-120.7319135385456,E,A,-30.918421840427897,-114.71164288427794,C,-127.32243085094433,0
Veteran,21.997149307943488,A,C,-95.51466933427587,22.794300038241047,A,-16.01099412155057,0
Non-Veteran,13.27586387988199,B,D,-27.407158379404038,18.144811215210495,A,89.26586719953492,0
Yes,-152.5112952412146,B,E,-41.08428995992423,51.64050309746373,C,40.27417037352532,0
No,-26.605873806938718,D,A,129.79546392591465,-126.93601669977122,D,103.96883677374002,1
Yes,-127.3124888145409,B,C,162.03233124522495,7.211637701213947,E,56.89198053840908,1
Yes,115.8652765323492,B,C,32.18239290913624,-6.192220561970167,D,-102.07946345786567,1
Non-Veteran,-74.01166642277813,A,D,-120.2243898757289,172.91832719991228,E,-137.21215480275706,0
Non-Veteran,64.18456741928955,B,B,-115.50078811833974,-147.85432004549165,C,-42.308639739028756,0
No,-14.868348587603672,E,D,191.28215748395135,-17.098092384260166,A,-140.19397916483825,0
Veteran,-60.024198657343234,E,A,-88.41036754591126,-34.75523455704935,A,-71.866317744206,1
No,-106.37559902824158,C,B,-129.66324517266793,22.86332460832343,D,29.581000664405593,1
Non-Veteran,-15.90723207849673,D,C,-82.73225617601345,-210.96488009269035,E,-135.36902234861284,0
Non-Veteran,45.08758502918228,B,C,-96.59099594327715,-2.8021225581369302,B,-5.904832787791943,0
No,36.905434892885395,C,D,3.2930165609757567,99.66776295918599,D,75.19206704911092,0
Non-Veteran,-50.54876871788105,D,A,-78.56539773298165,-138.8232962545216,C,7.4918385018792595,1
No,-33.80880285710443,C,D,121.96118305965304,23.15428886596731,C,-16.800930037070827,0
Veteran,268.64314055541104,C,C,-86.2604832307468,-14.331072728583013,D,-134.6027900465345,0
Non-Veteran,40.484453597456294,E,E,112.20943909007401,-52.31169609660745,C,132.03489392070642,1
Veteran,-56.22473290788853,B,A,93.03478257298165,78.19835611763737,D,4.22947426302114,0
Veteran,-81.67690931347174,A,C,82.33175069425158,-101.41898065761035,B,-143.6995479845016,0
Non-Veteran,-35.06300866883821,A,C,68.10950946377758,53.42072382976346,D,-191.1467237979406,1
No,-79.43926175232362,A,D,15.66469713923905,96.5903797673239,B,-44.56611626725444,0
Non-Veteran,171.78962548428828,B,C,-179.22428175551892,97.21098419650437,E,-164.3811596005502,0
No,-86.15708880171817,E,B,11.998832623406551,-216.52375824826925,D,57.647607964492785,0
Non-Veteran,-20.13467097183671,C,E,100.92467063572805,11.620554117461573,A,113.89557795237113,0
Yes,42.99333688838804,D,B,90.98259885613228,-9.64326003697844,B,-58.21863339864869,0
Non-Veteran,-121.57942646906406,D,E,-49.04332447007182,-66.16207014543237,A,-34.26302735565196,0
Veteran,27.820420484397406,E,B,60.577331839659635,222.1284642392611,C,-229.94486222603396,0
No,-106.8913565625401,E,C,67.84764003388216,21.087709636622083,E,-9.727713711587256,1
Veteran,-149.57852818380533,E,E,-75.03603638873658,-50.90328305154797,C,169.60142706633667,0
Yes,-290.4426715961801,B,C,177.11033134036876,-82.4597161863574,E,-15.400581074138172,0
Yes,-127.70229036476644,A,D,114.11621844698816,-23.099504287727868,D,-49.40787074834866,0
No,29.925372310432973,A,C,-119.29208204365497,-178.89198763205323,C,120.04808758463277,1
Non-Veteran,-83.56807369185849,D,A,8.59995171928653,28.00438132274707,E,4.69665169171425,1
Yes,74.28910237480419,A,B,36.12655618095583,-48.40864809135849,D,119.92590055899464,1
Yes,-1.7834094369401026,E,B,-38.43324119522084,-49.06425760911243,D,-60.00038917095066,1
Veteran,-41.37487387813361,C,A,59.676474959883286,207.21347667869625,B,81.87667606532943,1
Veteran,-30.947739318344546,A,E,-168.45950685850525,-7.8906576478041,C,45.42779391252058,1
Yes,-196.3237921046712,A,E,-34.953885716641096,-43.842636939169786,D,149.14040399849867,1
Non-Veteran,-79.86232265218601,E,E,-17.06982804616946,151.03060256256512,D,110.4743821324651,0
Non-Veteran,140.8268493549218,E,B,11.29844027978874,202.6265231095533,D,16.04741365815822,1
Yes,-60.65384499720153,C,C,61.37561851394313,54.519620162761804,D,172.26356761933565,0
Non-Veteran,58.16588622703722,D,D,-83.79343873650701,215.47566121338554,A,56.67816885631146,1
No,49.38271420034551,B,A,-241.6139866749022,-122.1933888395682,A,-79.71288408108747,0
Non-Veteran,43.61090316520949,C,B,-115.49023159165606,86.54458066337845,E,61.202659351727974,1
Non-Veteran,295.1156061153589,A,A,112.77401078410978,25.031278684046526,D,266.0614947486518,0
Yes,-229.18036089467506,C,A,43.43525447076046,-229.70837194679294,B,186.56715220069205,0
No,-17.58021327514693,D,E,27.356846829557817,-45.89098209496157,C,141.3282259963028,1
Non-Veteran,-100.51798613921963,B,C,-275.3033503509964,-0.06049361785479644,A,-114.09806830806761,1
No,-212.55966420598904,B,A,-81.92901519661957,-40.35747626927413,A,53.928034262135746,0
Veteran,110.2418209247576,C,B,-143.33456072834593,-118.58618993839096,E,-59.643750199054544,1
Non-Veteran,13.515785411682954,D,D,183.8153707368353,104.30079027079813,D,-215.40255651089842,0
No,4.950471768926813,D,C,-139.2913043850892,-106.1161079683373,C,-104.97921598356706,0
No,-170.68975524263573,A,A,-211.98634101010038,107.40030585795786,D,92.63610206084694,0
Veteran,-67.92594303278172,E,E,-46.78173167590954,-87.74751245306076,C,124.89617048489261,1
Yes,87.43445605686948,D,E,-1.6463325208668955,-69.72237837652247,B,48.99658025026038,1
No,22.48119773764894,E,D,61.88803870552269,-75.94253599283681,D,84.14316894764538,1
Yes,-30.80795868814905,C,B,128.58168176026865,78.3893057404486,C,-28.618458886308545,0
Non-Veteran,74.60496703004054,D,C,49.61268737522077,123.72454164927574,E,61.8984809226681,1
Yes,158.60499140577926,D,C,157.7855110561331,-75.80922800489249,E,47.445493159114086,1
Non-Veteran,-27.8880067161417,D,B,49.87962706487544,94.42062356004145,E,78.17800320999426,0
Yes,101.93429896158601,D,B,75.9045087223274,22.78851019557955,A,-51.98335327971192,1
Yes,-25.629019808021535,D,E,21.53733817335702,-80.86360400722539,B,-49.81084030101515,1
Yes,-67.61599971330156,E,D,-97.49411158931984,115.7807927067871,C,76.07969368476894,0
Veteran,-39.30221239304647,A,B,-26.696726030093192,-79.32830261821574,B,19.66161107680827,1
Yes,-7.317029322337376,B,A,-4.666061537732936,62.00315784354815,D,-57.52167540352221,0
Veteran,-14.178666076905294,B,C,-15.212575966297617,91.45286697181866,A,129.13844482110989,1
No,-25.363979839344736,D,B,-74.17062834188972,-6.517779802057294,B,-271.6712965331912,0
Veteran,-128.56998530185243,C,E,84.80861053181475,79.68608779030968,B,160.55994225617013,1
No,49.47992622802765,B,D,-44.351648531984566,-72.7671483501344,C,50.93694058186979,0
Non-Veteran,122.25004796967353,D,D,181.41886501714762,-35.8774776814705,C,-110.63434015769008,1
Non-Veteran,-154.66270202228745,D,A,205.2357125561431,78.04543926949086,E,127.81558249753581,0
Yes,36.902735985788595,D,B,102.29806029832909,51.4754522576222,D,151.93524194581065,0
No,-71.05523804654598,A,C,158.5649161263511,-120.1357124443011,B,-2.921619607464922,1
Veteran,-20.49847694164284,E,C,-172.2043430572345,-157.70019522369515,C,-102.31664498339089,1
Non-Veteran,16.738345969478726,A,A,-181.36950326243772,68.73644931454822,C,76.17952736599098,0
No,-29.57338762962379,B,D,-11.338825918179865,33.375394514834824,E,178.63758286437323,1
Yes,111.62653125995273,C,C,22.082212777123065,98.31654406781938,C,-66.0445655501444,0
Veteran,-248.1511335310357,D,A,-37.449834479704094,-3.449961254906663,E,-184.63420274894114,1
Veteran,98.807029589793,E,C,-84.6846060267939,94.8969503052083,C,-67.83314494264181,1
Yes,-127.41249065595026,D,B,97.02029002146897,-229.0804491045267,E,101.73276149206268,1
Yes,-0.025271283572786706,E,D,-38.202066412567696,-67.45054325177603,D,-89.4307418932917,1
No,38.17566220038528,D,E,118.9824402291925,-317.6377313264074,A,-13.242370945665115,1
No,50.44819191938409,B,E,-94.87823930962708,-12.226906905077772,D,-48.68235143839483,1
Yes,23.883899914136087,C,E,-74.49656410990978,-116.00341091145525,D,48.401501513417834,0
Yes,-92.08834559082504,A,D,47.0863070583073,-3.8102653514773808,A,139.08632006146914,1
No,-70.10505634039106,B,E,-50.2729796557071,30.587697514000016,E,20.566970973851063,0
Veteran,-64.93485910087203,A,B,-109.51797984653643,64.52396095339962,C,-108.3193208686234,1
Non-Veteran,103.51096440423093,C,A,6.64620973685726,134.17534306385522,B,46.649960390793005,0
Yes,4.553055059626234,A,A,80.40659956848371,-131.39311367486687,E,156.00812932447144,1
No,-48.36238226243227,D,E,86.01578960155884,48.46531576547074,E,-4.8344937702239985,0
Yes,40.14988886311709,B,B,-81.7529493819268,-85.19979753904269,B,155.51632437972452,1
No,-98.25603133392889,A,C,-17.121097221510517,3.042047697568696,B,-237.18164348955645,1
Veteran,39.84860554084841,E,E,10.290179373466103,-0.2749849338324209,E,-3.71963453700139,0
No,-86.3447717434401,B,A,169.9208608235456,-115.16696005261089,C,-6.202359978174478,0
Non-Veteran,-185.7232826390685,C,E,-114.89765460896547,-16.649026217403375,B,-114.75399597918268,1
No,-277.8320601028948,D,E,181.10327692842387,92.73767137823056,A,-39.946272427367155,1
Veteran,-49.97777870671948,B,A,12.097003513337969,132.29489015229453,D,-50.5018043163619,1
Veteran,-59.40564291643179,E,A,-130.54929806166754,21.722652796888525,E,210.20875370027866,1
No,156.96552730029686,E,A,-188.3969844114345,141.99095270006586,B,-18.470681963493824,1
Yes,-234.99154254654476,D,C,-265.5192245219686,67.6374184792444,E,78.55009221031023,0
No,-51.339981787124835,B,E,-111.76108106812845,41.24607515996894,B,-185.44792033056336,1
Yes,-12.394688029561502,C,B,115.89449844369891,-98.22128967141894,D,-61.19696433756877,1
Veteran,-21.637086429826745,C,C,-92.57585557853024,20.59668462034515,E,-84.3688158802767,0
Veteran,44.937239204878395,E,C,-168.65512876387209,95.00046292631714,A,78.19372952182952,1
Veteran,-150.07598044261027,A,C,-43.552132219564335,71.37043458692261,D,-225.34027484596342,1
Non-Veteran,94.8576945236591,D,D,76.8188488978639,-24.565251929073106,E,4.008990500957042,0
Yes,-130.44515464095622,D,C,88.7421194208235,14.525223512587743,E,-35.51340374357774,1
Non-Veteran,79.45498097142679,A,D,60.11033966727969,33.253610117794416,E,86.45228059834731,1
No,13.836051932806656,A,B,-59.11935225966612,71.97332827299097,A,112.43365109179283,1
No,-31.11935910196057,A,C,69.29051279222092,-9.502316993371315,E,-137.36989711717104,0
No,-88.83666002671187,D,C,56.52106618403862,24.069050847107107,A,4.812803393083867,1
No,80.89920420338203,C,D,-25.464803529781893,37.4545394577617,A,99.4598819709429,1
No,18.16745104631376,D,D,75.40785128366558,-56.58850185976411,A,49.32458661077701,0
Veteran,-160.80938777800128,D,A,-57.55055064932575,100.2587608892193,D,-117.21485181227969,1
Non-Veteran,63.91017808486511,C,E,130.53518711870203,74.34740142332065,E,22.99128101406121,0
Veteran,53.07974186053941,E,C,129.13451663368352,16.866030773960635,D,9.803877849706032,0
Veteran,49.170463618645435,D,C,88.60640947693801,63.782898024327636,A,79.2048858353535,1
Veteran,-291.0790141071234,A,A,-13.236694322884299,93.4054690689741,C,-169.58428389743528,0
Veteran,-55.731231886584055,C,D,-207.421695356234,11.85455242391992,C,129.0775801889202,1
Yes,-41.13334861071389,D,C,110.72226860035748,-23.22657385421341,C,42.22628297630162,0
No,-113.01580413128258,D,B,24.26221908337004,-223.1905895000557,D,107.23205252510168,0
Non-Veteran,-4.758015879538331,D,C,48.88655110600595,8.086668251622775,B,-13.214454385200469,0
No,-31.90262668742282,D,C,107.11886676357221,9.481062989071162,E,1.4983083097979857,0
Non-Veteran,66.30773305543006,D,D,129.81099681496306,-105.67233118167474,A,138.84051890648217,0
Yes,-92.97833244316773,E,E,0.4602310449692417,18.07158790332472,B,-132.337825111213,0
Yes,137.93963136391224,D,B,-45.484903044643204,-107.02944216391168,E,143.67159703345857,1
Yes,31.219918607104947,C,C,-46.32102430336406,74.7633798856066,E,-103.61831389687327,0
Yes,25.051981606594314,D,C,-24.53332611281442,160.07290292821833,D,-58.839519548607846,1
Non-Veteran,159.27298353991299,A,A,-62.60447483883733,52.29543488600565,A,189.30389753167321,1
Non-Veteran,-122.88788306439639,C,E,108.93431063571504,51.01575415649976,D,131.16312974794124,1
No,-147.95507150655018,A,B,-8.106163759944499,23.03161553764977,D,-34.98546267011466,0
Yes,68.19926004890603,C,D,30.21700010910702,1.9517768519068384,E,-12.919441270854776,0
No,-49.02398624909852,B,A,-26.901443472256243,-66.01290985100735,B,171.92038655997712,0
Non-Veteran,7.681670779844779,D,E,-69.42578749202703,135.69797615577681,B,47.192648522011865,1
Yes,31.797197398584444,C,D,-141.3529492002885,32.39871921967066,B,9.467416096919779,1
Veteran,79.40010089170015,D,A,10.657955498168224,-85.27664346746622,D,22.466307294465395,0
Veteran,-137.731556365323,E,A,53.07641867539744,105.74989789651772,A,-221.21396757278475,1
Yes,158.64340509901677,A,B,-95.75957190879355,52.04064958139526,C,41.643494621604695,0
Non-Veteran,-53.04013043098054,C,E,38.19748877627841,81.57029228999937,B,97.58048943368472,1
Veteran,20.264966835127215,B,A,38.647095928778356,-200.91895337344258,D,109.53990076233049,1
Non-Veteran,47.153115029646514,C,A,11.397277933508112,21.20064214948438,B,151.14163300463852,0
Non-Veteran,-31.62641640702687,B,B,-64.59450749842202,221.51166492536635,E,-34.485739245032754,1
No,-96.28037166187833,D,D,47.32736989987216,-24.94347147663564,B,177.97078272826766,0
Non-Veteran,-71.83956895552288,B,B,11.15859420394829,159.5070268805563,D,-16.37424554729962,1
Veteran,32.31673195996506,D,A,-70.45799890320271,59.0246274168524,C,121.10978310871623,1
Non-Veteran,84.82562621462348,C,D,205.09267791554967,-87.77858099889968,C,-4.549782447693456,0
Yes,-72.05202149114842,A,B,23.72992949987578,41.79489382542957,A,7.248904104616341,0
Non-Veteran,32.60614633544524,C,C,74.07438525097788,67.20374522447,C,-154.39727652669237,1
Non-Veteran,124.19505837947906,D,C,-12.943798586821172,-93.62561087424024,E,79.10530982899492,0
Veteran,-86.26824515690778,E,B,82.87613606121134,147.27628340335647,B,83.41771167178864,1
Yes,8.630244898785211,E,E,202.73169105586152,14.03471171194056,D,-16.333881677181278,1
Non-Veteran,70.5753385207377,E,D,8.519003968910411,63.195191862288894,A,-80.87345007193537,1
Yes,133.83489633716334,A,D,-39.989639317622895,77.00506817790004,D,-20.759083570631727,1
No,11.334304533159772,D,E,50.329283650025715,-91.74964892536424,E,65.92705012936435,0
Yes,-43.69652942446552,C,A,-18.650202387767788,18.921950050936438,D,127.53078621197997,0
Yes,-44.605240813772156,C,E,-121.01432424875512,-78.43285778740392,D,218.63514762905618,1
Veteran,222.1987855939866,C,C,91.82824778636622,-14.922676189396942,B,-52.41027633777884,0
Yes,-73.59740526648669,E,B,-46.7067089306496,-78.61393228112632,C,-1.166937084890181,0
Veteran,158.77221067540032,D,E,78.6747775189736,73.70287542668244,C,-12.269740105186665,1
Non-Veteran,5.859450636902563,D,E,-136.15578710246456,-54.570008170957784,B,-32.18102025955461,1
Veteran,106.53108970489602,D,A,85.6437031059807,51.767987362614335,D,29.164913872386407,0
Non-Veteran,-1.7569777978021524,C,A,-103.70632193454034,-39.455773269823545,A,-115.64222046253082,0
Veteran,-7.80940476514677,A,C,143.42760309640929,-22.73257766496835,B,-87.356932943686,0
Non-Veteran,-20.950237471645497,E,A,-22.36521488981578,-9.150701139525786,B,45.77146222141103,0
Non-Veteran,-19.661107469266177,E,E,145.47838600543656,-81.76154830476491,A,-71.62231260148162,0
Yes,-72.7829516958419,C,D,-82.72109601155978,64.92570203284578,A,121.6165359646977,1
No,-114.62577342689659,A,D,3.4389056914444716,-49.879974124850705,C,59.343032610630374,0
No,-110.34486028269022,B,A,-85.868897971161,17.014799156719004,D,-185.94266868477223,0
No,56.65602407415397,C,C,-84.03099188489081,-182.67721184344745,B,-43.227190495657766,1
No,54.81884863246076,B,A,192.4502757041727,49.79329078472822,A,21.633450849268637,0
Yes,25.487473158375547,B,A,-35.6461336836636,101.54501021151967,E,32.522752825954335,1
Non-Veteran,7.405889982122181,B,B,66.8663038260451,-19.989432929105778,C,-97.00590494215821,1
Veteran,-94.53892632356457,D,B,71.54923530370475,111.65765543740629,A,-59.857754688287756,0
Yes,-68.36199281446073,E,B,148.5308614748896,-5.683795540355907,B,-4.031738549370513,0
Yes,212.61121887027298,A,D,13.957673155622427,-53.185516065340735,B,-181.82571274514433,1
No,-33.59729207936862,B,A,-64.93543541895342,107.76887940589475,C,-29.44297337380157,1
Yes,-83.2731959538547,C,D,25.19392163070911,-38.650715599128304,C,30.435220185425504,1
Veteran,107.92562298983933,E,B,59.75802085636509,-44.70839906791401,A,46.5465107297936,1
No,-70.20265329297773,C,B,12.609385973525594,20.128340841642096,A,-28.51245758416171,0
Veteran,-67.34484636151139,C,A,-191.63600795105523,13.993627441034112,B,231.11311046115867,0
Non-Veteran,147.86036286042528,A,B,-94.90998552692923,19.35033776183869,B,-71.59404552638895,0
No,56.06668571983901,B,C,-63.01596363665675,79.15252678756472,D,-77.38064259429923,1
Veteran,81.39251454441441,B,C,-51.798697654220504,-52.950277071256494,C,73.83189618976512,1
Non-Veteran,120.08122269765886,C,E,-96.34184039183216,-27.79580606990341,E,-58.84833099491774,0
Veteran,-135.37857036816885,C,D,-64.75759490422874,-102.82127333601704,C,35.775918054712484,1
Veteran,61.44142364187387,A,C,99.18616288797506,7.0455936930057295,A,24.69591114176344,0
Yes,25.526008164333554,C,A,304.2594923044721,130.24452739811915,B,-71.76900028901568,1
Non-Veteran,22.63361458591265,E,C,6.252775252810553,-81.98441962574684,E,47.13387949741012,1
Non-Veteran,42.64480665160506,E,D,21.622951518472856,-47.08621567467793,E,-176.8933417083909,0
No,-96.38687417760566,E,D,43.88097874325602,-18.778472478570567,D,91.75953279314759,0
No,-39.20485964400754,B,C,204.38628887999326,136.527253943745,D,-7.78988752167446,0
Non-Veteran,195.71208025340297,C,A,-21.977763135812516,61.13617206168982,A,10.74547004017002,1
No,-29.726819843315504,D,D,7.3687453471896385,110.62533645654415,C,35.38103358172197,0
