ethnic_group,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,target
Hispanic,47,B,75.48124688333597,E,49.875428560905114,72.01893300562512,1
Black,20,B,-57.158960098177005,D,-85.94834949081798,97.96775852122207,0
White,97,A,-12.61586162932454,B,-39.9463624921319,-12.21995328691956,1
White,23,B,104.17565306350053,E,68.96275868690715,-92.21254336420557,1
White,47,A,-107.51199590665665,B,35.431955085142555,-121.62291445672257,1
Asian,19,B,87.81724577828753,E,11.036446122378218,-46.42274787253633,1
Other,24,C,-62.57605582950912,E,-75.31536369045101,-67.14057376258012,0
Hispanic,27,A,183.1649345025311,B,-93.16673195478583,-109.4932483507286,0
Other,53,D,97.75318282168743,B,30.358168422463937,-28.518046950112385,0
Other,99,D,-28.58058426259899,D,-59.51329080155957,139.7667703325618,0
Black,36,C,117.59946839504278,C,35.59906803095168,-35.39746224717716,0
Asian,54,E,-42.04251560921471,D,-3.4622518370128197,82.56837103870511,1
African American,73,D,63.234158310316545,D,60.65402201347351,119.66067033656951,0
Other,30,D,-22.027903066543452,A,31.237370612438525,-112.9275636375026,1
Hispanic,93,A,47.667008747457466,B,-140.6869002746275,-59.62166315753209,1
Asian,79,C,11.054505927033253,E,-187.24767172021086,-26.457328069534253,1
Asian,31,A,-175.80682197800934,E,-34.797109968682975,14.669693350647616,0
Hispanic,91,C,72.11560154307088,E,-105.24272862037635,-95.9623574567039,0
White,36,E,-128.93051860735275,C,27.88826606134469,-116.75200587919316,1
Other,96,E,53.355637349842745,E,65.3096743144282,-68.23313398187497,1
Black,72,E,171.12737040929872,C,13.131439831198497,64.6590729225002,1
White,83,C,133.4853999244616,D,-54.60410277243868,179.7097808449391,1
Black,86,C,132.37771100495786,C,10.424526269638672,61.05771475243162,1
White,42,C,29.448888607717073,A,16.25105536766731,49.762678817482175,0
Hispanic,64,E,85.962382198022,A,32.260627652130204,-5.466002080112785,1
Black,52,C,-133.27870049685066,C,82.6947280754794,90.63241688426596,0
White,47,C,76.30668528730918,E,-155.52741550199738,10.97018086730966,0
Other,19,B,-35.839152511708946,A,-122.65953626229368,30.078224382055474,0
White,70,B,129.1185417164354,B,-140.71798644691467,-52.944320617217436,0
Other,91,D,-35.22064592607633,E,-69.2863590778885,-119.75442333304747,0
Asian,51,E,79.17522503638384,C,-73.64303729103472,-20.1795781894546,0
African American,87,B,1.0646823748775947,C,-69.53703577482412,-129.2550184197934,0
Hispanic,41,E,35.34380549837338,D,40.65191843367713,80.3294516027448,1
White,46,D,-63.63414728357032,A,32.97635815952742,-31.046744085156142,1
White,97,A,-43.72041942406234,B,52.58819939787812,-174.58016792556393,1
Hispanic,64,E,257.4917525424217,C,123.97000207706074,31.81404246026412,1
Black,90,E,-96.64865064266031,C,-143.9753199316321,-85.8371911832596,1
White,53,B,179.98300142880535,B,-61.78631313989634,90.09804502970775,0
Asian,31,B,-86.25712190235026,B,10.834919357146141,-107.0474071500577,0
Asian,43,A,-160.38502016976753,A,51.52237452574462,-73.88373599374715,1
White,86,A,3.2796179209089384,C,-22.86702170107617,31.499177886850095,1
Asian,95,C,-1.1645395804616059,A,17.328319362817922,355.95615798246746,1
Black,70,C,-64.46600645504346,A,96.66117566079582,-69.92583717966735,1
Asian,70,C,19.63867313299469,A,-11.492501408980019,117.2854201782028,0
Other,47,A,-53.20808148859504,B,-52.363325849719864,100.04474673521817,1
Hispanic,55,C,88.40722636855531,D,-34.09506644959969,-65.04732284442699,0
Black,52,E,21.794493057887856,A,-115.7192741166699,-5.466629133705521,0
Black,97,B,-143.30592848799145,D,-89.4681054933564,-41.635966785411895,1
Asian,50,A,-36.67940560654968,B,64.44471204025278,29.733548357874152,1
Other,62,C,234.72817432314065,C,54.458638644756505,-79.60094453857627,0
Other,80,B,85.90205999516911,C,9.508893528547372,187.2325250333561,0
African American,36,A,57.53056853364681,A,-135.48804073365514,39.434655055045084,0
African American,35,A,10.98011207791742,C,151.19129991958448,68.14354792320533,0
African American,80,D,2.6741604413384064,A,-61.07919743653149,-55.76322986660666,0
White,33,E,-75.96338119447992,D,-189.29305976615674,94.98320505429383,0
Hispanic,31,B,40.85847229534811,C,156.72698465262786,-268.4279478009389,0
Asian,49,D,97.09934331972246,E,-179.8057201240717,77.12642795460127,1
Hispanic,47,D,-86.5459295988745,A,11.735026340269474,113.37163390209031,0
African American,23,D,-30.8593665449856,A,83.26074559817437,-6.49208390508593,1
African American,28,A,-15.757815933378627,D,118.85077615994646,3.7773897217431345,1
Black,39,C,-197.47200846638196,A,73.16895429706449,-65.09538284533849,0
Asian,56,A,-70.21662355570484,B,15.884064118887284,26.535099420855136,1
White,34,E,-52.02482631538553,C,-14.335347407300809,45.78263678057404,0
Asian,46,C,59.55814809335214,D,49.45554515235443,50.64114632408264,0
White,97,E,-77.78968157586648,A,-9.3696190396051,19.65505608356672,0
Asian,23,E,118.49151652043646,C,141.66075112490552,-2.902337637769434,1
White,26,D,-36.905309642629504,E,-18.06081441244934,-86.99927867453185,1
Black,90,A,132.50766380356208,B,125.81312023901683,-76.56260034672759,0
African American,48,A,175.9059318686776,D,-38.69382588954401,-138.0828602957927,0
Asian,41,D,-100.46998300819459,D,40.56705804760016,-67.01893451884519,0
White,48,D,54.0820609473202,E,108.88122764739367,100.6739536625234,1
Asian,64,E,121.08925534316582,A,108.94467469906344,158.51923508651942,0
Black,22,A,-80.26960031027875,E,100.49889845679483,82.98253134620943,0
Hispanic,41,C,60.87357152298228,B,-103.13693455746824,-18.97339618495604,0
Other,21,D,-46.29264429717364,D,161.06040112933172,-218.58148643376504,0
Asian,62,C,1.7941872611602245,B,-139.4822994507506,231.48464138983127,0
Hispanic,85,B,37.79374482144418,E,-34.989221760213844,-47.352258658286445,1
Other,88,B,-14.10082279542113,B,193.006357100205,-22.062011074526634,0
Black,92,D,-183.17638290548774,E,43.19894747714718,46.98503662248809,0
Asian,28,D,82.95949340431565,E,19.98839395193711,99.08553714206224,1
White,83,C,-14.803778899682987,D,129.7096529949731,25.314918932171654,0
Other,20,E,-89.6775111702601,B,124.2369944389094,55.82588564506212,0
Other,47,D,-108.26967844838158,D,-81.75231588379296,-146.46253150329184,1
Hispanic,80,D,135.13822969195522,E,-115.00336784547565,-97.04244384499658,0
Other,82,E,39.420202051758636,A,48.057322825887525,71.58228145353148,1
Black,42,C,-135.91127371007775,D,192.5734747594601,-107.1524611000543,0
Asian,95,B,-87.80651098991238,A,13.908442996462064,53.77170353937824,0
Black,65,A,-71.84961608443582,E,-96.85108992979275,-54.87651953088986,0
Hispanic,75,E,26.527045909609935,B,-24.681285989817475,-96.590593793091,0
Asian,58,D,99.79498028655759,A,-6.502411959948656,-91.03020017216835,1
Other,95,D,153.16740328887548,C,144.9024111180964,208.06684751040382,0
White,78,C,120.62333580044809,A,110.56937618359252,-89.51096113167125,1
Black,95,E,88.28804766240897,E,-77.07473245174201,-82.05174493590826,1
White,64,C,22.296329538881324,C,36.42574829918168,133.00320103845408,1
African American,67,A,-86.57056908741674,C,-49.634508760013944,204.93795695005628,0
Black,99,B,41.7501358699197,E,-95.91512481576183,70.83904978110563,1
White,41,A,-23.936950300173134,A,-11.512151818064224,-103.63214224604044,1
Hispanic,86,A,50.87504640234604,D,2.8934375332587843,0.1605291375453444,1
Hispanic,27,A,-4.96597860199703,C,14.92522244558925,130.6623735851271,0
Other,98,A,-71.62318308519488,D,28.885879423770355,3.7733805425744915,1
Other,67,A,-98.00878410981588,B,-42.55456938624238,-45.759498677721375,0
Black,28,B,55.855401082939174,B,-151.33123827732982,-13.889361273955014,0
Asian,63,E,62.784224688384235,A,32.55762205595863,20.9209208823775,1
Black,54,D,-6.492620555065927,B,-95.44659250218109,100.5853715281714,0
African American,92,B,95.38928679665193,D,106.8309916559337,75.15943487774237,1
Black,36,B,-47.13335541071898,D,-193.34725977594667,14.920128375935857,1
Asian,41,D,110.73765528025939,D,-83.59455639204846,90.0101014810096,1
Other,42,B,-44.16662008610873,B,-111.0498004491135,-139.37107752067274,0
Asian,59,C,-29.76676753584927,A,-22.28270897831746,62.223795648096136,1
Black,92,D,76.42947366414138,E,-177.6765101847291,170.98110246034713,1
Other,45,A,29.475495357313143,A,-119.54929963073636,-75.98687063651319,1
Asian,58,C,2.560411059745432,C,-71.08928644546123,-21.610181985725628,0
Black,26,C,-33.78561539844818,A,-26.963479439592618,71.20834017422004,1
White,53,A,-157.9880427234034,E,-33.35762512794646,-89.6942359682371,1
Black,59,A,121.36616601235457,E,-74.79493965988122,81.63508827675928,0
Hispanic,35,D,-65.44562152414368,C,-4.022051618790649,171.09774926577427,1
Hispanic,91,B,147.06452401513351,A,-17.777530537157407,51.374097479421586,1
African American,62,B,-181.80185504552165,D,-185.51180593299114,39.96075055936236,1
Hispanic,24,E,6.460470376111119,B,89.38616393308988,-83.19225015106937,1
Black,65,B,34.68549407341154,B,61.34036702632266,-129.650355428162,1
African American,84,C,12.795802088130461,C,66.26835084745838,-18.66455474415997,0
African American,85,B,-19.217565082012953,A,-67.632535479881,-56.93857379610229,1
Black,61,E,-214.73852423825318,D,-89.86303040374128,-123.3115105648718,0
Other,30,C,-56.80936189118895,A,-7.108265304306428,128.39477982567269,1
White,23,A,-79.06567562395747,E,24.050091644993085,270.0996674175284,0
White,63,A,-59.93577619935709,B,-16.429934073442976,-12.154604268310141,0
White,65,C,95.16541222087055,E,75.13673256520119,-228.5784394235868,0
White,88,D,87.35583994240682,B,-25.01324386276591,3.5392353548790014,1
Black,59,D,-5.994446513052751,D,202.0136534506005,-24.98058369834161,1
Other,30,C,65.60810149769448,E,150.82111088096372,52.27549791998346,0
Hispanic,29,D,-50.473964005881776,E,57.922505358707554,-46.720152259014405,0
Black,22,C,68.30011750893588,A,27.774709699814142,81.5311177009,0
Other,41,B,-34.56768812386926,B,-137.52413652501593,-27.281501038685658,1
African American,39,A,-52.01866799998584,D,-80.0309351478085,-89.15476481300753,0
Black,26,A,-5.516158531289114,E,-21.188100437772448,7.929136872078992,0
White,38,C,7.075841855235593,D,82.72683458608253,77.32187693259768,0
White,69,B,-3.6325776361571647,D,-65.9531418757034,133.40926876333242,1
Hispanic,58,B,9.089124224330613,E,-72.76210734387976,-19.337516111187448,1
African American,97,D,-57.21223911708804,C,49.36245027455014,-122.09868473678786,1
Asian,26,A,-37.87770678593687,A,-107.58453872888174,-127.47634803961407,1
African American,72,E,50.672421120858125,D,96.44371595651319,64.83929010622217,1
White,64,E,-133.23290914346597,C,89.89637596211908,93.70172379678407,0
Asian,65,B,94.66273717291955,A,104.68559744116939,18.780629947515216,0
Black,18,B,147.27383174206207,A,110.33392207302639,57.171769488865095,0
Other,33,D,14.227225602782026,A,-46.26201566742875,41.92932657385715,0
Black,87,D,-97.17027350404918,C,93.03937919909345,4.450011170063363,1
Hispanic,71,B,-94.66609458532372,C,-121.82099604702668,-34.30075004222105,0
White,22,E,-81.7875948631805,D,-120.70021047975932,-31.64796475460312,1
Other,66,B,-29.21611182927401,B,-52.85176460166807,95.10610721304018,0
Other,61,C,-72.79849606525863,A,66.96153405731305,89.95966223191701,0
Asian,80,D,-108.88685383870703,D,76.7183422345779,-33.84979394581145,0
White,92,E,91.3105062180866,B,69.25468764016236,22.261756707097813,0
White,77,E,-164.64344544995504,E,56.141291996944396,-184.24210126064247,1
Other,91,C,147.00603617585898,D,18.112871118845316,-172.5316409612456,0
Hispanic,42,C,-120.43408935109991,B,-85.4248292039426,70.67044999063519,0
Black,86,E,186.875164202038,B,64.07782160738074,-175.7229637676648,1
Other,78,C,-104.61004057192125,D,36.762887223657195,-25.750244159227904,0
White,60,C,63.29841520138228,B,-38.905449738544036,-220.60105257985234,1
Asian,54,C,87.46976907458355,B,-54.888878133839825,11.75625458181598,1
Asian,51,A,-58.096934557032554,B,-145.57591593968874,-32.75842971300351,1
African American,97,B,200.1622894254329,E,-223.26663348589227,88.52884252164526,0
Black,21,E,-188.4673454666625,E,235.15953907719341,73.76849269542966,0
White,41,B,142.8606311824531,C,104.83244553377531,-139.1864035617028,0
Asian,34,B,62.78887059010645,E,-140.1047146869678,-9.252622441887276,0
Hispanic,87,D,-59.76933964693399,D,103.63985716734905,-89.43191230559295,0
Asian,55,B,-116.45175403486616,C,177.63900289936817,22.845688675069113,1
Black,84,B,-64.90847577279894,E,40.86253937120405,-213.71810204261425,0
African American,95,D,-184.61681105697542,D,141.3058149727444,-92.0736037872418,0
White,87,B,114.85728197440068,C,-74.39082313486186,-27.682002887067814,1
Asian,54,D,-264.50648030696084,A,7.511802024003049,258.55340653133163,0
Asian,86,C,-40.348323452955675,B,6.627113009158824,31.27927809907923,1
Hispanic,97,B,-19.08720153754966,A,-14.981435720861697,82.3956141577365,0
Hispanic,67,E,-139.5446871198918,B,-92.3415979393083,70.5264853516609,0
Other,32,A,33.66218246295985,E,-238.88463139134467,12.194670335246393,1
Hispanic,66,E,91.04079504569226,B,69.69371191371164,-51.9437348974546,0
Hispanic,29,A,68.85371445726092,A,-125.33793568257856,-229.7183707403329,0
Asian,98,B,142.70780951292,C,141.31417209699228,-175.0088629904567,0
White,91,C,7.055346450868971,E,-7.87107858578316,109.0393125651127,0
Other,72,D,-189.32082396213792,A,-41.28341215285117,-37.525344201745256,1
Black,48,D,42.32202613882358,D,43.054710124189086,106.55295619911129,0
Other,63,E,-135.5810342846054,B,99.4380937530364,-158.33163369972644,1
Asian,88,B,-112.78093714943915,B,-17.56507044948674,-23.589725728320705,1
Hispanic,78,C,105.58335878419456,B,-98.69922970319504,95.16199714956251,0
White,92,B,-25.555126499099963,C,4.973167843796289,3.183773651835917,0
White,82,A,51.20315650198043,E,-79.93350194883921,-102.8637900941292,1
Hispanic,44,B,63.10201354567377,A,-81.10875689175784,-66.81517790353324,1
Other,79,E,-63.379082286622804,A,0.6616234270559457,67.72841604692957,1
Other,37,B,-112.55870031761086,D,60.0446922410992,5.9754584762451195,1
Asian,25,A,86.85380309618492,B,-16.641749933297874,12.880935471643184,1
Other,47,A,-6.828373886911661,A,-56.21929082701658,138.19756600710218,0
Other,91,B,-46.69572825101823,B,-44.99116208960391,22.90154374059357,0
African American,58,C,-88.43731842290225,B,-1.8461805914392535,-38.82832993088505,1
White,84,D,-4.650735151071748,B,70.8070636416079,40.36555594259711,1
White,75,A,84.50681496852131,A,8.110265894006876,3.9465617104724786,1
Asian,98,C,-90.31069786147447,A,7.086153099196836,162.79364911130446,0
Asian,61,C,168.36117218156446,C,-154.70387103295423,-89.72103579843204,0
Other,69,A,42.53879208926725,B,-146.77764628791607,57.40455726471981,0
African American,74,C,-80.9989550849849,B,-98.25968814138123,119.28283792415817,0
Black,19,A,62.92194701896459,A,18.392162581237702,-26.721483746480203,0
African American,88,E,-94.67537057357107,C,-217.80389331155217,-128.2122734090384,1
Black,74,A,-9.311037929867,D,192.9405375387879,106.61039268073354,0
Asian,62,A,-11.31480654425266,E,26.579227563106794,83.20002658042394,0
African American,85,A,-200.02714501309117,D,40.79996768991172,-97.4400158298113,1
Black,31,E,101.99672976336194,E,-53.47694901348042,-2.8448517543975176,0
Other,27,E,132.9147270076853,B,15.628786179615043,59.15360247598201,0
Other,35,C,9.09148776380102,D,-53.036528823781836,-62.950641857211274,0
Other,98,A,-35.57078685928959,E,21.10268857520369,38.17131848434001,1
White,35,C,-176.09171008957273,D,5.30951802826203,53.54808316783321,0
Hispanic,79,D,29.514621312617646,C,244.68181780719246,-129.7960358189544,0
African American,93,C,173.69683902560632,A,-50.142853003378185,115.03793919035448,0
Hispanic,32,B,46.95991408515989,C,-34.19644026761509,112.83019023953025,1
Hispanic,23,B,-19.97646004062613,E,211.89788074372458,108.51010362073255,0
Black,72,A,32.48272214094508,C,197.896903702794,-73.14057109380674,0
White,78,D,57.90023621728403,A,-72.7110100326897,67.12743275307294,1
White,32,C,-72.16238567063182,C,-30.38866652177973,-94.81433350264686,0
Asian,34,C,214.40322276992254,E,-54.92076455986113,140.6088807896975,0
Black,18,B,-5.848443835003956,B,-17.766361411355547,19.84089546122096,0
African American,25,B,-23.20225969829974,A,-102.64149291379279,58.59725187245752,1
African American,69,E,84.4519018232794,A,58.63758707172625,-107.46404185565488,0
Other,95,A,-54.531588274874146,B,-0.6656241748502931,-11.156316936860225,1
Black,34,C,-77.34187004362657,D,-155.2649283792844,-28.80985981013407,0
Black,20,A,-27.579307547393217,B,-34.44752712963634,24.667394375938894,0
Hispanic,58,A,71.03076325774842,A,113.71755086966759,-45.699095515217806,0
White,34,D,-58.62324575030965,D,-166.90574689462977,153.61508043792196,0
White,34,C,205.71204582334542,E,-12.885435644389975,-85.14689626821489,0
Black,36,B,-10.797932705372007,C,-69.45901625148224,149.4700339542276,1
Other,90,B,122.97575031366424,B,-137.1333224319906,8.970206936652296,1
Hispanic,35,C,32.94162026141116,E,12.481372847643904,95.49194360481033,0
Hispanic,55,D,-39.35565103220136,C,34.91229435819994,-192.5860094833616,0
Other,64,E,95.26206298495711,E,38.56222209351856,-264.65365956910574,0
Asian,66,E,-78.47706746630834,B,134.68313099933803,-43.91517309807439,0
Black,53,A,66.30439400632434,A,-207.5098551350066,2.0239174486620164,1
White,52,D,-225.93076583423604,D,1.9210123233339567,-129.9164222578973,1
Hispanic,76,A,97.40827143468843,D,34.02372741174734,-6.7143177594387575,0
Black,91,A,38.46524705200222,D,-62.13994323507863,-98.2851387968967,0
Asian,32,D,49.54243880572544,A,-78.94073478782595,-2.3923652264531303,0
White,73,E,136.55490974047416,A,161.90036800976833,-68.03921900237239,0
White,85,D,-31.291822695042242,C,19.41925038240397,113.03908128171459,0
African American,35,E,-244.4078947189753,E,223.6640096821923,-98.19875772830501,1
Hispanic,26,A,-77.94336326181106,E,-3.87152792474937,-135.59683325546635,1
White,47,B,-82.13831394901374,D,-63.726022560053586,-81.074298841085,0
Asian,68,C,72.70523352176671,B,141.63227259520625,14.203058788776149,0
White,38,A,-217.98209138805368,A,67.7898424895556,19.272660253466746,0
Hispanic,31,D,22.638024812517983,B,-139.0995240058031,-70.15995749812237,1
Hispanic,24,A,105.04449549431172,B,13.58658337100409,22.6586879560822,1
White,89,E,-167.24504788226682,A,-15.059402444261433,-197.2525197638753,1
Hispanic,37,C,148.46643698512406,C,-309.5470100427354,19.439113661341555,1
Black,31,D,-75.210247316491,C,-77.09248554582172,-202.92632131680767,1
Other,70,D,-49.065291173825855,E,10.493930063210573,-75.25061865720932,1
White,85,B,118.93911819058354,E,-67.66729879253862,276.2022732563091,0
White,83,E,-0.5637003112335908,D,-31.615287799500326,-20.98410973786332,0
Other,27,E,-73.61297284835133,D,76.09763600135406,-142.76825195713124,1
African American,56,A,-99.49839025579553,B,-9.193855929636968,160.45631193530406,0
Hispanic,35,B,-143.789956978433,A,21.424726048285024,-36.80792643364765,0
Hispanic,94,A,7.274793928195438,A,103.27141432569944,-8.772703112906264,1
Black,58,A,-54.83502394526405,B,95.01244477626747,-146.04795801551003,1
African American,91,D,-99.34527986661197,C,47.639944935599345,-89.78654338498936,1
Other,33,C,-13.038987889165767,D,-81.40928262270523,21.98547007563182,0
Asian,85,D,0.18298432849197263,B,20.031184286630342,90.25229824734673,1
Hispanic,78,D,-18.60483380096916,A,-19.886889679761513,30.491470874330144,0
African American,83,D,49.83900104487166,A,-45.88534396073863,-32.070874950583274,0
African American,35,C,-114.35182606659644,E,-122.46520794261396,83.40329668976358,0
Hispanic,78,C,-18.394573470294553,D,4.259493589911753,-99.37219602741666,0
White,37,E,62.681536511305595,D,-118.38981566329592,2.5715866275622306,0
Black,83,D,-34.15151775223668,E,-112.9254108984713,-208.48772572543356,0
Black,39,D,-83.27734494648602,A,-30.375672714683628,-0.7229351641976139,1
White,38,C,196.65576146321337,B,57.661088366023705,-12.97322839218391,0
Hispanic,61,B,-29.768146399969904,E,-17.3897430371043,191.48659225828135,0
African American,95,E,207.14144492429347,C,-137.72688846876753,25.210251346145224,0
Other,83,A,-84.29835162900321,D,6.870501569261058,-256.9396312912276,0
Hispanic,88,D,-82.75488437502952,B,187.55118380968153,-68.19648263162185,0
Asian,54,A,173.9713307548129,D,-9.857697963377383,-59.45714427707267,1
African American,88,B,8.24493092725999,E,69.1217546970667,-91.4839021786599,1
Hispanic,63,E,28.364250162733416,A,62.56037705875864,62.57860965707943,1
Other,31,A,125.59566777026299,C,-88.47626804374512,7.681145867157413,0
Black,58,A,-86.49326422595111,C,77.31345890562736,-114.43464854783869,0
African American,34,A,62.183419554011934,D,162.44193756287282,144.56823023211075,1
Other,40,C,-95.46620090047378,C,25.522207349793906,85.0605554895697,1
Asian,51,B,-79.04331149222782,D,-135.88073701393157,30.10517926542546,1
Asian,83,B,49.55470061006658,D,-33.76945233890255,152.66376105400033,0
Other,83,C,-22.980172589398503,B,-146.14497045009458,68.22209698120079,0
Black,43,C,46.942016294771896,D,140.9596259428269,55.17030764797237,1
White,86,A,-4.773085566732382,E,-38.785423702087535,137.45261478533556,0
Black,69,A,-114.51261906870639,A,-90.5364709131805,108.60501010955932,1
African American,37,E,4.872267993713715,A,-2.5651394678969277,73.89858987797727,1
