ethnic_group,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
White,Christian,C,E,7.619886385590591,B,-34.22644663011004,-56.097727449174094,-38.9812983753782,C,-39.54468352050436,B,A,E,D,177.33082171744178,1
Hispanic,Christian,E,C,-124.86704555182307,B,-156.79548858717797,213.2282743839263,55.24686793470054,A,-111.3314510564997,E,A,D,D,44.901317872342005,0
Asian,None,E,E,52.054010085971555,E,-40.721553475976,-28.261224712892087,-198.37778559943706,C,-43.63094146871872,B,E,D,A,-73.70250742908176,1
African American,Buddhist,D,E,56.53440183403696,D,190.9113109824085,-94.1229270701944,70.65375666941938,B,-29.419199384010604,D,D,B,E,78.80617338489438,1
Hispanic,Jewish,B,C,126.35228934594514,C,9.1817965886762,243.67247245754453,-59.951381993433706,E,-4.239882047647969,D,D,D,C,-100.22038386082099,1
Other,Jewish,D,A,-91.25688059614268,E,37.59456570115854,-50.73358119690771,-34.21720594524065,C,-51.24555845587951,A,C,B,C,94.76118006171345,0
African American,Buddhist,C,E,76.27922701775755,A,-138.85057076750365,-163.2870828619659,40.425898272496724,E,-55.07184498688338,B,A,B,E,92.048733958764,1
Hispanic,Hindu,D,D,-108.63765683405036,A,-33.639839812696046,-92.19465965894692,19.059062193838503,E,165.21233807815693,A,B,D,C,-9.761055416834598,1
Other,Muslim,B,E,-76.02714186979102,A,-32.548306164845776,-9.60042301726672,7.993746130995952,D,-236.2110407270584,A,B,D,D,-209.8316673153235,0
White,Muslim,D,E,-73.53465435846776,A,111.3944811611955,6.140086408408962,10.146005544374574,C,-167.40820728236736,D,D,D,A,82.9601250641147,0
White,Buddhist,B,E,288.09474160848407,D,-23.98344276758362,-93.0568476085964,-114.210970857421,C,132.81448422481316,D,B,E,A,58.95983757472769,1
Other,Other,A,B,-2.46876847609355,B,49.09014219549509,-76.20775317114632,-150.7223802305656,D,-90.06120181878016,B,D,C,A,29.04132758066702,0
Hispanic,Other,D,C,-182.27058047790132,E,-65.94152920644227,-228.82865354662073,-93.84900744204906,E,-32.30384267301851,B,E,B,B,122.70850747482986,0
Black,Muslim,B,A,-50.42666816211232,D,10.265651430533824,19.886923662292908,-20.646624920827875,D,-25.81883633252358,C,A,A,B,-16.701334599056338,0
African American,None,D,D,-50.27358814871706,E,-5.413923977437421,-30.259115320093656,-77.62082409839637,C,-98.18850146171908,B,A,C,C,28.753134833051746,1
White,Christian,E,E,5.766869916701343,B,-134.79704308356605,-138.81596849005908,82.81701879575515,C,-197.879824583478,B,B,C,B,-65.8981391683744,1
Other,Christian,A,D,-48.897459062174036,A,-82.75125804298092,53.46166617713154,33.46439218332131,E,12.325768974204555,B,C,B,A,-140.14671194144387,1
White,Muslim,B,D,-134.20803115529984,D,-151.63048856922657,-24.157457125999013,32.963381564733716,A,7.623607663669757,E,A,B,D,-51.65474800537616,0
Hispanic,Other,E,E,223.77868081101613,C,-34.791770868884285,131.58229776140053,85.12500691089663,E,-194.33988573788952,E,D,D,B,100.78066129598031,0
African American,Muslim,C,D,65.4880555690753,D,-11.288120991970798,-58.65290214675641,83.67218874110546,A,95.65635515165492,B,B,E,D,25.438122315062312,1
White,Christian,E,D,91.61516624032198,B,-128.5206979838622,197.1005922299191,-65.44469091930385,E,235.41130414992546,C,B,A,E,-71.30976535104307,1
Other,Other,E,E,58.228525101404436,A,21.535343020054015,-13.04450530921821,-137.18554609758155,A,34.435657959157155,D,A,C,C,-15.8297104906851,1
African American,Muslim,A,D,-5.202719099113909,D,82.54202681348463,-145.3413877621505,-262.8349764696503,C,108.41987017234706,E,B,E,C,-21.670442757180737,1
Hispanic,None,D,B,-12.12717030400326,A,-29.017965454385614,-64.02031434518022,7.650299924006168,E,-8.15818369096791,A,A,A,A,-247.0631310260739,0
Black,Hindu,D,A,20.491662958199548,A,-106.94900308140518,-84.68753049529143,-27.301637220523016,B,-37.45381781282348,A,A,B,E,36.52384534570936,0
Hispanic,Hindu,E,A,16.385574010258363,E,62.18691606442077,-125.72481589323739,-31.648615153731797,E,213.51829942836065,C,C,D,C,-159.9806742253887,0
White,Christian,E,B,-117.35249325874288,B,298.57023783479184,-35.478722129824675,3.4690589234485314,D,-99.33945409009112,B,D,E,B,-4.930701452433814,0
African American,None,D,E,-37.911962414180714,C,-7.055438866825596,5.178896763197712,265.01795201014227,A,-220.3491063739485,E,C,B,A,9.832218779699465,0
Black,Buddhist,D,B,126.98398100797431,C,-154.69351119814274,95.59410781553983,83.72469872014734,B,-108.1856202539822,A,D,A,E,-3.0720666168440913,1
Other,None,E,B,119.49647253558115,D,89.06335490757968,-64.9332701510603,78.10510975174898,C,79.09860415683623,C,B,E,D,-233.72806151924465,0
African American,Buddhist,D,A,70.9748148478288,B,26.237765865187374,40.225937158591485,-191.78541287211758,D,-126.66965962556544,C,E,D,A,-70.26607962275523,1
Asian,Muslim,E,D,-128.31286167004026,A,-100.1390827955757,-15.015792351664492,70.98501935467526,C,62.66954604428591,C,E,E,A,43.24498495405209,1
African American,Other,D,B,249.67962470523122,B,-147.8079289179322,-96.8430189216109,-27.2763414369349,A,75.93789163755096,E,D,C,B,-75.68812499473799,1
White,Muslim,E,A,70.74950347230924,E,-4.185050118005954,99.21634030176436,-140.1300486422618,B,123.01335893691984,E,B,C,A,-20.432027237692406,1
African American,Buddhist,B,C,67.2511701125195,E,130.91738982776576,-38.530576393288825,52.77861842753659,A,-155.65521617767186,E,E,D,D,-102.59351461174535,1
Black,Hindu,E,E,35.26380159956305,A,58.473746259734924,-25.12126977036354,-48.96150795469057,A,-59.8797696771692,C,E,B,E,117.03501574957616,1
White,Jewish,E,D,-31.509665559202066,C,52.62809670158255,177.91859868338454,-100.46636124934889,C,-113.5682028724029,A,A,B,D,2.0061160987050055,0
Hispanic,Buddhist,A,C,-131.378520121547,D,-43.66988908743752,41.6976953798676,11.092443158045455,C,192.31263734196793,B,E,A,D,-51.59381815049813,0
Other,Hindu,A,E,-141.7431130593999,D,-7.169684059680502,-2.974335100750452,48.59686021863853,D,-41.865066791258585,C,C,A,A,57.65828766504178,1
Asian,Buddhist,A,C,-92.89936855805341,A,36.56590771701966,14.037772944677082,-15.055109274051127,A,161.8058140761827,E,E,D,C,125.08298596618165,0
Asian,Hindu,C,E,109.08025803039627,C,4.6842495886718,33.44768350050075,-172.91328211973476,B,-56.135863084193694,D,C,D,A,148.03472861320094,0
African American,Christian,C,A,-130.59334511007344,D,-134.37214867137766,-153.8441769338401,-20.06896599272307,E,119.03955727266397,A,D,E,A,-0.34253631519078265,1
African American,Buddhist,D,A,-0.23193615092498127,D,-135.62149222612584,-97.13158962164333,73.17655413063126,D,-56.26617591278358,E,E,A,E,-93.92532823662815,0
White,Christian,C,B,-10.61239708101597,B,-8.118925584183753,35.7209731742553,23.38342232186787,E,-160.81415061936298,A,C,D,E,-243.32270680753805,0
White,Other,D,C,5.204897383425521,B,-150.58470944308377,71.11433948784281,3.818340856300116,C,-105.44677902795765,C,A,B,D,138.75134449299097,1
Asian,None,B,D,-86.35221566872318,B,43.65580028368864,-44.08866941849659,55.86135088023808,C,3.421324787035668,D,E,A,C,27.961860342404922,0
Hispanic,Jewish,D,B,-160.63093064145718,D,-48.31577152943595,-35.77869584700642,-97.59933122281362,D,-45.97479828895242,E,E,A,D,-26.240904303592956,0
White,Muslim,E,E,-13.846601721548657,B,-41.69443441408755,130.36990888606138,91.00640789664625,E,21.29098804535382,C,C,A,E,-184.78248368785177,0
Asian,Hindu,A,E,-24.00637993613878,A,137.17706228254352,-37.08702839099501,180.23247352480024,C,-73.97563359230884,A,D,B,B,-122.0168449149456,0
Other,None,A,A,88.68993812535824,E,-125.12422984475846,6.51824398720921,247.02947052974395,A,-12.752207176898025,A,B,B,D,13.71793319366775,1
Black,Other,B,A,-41.677435039303624,D,-354.6348090597001,-50.245795100655734,233.34155308330517,B,-109.5507945232524,B,C,A,B,25.960688528134707,0
White,Jewish,C,D,79.85131984774765,D,72.29602599547718,-85.9194695853897,-56.33506793511746,A,-38.473737570924534,B,C,C,D,43.70668199251294,1
African American,Christian,E,A,-52.54311707297356,A,-236.25382029916943,-48.853009610281134,170.3571292107631,E,285.2311607951913,A,B,C,A,19.696470499407056,1
Black,Muslim,E,A,131.89635557499085,C,206.69843359123564,-24.97495757055441,36.771186210606714,B,161.65154642693543,A,B,E,E,83.33069024526198,1
White,Christian,C,D,-98.88232028524953,C,-26.08943385474147,-30.29502391534154,-178.76436635576655,B,-172.05137768860732,D,D,D,B,10.479855342309898,0
Other,Other,A,D,-322.15654150911917,B,88.20260598453112,-251.75204885097605,12.389654989399485,D,159.71704849424003,E,C,B,B,124.16544291335371,0
White,Muslim,E,D,16.64985745263827,A,244.35807132412873,-54.21354861557638,-47.087598161802866,D,-86.36604212976141,B,A,A,D,23.301315363834384,0
Black,None,B,D,55.36381610484352,E,-58.40031664697962,55.72428477030578,-29.018334890727253,B,-14.253761321899857,E,B,B,D,-77.5231406926978,1
White,Muslim,B,A,48.302313255159774,D,-25.891675297160017,-65.10762189175159,-59.93410543036665,D,62.64695776227332,C,B,E,C,266.77479772740037,0
Asian,Hindu,E,E,61.04356025023287,D,-54.299895374673326,32.86928615214554,94.73777221087354,D,55.332345410162986,B,E,C,A,33.23960321237404,0
Asian,Jewish,C,A,81.65132008359447,A,-6.193841898563422,-27.608108462924296,-138.59564885627336,C,-92.81204507472904,C,E,A,B,-22.191839979748462,1
White,Jewish,A,B,-124.97609068358106,B,-86.62291557598681,-143.54975577922667,-52.56843457584084,A,-143.31911687943438,D,A,A,A,156.17788791942704,1
Hispanic,None,C,B,67.13333184858207,C,-21.54267947030568,-0.658396053220917,-190.4570828604497,B,207.48037402185008,E,C,A,A,-225.72436339704979,1
African American,Buddhist,B,D,93.13951894401825,D,44.64289640302937,-40.33935464579983,-25.870444149265943,D,27.082840149561243,A,D,D,B,-212.34388530947842,1
Asian,Muslim,E,B,-140.98458036890008,A,-144.6309120203041,27.78392787469352,-72.7018575004523,C,83.15313577526669,C,E,B,A,9.116567073359299,0
Hispanic,Other,B,D,91.86418497982847,B,35.29506630583204,251.44479173244156,-24.869231315852605,B,51.001487463921876,E,B,B,C,40.43878290595268,1
White,Hindu,A,C,-94.88915588326171,C,23.233738283838335,122.67254800425383,-197.97166332286835,D,-75.05480361606148,E,B,D,C,-50.69532377201609,0
Other,Christian,E,D,71.71737273059212,D,-44.45154243591958,97.23773618193312,61.74824907768735,C,116.2210078376221,A,E,B,C,152.212175015405,0
Other,Jewish,D,A,-180.93993086963607,D,-16.671165042770355,71.31043375167097,1.6988707117063688,E,20.824700724430798,A,A,E,A,41.95800878467517,1
Asian,Buddhist,D,D,76.03046030411596,C,-144.53976269276444,-122.65919259748874,34.31286502047947,C,-253.2874565858227,E,A,D,B,-99.05430198526669,1
African American,Other,A,A,27.796945397362528,B,70.85992779668886,46.70200938011565,-46.027628860230124,B,-143.19150608252008,A,B,C,D,-164.5800628057973,1
Other,Muslim,D,A,-2.848377216457539,A,107.12896393371688,-62.22955020370144,-137.78038798358585,C,90.78850819792925,A,E,B,D,15.209740130117464,1
Black,Muslim,E,D,143.83949983929293,E,-111.18980214478553,72.92492640697564,-58.16090609652541,D,-45.70446155853616,E,C,B,A,-66.92441256124117,1
African American,Other,C,D,59.884170755128075,E,112.85590679869742,114.29976910089587,-10.678770364978686,B,-76.66947965060663,E,C,D,A,97.43925711251048,1
White,Hindu,B,C,1.3027066481362208,E,-25.240407873865355,-143.45096185144223,-69.78333513241074,B,49.024757256102205,A,E,C,D,11.558917386945192,1
Black,Jewish,E,A,-222.1754271644643,B,105.82022445323145,-199.68603637063802,-41.87893353139555,B,173.79924802816868,D,A,C,B,22.09277543845736,1
Other,Muslim,E,D,-140.7460027208152,A,3.2818832800168445,-23.92933446018323,-80.66032123553781,C,4.689911297175529,B,B,A,A,-36.09639760342273,0
Other,Other,E,E,47.773976070879776,E,-292.10432147874866,-81.77497211817585,-60.75410220582859,D,57.3132168857043,C,B,D,E,-105.31782509626852,1
Other,Other,E,B,43.556534176372985,D,-101.97816533248165,-17.63967999161126,-47.70106344463018,A,85.42053807315455,E,A,E,D,-143.92765363617775,1
Asian,Christian,E,B,-24.45100492501069,C,-62.70252701065435,-102.27475396900412,-20.20311458223721,E,-122.53090170698356,D,A,D,A,14.609802961576621,0
Black,Buddhist,A,A,-26.15886259337557,E,-12.71679079832011,-114.7188675600289,30.35839168299225,D,15.151177086058745,E,E,C,D,55.563127356641864,0
White,Hindu,B,E,3.836166618429588,B,0.37226572604954034,34.913971641814605,-35.52007258486256,D,94.17102907810956,B,B,D,D,232.22737195328125,1
Asian,Christian,E,C,-49.29651818250488,E,-98.78461064515116,79.91895513004165,-20.944801673147246,E,-55.88500290783476,C,B,D,C,-135.1492053863852,1
African American,Muslim,B,E,-88.96980692254985,B,-156.21613847991603,102.13877817015317,-95.866903196584,D,101.22320530906961,B,D,B,E,-118.66364361805148,1
White,Hindu,E,C,250.47122166515035,A,21.923293215334056,215.8209707786922,-76.22268538067691,D,-66.554340717474,C,C,A,E,-164.90892994435166,0
Hispanic,None,E,C,-14.285100209557768,D,-0.3957560863855762,31.936367105941514,130.92351693224597,B,-93.60650598960703,E,C,A,B,-110.06907499220033,0
Hispanic,Buddhist,E,B,202.997496847052,D,-105.30045715991649,250.80233174758712,113.08086712592488,E,16.55459587119936,A,C,E,B,6.107598229019696,1
Hispanic,Christian,C,D,-152.31271802385615,C,-42.85404924770596,10.057161302227643,-9.341939984992731,D,-72.94507521197215,D,C,E,D,197.34734714380718,0
African American,Christian,B,E,115.315227218952,A,-42.23524267775793,-58.025515701059035,156.85577222229057,B,92.36946668822911,A,A,B,E,-169.83648346949448,1
African American,Muslim,C,C,188.30025903374113,A,-82.88811884874966,-69.90071712327816,-44.11392200944111,D,-98.3105749861887,B,B,A,C,-92.49386810304756,0
African American,Other,B,B,81.6698447283907,A,187.70917455203048,50.52746817557746,115.89250658415465,C,194.16335209865935,D,A,A,C,63.057091933672936,1
Other,Christian,E,C,89.84184650752213,C,30.88676136854012,-8.688108806946826,-158.04427696268007,D,-177.31060323160938,D,A,E,C,79.35315247029942,1
Asian,Buddhist,E,D,98.62149245119495,E,33.45030087310173,6.821180918955662,-57.86328780477733,A,-103.09686763407949,C,E,E,A,25.64154309168863,0
White,Buddhist,D,B,92.60471225257622,D,62.11759059718661,-76.25670538207801,-40.7475227376277,D,-166.5190052373167,C,E,B,D,40.31937470098977,0
Hispanic,Muslim,A,C,66.64756762542554,C,134.33810448416267,192.3805841750056,126.2825904391826,D,-149.85830040584105,A,C,C,E,52.7872482614003,1
Other,Hindu,C,C,107.70880286465146,A,210.44700060905365,-34.54630253166186,26.811593895508395,D,211.1566594906211,C,D,C,D,30.642679145865632,0
Asian,Hindu,A,A,39.220653428272136,E,-51.7716671191145,150.55627761134264,17.338567166793307,E,-24.095747992079612,A,C,C,B,118.8922445695493,1
White,Jewish,A,B,97.77515618309234,C,-7.230378332919102,-143.96986861687958,-203.28175681501824,D,16.990367658106226,D,D,E,C,34.03577052198702,0
Other,Jewish,C,B,51.16191394701608,D,-40.4202641945006,50.416377067329975,12.534298272290853,E,-98.44995138658784,D,A,C,E,-23.74774451049898,0
African American,None,C,E,4.512649101372417,E,-23.764308176188116,46.5459608524843,46.72225162378104,A,-10.105881220519384,B,B,E,C,-195.59971050476744,1
Asian,Buddhist,D,E,134.32134683584636,D,-127.38774337684559,69.00042742552415,45.5314554193425,A,-291.5714603306493,C,C,A,C,133.47191026207295,0
White,Other,E,B,-117.15448171174498,D,-171.65197990419898,-74.20759908945966,101.04818506267281,E,164.69772721237928,C,D,C,E,-47.8081695423347,1
Hispanic,Hindu,B,D,29.950360204084305,D,154.60361723253203,-93.97003445140729,97.32913295787674,E,110.68184458483965,A,C,C,D,-75.81068954158263,1
Black,Buddhist,E,B,95.30783261023433,D,-53.63478370074286,104.5073735719309,-173.75912748063814,E,59.540001388419284,E,C,B,C,-21.749620227144536,0
Hispanic,Christian,C,E,-13.380163753619994,B,12.817206379290996,10.087034494147078,-20.165532232200597,A,71.71434632410035,D,C,D,D,73.37133777787348,0
Black,Jewish,D,D,-42.2119585289256,D,48.20395161678431,-311.75864732877255,-207.84150460935328,E,-34.76287373706404,E,E,D,E,136.52236705378246,1
Hispanic,None,C,A,26.99063927606464,C,-60.40128902856638,-33.23131911385199,28.360784036224455,E,76.74773158477444,B,A,D,D,67.13963426746172,0
African American,None,B,C,-54.047092580322456,B,207.9803702957463,48.903979399938535,-46.112751270792465,C,-60.16725196709033,B,A,B,D,75.08187384541787,0
Hispanic,None,D,A,-40.528362645290166,C,8.554228816094028,-29.978191960826805,-128.67991626207498,D,-99.2123917609912,A,B,A,D,-29.44590299321041,0
Hispanic,None,B,E,71.00376332312365,B,-126.11953970611998,-98.52374793091226,-119.58553408112532,B,-188.61808290715823,A,A,B,B,117.22155563973415,0
Other,Jewish,A,B,103.7184656386849,B,57.76087528685011,-129.55204912481898,-10.467227756198811,B,94.89911908613789,E,A,E,C,99.91675813533298,0
African American,None,B,C,61.954321300250385,E,-126.21462026934121,-4.265027395142243,-67.35506545299171,D,-100.96945476985597,E,C,D,C,-87.92967788674754,0
Hispanic,Christian,C,D,121.32692834558331,D,58.015407293294544,-16.722080631510128,23.623876419313543,B,-64.22346530241045,A,A,A,D,-47.195954407862736,0
Other,Other,D,A,-1.7335721060051559,B,-111.56827464827856,-172.06082944824684,-2.0328928538714073,A,-206.70590776740076,D,B,A,D,181.81621916242162,0
Black,Muslim,C,A,-38.12361146958502,D,-15.462143379345228,70.36058364812818,-49.864913552131895,E,35.25266023475089,B,B,C,C,-163.49050377401292,1
Black,Jewish,B,D,144.48270421527673,C,226.567190781743,-53.41930230078052,-60.86061247873994,A,-2.756441696479253,C,C,D,C,195.17426575121547,1
White,None,D,B,-160.37214835600713,C,118.49563763910815,131.6216771382682,75.946787581337,E,-11.799401193097728,B,C,D,D,49.37595286198872,0
White,Christian,A,A,-111.40932454935691,E,144.53325539907377,3.0140092930339715,-101.16947994609848,B,-6.617366237215778,C,E,B,D,-91.79544337436766,1
Other,Hindu,B,D,58.03295378551626,C,-22.273184594564633,-28.760819692941887,-157.60516438803543,C,-24.446449813955606,E,A,A,C,111.1583222028984,0
White,Other,A,A,72.61115589449415,E,63.8727829128942,131.49101684130812,20.832534430543056,D,80.13040361345209,D,A,A,D,66.77480535731326,1
Asian,Christian,E,B,180.71678272984826,D,-2.1375152828172634,218.6195966181525,19.574340519958746,C,24.556668915006263,A,E,D,C,227.93408568613077,1
White,Muslim,D,E,-28.37859917017115,E,141.64563101114445,-348.4720211150792,59.3913609067381,B,-50.58498938918902,E,A,E,A,15.696930359446254,1
Asian,Hindu,B,A,28.351048944728024,B,-4.39748943149872,195.41562701340806,10.253961257318366,C,-60.21188583411911,C,A,D,D,-38.10115877740407,0
Asian,Buddhist,D,A,-70.44541539103813,D,13.31248899128826,-87.94718406818069,-160.07615803808716,D,-72.77942315545299,E,E,A,D,-74.06213264238676,1
Hispanic,Hindu,B,B,10.617327207414037,E,-106.42576857087191,38.00361501498124,89.62340586686175,C,-173.98979583197396,E,A,A,B,-55.43968905202292,0
African American,Jewish,B,B,29.011825817492802,D,84.72476080427728,16.561333198285126,68.29600149747007,A,-100.70192403055465,D,A,C,C,50.522773255078526,1
African American,Muslim,C,B,-61.49618913427616,D,-251.57738353983058,-79.0652524534487,-44.30827343244319,C,205.7511266911051,E,C,C,D,-300.24871607541183,1
White,None,A,D,46.77839557616241,E,1.7593261686080375,47.0941433078483,78.35194541207606,E,82.96458738608798,A,D,C,E,-29.32222223722734,0
Hispanic,Muslim,C,D,100.139421221084,A,-32.44349946414949,22.72227521212881,-119.68617072469272,A,-150.03534564080084,A,D,E,D,-57.69246518024177,1
Asian,Christian,E,E,19.52005865874548,A,-104.36066246085176,-113.35250231646042,-132.38629847777898,A,71.42466416806805,C,D,B,D,-140.75429950934324,1
African American,None,D,B,211.32933370454077,A,-30.100234373568846,-136.07795970457283,-178.7428769128359,C,-16.599287614458174,B,E,D,E,22.8031359526294,1
Other,None,A,D,62.88747630608815,E,185.93525171883664,9.548783962670743,73.75522784559799,E,114.34587010228006,E,D,D,D,-32.696680757726945,0
Other,Hindu,A,E,184.92153268485157,E,159.3275224704135,-190.94884255680057,7.47645708943029,C,58.440406940482795,D,B,E,E,-52.37074326275213,1
African American,Other,A,D,-74.33057444590933,C,53.688823793089,20.837067265588193,-35.533176663225575,B,18.092268706454654,A,B,C,A,-18.235175055477963,0
Hispanic,Christian,C,E,90.4643918971381,D,21.570391388755944,-51.22167985049869,103.5301888436714,A,56.78836310151387,C,A,B,D,10.381999882078668,0
Hispanic,Other,C,C,-123.3291515273058,E,41.49722942604461,74.63745155609689,-137.90920222468648,A,-112.8271873067562,B,E,D,B,107.89212356412725,0
Hispanic,Buddhist,A,A,19.001743920801857,A,14.594922726085768,-41.39892826653199,-91.14948364097154,C,41.320268997788475,C,B,D,D,-85.16589841696248,0
White,Buddhist,C,A,-125.96503966092365,E,-53.49424524900117,0.33931726722291267,-53.90463415255233,E,-102.96597052604895,C,C,D,A,-60.65378912421661,0
Black,Hindu,D,B,44.112335741955825,B,11.708888186630544,1.9419071477123868,114.84485355279963,D,-45.822325179533955,B,B,E,B,257.4690916016464,0
Black,Jewish,E,A,-64.11067256891305,D,64.13576485547446,24.197757178047,-213.57008353277044,C,45.93058038804339,E,C,B,A,78.97378175915463,1
Other,Jewish,A,A,-21.57244644765552,C,109.1238700457646,29.458718440268477,-58.9159513130673,E,-33.764166732985935,C,A,D,B,-55.88173012136062,1
White,Christian,C,A,-26.599053284087958,E,-62.73375889225821,-165.27669894349927,-73.66339397300862,E,-41.332588020566284,A,A,D,D,185.69337517439814,1
African American,Christian,A,C,94.30205571816633,D,-104.93897276920971,96.57681611738111,-104.47170323607722,A,74.11924614725395,E,D,B,D,-100.2233392470679,1
African American,Muslim,C,B,102.18255917103514,E,-67.90690998146954,98.70103046859795,-48.36752486396148,A,47.64829571030562,A,B,D,D,-34.02284599211066,1
White,Other,E,A,26.335701812177614,E,-73.8525478487571,-96.26754250741897,46.017052130669704,E,-109.67737800033824,C,E,D,E,-135.02684566009705,1
African American,Jewish,D,B,186.67245030644497,A,-87.28065853005684,-18.86149159765144,174.08671994937967,B,-61.38792495456967,D,C,A,E,-51.94129543226589,0
White,Muslim,B,B,79.3303010274981,C,86.98295529521086,233.25645979008894,17.934204776881277,A,9.464026644193577,B,C,E,C,121.78924283467794,0
Asian,Christian,A,B,69.55937668446089,A,-110.70781594298349,1.878200429455508,16.481953432190586,B,-1.216119174980098,B,E,B,A,-74.83362867313912,0
Asian,Buddhist,C,C,-0.6557427002812867,E,-165.99628255643782,66.76194228791701,-62.70759014726798,B,59.52435271486021,B,E,D,B,26.15236779912433,1
African American,Other,C,D,-71.2911653598983,C,124.32668662091469,62.67894860743486,-78.20742163846882,B,-144.87234810737127,B,E,A,D,-5.223798079364879,1
Asian,None,E,D,-22.960608432059463,A,93.18675635314852,-241.1962470136392,-50.56845588649247,E,-45.36192619189219,C,B,C,E,55.0895062040242,1
Hispanic,Buddhist,D,A,23.9053983304288,A,-5.415687390591916,117.96518162646075,-0.39876070261674046,B,-71.3706922259219,B,C,D,C,-99.76213825233638,1
African American,Hindu,B,B,-72.2692348449131,C,-52.47895027319197,198.26945448515892,-40.68643817793437,D,95.09059971648777,A,A,D,C,-264.8009329803113,1
Other,Jewish,A,B,161.63286383280825,B,22.735427057955494,-49.747819760932366,-5.484431630367042,B,3.7933647141974087,E,A,D,D,-32.33919656648359,0
Hispanic,Christian,A,D,2.1981510614945794,D,-44.07625178048507,-26.66373403673145,40.51862623324278,E,-30.27706230877712,E,C,E,B,24.71498102480683,0
Asian,Other,B,B,-52.25354445400444,D,161.19621421717702,71.27656383781232,127.66224522445677,D,-68.6635905893842,B,C,C,C,-19.298843482521804,1
Hispanic,Jewish,D,A,16.032295119152305,B,14.902709162500985,61.12917948116029,20.542784617145198,A,-160.7420655484501,B,C,D,C,69.91956287817167,1
Hispanic,Hindu,D,E,59.96009500790095,B,-42.319051338948746,65.85948090253284,34.116318324358566,D,33.325134526957555,D,E,D,A,-47.51293308434292,0
Asian,Buddhist,A,A,-35.650237502575024,C,59.14805634447554,-83.55940526094682,-71.53586051429038,C,-139.66614219232267,E,A,D,B,-47.985158522448764,1
