sexual_orientation,AgeGroup,SEX,disability,feature_0,feature_1,feature_2,feature_3,feature_4,target
Heterosexual,65+,Female,No,-50.21322921209883,A,D,35.96670782615109,-99.7070454103418,0
Homosexual,18-25,Non-binary,No,-67.439586921505,D,B,37.25520009486319,31.537342637476577,0
Bisexual,18-25,Male,Mental,-95.56761972460282,D,A,123.07689172020773,94.60076879303548,1
Other,36-50,Non-binary,Both,-210.54496171465112,A,C,-19.30803334813127,-13.323074566184623,0
Bisexual,65+,M,Yes,-146.3321798490808,D,D,-113.83766875053618,-150.54204401681827,1
Homosexual,36-50,Male,Mental,-67.21665567278534,D,B,82.56437466007128,-127.39543675618457,1
Homosexual,51-65,Other,None,75.73037426173902,E,D,63.051033939255476,55.782800121079255,1
Bisexual,36-50,Non-binary,Yes,-165.79814362946217,C,E,-176.92816696479542,-91.57860581431797,1
Other,18-25,M,Physical,-57.975144160238166,B,B,-4.990976388641482,-1.4436913728602916,0
Bisexual,65+,Other,Both,10.230949165482432,A,A,21.424093171662555,20.101054791114624,1
Homosexual,18-25,Non-binary,Mental,157.43111764605504,A,E,-19.32383082642932,118.07228323976393,0
Homosexual,51-65,F,Both,46.433670227698485,D,C,-39.82675841293592,16.024426368078558,1
Bisexual,51-65,M,Physical,183.5612353925096,D,A,-124.81967002113437,-125.77664194815816,0
Bisexual,18-25,Non-binary,Mental,-0.4852793383681322,D,A,-126.3957407707001,-188.19149259806886,1
Other,65+,Male,Yes,111.73309186994365,A,D,-194.46479836693814,-109.0648409994431,0
Other,51-65,Female,None,-16.942471371898833,D,B,-66.62507206940072,-57.098236829268465,1
Homosexual,36-50,Male,Yes,-79.16926202647593,C,A,125.87824365545582,-78.88165738805898,0
Heterosexual,65+,Female,Physical,-45.07620550594563,C,D,48.31974514837373,91.75070086957035,0
Bisexual,26-35,M,Mental,-21.84888205793762,A,A,-64.32778595746794,-146.30000511355806,1
Other,51-65,M,Physical,-12.02440650638341,D,A,-66.60129794180055,143.87739796304754,0
Homosexual,65+,Other,Mental,17.25720293862455,B,E,17.379017402508655,-182.32324077532746,1
Other,51-65,Female,Physical,151.00513006652034,C,D,-28.006314502464967,-94.78982754724774,1
Bisexual,65+,Non-binary,No,123.50138868288883,E,D,3.5382807735924255,-45.75434544526517,1
Other,65+,Female,Both,180.03816551621492,B,B,-77.1366617330718,-19.15023299162555,1
Other,51-65,Male,Yes,-115.62456866140403,E,D,74.27222838969116,117.16287217140614,0
Other,51-65,M,Physical,73.69788089378058,B,C,-84.84130826859354,-122.9255256091448,0
Other,65+,F,Both,51.155937456393374,B,C,-66.3671948334973,4.637215527384475,0
Homosexual,65+,Male,None,-67.58695148481483,A,E,93.06084983266562,255.87281038928404,0
Other,51-65,F,No,72.60203864493086,B,E,-37.96640976022669,41.77694112553174,1
Other,36-50,Male,Physical,151.32266318892286,E,B,49.68506980926682,158.7692047941336,0
Homosexual,51-65,F,Physical,-4.0212330538889045,A,C,-45.17928461756362,133.97044321170662,1
Other,65+,Male,Both,14.043402945850369,E,C,119.17516561214372,220.8919418117857,0
Homosexual,26-35,M,Mental,128.69638116770517,E,E,197.83989219482712,101.14262289948712,0
Homosexual,18-25,Male,None,-36.97867433916104,C,B,-147.2982267630381,-16.436647842467437,1
Heterosexual,18-25,Male,No,121.54585756306662,B,E,-53.76876460990775,-24.83570660054114,0
Heterosexual,51-65,Non-binary,None,-2.0694212670943832,A,E,66.97459133101087,-59.92000767477177,1
Homosexual,18-25,M,No,31.115202664650273,D,C,17.378419486366163,-4.2402674298570044,0
Bisexual,51-65,Female,Physical,-24.437468917625825,E,E,158.2047598873834,-14.14078538514729,1
Other,51-65,Male,Yes,60.374481525673964,B,D,-137.55835547044308,133.50757598049017,0
Homosexual,26-35,Male,None,-178.4962538284569,A,B,124.06412712132389,130.89085339019422,0
Other,65+,F,None,-40.13816182867267,C,B,27.341428105965264,12.860342807282182,1
Bisexual,26-35,F,None,22.85648569570274,C,C,-26.043899140578812,101.82008969518898,1
Heterosexual,65+,Male,Both,54.379637901502186,B,E,12.006265410608622,73.49126774760505,1
Heterosexual,26-35,Female,Mental,-110.35753158042847,E,C,44.38706171524135,161.01377264521406,0
Other,18-25,Non-binary,None,25.90212203024108,C,C,-73.19864592913497,-89.22905532798072,1
Homosexual,26-35,Other,None,-58.530134932581966,E,C,-98.08347739650006,38.260727038554116,1
Bisexual,51-65,Female,None,-125.42263457756684,D,C,-186.32801288691329,-60.1527418764087,0
Heterosexual,51-65,M,None,-195.1226733419924,A,B,-17.22726721605607,-117.72805181966679,1
Other,51-65,Female,Both,-105.7559189406644,C,A,-2.252532076229307,-70.06253156298284,1
Other,36-50,Female,Mental,-38.10531261221713,D,B,21.02128615710372,93.0598152216373,0
Other,65+,Non-binary,No,86.88745332617559,A,B,219.22944754409755,-114.54695226145701,0
Heterosexual,26-35,Female,Yes,44.93436151212545,A,C,42.17032575084085,142.90085234011042,1
Other,36-50,Other,Mental,115.01512393475863,E,E,-157.29700277860385,-67.48034592149835,0
Other,18-25,Female,Mental,-48.5727312129789,B,E,22.444274125052026,-81.96076406996119,0
Heterosexual,36-50,Female,Physical,30.497312886346943,C,D,-31.772216119769574,162.60262733402203,0
Other,26-35,Male,None,-91.30499914459264,E,E,-33.89513601707685,-55.710633529443875,0
Heterosexual,18-25,Non-binary,Physical,88.15866774513682,B,A,-19.095820487047483,68.24966229512022,0
Bisexual,26-35,M,Physical,26.00129066434106,D,C,53.45900780692462,-87.81422826013963,1
Heterosexual,26-35,Male,No,310.9401377065378,B,E,-25.6856505832734,172.4191726867354,1
Homosexual,18-25,Other,Yes,64.5832883193608,A,B,7.9580604223244364,-57.38396958091174,1
Bisexual,18-25,Non-binary,Both,13.388145704329707,C,D,98.4455236125354,-6.691913854790606,1
Other,65+,Female,Yes,-81.77432476151587,D,A,64.30991827502972,87.51206157861586,0
Homosexual,51-65,Female,Both,39.334510307280745,D,B,93.52467524249725,-32.938590314852725,1
