age_group,AGE,nationality,Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
51-65,27,UK,Yes,81.79353450202036,A,-132.28422132935415,E,71.45963255187196,B,D,0
65+,44,UK,No,19.807327334189832,B,-172.2496690801738,D,-58.427599232583304,B,E,1
36-50,55,India,No,181.0792715763843,E,85.92367406949121,E,160.71872651956778,D,B,0
51-65,51,Germany,No,-22.097942345202696,D,-112.5564927958483,D,131.3289842478725,C,E,1
18-25,78,Mexico,Yes,-176.7417659069356,D,-109.27845117334705,A,2.7315060005733303,C,C,1
51-65,31,US,No,-192.9128447675945,A,210.82546358564312,E,-97.92608985811697,B,A,1
26-35,56,Germany,None,-177.58889408015338,D,3.419066705241889,C,-30.265422610291026,A,D,0
51-65,33,Mexico,Both,28.86059795361715,C,31.574275333779926,C,162.69332541856318,B,C,1
65+,23,Brazil,None,-57.28771131552664,E,-151.80195667962224,B,-101.33043464586426,D,C,0
26-35,61,Other,Yes,-6.992557945555272,B,49.895985833658614,B,-14.929790247664897,B,B,1
51-65,59,China,Both,-50.92331998094435,A,-58.330199421059646,A,27.52853140600359,E,B,1
51-65,54,Germany,Mental,-79.86337133649654,B,-122.61208733842597,A,-66.323750889924,D,C,1
51-65,74,India,Yes,-190.61446714308605,B,105.36667461744965,C,47.68163795659587,D,C,1
26-35,31,China,Both,-125.56025514764258,D,50.65776490035964,A,-26.031113257319248,D,C,0
26-35,32,India,None,8.263582859318861,B,-140.75490882714558,E,5.196840964025824,C,E,1
26-35,67,China,No,-63.37608121052438,E,-93.02010994963764,E,105.54993685433438,E,C,1
26-35,68,Brazil,Physical,123.93903918214453,D,-133.6224852430556,A,-62.37839699880601,B,C,0
51-65,66,Mexico,Yes,79.60829758320071,E,-130.33466929200648,B,-18.947995790423576,E,C,1
51-65,36,Germany,Mental,-177.33908230511128,E,-209.52725767021815,C,-79.92996314022656,C,E,1
65+,70,Brazil,Yes,0.41116751917969496,D,-8.887825276249888,D,-61.155337552840386,C,B,1
18-25,38,China,Physical,98.43090472428396,A,-151.8175261575635,D,90.0332002516146,E,B,1
51-65,55,Other,None,16.508661994295228,A,-102.00470825338004,B,-56.11682346383081,A,B,1
36-50,26,US,Mental,14.870385997536689,A,63.70257020734713,C,12.936952489984321,E,A,0
26-35,30,Mexico,Mental,-113.9563975170188,B,70.03884125845116,B,-122.59003256480405,B,C,1
36-50,53,China,Physical,-35.56978330787619,E,-9.961258903879774,A,-88.21946427103414,B,C,0
36-50,42,India,Yes,67.06283252051975,D,42.144160516422716,D,139.04512556714553,A,C,1
51-65,62,Germany,Physical,0.4716629144851287,B,-19.97578386389996,E,-73.72392644118813,A,E,1
65+,79,UK,Physical,98.42510165171252,B,58.86793317680764,B,-1.939258080524933,C,B,1
51-65,34,Germany,Physical,171.14017100157372,D,-2.308613965236282,C,94.863390708419,D,D,1
65+,59,UK,Both,16.882118877360185,C,-87.45897479239314,A,43.93739247216105,E,E,1
51-65,56,Brazil,None,113.6508776559122,D,40.51850013805474,C,-60.86064481074983,C,C,1
18-25,67,Brazil,Mental,-36.845465983191175,E,145.2961551157248,C,14.637310070949741,E,A,0
26-35,66,India,Physical,-14.079526158391673,B,-69.55259741746211,D,-48.7786047022372,A,B,1
18-25,78,Germany,Mental,123.19869918080822,A,27.273851408051407,E,113.1377703930431,A,D,0
65+,67,Other,None,-60.06578630759005,E,-14.972301030513924,E,13.166979661928991,D,A,0
51-65,37,China,Mental,76.84436453609393,A,-103.14175147279032,D,18.26433648607525,C,B,0
36-50,69,UK,Mental,146.32054624061638,E,-2.3065903283338844,C,30.64336570734894,A,B,0
26-35,53,India,Physical,9.211115269956444,B,79.34999655489293,C,-63.75684214962957,C,D,1
26-35,54,Other,Mental,16.47743546751557,E,16.16900397758246,A,-65.34757308762218,B,A,1
26-35,53,Other,Physical,172.8698805572494,A,-52.63807589220841,E,60.1752726409003,B,C,1
65+,37,Germany,No,2.3169467025709625,D,-52.686756719636975,E,-67.15007600994764,B,B,1
51-65,36,Mexico,Mental,8.049375613392854,E,100.85625657455348,B,-100.50037088297132,D,D,0
26-35,64,Other,Both,-140.38486298359157,A,-125.18353940189762,D,-12.053599491795335,D,A,0
26-35,72,China,Physical,5.881581171251558,C,32.689265906515736,B,54.68926797227862,C,A,0
36-50,78,India,Yes,-78.36814402966014,A,-24.152175396489373,D,6.790920901448648,B,E,0
26-35,32,UK,None,-65.93047663843544,A,-97.18146136763444,D,139.4688841953544,E,B,0
51-65,22,Brazil,Physical,-143.33593099293032,E,-145.29090426189694,C,4.55532385885502,B,C,1
26-35,48,Germany,Mental,-233.38883203688945,C,223.40280568915563,A,68.84754602032793,D,E,1
36-50,43,India,Physical,4.680176007815775,C,33.45033719902865,E,146.61752684447654,B,D,1
18-25,28,Brazil,Yes,89.69694452639196,C,146.57481214218322,E,-119.8956646963049,A,A,1
26-35,42,UK,Yes,162.869781021042,A,57.16714116358615,D,45.21430792988643,A,D,1
26-35,41,Germany,No,-81.92183148066596,B,191.40699994972266,A,278.6712133601939,D,A,0
51-65,65,China,No,47.151004580735325,D,-39.62491609249042,E,55.90136431667534,B,D,1
26-35,63,UK,Both,-34.67426257155933,D,-72.13633737458323,E,-73.94716571115126,A,E,1
51-65,51,UK,No,-107.78604236102085,B,33.14040566464958,D,-166.2808750920007,E,E,1
51-65,34,US,None,106.57108860531098,E,96.57268080011144,E,-96.49040535687116,A,B,0
65+,31,Other,Mental,228.410604028116,B,4.52635236194781,B,-68.98805556219432,C,A,0
18-25,19,UK,None,63.858875644032466,B,170.31361024349536,B,-91.46525232934927,A,C,1
51-65,47,UK,Yes,50.10143106479647,B,-13.701686765563101,B,151.91115294414786,A,A,1
26-35,72,Other,Physical,-73.17246396520297,A,75.40778874337703,E,-13.736018744097588,B,B,1
18-25,36,Other,Both,-157.30936428421657,C,-24.023950630897534,C,34.7136275707811,B,A,1
51-65,27,Mexico,Mental,43.22259881478101,E,15.242543193110086,B,-9.997541034086193,A,D,1
51-65,70,UK,None,-110.80825940332659,C,-38.924342520003044,A,38.398653978527854,E,E,0
26-35,79,Mexico,Mental,165.00562099720972,D,-65.09884295632932,C,-137.9851760496857,E,B,0
36-50,64,Brazil,No,-101.00471449247308,D,-193.08604689647137,A,-43.172789698482696,D,D,1
36-50,50,Brazil,Mental,211.73214587782962,B,137.0085502108613,C,-34.56842285338992,B,A,0
36-50,45,Other,Physical,-164.85011407577014,E,10.873547912035775,B,-22.395124138006913,E,D,0
36-50,54,China,No,34.56256342726436,B,7.869426680423159,B,-147.45402785697735,D,E,1
26-35,38,India,None,-41.001410954227225,C,64.54234053489756,B,36.281791462858145,C,B,0
51-65,54,Brazil,None,183.21190771945436,B,-18.175597902948077,B,-143.94240163235995,C,E,1
18-25,44,US,Yes,-230.59773115071383,D,157.70749681023477,A,-83.17138463570166,B,E,1
18-25,28,US,Mental,-69.12805886103219,A,42.84867465160987,A,-106.12829488423343,E,E,0
26-35,18,Brazil,Both,-271.5165609270097,B,-1.7923497547770149,C,-9.601895716554704,B,B,1
18-25,39,India,Yes,280.7482120385664,C,-124.17537048377052,B,41.00991640453176,A,A,0
18-25,73,UK,None,110.14633289866322,B,-21.495240059409756,D,-29.3055492797617,D,B,0
18-25,72,India,Mental,-40.65212049564789,A,-27.786509421271077,D,-106.6091258723313,C,B,0
65+,49,Germany,No,-3.0660422393574547,B,21.8134969051207,D,-104.82898171997827,A,D,1
26-35,30,China,None,123.62881608933982,B,-15.981387297154695,C,150.46147375112454,C,D,1
36-50,42,Other,Mental,98.9691692665198,C,-82.12297600816925,C,12.922845665136393,E,C,1
65+,54,China,None,-88.49299197174494,E,-36.55440821315803,A,173.4335167627303,E,A,1
26-35,48,Mexico,Physical,18.304597936199535,C,267.1835235968004,A,-2.0377432209344937,B,A,1
18-25,76,Germany,Both,-159.31486816069872,A,137.64419699528386,C,-169.23989290750242,A,D,0
36-50,78,Mexico,None,-66.24725913151657,E,88.4252116916236,D,13.35742121374309,B,B,0
18-25,40,Mexico,Both,-179.4366749612017,A,82.70715768676227,A,57.423563290323024,A,E,0
65+,19,India,No,24.172787368042776,E,70.2999863442754,D,84.96944422933251,E,C,0
65+,23,Other,Physical,-31.379408379182433,B,40.45214469037873,B,-71.08114241256254,D,C,0
51-65,70,Other,Mental,11.36432372871896,C,-161.8377749442339,E,216.05267387227363,C,E,1
26-35,55,India,Mental,174.65523494285915,B,94.20229357243458,B,-53.544121335204466,C,B,0
51-65,40,Other,Mental,64.6794695216708,A,30.25718963274568,E,-84.97673578495227,A,C,1
26-35,49,Other,Both,-54.590744148907596,E,-18.92581205560879,B,-153.88186458157028,D,C,0
51-65,20,China,Physical,68.05427852213064,E,-43.19643664171991,C,-8.275731475695427,D,E,1
18-25,20,UK,Yes,-51.97108848333587,D,31.822811223183233,B,-16.87900740359704,C,D,0
36-50,18,India,Physical,51.8664110224026,C,-39.28575220209492,D,-108.85053547446863,E,A,0
36-50,63,China,Yes,-128.14042038839844,D,54.59438529450463,C,-141.38325980671726,D,A,0
18-25,58,India,Mental,-17.533576578259574,A,130.83269026253114,A,-46.016458350485216,E,B,0
26-35,68,US,No,17.923252278113754,C,59.71128004904019,D,-179.56685685751071,A,B,1
18-25,19,Germany,Physical,95.591882392668,C,-47.47277110286391,D,62.60084337331857,A,E,0
51-65,69,China,None,52.44837911259105,C,-29.59662576268184,C,59.864873030450404,B,E,1
51-65,64,India,None,-1.1404828822886925,C,-137.94688529645106,A,-65.48481744334286,C,A,1
36-50,27,Other,None,-26.990272912147052,D,174.28968197899772,E,-39.729812264891926,D,C,0
18-25,23,UK,Yes,-7.5079022348923745,A,-28.51218102343577,B,135.89263848959624,A,E,1
51-65,65,Brazil,Physical,41.496618986254646,E,-39.79406695321843,E,132.15796183014433,D,E,1
51-65,31,US,Physical,102.38639164195607,E,-35.55963553059473,A,7.797311412149859,A,B,1
51-65,44,Germany,No,-20.268452375126284,C,-91.91056020979939,E,-155.07552416457423,D,E,0
51-65,51,China,Both,174.2716606410543,C,48.62757724110067,E,-124.86741969692297,A,B,1
36-50,31,Brazil,Yes,20.060034385789628,E,66.85549860759903,B,34.30248736728001,B,D,0
65+,24,Brazil,No,111.0901290515848,D,0.30774062356373516,B,-135.9572962904587,A,C,1
18-25,59,Mexico,Both,0.9803865027443084,D,-183.22207877376803,B,114.85077426069365,A,A,1
26-35,37,UK,Mental,69.84036443690128,A,54.82886644176062,A,-17.440427487256642,D,D,1
26-35,45,Germany,No,-134.0879676126614,A,-25.025291846033394,E,-93.97220827535764,B,B,0
51-65,24,India,Mental,97.99690338986456,D,-94.55235263200001,A,218.12121820642324,B,C,0
26-35,58,US,Both,131.02231284463664,E,234.38184509721486,E,-31.46632678452358,E,A,1
51-65,68,US,Both,31.625796691568492,A,-167.3781473823325,E,-111.72145941494766,E,D,0
18-25,70,Germany,Mental,-42.00232829928021,C,-37.214465625953814,E,-142.434257285137,D,A,0
65+,52,China,Physical,-149.91207965267526,A,-25.199654411257434,E,64.33076229801547,A,B,1
51-65,23,UK,Both,-156.2480396817598,A,10.497632517702977,C,-116.84269738277513,E,A,0
65+,53,China,Both,108.713167349219,B,49.065459095003106,E,94.64394618149133,D,C,0
65+,74,Brazil,No,-0.4177343704627745,D,-7.610812347027586,C,198.53960226995778,E,E,0
36-50,77,Germany,Mental,-195.60983771454116,A,26.57617077780778,E,-48.329445443703115,A,B,0
51-65,41,Brazil,Yes,-275.9873625924068,B,71.20513102427691,A,16.766222089700488,E,D,0
65+,35,Mexico,Mental,-48.23942867784092,A,149.2545648629343,D,8.999382052480547,A,A,1
51-65,75,US,Both,69.12757105290945,C,88.41249703833742,B,270.4817749324126,B,A,0
18-25,36,Germany,Mental,19.879177012066478,E,-54.98172448875865,C,111.43012460409463,A,D,1
36-50,22,Other,Yes,8.148390306905535,A,117.6211894781477,A,55.706296436688476,B,E,1
26-35,39,UK,Physical,-58.378877113187,B,67.17919503226715,B,65.52357800226078,D,C,0
51-65,18,US,Both,-39.754198023538166,A,-51.639919086848586,E,23.46689529755862,B,A,0
36-50,58,Brazil,No,157.43608263118182,D,69.43868450864815,A,-16.408428929090594,C,D,1
65+,52,Germany,Both,77.65826349937709,C,-43.917464061210865,E,-59.33966163543564,E,E,1
65+,72,Germany,Mental,-207.9053070035334,B,84.23506314346831,E,106.82405928291784,E,A,1
51-65,50,China,Mental,-20.654460532420803,A,-166.84719402198007,A,75.9460763880998,E,D,0
26-35,60,Brazil,Yes,80.119584121835,A,-10.121616062113237,E,-52.095328416178276,E,E,0
18-25,39,UK,No,68.77027796999984,C,134.2341366848519,E,38.02663350789289,D,C,1
51-65,61,India,Physical,189.21290143973943,C,-70.47821053406096,A,-101.5902366909329,C,C,1
26-35,57,Brazil,No,-279.38703030639874,A,-56.36684482515732,D,29.580979587635188,E,D,1
65+,60,China,Both,-92.35134492273413,A,-50.73836396148247,B,86.10804788355152,A,A,1
26-35,44,India,No,17.92960338928551,D,-69.08883310331659,C,-38.88504868750539,E,E,0
65+,50,India,Mental,141.39683879513709,D,24.211322734632684,B,-108.07504776179361,E,D,0
51-65,69,UK,Physical,-146.71415247287482,E,66.2143740074343,A,113.93700978696562,C,E,0
26-35,55,Mexico,Both,-7.937635887978193,B,70.77621885855818,B,-186.033131032949,A,D,0
51-65,36,UK,Physical,8.163380776578814,C,-178.84122444201515,A,-73.86957912246812,C,E,1
26-35,28,Germany,No,-87.95801380170025,E,155.96208916995542,D,58.198738357258904,A,C,1
36-50,39,UK,Yes,-29.479127773849612,D,-35.7155539961713,D,12.654359769467986,B,B,0
36-50,54,Mexico,Mental,-138.3364817348048,C,-102.44415339888869,C,-4.9715535730705005,C,B,0
65+,42,Brazil,Both,98.68789836359302,C,81.89654739603708,E,-106.40277464374431,E,A,1
26-35,54,Germany,No,-56.08866682919732,E,-163.4854840065243,A,123.82545407698662,E,B,0
18-25,60,Germany,Yes,96.86924028524693,C,87.0462593938678,C,-253.7525738103783,A,A,1
36-50,39,China,None,115.34950252649232,E,54.60615447764694,E,-13.472015960099034,E,B,0
65+,58,Brazil,Yes,91.40459608664169,B,-13.177161286428587,E,-72.58927488433477,D,A,0
65+,30,UK,Yes,56.20592772708509,D,46.44192568351874,D,38.313559202354796,E,E,1
65+,39,India,None,-105.56924752338206,E,-83.76800754971502,C,-67.54568884926219,C,D,1
51-65,59,Other,Physical,-147.81816945577123,E,-214.7529090091623,D,119.0853000430481,A,C,1
26-35,46,US,Both,46.51294636794817,A,-22.143304055282997,C,75.9229666868441,B,E,1
36-50,55,China,No,7.063309046445118,B,87.25310415281787,A,-72.15721392434033,D,C,1
51-65,32,Mexico,Physical,25.951263041054933,A,34.33261221415473,C,15.16806886378548,B,D,0
51-65,76,Brazil,Mental,-39.895175442555534,E,3.3405850333658034,B,12.61354695822594,B,B,0
51-65,65,China,Both,-97.98137256441221,A,79.04617387548119,A,1.014972675441015,D,C,0
18-25,37,India,Yes,-61.79964011962081,A,24.28132707157503,D,-170.11500516474368,D,E,1
36-50,71,US,Both,54.439345977430264,E,-8.30794280490185,C,-54.14625723937998,C,C,0
36-50,23,China,No,104.74929132332096,D,-78.55201411896967,A,142.3354002737445,E,D,1
36-50,65,Other,Mental,150.0483935078491,A,-60.9194887575936,C,46.559964615075465,D,D,1
26-35,20,Germany,Yes,-78.36412117478328,D,-82.55713244151511,B,-124.31628616556445,B,B,0
18-25,43,Other,Both,-46.614072357106835,A,132.0951452370279,D,-53.25247036384649,A,E,0
18-25,49,India,None,-55.97686968822565,D,-6.934753906253017,E,-122.03342635168968,D,B,0
65+,69,Other,No,-62.89126933736531,A,-50.00815759103813,D,-50.40802357209145,B,E,1
18-25,79,Mexico,None,-61.28147495159409,B,-27.27528132310927,D,290.87064575149554,D,B,0
51-65,30,US,Yes,-36.072612122355096,A,-20.017263359735477,A,22.04599173728176,A,E,1
36-50,34,India,No,-109.16992720202843,B,68.90807343264333,E,132.67518124584393,C,A,0
18-25,34,US,Physical,-160.43465412705743,A,-176.1114597081387,C,-28.552997056351032,C,E,0
65+,37,Other,Physical,47.71269462893886,A,74.46132444590573,E,-36.674427404299905,C,B,1
65+,64,China,Both,-18.348687586028195,A,166.52307595537926,C,-125.22798560219321,E,E,1
36-50,37,US,Physical,-50.14833431525435,E,26.876677129505023,D,-18.8921003290569,C,D,0
51-65,58,China,Both,90.13630870645527,B,-91.6885784765062,B,-88.9680327779865,A,C,1
18-25,54,US,No,16.45224312922197,E,64.14826438410736,A,156.2905674447386,C,A,0
36-50,42,US,Yes,125.01619147568623,B,-96.63332858924697,C,15.33905096072977,A,E,0
26-35,25,Other,Both,-37.99469125812507,C,-112.69868502398397,E,32.13673477727921,A,C,0
26-35,76,UK,Both,-99.5329272521651,A,55.449529208495655,D,33.610058120758495,D,E,1
36-50,25,Germany,Mental,64.6401850866051,D,-65.5434191390515,A,-37.65425877378748,E,E,1
26-35,59,Other,Both,148.19428204050396,D,120.90836296027693,D,141.07633314783934,A,B,0
51-65,74,Mexico,Yes,-41.38384995007046,E,117.36059793283329,B,13.270195507284367,C,D,1
36-50,79,Brazil,Yes,-152.17916287073666,C,-75.60134831453034,E,-60.06097456014936,D,C,0
26-35,78,US,Yes,-56.32975003892814,B,-362.46581186766184,D,49.414985783743084,A,B,1
65+,78,Germany,No,-168.1351105898546,C,-16.912410528356226,A,173.53924606710694,A,D,0
51-65,36,Germany,Both,72.77190892568319,A,-21.954922699145385,D,25.346890118506394,E,B,0
36-50,65,US,Yes,73.38065290264188,D,-51.47045636139816,C,-190.65886442984004,A,C,1
36-50,66,Mexico,None,-3.5480158288598953,D,-17.446757534031327,B,3.5533716297351545,E,E,1
65+,47,Germany,Yes,-33.38039216464415,C,-103.44988150383266,C,34.89238453832476,D,A,1
65+,21,Germany,Mental,66.87745564363024,B,-54.5901559732895,C,34.049279881750934,A,C,0
65+,50,UK,None,-86.4407100155623,B,-117.13716157741871,D,125.99351962814058,D,D,1
65+,48,US,Both,-28.15673701144889,C,36.517672115846125,B,-30.561148000321314,E,C,0
51-65,19,Brazil,Both,86.84612322675474,E,-105.84986720237933,A,-11.619705481745033,A,A,0
18-25,42,Other,Mental,-25.484946843795942,A,-38.164334275294145,B,31.85371995274407,D,D,1
36-50,52,Other,Both,10.49200967471386,D,112.88882859704677,A,-26.502060536716048,A,B,0
36-50,71,Mexico,No,32.50585092893128,C,65.37073605883371,B,99.39853373247122,D,B,1
26-35,29,UK,Yes,123.29994419679448,B,-53.16476433202572,D,38.027934886190586,A,C,0
51-65,63,Mexico,Mental,122.09525216226602,D,-21.675839889819944,C,-30.16248893300561,E,C,0
18-25,34,Mexico,Mental,-151.63162860322814,B,-78.86685067838042,E,0.4976588510736878,A,A,0
65+,60,Germany,Yes,-24.36813860374264,A,15.793130731320346,C,47.58622919840303,A,A,0
18-25,72,Brazil,Yes,-164.4531047866542,A,-18.55793809588405,B,-49.304043649539196,A,B,1
36-50,39,India,None,65.54767723779229,C,-171.4099728508324,D,-71.19362182652105,E,B,1
36-50,18,UK,Yes,32.87058615879831,E,68.31821869880505,E,-311.77137370357036,E,D,1
36-50,20,Germany,Both,97.72504823136371,C,123.55408947030632,C,13.803077179354453,B,D,0
26-35,53,India,Mental,30.006795819365262,A,-31.539786753325917,A,51.98090763134835,C,E,1
51-65,26,Brazil,Physical,-65.11204453366729,E,-30.254909694900423,E,64.22482081729035,A,B,0
18-25,73,UK,Mental,15.998249792838944,D,-90.5260982780227,E,-22.016553820820093,A,B,0
36-50,72,Brazil,None,-20.940391016278177,E,165.58292778236904,C,-75.99783329015736,C,C,0
51-65,18,UK,None,-40.89252965966705,B,-29.002089842611063,C,-29.654888524980837,E,B,0
18-25,46,Other,Both,-76.89250923597874,E,-79.20306288658708,D,104.85932194437808,B,D,0
18-25,48,Brazil,Mental,61.15507836125125,C,85.47153458362361,B,-134.4193287605081,B,B,1
51-65,37,Germany,None,52.10860056517461,E,33.951403393573074,A,-68.36523246050474,A,E,1
36-50,76,UK,Mental,-28.788922087128576,A,-192.56691197210182,E,-240.61642954827457,E,B,1
26-35,50,US,Yes,-18.101656945823823,D,-56.967286985410716,C,91.33108346703538,C,D,1
36-50,19,India,None,76.9194068369297,B,77.64816607708582,B,71.69648083619307,D,A,1
36-50,77,Brazil,Physical,-58.26784625942406,C,4.90325791781888,B,-47.49731778023386,B,D,1
26-35,20,Mexico,Both,117.76993913255258,D,224.75205640737252,D,82.91684761255384,B,A,0
65+,25,Germany,Physical,60.850146550131576,D,59.500008016614856,D,73.37073821472258,C,D,1
26-35,30,Mexico,Mental,43.68525803893498,C,-71.80581496996447,B,22.877828626005524,A,B,0
65+,25,UK,Mental,-171.50012682403485,A,-149.03877308367277,C,48.18636354493905,A,D,1
65+,57,Other,Mental,-155.0155362402012,D,185.82770078762186,A,28.801344244325943,B,C,0
51-65,24,India,Physical,51.08814863441019,B,192.76464256169322,E,-150.08716525766877,E,E,1
51-65,48,US,No,-86.55518863666978,C,-48.53213888184208,C,145.33429881749825,E,D,0
36-50,74,Brazil,Yes,46.50678086582422,D,16.11911538648537,B,-165.5500278590814,B,C,0
18-25,28,UK,No,-197.26612169792756,C,-83.78183854226415,B,42.71810438815861,E,A,1
26-35,36,India,None,130.36424876085533,E,30.031215326961284,D,117.0976106906998,A,C,0
26-35,33,Mexico,No,94.68401578883645,B,148.27635260058446,E,17.48627225871249,E,E,0
18-25,73,UK,Both,57.52634942385105,B,28.811118262760793,C,-103.41663789403815,C,D,0
18-25,79,US,Both,8.280979361420048,D,40.690847373392586,D,-129.7849630760511,C,B,1
51-65,27,China,Mental,-40.6064959264626,B,-122.37588032599622,A,90.6360736005684,E,B,1
26-35,49,China,Yes,47.450158789360984,B,26.892210286576628,D,85.75988796037628,D,B,1
26-35,33,Other,No,-35.42199170754862,D,-58.16514545951268,C,111.86189464317448,E,B,0
18-25,37,Other,Physical,-127.22127534214518,B,19.685709053447383,E,-45.670973821617444,B,E,0
18-25,33,UK,Yes,70.44098004553109,A,39.06393153500234,C,12.650823319472579,B,B,0
18-25,31,China,Physical,96.92086544251696,A,-235.7951803859483,B,-5.202043519110565,B,E,1
65+,22,Mexico,No,-119.35617668741037,C,-16.751919387890528,C,-8.42325855779932,C,D,1
36-50,21,US,Physical,-65.81308485431445,B,-52.423519074046766,A,-126.58382947973715,A,A,0
18-25,50,UK,None,146.886952324951,D,28.10296029803654,A,20.970045064085134,B,E,1
36-50,18,Germany,No,212.90051310276107,C,-96.07363943784871,A,99.33381396716814,E,D,1
36-50,50,Brazil,None,46.375161472948925,E,94.3203056665066,E,-87.90043131963856,B,E,1
18-25,72,China,None,-7.653006829604071,E,-45.49397906873367,C,-30.341532982067953,D,C,0
65+,19,Germany,No,-12.921126120059942,D,136.72703374513884,A,-99.29587989327563,D,E,1
51-65,42,India,Both,94.84305102136788,D,24.27491186913909,D,-95.22655215842038,B,E,0
65+,58,Mexico,Both,22.16814143173849,B,-160.44754911944653,E,-121.26876212413403,A,E,1
18-25,63,Germany,No,-190.05346876182912,E,19.000799939876117,B,151.84526581481376,C,B,1
51-65,65,UK,Both,-93.69674141988854,D,25.970269903644443,A,-16.44044033981862,D,B,0
36-50,40,Mexico,Mental,-51.92322831522329,C,-81.84325947742033,D,180.1001629297057,B,D,1
36-50,57,Germany,Mental,-68.65675548053576,E,95.185598974064,E,-156.29388096007716,B,B,0
18-25,65,US,None,74.03602253257071,D,-49.45690755145353,E,92.09762287160147,D,C,1
18-25,26,Other,Physical,-4.742953410989912,D,-72.7633721726242,E,25.160147628221395,E,C,0
18-25,40,Mexico,Yes,0.8044486764031035,A,-49.77299797962463,B,-105.90114649613518,D,D,1
36-50,62,UK,No,229.29085393684176,B,-247.98057878864302,A,-70.96908265117294,C,B,1
65+,50,Other,Mental,-81.89320514440558,E,37.55089648594661,B,-81.95447090829042,C,D,1
26-35,75,Brazil,None,148.1170724556652,C,94.18346104336584,A,12.343848883120573,A,C,1
36-50,65,India,Physical,12.324638018393298,C,5.3611351749210785,B,45.3783087356953,C,C,0
51-65,66,Germany,None,-97.06006518025892,B,53.50808013771261,D,-38.04175706747374,A,B,0
26-35,31,Germany,No,189.00402818750152,D,-96.43674267522022,E,24.8685570109626,A,E,1
65+,59,Brazil,None,174.2940888341532,A,-135.33948925790128,A,11.46697891327934,A,E,0
65+,30,China,None,-66.51396470552737,E,-16.09870185104262,A,-114.3185121716519,B,D,1
36-50,43,US,No,-130.17274797473394,B,125.63961845804339,B,107.53119272292169,E,E,1
65+,26,China,Physical,-43.209971124668364,A,-21.703793663766156,A,14.518071245699964,B,A,0
51-65,49,Brazil,No,51.732307030869194,C,32.12268506981653,C,45.3445403914445,E,D,1
18-25,51,Brazil,Yes,-144.85269557003906,A,33.92286306259561,B,105.10471792914076,E,A,1
18-25,33,China,Yes,156.04080147161923,D,16.933696514532222,A,-66.09131322798656,E,B,1
18-25,69,Brazil,Physical,-8.155315760206328,B,93.75292111716449,A,49.1151681884254,B,C,0
26-35,26,Other,Mental,117.30917793550444,A,41.687568141575795,A,80.50055741924479,E,E,1
51-65,32,China,Yes,-130.84373042072187,D,94.72480112741313,C,-202.37838750972648,A,E,0
26-35,53,Other,Mental,-16.607525439336406,B,-52.37614902280085,C,6.52256220002523,E,A,0
18-25,57,Mexico,Mental,-13.754890824503999,E,73.63757323454797,A,-172.17323094927897,A,A,0
51-65,46,UK,Both,-19.788699804559325,D,-31.514052065788796,A,112.6572633768633,D,A,0
36-50,38,Brazil,Mental,-122.7606262007146,D,-29.55048088093782,A,-52.637262271685344,C,B,1
36-50,45,China,Physical,174.21834290666087,A,90.85269822348175,D,20.79707372667737,C,B,0
