Nationality,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Mexico,Married,E,D,-99.11448990868725,A,B,70.6656501742045,-113.5803394996799,B,1
US,Single,D,A,62.93171200354496,B,C,-118.66932862444261,-128.45843899759402,C,0
Other,Widowed,C,A,173.29839351322812,B,B,72.56839972314012,-64.81779197180849,B,0
China,Widowed,B,B,195.90706335780078,B,A,60.841684232304075,15.216211208928263,C,0
Brazil,Single,D,B,-11.826972642052617,B,C,105.75883754402555,129.2037971902341,E,1
US,Widowed,E,E,136.72688904725402,D,C,116.50603184483171,104.45385438282202,B,0
China,Single,E,B,-45.70519844574447,A,C,-7.031551522465941,-34.55589522841257,A,0
Germany,Single,B,B,-7.873967852205264,A,A,291.16832888284557,-175.62289929170132,B,0
UK,Married,A,D,-43.637435547930224,B,B,52.24819196736049,58.67716388692074,D,0
Other,Married,E,E,-25.291897216868612,E,B,-11.865001943045028,-7.1143421877480195,C,1
Mexico,Married,E,A,-9.729459552674083,A,B,102.3876249157365,127.20928044035973,C,0
Germany,Single,A,E,69.49378171444644,B,C,-39.120602711578066,-155.39699086318942,B,1
India,Single,E,E,-1.396640358939042,E,B,-240.47749493155038,-6.305577408111251,E,1
Brazil,Divorced,D,A,78.0442862385346,C,A,207.11045729881096,16.268854095791497,B,0
Brazil,Divorced,D,E,62.51916674233463,A,D,-19.01367245259155,57.807266823546065,D,0
Brazil,Widowed,C,E,-52.26983514211169,D,D,37.58417468816864,78.2091086512364,D,1
China,Divorced,C,A,23.982961148832555,C,A,156.30495248119672,49.381392457160125,E,0
Germany,Divorced,D,D,72.72022015654734,B,E,-101.29476568791125,53.28206075506247,E,1
UK,Divorced,C,A,-214.90832094474652,C,A,85.8257969559194,-16.110856287365856,A,0
India,Widowed,E,E,-5.666072015675377,B,C,-146.53414374956287,-102.1987157956094,B,1
Brazil,Single,C,A,268.28721519568296,C,E,-4.101363100110069,15.059487865629537,D,1
India,Single,A,A,8.852791355052089,D,B,-154.4401070451914,-156.3897398563266,E,0
India,Married,D,D,42.146521536980686,B,E,-33.98031899503538,-2.1518756226107105,D,1
Brazil,Divorced,A,C,-99.25694574799068,E,B,24.221760231860866,9.660466677968712,D,1
Other,Divorced,A,A,-107.65237536399302,B,D,71.31643786097403,8.606657676426662,A,1
Brazil,Widowed,B,B,-71.35197250683176,A,D,-73.70732689590804,15.395381868012215,B,1
UK,Widowed,D,E,34.68040604109808,B,C,123.2205785004565,-86.45243425631837,C,0
UK,Married,D,A,-57.10977116263448,E,D,7.505635922078014,88.72537899370948,D,1
India,Married,A,E,-25.78256846432108,D,E,-50.587844064278386,-77.38429972704867,B,1
UK,Divorced,E,E,-55.699776024402006,B,C,-126.29569971881453,73.55165321517376,E,0
UK,Widowed,B,D,-86.07269660992347,E,C,3.9915381504911798,-139.3309370522877,E,0
UK,Single,A,C,-34.23772196616974,C,B,48.86921664070943,-41.25139781946425,D,0
Brazil,Divorced,A,C,-24.25186981249666,E,E,-92.19779340236182,107.03344937098602,B,0
China,Married,D,C,153.21807070603597,D,B,-3.9370122617642034,105.05180072858404,D,0
Germany,Single,C,D,-56.391166811984725,C,A,-145.500423804304,-121.0034304191551,B,1
China,Single,C,C,-72.83704399967512,D,B,-20.195191921325186,-119.76428757405908,A,0
India,Married,C,D,-45.660733771109335,D,E,-44.199655543750744,118.4634457044512,E,0
Brazil,Single,B,B,-38.138795727025396,D,B,2.3704871840387702,-81.67633026676499,B,1
Germany,Married,B,B,20.757138135047583,C,B,-28.48924454123796,-70.59062468629901,A,0
Germany,Married,C,A,-13.95610091847392,C,E,19.263919077859,8.22252254899186,C,0
Brazil,Divorced,E,B,66.45948351774244,C,B,249.71549369089126,242.21781345660912,C,1
India,Divorced,B,B,-49.377810766131105,E,C,20.671238214608096,-63.88912750458338,B,0
China,Divorced,B,E,-24.22894179856259,C,B,-37.064994938026,209.77344113163832,E,0
India,Widowed,E,B,-6.36433847051258,E,C,-145.66334925685996,139.52081134727288,C,1
Other,Divorced,A,B,-25.14656259967967,C,B,45.00843878158407,-63.53973815870502,D,1
Other,Married,D,A,-30.612166995840003,C,E,-68.40390374055521,16.84185115597458,D,1
US,Widowed,C,A,177.0784267669123,D,A,-93.26116198250429,-122.41068021385375,C,1
UK,Widowed,C,C,-51.94504958011969,C,C,127.5300896990927,-60.098277686895685,B,0
Brazil,Married,E,B,-66.73622342870125,D,B,-48.25106839416504,-152.13219478002463,D,0
Other,Married,D,D,-74.38535468161614,B,E,33.83487209574702,-16.52370721232384,D,0
Other,Single,C,B,24.553421270368915,C,A,48.026903245179916,51.584935238379224,A,1
UK,Single,C,E,61.059682093141575,D,C,102.29297722223727,25.997256427898378,D,1
Brazil,Divorced,E,C,-92.18319994324699,C,E,-238.13068680234073,-93.57488263459791,E,0
India,Single,A,E,57.1928137316977,E,E,113.23587868941456,-40.36427674226707,D,1
UK,Married,E,B,-118.82993769577945,C,E,81.05040790518187,40.158142729184775,D,0
Other,Widowed,C,D,-37.39507811376575,D,A,-299.27012129648585,-68.53990819918123,A,1
UK,Single,B,A,-170.30759689523248,E,C,-146.89967884303672,91.47126665778532,D,0
UK,Single,E,B,39.9174861705462,E,E,170.45262755067193,17.84302292730616,E,1
India,Single,E,B,97.38365682929614,C,A,-33.07157401890602,-26.409600856206218,A,1
Germany,Divorced,B,A,152.21958661430745,B,D,8.671427420466365,62.21790744295075,C,1
Mexico,Widowed,C,B,92.24092993435444,B,E,-18.004943241674965,202.83418446925853,A,1
Other,Divorced,A,C,54.10993741326825,E,A,118.03654394515732,204.85602170114404,C,1
US,Married,C,E,140.17962841484086,E,A,25.65360153973358,-52.09623651581205,D,0
China,Divorced,B,E,-87.81677690476575,B,B,68.96903244428488,-214.49061798577696,D,1
Brazil,Divorced,D,A,-62.72637698694855,C,A,-44.56967109542697,-73.45986461602313,C,1
UK,Widowed,E,A,-40.42735195919207,A,D,94.79576154999418,-67.36171719634144,E,0
Mexico,Widowed,A,E,-128.33794703490994,B,B,39.614163474189326,80.87617566267295,E,1
US,Widowed,E,D,86.6938096434296,B,A,-102.60286935078167,29.306160708081347,C,0
US,Divorced,A,B,-92.70730308352233,C,D,-129.334322569285,-191.38582569832025,D,0
India,Single,D,A,93.09599094802674,C,E,128.76758537749356,-110.26304099078838,D,1
Brazil,Divorced,A,B,101.30268530039763,A,B,-1.0119945515380535,-134.50316520637026,C,1
UK,Divorced,A,B,186.7333531013171,C,C,-60.619523870530166,231.85833787568768,E,0
UK,Married,C,B,-25.356142483300758,A,B,57.310020190032986,-157.4231846687199,B,1
Germany,Divorced,A,A,84.87222702766107,A,B,-274.0662107132512,-65.20836229980044,A,0
Brazil,Divorced,E,C,-51.043188267213345,A,D,139.47670874448903,64.64870194656108,B,1
UK,Married,E,A,46.655417880122855,B,D,-153.16192817753696,50.70754825589518,A,1
Brazil,Married,D,B,-0.3665003004879328,D,C,-225.46503911429582,-67.84785507243534,B,0
Mexico,Widowed,B,B,33.73890629416198,B,C,90.08010426549363,207.4937837064303,D,0
China,Divorced,B,A,33.181206153462654,E,C,-84.70540916427579,82.37449539336127,D,1
Other,Widowed,A,A,-110.98757647766062,E,B,-8.839275794315734,63.44716042777843,A,0
India,Widowed,D,C,-19.572400567626058,C,C,81.39189655211769,-4.621490015972237,B,1
Germany,Divorced,D,D,103.61393259824088,E,B,77.33784316303644,-201.57131366162892,D,1
US,Single,B,E,78.74418078718755,B,E,121.97531213418102,-157.45882846259192,D,1
India,Divorced,E,B,-7.431441728240351,C,E,62.04203849784541,-7.381821411493606,A,1
Germany,Married,E,C,-25.218570489478648,C,A,-11.683279821774613,168.9843915607936,B,0
Other,Widowed,A,A,-47.111677701987084,D,B,-0.7122785186940884,112.03195811727448,A,0
India,Single,A,E,-51.58735666623148,D,D,-94.2609313590488,32.167943412542634,D,1
US,Married,C,E,-1.420783149206497,B,C,23.510346293491335,193.56717061361587,A,1
Mexico,Married,C,B,-28.160041964535935,E,D,54.39038329951372,-120.20531149995344,E,0
UK,Married,D,A,-105.95140540018188,C,C,-29.056792275015642,79.92534742172609,E,0
Mexico,Widowed,C,D,-161.37584477904522,A,B,-2.212232790248816,-0.3002474778410937,B,1
India,Married,B,A,39.49945739425092,E,E,-31.57975718151341,86.92447283413975,C,0
India,Married,A,D,-19.571021294010983,D,A,14.288968859565584,68.99716687754147,C,0
China,Widowed,A,A,-82.76050212322747,C,D,-9.93900681068409,26.362899908564145,D,1
UK,Widowed,B,B,116.6454780596686,A,B,63.005129301117826,-89.84638512067386,A,0
Mexico,Divorced,C,C,-49.49180395346862,C,E,110.13907665935889,-3.4049715278144035,D,1
India,Divorced,B,A,-41.157572034506536,D,A,27.354919835988316,109.7442714115561,B,1
China,Divorced,C,E,9.944898148871099,B,D,-112.86146439558986,39.945404829944984,A,0
UK,Married,E,C,-30.37820774694898,D,D,-8.426811208092682,101.89469792840036,E,1
Mexico,Divorced,C,D,75.24344940208064,A,C,-56.85478550782451,-1.1913946950989505,C,1
Mexico,Divorced,A,D,26.165014817209702,B,A,116.62749832985585,22.181915613800005,B,0
Germany,Divorced,C,D,-0.1212445763681878,E,E,24.811741092809903,9.803246947358623,A,0
China,Single,D,A,63.64156593359449,D,D,47.73457602556899,-137.12814269282097,D,0
Brazil,Divorced,C,A,-52.42204083485847,B,D,-17.524306878281614,-12.637230898482033,B,1
UK,Widowed,A,A,-110.05238372168633,A,A,-50.2132841824803,-104.19099368297825,E,1
Mexico,Single,C,A,-23.746795674383595,E,D,-10.904162733583291,-8.936958206106173,E,1
US,Single,D,E,-28.83364918549684,C,A,-7.732181658961112,-5.987093621847879,D,0
Germany,Single,B,E,-149.0124710498284,B,E,23.438008425535177,-74.34862837920018,C,0
Other,Widowed,D,D,17.789921258519534,C,A,73.69050654826904,-66.2655853165817,B,1
Mexico,Married,C,A,62.28640323691768,E,B,-71.28413529863369,-13.329351393297673,A,1
Brazil,Married,C,D,220.7189713189852,D,A,143.7587342403272,-15.101086124272484,D,1
China,Divorced,E,A,72.89514541228574,C,A,89.19081551529608,135.55928335405184,E,1
Other,Divorced,A,B,-30.416220567424972,E,D,-157.75418292170454,16.253429760806743,E,0
UK,Married,B,A,35.43505826142335,A,E,-50.98259685580222,-19.375512001450314,A,0
US,Single,A,E,208.50389083831925,E,E,-83.27464719772134,38.7510641175067,B,0
US,Divorced,D,B,162.45437336695989,D,C,39.32821216437121,-23.77893409998579,C,0
Germany,Single,B,A,19.222270589070625,E,D,-65.21693201627082,91.67802403804696,E,0
US,Single,D,D,-127.69433983517975,C,A,99.73209900112514,-31.945902383242952,A,0
China,Single,B,E,-83.51682364122807,E,E,84.57797732291822,-141.92825338068178,D,0
Brazil,Single,C,B,56.10455189226854,E,C,171.06199831265337,-150.02412100287873,E,1
China,Married,A,D,18.523929085533734,E,A,4.405967834427328,-158.80398210401955,D,0
Other,Widowed,D,B,33.58431972283872,E,E,36.20038461648743,241.9301915722349,E,1
China,Married,A,D,54.07312083471661,C,D,-147.91980256988418,-26.4983475814199,A,0
Brazil,Widowed,B,D,-92.4118503838596,E,C,7.112892831988045,-238.1886965347444,A,1
UK,Divorced,B,A,50.464704566210116,D,D,106.56651780071738,-40.63059867179969,C,1
UK,Divorced,B,A,-114.72262202054064,B,D,85.32214722396928,-138.92035095887022,D,0
India,Widowed,E,B,115.40251292224633,C,C,18.991449164883477,-40.01690148302322,E,0
Mexico,Widowed,A,D,38.423005007184905,A,B,-2.0811745923792566,63.67423907302704,D,0
India,Married,D,D,39.75034608702676,A,D,78.29137131319492,-12.658638737330369,A,0
Mexico,Married,C,B,63.63594195200504,A,A,94.51050768912059,81.58935889831763,B,1
US,Widowed,E,B,-130.60291809535113,D,B,-114.24186745620462,-74.30764553027103,B,0
Germany,Divorced,D,B,52.25961497461714,A,B,-85.88256510889298,37.11718229839213,C,0
India,Divorced,A,E,95.3229075776673,D,A,96.59606866869652,32.51036731980795,B,0
India,Married,C,A,-158.7911354370105,B,C,0.7595235585719032,106.5091535752327,A,0
Germany,Widowed,E,A,-89.41311926844001,C,B,-103.35208866059007,-206.51015268879368,B,1
US,Divorced,D,C,-16.468186205422896,E,D,48.95263206519321,59.01018843437994,B,1
India,Single,A,E,70.45120665909461,E,D,307.8549078785325,-3.776586386828725,B,0
Brazil,Divorced,D,A,-12.883148573232983,E,D,66.62662748427478,80.97544532377631,A,1
India,Single,D,A,108.45900802159423,A,C,-39.36704875917042,72.62464607111097,C,1
Germany,Married,B,A,80.05253091959591,C,C,-25.88159794668396,-17.324046675415037,C,1
Germany,Single,B,B,-85.50870337189728,C,A,-288.44127736134396,19.43966557754889,E,1
UK,Single,A,D,97.27207174955758,C,A,96.94739541298802,98.87915122063411,C,1
Brazil,Married,A,B,-72.08574370139401,B,E,33.83885379865513,45.56057825302608,C,0
UK,Married,B,A,44.78499386479106,C,A,-5.295868859199771,-81.98631288052626,B,1
UK,Widowed,E,A,-57.590420527376466,A,A,-196.06468236548804,54.32137487208675,D,1
UK,Widowed,E,A,109.11275500755178,B,D,-98.56610802404028,-0.23923871942567862,D,1
US,Widowed,B,B,-15.553726854572533,D,A,-142.66971273012342,-238.23663296779304,C,1
US,Married,E,E,-98.23505636026678,B,B,71.71743460251855,5.236795387409953,B,1
Mexico,Divorced,A,E,210.16274680287012,D,B,-13.972502674332043,-79.9945658299691,B,1
Brazil,Widowed,B,B,48.44763130996888,B,D,46.61766377545168,-112.29192317748178,D,0
Germany,Single,A,B,-203.51608440516293,B,B,-120.80277346313196,-59.908383412640774,B,0
Brazil,Divorced,E,C,-14.437764374494074,B,E,102.24065321902907,-32.50066395063194,D,0
UK,Single,B,C,-126.728843158877,D,E,7.8309742612108675,10.395761848924257,C,1
Mexico,Single,C,C,-34.567724330853835,B,E,-159.7873437127726,-71.37101245943585,D,0
US,Married,B,D,59.26607696680318,B,C,-84.40776691737736,-3.7310681030939064,A,0
China,Single,C,B,85.82266050982597,E,B,29.67614653023834,-57.282167517974,D,1
US,Married,D,E,-27.806873025935374,E,A,120.7148651577081,57.013251761094885,A,1
UK,Single,B,C,-154.13781747906708,B,D,76.5521069197166,80.37277278449497,C,0
Other,Widowed,E,E,76.58834418452298,C,D,-40.786539442743766,149.4735480686086,D,1
Germany,Single,E,C,-78.33100605583691,D,B,39.34261996507007,-63.59376259043533,D,1
Other,Divorced,A,D,-79.89337212198724,E,C,32.65191772340826,-11.194629198052812,C,0
Other,Single,B,C,136.15253532046475,C,E,49.93146860191995,89.3283362097288,A,1
Brazil,Divorced,D,D,-40.26557093798695,C,E,71.21987423882292,-75.4648662677564,B,1
Germany,Single,B,A,-9.20535249077429,D,D,-146.19675294253605,62.9552595919905,A,0
Brazil,Widowed,C,A,126.23535020417438,A,C,18.445999158559147,77.14855980057848,B,1
India,Single,E,E,-72.9743678629233,E,A,145.4379318540563,-28.25641014399915,B,0
Mexico,Single,C,C,-134.35056178938453,B,A,-72.3750229024187,91.4079540824619,E,1
US,Divorced,B,A,-92.61188613291293,E,B,114.37023863945288,-16.338726244437943,D,1
China,Married,A,D,-262.2233771761863,C,D,-28.963622694774443,-116.98257485825269,D,1
Germany,Divorced,B,B,-121.32998807806948,E,B,10.591265421900943,-22.63735629470952,B,0
US,Married,A,E,114.12675150506632,C,E,51.23639088442226,62.45448700432432,C,0
US,Divorced,D,C,-17.004857762740187,D,E,-131.39374940655907,-15.228889682797659,B,1
Other,Married,C,A,94.91930132250003,E,D,-44.6705662025832,14.178524638009346,D,1
India,Widowed,C,E,32.95925617230093,C,D,-174.14448095990795,-11.744995947157888,E,0
Germany,Divorced,A,E,-197.2726279008661,A,E,-1.1533975441138988,-119.65469052071728,E,1
Mexico,Divorced,E,A,109.37120221640588,C,B,19.591639376992045,-28.982095862261005,D,1
Brazil,Widowed,A,A,-48.4090889788197,B,A,-87.38818200644639,27.03701442605792,C,0
Germany,Divorced,E,D,20.2662720056752,D,B,35.402622967177926,-24.35681469909626,A,1
UK,Divorced,B,B,72.71023027789111,C,D,-4.541166939582104,-135.11363089396534,E,1
Germany,Divorced,B,B,138.19656975722947,B,C,-161.82602200121084,109.33634986732027,C,1
India,Divorced,B,E,-36.24346320866637,C,E,30.73412075135768,-62.4644999145993,B,0
Mexico,Divorced,A,D,86.52331439693421,E,C,0.9240966444521616,-121.36272398144034,A,1
China,Divorced,A,D,79.22655903463092,B,A,54.46733281015711,-23.170100521580334,E,1
Germany,Married,C,E,51.596339277951465,A,E,2.541191874886996,-96.28808353118414,D,0
China,Widowed,D,C,-24.251237444849174,C,A,33.54891997706576,-119.0310811972023,A,0
India,Divorced,B,D,16.554109550114056,D,B,-166.030262806713,140.6471681141012,E,0
Brazil,Married,B,E,213.88853295899554,C,E,94.00731957642599,-90.45842390616914,E,0
Brazil,Widowed,A,E,14.306321032431848,C,D,67.4907493370484,268.14369548243354,C,0
Brazil,Married,C,C,-124.66687814638627,B,E,-27.833464405111506,2.602278715008462,D,1
Brazil,Married,D,A,-17.54208147409723,A,B,-31.44587061295971,48.966593129960614,C,1
UK,Single,D,E,-55.63264035394631,C,C,63.541426002622295,-56.65083974504055,A,0
Brazil,Married,B,B,132.70887956158916,B,E,-4.6557862902602425,-286.9268463069372,A,0
US,Married,E,B,142.58327911446474,C,B,23.82573199258328,-78.38755406953658,D,1
China,Married,E,B,-13.848931595319344,E,B,-17.04962552624944,-77.98206046251515,C,0
India,Widowed,C,C,40.52741722690929,B,C,234.41088381392456,-102.14993820493355,D,0
Germany,Divorced,C,A,74.12600795505422,E,E,187.1897492586502,75.7751595408912,E,0
UK,Widowed,D,D,3.888053072619946,E,C,-11.100371112762831,92.00295648720709,D,0
Mexico,Married,D,C,-46.99472446796859,D,E,-124.79321903144165,99.62878388027532,C,0
Mexico,Single,E,B,-50.56814363661777,E,C,10.318303720240168,-106.86138734580837,A,0
India,Single,A,C,61.532252954866095,B,A,65.83596321571143,12.10216826146024,B,1
Brazil,Widowed,C,A,177.221582388859,E,A,-130.9492733538954,68.1922090901283,C,1
Mexico,Single,B,D,-74.49046136497431,E,D,34.54346566938496,73.54358996066807,C,1
China,Single,E,C,310.44910506542374,B,E,-30.913539351467634,-52.063595721575936,C,0
China,Married,D,B,172.38694566807737,A,E,-65.00497331448365,-133.78112660673514,D,0
Germany,Widowed,D,A,-61.28212489976853,A,C,-43.84784870591499,107.2152002057418,D,1
Brazil,Widowed,A,C,60.56596763413443,C,B,40.0218641107364,-229.8869532353019,D,0
Other,Widowed,B,A,-50.561683327423054,E,E,-15.912183991567819,127.1028767991792,E,1
China,Divorced,A,D,80.87996481833466,D,B,139.61984397960748,39.26155744283588,A,1
China,Divorced,C,D,-45.652253054821074,B,B,136.9026270616379,13.02416950443342,D,1
UK,Divorced,E,E,52.663756635358524,C,C,22.905050069907695,120.93772512784278,B,1
India,Single,E,A,77.73308655518454,B,E,74.45690766473156,-11.145278371516838,D,0
US,Married,D,B,-4.725662159081131,B,D,-61.55735307495386,-119.12119968941187,B,1
India,Widowed,B,E,56.77626603254805,A,B,61.24964487497371,-107.24701013688554,B,1
Germany,Single,E,D,41.44205451761652,B,A,61.65601239469856,45.61918679114919,D,0
Brazil,Widowed,B,B,-25.83576963184176,A,B,14.379909756272024,46.44093436506038,C,1
