AgeGroup,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
36-50,Bisexual,D,A,E,C,-55.44576669173035,C,-3.7353501345114095,-5.569392995677954,-108.38042885501471,-56.207608426356494,E,B,-14.016622042442881,0
18-25,Homosexual,A,A,B,A,-85.6883202467813,B,-151.47637671138935,75.35896109500635,199.8389125259691,57.91022843316016,E,E,57.87685555387494,0
18-25,Bisexual,B,D,D,A,154.55621889676596,B,64.6227907081009,-162.37058104128397,27.880180182660908,154.38830029451455,D,B,74.53644584442452,1
65+,Bisexual,D,D,C,A,58.85385711640464,C,-45.8656142362811,-73.68038142529797,-105.65513924255771,-13.632686456438256,D,B,88.23919156999386,1
51-65,Heterosexual,A,D,D,E,-177.94004860757687,C,-80.33754640973349,230.4514198403902,-157.08814122307112,56.858460019221916,C,A,-25.569435813850266,1
51-65,Bisexual,A,D,D,B,-51.77430606420215,C,35.259815538815424,-49.80454954801743,-157.07562391650222,18.7789859434739,B,A,1.628217166819497,0
65+,Heterosexual,B,D,E,A,-145.8184907019117,E,59.99335483692061,225.16080012586835,94.75810006477155,63.81349998147623,E,C,72.31910759084978,1
51-65,Bisexual,C,C,B,E,10.287085213131363,E,2.7347211205955966,17.708942422598895,218.59652638588489,53.94536694923836,A,E,-142.45924200351712,0
36-50,Homosexual,B,D,D,E,75.67117207692874,A,-94.26876058345883,-33.50550421642682,-56.32670942263559,108.70699385951647,C,E,273.77404181290257,1
51-65,Bisexual,D,A,E,E,-52.26679268600451,B,2.7703203090828756,-114.48161797157704,-99.131377212422,13.75512609182408,E,C,79.06645917962479,1
26-35,Other,B,A,E,D,9.23110363641312,B,-251.177173949511,-173.02077444113067,42.962687109573345,-52.86362006897456,D,A,17.981168767692527,1
26-35,Homosexual,C,B,E,E,63.221327575439744,D,135.7494999453476,82.63875821521658,-48.88179177047128,-87.95332512633864,A,B,-113.97674309560473,1
26-35,Other,C,D,E,C,16.336363227696754,E,210.63575121636177,-170.19709076383825,67.77166894825761,-8.423849511176924,C,B,-28.418511480469483,0
18-25,Other,C,D,C,C,-131.98457722196594,E,-150.74508434818193,94.32414167806226,27.59507472940117,83.84247558539504,A,C,-3.661908535165724,1
65+,Bisexual,A,C,D,D,138.4292394914573,C,162.77889863814505,-12.284014660424603,229.41874576827996,160.2253346714705,A,C,-168.81416162401828,1
65+,Bisexual,D,A,E,D,85.56857333799421,A,21.80559999274997,-30.89099995452348,-41.50286361438484,-143.15537404018508,C,B,95.77855718802381,1
18-25,Homosexual,A,C,C,D,56.85654963669856,C,41.88321892903692,-153.2994138757148,91.68747182769434,-89.87256974870633,B,C,8.959232702636937,1
51-65,Homosexual,E,A,D,B,183.11788886190678,E,-187.01430690814314,5.060317388151343,-99.3149411020858,113.54125881084333,D,A,-131.59934296038443,0
36-50,Heterosexual,C,C,B,D,126.48181418753607,D,-10.338218182704098,-8.652950798077558,32.62685527882147,11.539279915141567,A,C,99.06242675108696,0
26-35,Homosexual,B,A,C,C,-214.34622287796677,A,31.355606626946198,189.96053770861195,-39.27664861809337,-71.65548385929982,E,E,-53.21989748499525,1
26-35,Other,B,C,B,B,129.69406927948694,B,27.383944416870904,-97.63720507770581,-46.30940877961544,-113.35996292931524,A,E,-155.02878518373925,0
51-65,Bisexual,E,E,E,B,31.09904841798663,B,6.206182774420086,13.04762529214353,-122.58894243364735,89.0076489922643,E,B,102.35825509152502,1
65+,Heterosexual,D,D,D,B,-196.4765245510677,D,15.49345559891169,75.6865476890203,112.5967296174983,82.79685891302742,E,E,-65.5583849233117,1
36-50,Homosexual,D,B,B,E,111.48702438962974,A,28.442558627768573,-59.40743503894576,11.086527021061128,84.70464196493171,E,D,-25.197242623921085,0
65+,Heterosexual,E,D,D,B,-76.78796867010416,D,37.36590116272159,-112.5488865781908,61.10695354398841,10.325668742237553,C,E,-69.0487623599294,0
26-35,Bisexual,B,C,A,B,21.798091231301616,B,-88.99459117112411,40.987068811817686,-27.01791781115687,-74.43406416763261,B,D,120.94109413673155,1
18-25,Heterosexual,A,B,C,E,65.13379072767286,C,188.57862876702129,15.503133525525008,-17.36156506108543,96.92501930935809,A,C,12.631827922424991,0
26-35,Heterosexual,B,B,E,C,-50.98746642939478,D,7.488205995693492,80.02911701110585,-78.83170115584434,84.8226458571017,C,A,40.86972092384972,1
18-25,Heterosexual,B,B,C,D,22.721942867906456,A,46.63613788869202,76.11954695630884,89.4685389311658,-153.49304374923616,D,C,-75.5346518059722,1
26-35,Other,A,A,C,A,-205.81174962284322,D,59.985497041434584,-34.8545929423721,-15.25545310290726,91.32543795419699,E,A,187.99816763422615,1
18-25,Heterosexual,C,C,E,C,-80.94744849612479,C,-45.52054789434111,105.16777633075868,101.22625694154104,70.9233248598357,B,A,-169.6764950696558,0
65+,Other,E,E,B,C,188.79824829089227,D,-9.167135736525106,40.31114513604264,23.006795891387966,-64.01141978914265,B,A,215.1900867714845,0
65+,Homosexual,C,D,C,B,-51.31820298922511,C,156.70427580359535,-106.76272732564738,-126.10902933781993,-19.726418610464385,A,C,179.7371928038803,0
26-35,Heterosexual,D,E,B,E,76.19850311325158,A,76.73821008423157,74.12110578448844,-5.295287102901503,-150.93617409933722,B,B,6.216454839539183,1
18-25,Homosexual,D,C,D,E,45.0382003563818,D,74.48899677900322,32.4848099981382,14.451461032414606,-72.1559287138599,C,B,-180.77227173104188,1
65+,Bisexual,E,B,E,A,15.673509611398293,A,-152.85392119723156,-140.48813026702427,-60.19659463958473,-34.58888993789338,D,D,161.72339677455827,1
18-25,Other,B,E,C,B,89.80137922363673,B,14.312591530224243,24.853292420811318,-55.19266035677267,-92.09593319595464,C,E,-24.732043713222968,1
65+,Bisexual,A,A,A,D,9.790589183216024,D,56.54681354159964,-60.36459028497809,-55.45755316027752,-116.48859674625534,B,D,-47.889074568664576,1
36-50,Bisexual,C,A,B,E,-98.53419199503944,E,-119.92246097713497,34.2527818496213,-180.21132781787372,-27.613492118062865,C,A,-53.5490242156469,0
26-35,Bisexual,C,D,B,A,126.88533283571279,C,-126.58189214829127,-65.63332126360837,27.962688483160647,34.32241574779101,E,C,60.44353582888291,0
36-50,Other,E,B,E,B,10.707738840886579,B,-67.73156242358435,50.42499046243244,71.95459743508556,-16.066489786918613,C,A,310.5578016229873,0
51-65,Bisexual,A,A,A,D,125.352350127151,B,-39.26686839255063,63.073057429987614,110.8360637382503,21.533451038479388,E,B,-68.28865156300658,1
26-35,Other,D,C,C,A,-233.29529939812065,C,59.10567200886672,-180.03744773476416,17.076845936996115,-23.384006524751175,B,A,-53.24640936823338,1
51-65,Other,C,A,C,A,46.63270724495261,E,129.75086641369776,-39.533544223197985,-1.2303786502428085,257.3579152675987,C,B,229.98017902204975,1
18-25,Homosexual,D,E,D,A,46.866456522801215,E,-24.881251621641105,-81.23865504798279,-109.4200462345724,21.42986580627599,E,E,82.84034096695818,0
26-35,Heterosexual,B,A,B,E,-48.42215140901759,E,-314.9031104667485,-169.65049225363492,-137.4526979219177,93.5900614485052,E,E,13.62469938069441,0
36-50,Homosexual,C,E,A,D,-30.474121165432056,D,69.08421235626588,-88.55315627945691,-88.14986714701944,159.10191187000723,B,C,-15.679425180243573,1
26-35,Bisexual,A,D,B,D,-59.63090550754199,E,28.62366739114288,71.46697494763897,51.16575183449156,120.36216910788255,E,B,138.11813334688782,1
26-35,Other,B,C,A,A,-127.34593635598948,E,83.17808632839706,149.12406353811332,-64.33462664147193,-52.17376361633554,E,B,-189.23331027684114,0
51-65,Homosexual,C,A,A,E,-27.891361301526317,A,-76.20465373259955,134.1338970936578,-106.59326511611356,229.17847522894172,D,B,134.9495863851171,0
36-50,Homosexual,C,D,C,C,-90.17682079086177,A,-5.162306496254143,-157.2418003462191,-61.649416276812076,160.90141601278881,B,C,168.6044983398058,1
26-35,Other,A,A,D,B,-69.39842999293674,B,-2.7978652568200624,138.19958263033274,-33.48593640662843,-93.44028100313409,E,A,-79.91794417920813,1
18-25,Homosexual,E,D,D,C,178.74714120814028,A,119.73834121542943,-22.963459705585716,147.7028897627506,-55.5563957044378,A,D,222.6639650467396,0
36-50,Heterosexual,D,D,A,D,-74.8620033396085,E,-47.795767239683265,-0.5441397084603591,4.4382693442309,-42.766078850575276,A,D,137.54507633058074,1
36-50,Heterosexual,B,E,A,C,56.192495991537214,B,73.49101856726213,-17.54513843868974,-15.772289031903586,-69.3662815271988,A,E,82.7189829439101,1
36-50,Bisexual,B,E,B,E,102.4384243737637,E,51.57693723498063,79.58966532995795,145.86875302789167,-33.89559376673568,C,A,-1.9646720628618517,1
26-35,Other,A,C,B,D,-30.264159778899536,D,192.75802774678286,-96.32594565314577,99.14193860911368,-0.5297483542642832,D,D,-103.87278521268311,0
65+,Heterosexual,E,D,C,D,-36.44618577376018,A,-90.2102771014234,31.178564029997517,-160.582670298844,59.20025610397778,E,C,-93.58501497476477,0
18-25,Other,D,B,A,E,-1.1715260793389959,A,-98.00566777063274,-19.825527437930404,-62.60473417972064,23.33154331961968,E,D,-144.02764526724872,0
18-25,Homosexual,D,B,C,E,215.86308523097392,E,146.95607464693924,-5.083379177978739,19.898325937395928,-78.50501053322296,C,B,100.11768742709756,1
65+,Other,C,C,C,E,-94.8603033362326,A,6.148132709854976,62.10308205766629,-108.7210062504063,134.18075230788077,E,A,141.68146199099377,1
18-25,Heterosexual,B,A,E,E,-73.82758722899008,D,-129.74367837765055,24.782090374826566,-175.52723301077015,100.54915649406226,E,C,-84.98175735816656,0
36-50,Homosexual,B,E,C,C,123.1486039618488,C,-88.10914774726211,133.5668371298064,166.93946068340176,47.41861553181981,B,B,80.60503196515685,0
18-25,Other,C,A,B,B,-127.59549794894932,C,4.033776782457447,101.4138328974538,-51.831968286024335,-30.593216105000636,C,B,-7.6664238349083815,1
36-50,Homosexual,D,B,A,D,92.31264807358066,A,-158.7214933223287,-148.06983448173148,-99.46604436726332,35.79085406861221,A,C,-58.57261146070258,1
65+,Homosexual,A,D,B,B,-57.92125209582094,D,104.11870352853938,124.6634260500322,0.16842128090812866,-112.25253382448498,C,B,-132.0410223072079,1
18-25,Bisexual,E,B,A,E,-148.02077869121553,D,-109.86040046078598,-13.25294906099897,-120.91129688409652,-57.321087842723486,E,D,99.50696818659198,0
26-35,Other,B,C,A,E,79.47211992543633,B,-129.13939752558568,-217.74857973034938,118.26529355863231,298.31812567081954,B,C,168.3044382202919,1
65+,Other,D,C,E,A,28.318678419660127,E,-122.50423621756472,25.941275570819716,79.22943119015733,49.6193603330249,E,E,-64.35491782063411,0
65+,Other,E,C,B,B,34.44088671231551,A,88.96555456242089,3.3566737783747467,131.85191601635879,-197.64962184396634,E,D,303.64381128292683,1
18-25,Heterosexual,A,B,B,C,-5.640267110293417,C,-99.36328274370051,179.3947796745371,-224.61780342124635,190.1237659041011,B,E,99.48825177851664,0
36-50,Bisexual,A,D,B,C,-75.93467291732632,A,9.88333140542519,-72.56670495374927,110.62927389615555,-22.845278376975674,E,B,-182.97880879081788,0
36-50,Bisexual,E,A,E,C,86.66318189287593,E,120.98607119119049,-69.03796378676374,-124.90847619189903,82.43826152135266,C,E,14.525394280520448,0
18-25,Heterosexual,A,B,C,E,162.71812173517088,B,226.2535416581101,31.137246811783807,-92.36238457433828,41.38667490300385,C,C,29.64062307041808,0
26-35,Bisexual,A,A,A,E,-126.18892962553832,B,-1.387942357148289,10.336900712380691,-18.32701020399136,-153.01418197923067,A,C,-62.45865855847881,1
26-35,Heterosexual,B,A,D,C,-130.86396270208198,A,49.59422559147199,39.36420178749605,-12.719988387369943,-22.783892266991547,B,C,-118.91409335081661,1
51-65,Other,D,C,D,D,88.39575027574399,C,137.0071771169316,70.28430880247623,-22.45996990717905,29.55227708629973,B,D,-106.28977941946314,0
65+,Heterosexual,B,E,B,D,-100.19036907150931,C,58.85366709373238,56.31078341596128,121.79093525480707,146.96872116256657,B,E,3.1550791757328724,0
51-65,Homosexual,C,B,A,B,-48.61788677734148,A,80.47268576530514,45.56511919860591,-94.25383813987132,56.82163208200711,B,C,41.40706743120091,1
36-50,Other,D,B,B,E,-57.36217353005373,D,-51.39836987786911,135.00293132849745,-29.278210925728743,9.671947119604088,E,C,76.22527696418008,0
36-50,Other,B,B,D,C,43.07881245014983,C,-54.54820588708964,-201.50062317982642,81.53679991927814,79.03236799939484,E,A,29.943945434713566,1
36-50,Bisexual,C,C,B,D,40.67671561600993,D,27.787921947877482,-51.11353484528688,176.31226686316504,-187.833803317409,A,C,-37.877011210583454,1
26-35,Other,D,E,E,B,-76.6760734268715,E,235.46420794552714,76.25563731343598,-18.77516994107121,118.79008146908507,E,C,22.108002161089885,0
51-65,Heterosexual,E,C,E,A,-75.554462929447,D,-66.35963689414486,-12.881808221565413,52.409836267800316,31.890704549477917,A,A,-133.15919286132524,1
18-25,Bisexual,A,A,A,C,30.388172661564205,A,-52.45444627207466,-61.10813085119422,-4.559050828039375,-95.95090747746244,D,B,-61.573222222340696,0
26-35,Bisexual,E,A,B,A,3.1946334382929535,D,4.5693686095673804,93.33403130847954,-58.76494208585727,180.34865056522585,C,A,-58.077942814458396,1
26-35,Heterosexual,B,D,D,D,33.60162214502091,C,132.15053377962556,33.170640194992856,66.9726699548543,-124.4825623136032,E,E,-150.22596001881402,1
51-65,Heterosexual,C,D,E,D,-34.7963145769876,B,23.016674705736527,-1.001159560587715,-43.155934333401554,-64.35625502165229,E,E,-122.95181775259503,0
36-50,Homosexual,D,E,D,A,179.9398322230394,A,-24.452527864735952,-18.774159870041704,33.47929551240078,-73.29381348187847,E,A,29.809483370233576,1
65+,Homosexual,C,B,A,C,-40.045948736745544,C,-18.67964767368842,-57.42746208265991,-31.93023029802251,70.34576742431712,C,C,-73.52081150502694,1
36-50,Heterosexual,E,A,E,A,91.3433219202293,D,78.36896770400912,34.71436447029304,-37.92220829649011,165.0243034021804,D,D,85.97696698362077,1
26-35,Heterosexual,A,C,B,A,-36.598932733863826,A,-64.34737835054307,26.585405370935288,-17.301532799290943,-35.13680344075757,D,D,226.11959273802339,1
65+,Homosexual,C,D,A,B,-88.921307766833,C,-185.66741804518145,77.37190516209364,90.30708864882976,12.352002911583885,B,B,-184.75687386620137,0
18-25,Bisexual,E,B,A,C,86.04259104999693,B,15.245130800876947,-263.2897069744038,-16.189558829232656,82.22259693934531,A,D,35.548028999989135,0
51-65,Heterosexual,C,B,E,C,-70.97407491100117,D,56.152835809413794,82.61210572282481,-77.37882902748706,-149.2760424342879,A,D,63.32672087332401,1
18-25,Bisexual,B,E,E,A,75.36384314288131,C,-247.34370847297598,-13.178501340100857,-6.82570838298881,-136.76525374276673,E,D,92.53687346518505,0
26-35,Homosexual,C,A,A,E,58.20141396075286,C,-8.303691349085556,48.376625494606394,13.229696477275771,-15.425338051671217,C,D,-89.66483952529266,1
51-65,Homosexual,C,E,A,E,-2.1632053493837535,D,55.621215564956586,232.3539991375743,190.8872289903762,33.24744393073751,C,B,150.3775420395732,0
18-25,Other,A,E,A,A,7.5750138200799535,A,139.325175640496,15.233010228871866,-26.34314882403673,-25.855050465623698,B,C,80.17112945978847,1
36-50,Homosexual,E,E,D,D,-90.03182232678813,E,-92.82166418811894,-79.05533181743687,-76.61662206779346,88.1778073653156,E,B,-22.813514840364732,0
51-65,Bisexual,C,B,C,E,-91.66955393077116,B,-9.635875130302814,-129.89247905488185,-39.896221964019915,145.49502271535536,D,C,37.28604697762003,1
65+,Bisexual,A,B,C,C,-8.436821456578725,B,-207.46732785568202,-79.65987970370651,-27.30406431076001,7.0201875502037785,C,B,71.9471956574236,1
18-25,Homosexual,C,B,A,A,-94.14981673170264,A,196.65571468870013,-21.441914030190702,141.1370771172465,252.65795756670357,B,B,-11.903130455319024,0
36-50,Homosexual,B,C,E,E,-31.308896736598047,C,15.24989968827421,-45.35402986617662,-1.8347582506916964,-73.018314189355,D,E,3.3719606952941716,0
65+,Heterosexual,C,C,A,B,-34.35251940164063,B,-165.1691325440857,137.88139549591082,55.973717478768116,19.40284898744546,C,E,49.57392016710614,1
51-65,Bisexual,C,D,B,C,-20.03098902453517,A,-44.436832521167155,-128.8043721901456,143.10398665538656,-184.7266971184415,E,D,-68.0369888148429,0
65+,Bisexual,B,C,D,B,109.17438104827262,E,116.92979696655254,131.26107494721964,45.10183320951767,-36.347113777753,E,D,-113.93693011744031,0
65+,Heterosexual,A,B,B,E,7.89140195836492,D,5.133408842951623,148.32751388189044,107.95782170894242,-10.043493866646028,B,A,152.7281751423663,1
65+,Bisexual,D,B,E,D,98.41551272026457,D,-118.37522385422355,52.98243249685515,-100.14002268210243,46.68888766500903,D,E,16.59197994742895,0
26-35,Homosexual,B,D,D,C,-69.86551228306259,D,111.90199581414196,-10.581176548385834,-0.7964497489810032,-64.47758938741202,D,A,-23.082437543259083,0
51-65,Homosexual,C,C,C,B,-114.86935644002915,B,61.27058792252444,33.38067922388514,-9.206349798652335,176.64439012931263,C,E,-31.181806961281307,1
18-25,Bisexual,E,E,C,D,19.223145127919743,B,-43.84567392828809,-79.04040135960766,-157.22645680533302,-56.61210018436922,B,B,101.46521194245734,0
65+,Homosexual,C,D,E,C,12.800977595224222,E,184.85745368247763,-37.402782473655265,208.51276324595233,21.543558415969898,D,C,57.81948596342449,0
18-25,Other,E,A,B,C,-38.2068070800074,E,-88.31788131928104,4.702439599165643,251.09802551165953,-22.55649384433679,D,B,-101.53353429438103,1
18-25,Bisexual,C,D,E,B,-136.9829014179839,E,91.00625060840729,180.0315480030876,-112.32081803275473,-12.189608848580368,C,E,65.21615587669991,0
51-65,Other,B,B,E,D,-6.73383492188055,C,-78.34331335557482,53.65031740392349,151.90924759073047,-224.86912119363126,E,A,4.82740733031217,1
26-35,Bisexual,D,E,A,D,-198.86166310113035,B,-77.39199692436557,-80.2966868212272,30.833680026616506,-78.19709551638513,D,E,-58.80951146211808,1
26-35,Bisexual,C,E,A,A,100.52752410498236,B,-23.457573068617783,-100.26566644939801,36.29369322340311,28.533733858924148,A,D,381.9313413106453,0
65+,Bisexual,C,B,B,D,-31.55401700094009,B,-29.264605718865695,-127.24500163094297,33.54576864670615,-128.66132665552195,A,A,140.31304864369412,1
26-35,Heterosexual,A,E,A,B,-49.705922991627624,C,-112.02073331103404,101.86362612214683,-4.485542935612263,16.83422277523085,E,A,-152.99182540293987,0
51-65,Other,D,D,C,B,-44.68654310721784,E,39.78732650171571,126.27117714544758,136.63071442670457,25.949378038562198,B,E,2.9473472710888906,0
65+,Heterosexual,E,D,B,D,165.99567209141426,D,119.33135674931306,6.669897709797466,25.667702341384828,69.71191991799336,C,A,89.66054080499376,1
36-50,Other,E,D,D,E,95.57770365965791,A,-51.91243425270664,101.46903747000057,-63.1875692963562,20.51980182167291,E,E,-58.759403755772055,0
