sex,marital_status,age_range,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Other,Divorced,26-35,Jewish,112.40967142627112,B,C,E,E,B,D,A,19.64189776043402,C,126.10274069737551,-124.9190891484105,1
Non-binary,Divorced,51-65,Other,-197.3579749345848,E,A,C,A,D,A,E,-61.56687602804294,B,7.186661330668868,-102.33322748812566,1
Male,Single,65+,Buddhist,18.333109998195276,E,E,C,E,B,E,A,206.05431840937496,C,45.5693754637015,-31.364929979191597,0
Male,Widowed,36-50,None,96.25919612890812,A,A,B,B,A,E,C,122.53838190950968,A,61.92106203726292,-88.40848584616613,0
Other,Widowed,65+,None,-14.63294320558327,B,D,C,C,E,B,D,-60.12413431999282,A,231.17912770203014,-74.99582692577998,1
F,Widowed,65+,Christian,-95.67773183245346,A,A,D,A,D,B,A,42.64080058380033,A,32.23529429725398,84.17428395786143,1
F,Married,36-50,None,-24.90598301015522,B,E,E,D,C,C,D,-41.514040127527075,E,68.43528473486545,88.96285603925564,0
Non-binary,Widowed,51-65,Muslim,-222.61290298073985,C,B,A,A,C,A,D,52.34047078155223,A,-22.240049126686305,73.4743511575159,1
F,Married,26-35,Buddhist,-62.250148468454945,D,E,E,A,A,E,C,-65.05690722667748,B,85.40891578225839,110.99096779455533,0
Female,Widowed,65+,Buddhist,-125.09402651999157,D,A,D,D,D,E,C,101.72720822778749,D,-155.4602289357794,-23.84563833260309,1
Non-binary,Widowed,65+,Hindu,-42.103798892041134,E,A,D,C,E,B,C,-213.9348702884499,E,48.915571952443585,90.52559039975799,0
M,Widowed,26-35,Hindu,-31.346571678612033,D,A,E,B,B,C,B,-105.86851350024875,C,43.54377644608501,55.793998636728645,1
Male,Widowed,65+,Jewish,96.08777885738178,B,C,D,E,A,A,A,-64.45498958813128,A,-79.23229146793952,74.63298277645356,1
F,Divorced,51-65,None,-36.32933205097847,D,D,D,A,C,E,A,-13.5768660037375,C,21.572030575327226,-15.059491638991682,0
Other,Divorced,18-25,Buddhist,-211.1607211497337,A,D,E,C,D,A,D,-44.14874977886642,B,45.89072683364229,-240.99719087105464,0
Non-binary,Widowed,26-35,Jewish,-162.35356285757325,A,C,A,D,E,B,E,-44.026443211119,A,42.1186878522438,-17.324089516298045,0
Other,Single,18-25,Hindu,-31.096788129562274,E,B,C,B,A,C,D,-134.9898845741178,D,-81.38112784371184,65.14515415303721,1
Other,Widowed,51-65,Christian,-44.582636198921136,C,A,D,E,B,E,B,113.12077677717376,D,19.235100884590086,20.04050055476903,0
F,Single,65+,None,-135.67450924083258,A,D,B,A,B,B,D,-110.61114810221201,D,112.00984562266004,84.37638208922168,0
Female,Divorced,65+,Other,82.5044886602114,E,D,B,C,D,B,B,-3.0495582362454106,A,49.93813389870873,-129.72107435066266,1
Non-binary,Single,65+,Muslim,81.14483550068258,A,B,D,B,A,E,B,-53.29038064760437,E,72.00614386044296,-70.0985569561303,0
M,Widowed,51-65,Jewish,-111.83798283117316,A,C,B,D,C,C,A,-3.270630310730107,A,-194.79704281017305,-42.66219202985277,0
Non-binary,Married,51-65,Jewish,-58.425717652281385,C,B,B,C,D,C,A,-82.6127690136529,E,31.92348305369287,-23.95925015474226,0
Female,Divorced,36-50,Hindu,-128.15541218001803,E,E,C,C,C,C,C,192.5697396915242,B,41.83115222702899,119.32417585228126,0
F,Divorced,36-50,Hindu,-16.071841053788575,C,B,D,E,E,E,B,127.15863960665301,B,-171.94850697646268,-23.36417549919103,1
Male,Married,36-50,Christian,-129.00177371867161,A,D,A,D,C,C,A,-141.79374002528215,C,107.70669277204968,34.70455643798714,1
Female,Widowed,65+,Christian,-38.37071358185884,D,D,D,C,A,D,B,-133.3094510608732,A,73.78261438876868,101.04558226386473,0
Non-binary,Single,18-25,Jewish,51.234364738621174,A,A,C,A,C,B,C,242.43510082990719,B,-20.247878746590402,-19.059476622082432,1
M,Widowed,36-50,Other,17.833461346776826,D,B,E,E,D,D,D,92.46165989210256,E,-20.15971057835374,-29.35117547249202,1
Other,Divorced,65+,Hindu,-82.31516104140061,A,B,C,C,A,A,D,-34.879281093391754,C,0.020911990927066373,-45.96186193901086,0
Female,Divorced,18-25,Christian,-63.24642560373756,B,C,E,B,E,D,A,-64.03043444581348,B,127.32738022763255,7.737755332569406,0
Male,Single,26-35,Christian,101.57949881166131,D,C,B,D,A,C,A,-84.22597647633485,D,149.42688848571453,93.55677958029949,1
Other,Divorced,65+,Muslim,189.73024563485436,C,C,B,E,A,A,C,103.07521398482034,B,-12.835658469683894,25.06299187577847,0
Other,Widowed,65+,None,189.84812904662746,C,A,A,C,C,B,C,-12.829460848399332,A,2.2129891116771114,-130.59762316727443,1
Female,Widowed,51-65,Muslim,60.04559518681935,D,C,E,A,A,B,D,156.11556695875373,D,-213.8785533995662,127.257598463186,0
M,Single,26-35,Buddhist,-87.22140537182236,A,E,D,E,A,A,E,-22.427888726143873,A,-144.68086620999335,-68.66604419393596,1
Non-binary,Single,65+,Christian,23.604049320440495,E,B,E,B,C,E,A,25.71930113812304,D,-164.82104410511874,14.3457615567886,0
Male,Single,26-35,Buddhist,-261.4348103167097,C,D,C,D,C,A,D,92.63433767839743,A,39.66271361955208,-178.90282398524428,1
Non-binary,Single,65+,Jewish,-144.95939172819763,C,A,E,C,E,C,C,89.47124469673444,C,118.80980112640307,-169.58669283027012,0
Male,Widowed,51-65,None,-58.084605534180675,A,C,A,C,B,C,C,-15.86819407652975,B,-137.2941570983592,37.05047958240322,0
Other,Single,51-65,Buddhist,-158.84441163369638,E,A,A,B,E,E,A,35.47542111781006,E,-124.28064963306502,125.327892658246,1
Non-binary,Widowed,26-35,Buddhist,162.18037526059433,A,E,B,D,B,D,A,-62.07189968263135,C,-60.83765382897606,-26.19374079612574,0
Other,Single,51-65,None,-24.984438628559104,C,C,B,C,C,E,B,-99.50831502280924,C,-8.26915780774405,57.85189737545512,1
F,Divorced,36-50,Other,-80.57359910594995,E,E,C,A,A,B,E,-89.74728273302584,A,-111.93046803708037,178.6717754792736,0
Other,Single,65+,Hindu,138.24072886007767,D,E,E,A,B,D,E,154.10684954878553,C,-105.78495221800672,118.37812782504177,1
M,Divorced,65+,Buddhist,55.12178300097417,E,D,C,E,C,A,E,23.78891703726165,E,47.640676145484825,163.3822130961556,0
Non-binary,Married,36-50,None,134.32310066146468,E,E,E,E,A,B,B,92.87880460660594,D,68.57231829137362,12.125104248671185,1
Male,Married,51-65,Buddhist,-15.129160341505166,B,A,C,D,D,E,D,-29.829573133812314,B,-131.59854409230215,109.25803244836543,0
Other,Married,65+,Jewish,-96.82796243872923,B,C,D,B,A,C,C,82.66839032956251,A,-23.96510625790369,-64.66414708202095,1
Male,Widowed,51-65,None,-72.31262590200886,A,D,D,D,B,E,E,-62.55578311709977,B,0.4060788957732369,17.994958115435384,0
Other,Divorced,36-50,Buddhist,61.154052674981926,E,E,A,E,A,A,E,159.91215727905376,E,-59.372154283821374,-152.15318066735506,1
Other,Married,36-50,Muslim,127.21328985714975,D,B,A,C,D,D,C,146.45245823989512,D,4.37834069124793,-26.238288912522535,1
Non-binary,Married,36-50,None,172.1892933025956,E,C,A,E,C,D,A,-18.05037817608493,C,102.12047395913153,-166.03251911663085,1
M,Widowed,65+,Hindu,-173.7363768453253,D,B,B,C,D,B,E,123.56516779964633,B,23.139567397184376,-118.77231267711825,1
Male,Single,18-25,Hindu,124.49301105740531,E,D,D,E,B,C,C,21.501238495843594,D,53.1412934597064,74.0015381937624,1
F,Married,36-50,Muslim,-85.6610783951826,B,C,E,B,A,E,E,-70.31209350493917,A,-134.8520204896688,90.67541908113726,0
Non-binary,Single,65+,None,-4.955043638158799,E,A,B,B,A,B,C,216.3965817504924,A,92.43581029513855,-126.71330001159144,1
F,Single,18-25,Buddhist,-27.22669381667917,C,D,A,C,B,B,E,138.68280403058517,B,79.47043367156496,-208.10744172512855,0
Non-binary,Married,26-35,Other,-136.92592467664574,D,B,C,B,B,C,D,5.193942629032918,C,-141.7006124617807,-84.83539978048262,0
Non-binary,Single,18-25,Jewish,83.1001786633343,E,D,B,D,D,C,D,-1.7502401474224487,C,193.83185762989555,-120.94017625664084,0
Male,Married,26-35,Other,91.8748949714256,A,D,E,E,C,C,B,74.91805650653262,B,-30.3508568062798,138.5375199746232,1
Non-binary,Married,18-25,Buddhist,5.510707713025841,E,C,E,B,E,B,E,131.90499060509725,A,-175.10882717364163,85.7820845991839,1
Male,Widowed,51-65,Other,-155.64678273977987,D,B,B,C,C,A,E,213.0379763531968,D,113.05807847026257,-123.98393424559826,0
F,Widowed,18-25,Christian,20.4340916647365,A,B,A,B,A,D,A,-15.714186025956616,D,-50.56490477057534,-125.78860439365229,0
Non-binary,Married,51-65,Other,-106.87521844811737,E,B,A,B,E,B,B,14.29126538587945,A,19.63606708973272,144.5814619335419,1
Female,Divorced,18-25,Christian,145.64401583278425,C,C,C,A,B,D,D,-160.19056349864826,A,6.46320866331659,117.52124182931082,0
Other,Widowed,18-25,Hindu,-101.8201818925343,E,E,D,B,C,B,C,60.93215969656015,C,-38.95866579632819,190.34258267999445,1
Other,Divorced,36-50,Other,-249.9803270536554,A,B,E,D,A,C,C,-116.1232731092682,B,54.50247744317894,-6.108768421692201,0
Non-binary,Single,65+,Jewish,-142.95061970031736,E,D,E,A,A,C,D,54.09694115173209,B,29.493861722091317,4.534921710758186,0
Male,Divorced,51-65,None,-91.11911787826737,C,E,A,C,D,D,D,62.07748949393959,C,129.15421303376453,-86.01946403736675,1
Other,Divorced,51-65,Hindu,198.16743390023012,B,E,D,C,B,E,C,38.95539055766937,D,40.49704556481384,62.59432230379682,0
Female,Single,36-50,Christian,139.2110468920788,C,C,D,D,B,D,D,-133.05685351001748,B,57.59756289217438,-193.24926668728563,0
M,Single,36-50,Jewish,-109.39986018250096,A,A,B,A,D,B,C,-181.99650438107494,D,50.934386454820554,-15.77842635826249,0
Other,Divorced,18-25,Buddhist,27.731255289873364,D,D,E,E,C,E,C,101.08712372888658,D,-59.18885082384686,-124.06057609909081,0
M,Married,26-35,Other,31.402744568702197,E,B,B,C,E,E,A,11.434209283718884,E,184.66799896322317,-61.075637167514905,0
Other,Married,36-50,Christian,-79.40254292674346,E,B,D,B,D,C,C,-11.150064324125943,B,-142.83678513134225,-52.24683564755869,1
F,Single,18-25,Other,32.98158248912914,C,B,C,B,E,C,E,-8.86180608986386,A,-9.294092419031578,-15.335324654071364,1
Female,Widowed,65+,Muslim,-121.48621822965129,C,A,D,D,E,A,B,-47.50388400996743,B,27.997276635346534,-188.0122791652827,0
Non-binary,Single,18-25,Hindu,-125.43583600530144,A,D,B,C,B,B,B,11.003602483632042,E,-155.60581396761444,-70.99478104562519,1
F,Divorced,65+,Muslim,-26.433683928960956,D,D,D,B,E,D,E,-41.44759269317079,E,27.81740966526292,-87.25262298985508,1
Other,Widowed,51-65,Jewish,-41.173753828154844,C,B,C,D,D,E,C,7.127444858565325,D,22.902577592942183,-31.829313410069222,1
M,Divorced,36-50,Hindu,-107.11991236579246,C,A,A,C,E,E,D,-157.64083468926108,A,173.00172399156835,168.38482233603295,0
M,Married,36-50,None,5.7025899750411675,A,E,C,D,A,E,C,97.50540777591047,C,11.499011763423695,19.219008211072087,0
Other,Widowed,36-50,Muslim,0.19301319407917464,B,A,C,E,E,E,B,-10.530435952742573,B,13.744518569629507,91.68570699934733,1
Other,Married,18-25,Buddhist,-47.86517486412782,E,B,D,C,A,D,C,-20.81790801232355,B,23.41003218676446,91.89919262522862,1
Female,Single,65+,Jewish,162.5778115845476,D,C,D,A,C,B,B,-7.888828336328461,B,56.807037301165344,-8.727492944730669,1
Non-binary,Married,51-65,Christian,220.5203786578215,E,D,D,C,B,A,B,139.87946311304376,B,110.97338277488973,65.88925719234257,0
M,Widowed,51-65,Jewish,-76.6835052881109,E,C,A,A,C,A,D,87.4933097496866,E,-192.3491222106598,72.67485796443363,1
Male,Single,65+,Other,51.84419263285528,D,A,D,A,B,C,D,-82.86981555155994,A,50.873679886775335,19.51652922213645,0
Other,Divorced,65+,Jewish,119.95868163432743,C,D,C,A,C,B,A,-16.537971095944332,E,-96.72351129163678,13.14792920240917,0
Male,Single,36-50,None,81.11294818671601,B,E,E,B,E,A,D,111.97209794334981,D,-86.19615360847051,-113.2260383942908,1
F,Widowed,65+,None,68.74196462311129,E,D,C,B,B,D,C,129.68988189466694,D,23.67999850136588,77.91969546517123,0
Male,Married,65+,Christian,-219.93785645970073,C,A,E,E,C,A,E,122.93632651304567,A,107.5130661751561,38.676643378356005,1
Male,Widowed,18-25,Other,-9.831189755311183,E,E,D,B,A,A,E,-76.27542289358777,E,14.9738361564475,155.9423553375221,1
Non-binary,Divorced,65+,Buddhist,56.23356624356951,D,E,B,A,A,A,C,-28.692932538153382,E,125.23340462540942,33.24066482258992,1
Non-binary,Widowed,26-35,Christian,-213.8589489105712,C,C,E,D,D,D,B,-139.9748089016661,B,48.945118069899145,92.64250094422314,1
M,Married,65+,Christian,-10.457338607429302,A,D,A,A,D,C,E,108.36921281308362,A,109.22049943269423,-59.17684699282743,0
M,Single,18-25,Muslim,-106.011238850963,C,E,C,E,E,A,C,-56.075825165647565,E,-35.896273633081485,50.813000788480856,1
M,Single,18-25,None,147.13068330329108,A,B,B,D,A,C,D,70.94556768104346,A,-33.65258340307739,109.25719668898407,0
M,Widowed,18-25,Muslim,-217.47901140316347,D,C,B,D,B,D,A,94.92246030261194,E,13.192996905978807,8.949768226775749,1
Male,Divorced,26-35,Christian,-174.72003101127805,C,C,D,D,E,E,E,11.129109928731697,B,210.4564065707084,-82.54217162527632,1
Non-binary,Single,36-50,Christian,8.449984287995289,B,C,D,E,D,B,C,152.09821726081182,D,-96.21601590811194,-223.38730444879548,1
Female,Married,26-35,Muslim,-134.68512984409432,A,C,E,E,C,C,D,-0.44508501101803244,B,-44.572914125960324,-115.78228109204471,0
Non-binary,Married,65+,Other,-45.31438558196291,E,D,B,B,B,E,B,22.352271551936955,E,-10.010813606477205,-7.414562817781391,0
Male,Divorced,26-35,Other,-63.54394169920806,E,A,C,B,C,A,E,-172.81747116919468,C,69.63751763346646,22.917197907292667,0
Other,Single,51-65,None,-107.35984819270526,A,D,C,A,E,B,A,61.655021029967585,E,-35.5693694461665,-22.45751315073278,0
Female,Widowed,18-25,Muslim,138.38354621515106,A,D,B,C,C,E,B,-25.872775193788456,A,-112.7472904304391,-6.7997403459132455,0
Non-binary,Divorced,36-50,Christian,-124.03330381990405,B,D,A,E,B,C,C,47.15633524694203,A,23.172845083023685,-0.8303621754321061,0
F,Married,51-65,Hindu,-215.4490147931386,C,B,E,D,A,D,B,-177.02109083783017,E,15.782052644262508,-110.88154871868213,1
M,Widowed,65+,Buddhist,32.99731696679664,E,B,D,C,D,E,D,-63.924248592943634,A,-46.38918729678495,187.0972024974724,1
Non-binary,Divorced,26-35,None,-32.15322943354263,A,D,C,B,A,C,E,-85.32880423892757,A,-98.01595475379317,55.738937451117856,1
Female,Divorced,18-25,None,-17.50558247546253,A,A,D,D,E,A,A,-28.473500700055148,D,-51.28426504840136,100.63867235640625,0
F,Married,65+,Jewish,-152.77303518006974,D,A,C,D,B,E,D,-30.702698821592183,E,-32.19142385543986,60.14131742516372,0
M,Single,36-50,None,-139.0853771076853,B,B,D,C,D,E,D,-91.6524888039527,B,158.3782549789407,-54.19693555866206,0
F,Single,18-25,Christian,49.546405520275385,E,D,C,E,D,D,D,9.11741124016575,D,-13.121949665977095,-191.38649276959225,1
Other,Single,51-65,Christian,11.854517147589961,E,E,B,C,D,E,E,-37.45326684780863,E,-66.03215291483397,-86.38236617571411,0
Other,Divorced,18-25,Other,109.73915612676646,B,C,C,B,D,C,A,-85.84161175461034,C,-29.006187525399607,0.280570341667183,1
F,Married,18-25,None,98.23421045159566,D,A,E,B,E,C,A,-55.41142729832897,A,143.4603013446347,-51.61455662274778,1
Female,Widowed,18-25,Hindu,-69.9323228070867,A,C,A,C,C,E,A,6.0535956022905975,A,-146.9780828130374,72.7502160906785,0
M,Divorced,26-35,Other,-33.65702114493004,B,A,A,B,D,D,D,46.202111103647674,A,19.95333540795339,-195.04938798174862,1
Non-binary,Single,65+,Hindu,60.3142800745591,A,C,C,E,A,B,C,73.30053833635628,C,-60.438926506857285,37.08938342652732,0
Non-binary,Single,26-35,Muslim,-248.78962390741415,A,D,D,B,A,D,B,243.80733929508955,B,-136.72213759857914,22.002546160947425,1
M,Divorced,51-65,Christian,-171.68040796258478,E,B,C,A,E,B,E,-121.4539973100453,D,-42.01232720412158,-175.73571849691342,1
Non-binary,Married,65+,Christian,-126.7887419298157,A,A,E,E,B,E,B,117.16376175600286,D,49.71724082285318,114.8239520631964,1
Non-binary,Married,26-35,Other,-36.7565823031693,A,B,B,D,E,A,D,-7.859768757121001,B,114.8917997040692,73.5374073433718,0
Other,Widowed,26-35,Hindu,13.60943142298665,C,E,A,D,B,A,D,-3.9580792590673015,D,54.858517660054105,9.488417742087627,0
Female,Single,18-25,None,9.019647642809566,E,C,B,C,D,A,E,55.37985836150307,A,-195.09872214975428,-164.07038113222507,0
Other,Married,51-65,Hindu,-80.76639994531303,B,D,D,A,A,E,A,38.56723854861326,A,212.1359369920415,-3.1193747313307654,0
Female,Divorced,51-65,Other,124.64480859331084,C,A,C,A,C,E,B,169.82750653986008,D,-82.69542832083452,-45.08466088602924,0
Non-binary,Divorced,36-50,Christian,34.7792157543381,B,E,B,C,A,E,E,66.10718503399904,B,38.658205214324184,62.16682471269673,1
F,Married,36-50,Hindu,63.03719198440935,C,D,D,B,E,D,C,93.14005242984605,B,-16.92869064394518,-24.30361797048688,0
Female,Widowed,36-50,Muslim,79.03312206278855,D,B,A,D,A,A,E,103.42161860489018,E,219.50459761333278,-14.322600045862377,1
Female,Widowed,65+,None,41.60964766278953,C,C,C,C,B,E,B,27.47498948439504,E,-140.63580332924187,-9.7921028829726,1
Other,Single,18-25,None,107.2851984209814,B,A,A,E,A,B,D,97.37168709718614,E,178.07586620097135,-156.00694271161157,1
F,Married,18-25,Buddhist,23.877926806534965,E,B,E,E,B,E,C,98.44575686275138,D,-40.21237550136314,73.50948729421386,0
Other,Single,51-65,Jewish,21.145000478423963,A,B,C,D,D,E,A,66.84325885520356,C,-143.20318187846718,-2.2044439016404698,1
Other,Single,26-35,Muslim,125.46904166819601,D,C,E,C,A,E,E,68.82799920430095,A,59.24649977635686,22.27368000366895,0
Female,Married,51-65,Buddhist,133.9957385056123,E,B,E,D,D,A,E,-101.29534675063547,D,-121.2513720433857,87.03293594282464,0
M,Widowed,26-35,Christian,-87.0630414740887,B,A,C,E,A,C,D,-8.515150700653193,D,-57.71396591569887,-49.88153779038236,0
M,Single,65+,Buddhist,82.00473992376655,E,A,B,B,E,C,B,-73.61582368018223,D,-205.09392323425323,-113.99875195159854,1
M,Married,36-50,Muslim,130.18567243961158,A,A,E,A,E,E,C,-147.33167910837378,B,27.981316924811082,-186.78983099656895,1
F,Married,51-65,Muslim,-128.76258260223267,A,A,C,B,A,B,D,-124.03646712707345,C,57.96386734710553,93.16390136502298,1
Other,Single,65+,Hindu,-38.92464783386637,A,A,B,C,A,A,D,-21.53618454588411,B,-89.79346847371455,107.5001583439828,0
F,Married,65+,Muslim,55.086027423662244,D,B,A,A,A,A,C,-36.72972601258766,C,62.28517399641861,92.83316284339011,0
F,Divorced,51-65,Hindu,-270.54385824791865,A,E,E,A,E,D,A,-48.28654775048693,D,-30.53550708336156,-41.793558783415904,0
Female,Divorced,65+,Other,63.40439288682421,A,C,C,E,B,C,C,-84.37898480892447,E,8.3800027719676,139.8562639861095,1
Other,Single,51-65,Muslim,-80.78647247999409,A,C,C,D,E,C,A,-47.51032691072601,B,124.12983125045672,55.52879918825816,1
M,Divorced,65+,Hindu,-6.888412119345057,C,E,D,A,A,B,B,-38.59718363427181,D,-121.58016591066088,-35.622413308668676,1
Male,Married,65+,Muslim,230.67472165687923,B,B,A,B,A,D,E,75.12004053292061,A,-36.517532525960824,181.07652105084065,0
Female,Single,26-35,Other,-94.22979433108543,A,C,E,D,D,E,C,78.89921589905595,E,-66.59183569658657,-138.9733627292285,1
Non-binary,Divorced,65+,Christian,73.40429613767758,E,B,C,C,D,B,D,-193.16488886223897,C,-151.66145641593926,57.24420594043461,1
Female,Divorced,65+,Jewish,-4.2299709054907035,E,D,A,B,B,B,B,48.61050343309179,E,146.86103124060284,-63.60801071246544,1
F,Married,18-25,Muslim,-63.24535894145084,E,D,C,E,E,E,D,-152.9869623225771,E,65.43209709437812,-7.686095517111581,0
M,Widowed,36-50,Buddhist,-83.42751481424595,D,A,A,A,C,C,B,-54.57344586879337,B,98.30525789766807,179.93063363526713,0
Female,Married,65+,Christian,-49.58234315446385,E,C,A,B,A,B,B,57.14694200214696,B,-132.91967229037388,-46.28191979824997,0
F,Divorced,51-65,Christian,-35.299512536565736,C,D,B,B,E,C,A,126.02247102307234,A,-162.91488337272716,-20.58874400725441,1
F,Single,36-50,Muslim,156.27825476627353,D,B,D,C,A,B,B,-45.80300737591955,B,-34.57089558561481,-10.708029887450241,1
Non-binary,Divorced,36-50,Christian,-50.38124218714021,C,E,C,B,D,A,E,-178.05815282782444,C,-167.66878137511645,87.10302100601443,0
Other,Married,18-25,Jewish,163.39660847188168,E,B,D,C,B,D,D,-9.567574286345279,E,137.80779046455075,-69.89025869868225,0
F,Single,26-35,Christian,8.24683180396421,E,A,E,E,A,A,D,122.82208270798152,B,35.18797623741061,66.24719742442892,0
M,Widowed,26-35,Jewish,9.474637279988304,D,E,E,E,A,E,E,-94.10842543461918,B,-50.235626348521144,-16.737032948536733,1
Other,Married,51-65,None,-34.6232492321765,A,A,E,C,B,B,C,-66.69297915215648,C,189.58440031767688,-67.65240581290037,0
M,Married,36-50,Christian,64.37661578738786,A,E,B,A,D,A,D,-7.246403331583699,A,109.3544929318885,5.675828026877293,0
F,Married,36-50,Buddhist,-5.966868740330331,C,C,A,E,B,C,A,-155.2730934867645,D,-13.822711079619973,-25.25881819218032,0
Female,Widowed,26-35,None,90.6510889018198,E,D,D,A,B,A,E,174.9942533922352,C,-53.22226833871111,179.38237166215725,0
F,Married,36-50,Other,-55.524800628584735,A,C,B,C,E,A,D,62.16292877857696,C,33.22161520163376,53.80223988904266,0
Male,Married,51-65,Other,-124.23795268983903,A,D,D,C,E,E,E,22.480532439266323,C,-127.41104912684247,-32.837171533346506,0
Other,Married,65+,Hindu,62.5657909814049,D,B,B,C,D,D,B,-8.146154197947093,B,189.9753764964735,24.3198250561546,0
M,Divorced,36-50,Jewish,0.549377133790567,A,C,D,D,E,E,E,36.44961474582697,E,160.38051278787864,22.791597098955453,0
Other,Single,65+,Jewish,69.34296919757685,A,B,C,B,B,E,A,54.37616236793406,C,37.420409112085444,43.04918829872058,1
M,Married,26-35,Jewish,-18.10286232260447,A,D,C,B,C,C,A,-5.911913116146383,D,60.42141506280437,-37.03307480016275,1
