country,sexuality,Race,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Mexico,Homosexual,Hispanic,73,-85.95105877494412,B,32.04060636258509,-134.09718802196326,D,C,C,D,D,B,C,-120.33187178599431,0
Other,Bisexual,Hispanic,36,-122.1219976108267,B,-15.418253310314403,-75.63482603426813,E,D,B,E,A,B,E,-81.89228980187838,1
China,Bisexual,African American,99,-3.7183847172132287,E,-170.47940915847082,-0.3370878720403515,E,D,E,E,C,A,B,57.380822840487475,0
China,Bisexual,Black,93,-30.617980383105543,C,-51.18348658777909,86.50985576550929,A,A,B,E,E,E,E,-95.48791629602488,1
China,Heterosexual,Black,28,32.4566211834227,D,335.6716090200904,-54.471323675698216,B,E,E,B,D,B,E,-101.28045278396036,0
Other,Homosexual,Asian,96,34.993043286923985,E,80.5673263899979,-14.432362079886124,A,D,C,A,C,A,A,27.565040975994954,0
Germany,Bisexual,White,20,-21.521254890462362,D,13.768685543448617,12.727698830847329,C,E,C,C,D,E,D,91.02111656911961,1
UK,Homosexual,Black,89,5.333384473423912,D,55.487772186318786,26.284970123934244,B,B,A,B,E,D,A,-8.429776927402907,1
UK,Homosexual,African American,34,-91.85681305121408,E,236.45007127915014,22.263821107749443,B,A,A,A,C,A,B,-56.03533143904601,1
Mexico,Heterosexual,African American,99,25.9161609456377,D,132.20158035941984,48.515458486721165,B,C,E,D,B,A,A,-16.6720823561791,1
UK,Homosexual,White,23,109.94443244707281,A,-10.273991788947768,-59.56925055742421,B,C,A,C,C,C,E,-130.6141322839524,1
US,Homosexual,Hispanic,50,-51.70988922965491,B,27.534078304061232,84.8134453600572,E,B,B,A,E,E,A,-284.400330463177,0
India,Heterosexual,Other,64,82.81437650206324,D,-106.36958155077163,-48.51565017296195,D,D,C,A,E,D,E,-21.186478084699143,0
India,Heterosexual,Hispanic,53,-56.42542159917703,E,98.73046680608003,122.97613647724866,C,E,A,C,D,B,A,-153.68327869421466,1
UK,Heterosexual,White,88,-102.46148563877446,D,92.8315157972745,-127.73510962483272,C,A,D,B,A,B,D,49.750318440653416,0
Mexico,Bisexual,Hispanic,69,19.430864215285844,A,-23.53347291612431,-92.00878685763787,E,A,A,A,D,A,D,103.92373553693392,1
Mexico,Homosexual,Asian,90,61.461059791452854,A,-132.58373974508078,158.011964661539,E,A,D,A,C,A,C,179.0761089905967,1
UK,Other,Asian,21,37.429802975757944,B,-104.62066066323594,158.52162894795933,A,B,D,B,A,B,E,107.13436267044717,0
China,Bisexual,African American,82,-0.4538598104694717,E,36.00867756348004,-70.49879038318173,A,A,B,D,D,A,C,3.8218100382542417,0
UK,Homosexual,White,57,-20.29460796012238,E,-4.99744065105079,-73.5339275893682,B,B,A,D,D,A,D,26.066572116551207,0
Germany,Heterosexual,Hispanic,59,97.97599692829627,B,-31.48022476108201,18.933783988387624,C,A,D,B,B,C,E,64.60484230316605,1
UK,Homosexual,Asian,92,50.732833054308315,A,-65.61112992644146,43.99888529719493,D,B,B,B,B,E,A,6.7001923222566955,0
Brazil,Other,White,95,20.077926025284665,B,-84.08820590094072,-55.05085715290081,A,E,E,B,A,B,E,-112.10893126534015,1
India,Heterosexual,Black,51,105.97932326848453,E,-15.170570019876209,110.4449219354228,D,D,D,C,D,C,C,-169.10268027252013,0
Mexico,Bisexual,African American,59,75.95193621126622,C,219.2614285399058,-76.02118834742765,C,E,D,B,A,B,C,-65.09300806862593,0
Germany,Homosexual,Hispanic,44,98.40889278356235,E,15.97305554322893,138.4151023823628,B,D,D,C,A,D,E,-205.07351441198725,0
Brazil,Other,White,76,-50.29364117070869,B,-209.72012013465218,-68.10873804252444,D,E,A,E,B,D,A,291.0414601695169,1
Germany,Bisexual,Hispanic,22,25.64079099042042,D,-179.9703314486471,-16.593612662578423,D,A,A,D,C,B,B,-38.4472671343653,1
UK,Heterosexual,Asian,63,-95.88972763153028,C,27.089155277421423,35.687074105846605,D,B,B,B,B,B,D,-126.76562972209081,0
Mexico,Heterosexual,Asian,79,-141.72242557917707,D,-39.215689349208425,21.365926176811314,D,B,C,C,E,B,E,-19.61022776661655,1
Germany,Homosexual,Other,54,11.536123776015096,B,-100.62609829483846,38.28214103980507,B,B,A,D,D,B,A,-88.66147980915633,1
UK,Heterosexual,Asian,26,11.587834934591019,D,-7.166495487057413,50.61272858470163,B,C,E,B,A,C,C,-110.20112496994071,0
US,Heterosexual,African American,36,65.86046016419591,B,-91.62576546226924,28.812332160153474,D,E,C,B,E,C,A,31.106054659016735,0
Brazil,Other,Asian,95,-100.0876912930875,B,164.60574829238877,-5.620988369600988,A,B,E,E,D,E,C,93.21673794455069,0
Germany,Bisexual,Other,77,52.50795741685682,D,104.07622381364223,290.7745567692752,E,C,E,E,A,E,C,65.48576438531714,0
India,Other,African American,34,-57.82990062445717,E,-104.45065316002132,170.09920152967982,A,E,C,E,C,B,C,185.27098133727117,1
India,Heterosexual,African American,90,-28.48777089796607,C,-6.809320982217554,-34.52163948937663,C,D,C,A,A,D,A,-168.27983695778497,0
Brazil,Heterosexual,White,35,-104.56211678869471,B,-75.4795458699735,-75.17889804276912,B,A,B,E,A,D,E,151.28859346716993,1
US,Homosexual,Other,72,123.6075755120782,D,251.38594935031503,89.0946006965493,B,B,B,C,A,D,B,97.9662912568077,0
Brazil,Other,African American,51,30.740706304482018,D,-18.698114713248724,112.68841147402765,C,A,B,B,E,C,C,-5.678700779912696,0
Brazil,Heterosexual,Hispanic,35,-171.66397010682775,D,-64.7688378766081,267.1372128265111,C,D,B,B,B,B,E,26.26877857935949,0
China,Homosexual,Asian,86,-66.24661804189273,A,-112.99638185801425,7.739633344450371,E,A,C,E,A,C,E,-155.63761681668305,1
Mexico,Bisexual,African American,23,46.61973874294289,C,58.095707504932726,-64.69129646010978,B,B,C,B,B,A,D,-60.357343018064945,1
Germany,Bisexual,Black,60,122.66311860573884,D,-157.40800770675705,127.17828912572998,E,E,D,B,C,E,E,39.39334093854164,1
India,Heterosexual,Black,24,-149.5285627840258,A,86.98933850787506,11.66919835381858,E,B,A,C,E,E,D,-7.530299747166999,1
US,Other,Asian,35,-65.23596164917524,E,51.07952317482801,73.30176521222654,D,B,E,A,C,E,A,32.62403950491777,1
US,Heterosexual,White,46,-34.65751790043413,A,-61.60371609961758,-117.5224455155146,E,B,B,B,D,B,E,-41.45888086974509,0
Other,Homosexual,Other,92,-6.101154784267051,A,15.901649324213372,-208.178511511678,A,E,E,C,E,D,A,115.4316443635192,1
Other,Bisexual,African American,44,194.01914149193766,D,36.63315331114944,-144.24859551444135,C,B,E,A,B,B,E,-157.85371430713167,1
Other,Other,Other,91,-21.251829189685758,B,112.66856161833432,111.6101090884988,D,D,E,E,B,C,D,147.04676686957717,1
UK,Heterosexual,Asian,89,-106.30340718341529,D,83.13077328135353,1.56485054445696,A,E,E,D,E,C,B,-159.03370407722844,0
India,Bisexual,Other,54,27.297456554977117,D,-229.61396901190295,100.62922898052437,E,E,D,E,E,C,C,-51.985490941519394,1
Mexico,Heterosexual,Other,55,33.74301068183415,A,91.56630060445028,0.9906590174064032,E,A,A,E,E,D,C,124.49181225178192,0
Germany,Heterosexual,Black,61,100.63444502796088,D,54.220980396870225,-23.839480505698404,A,D,D,B,D,B,B,-16.63352885831813,0
US,Homosexual,Asian,75,49.395714450601425,C,-9.412570714819338,-21.471739549137613,E,E,D,B,E,E,E,-23.797503037376654,0
US,Other,Hispanic,23,-44.837923333072524,C,-40.980058486562726,347.0796780502804,C,E,C,A,E,A,C,14.164506500741025,1
China,Other,Black,42,18.802172419396076,D,-65.42139187825083,-0.9154659211295124,C,E,C,C,D,E,E,164.53679601343754,1
UK,Bisexual,Hispanic,19,-77.02239931344089,E,-15.35587717727216,-32.01495115107574,B,D,C,B,B,B,A,244.90100616089228,1
Mexico,Homosexual,Asian,71,-227.62914754767448,B,-25.678144240945176,-45.63932982511601,D,D,D,E,C,A,E,-29.72812682977547,0
Germany,Homosexual,Asian,71,74.40496521258079,C,-135.7284997035763,-58.55516120070931,A,B,D,C,E,D,A,2.8946731488407575,0
Mexico,Homosexual,Hispanic,22,-19.95886682672073,D,-163.3457584804914,21.497855175520673,A,B,E,C,D,D,A,-90.62636325167017,1
Brazil,Other,Other,20,-0.07828931297410842,C,36.437257350954546,-21.20188620511542,A,A,C,A,D,E,B,15.505036727258032,0
India,Bisexual,Black,39,5.813044518591959,D,164.8527336393409,-40.90296390909657,E,D,D,C,A,E,A,-109.39798722744642,0
Germany,Bisexual,African American,21,72.14598226662898,C,54.408440598721086,52.388182908670764,E,C,A,D,E,D,D,-121.33097249904483,0
China,Bisexual,Asian,29,226.52637512608317,C,-48.42735754154839,-82.24426045835298,C,B,E,C,C,D,E,-117.23655356877478,0
Germany,Heterosexual,Asian,20,151.62130415191658,E,19.435698788818268,107.94719463380078,B,C,E,C,D,B,D,68.32529527089454,0
US,Bisexual,Hispanic,32,-91.3240245965768,A,9.443698896714066,178.34119809376975,E,B,C,D,B,E,C,102.9691947162781,0
Germany,Other,Black,76,-45.68560547753632,D,96.57443134998333,116.16904092536315,D,E,B,E,D,C,C,-101.46465568096039,0
China,Heterosexual,African American,87,123.38108677279827,E,-87.93889884919749,-150.7538885320907,D,D,C,B,C,B,B,-80.77562718044248,1
US,Other,Asian,34,117.28101364080538,C,-7.618337364530426,11.12438164732398,E,E,D,C,C,D,B,101.39830637566956,1
Mexico,Bisexual,White,43,-86.15521535483319,B,72.23408051605927,-38.32569957390447,D,B,E,B,A,C,C,183.52233778808042,1
Other,Heterosexual,White,99,-57.78018227457371,E,141.6047412844911,-37.0738016987867,A,D,C,C,E,E,A,114.48128338818937,1
India,Heterosexual,African American,59,-53.219796475818015,E,21.198637531056804,72.60065231804177,B,C,E,D,E,C,B,143.01696023448662,0
Brazil,Homosexual,Asian,39,84.7411497999443,A,-8.13932034025511,29.512655839801315,C,A,D,C,B,B,B,-197.59182524889746,1
China,Heterosexual,Asian,69,9.526629548173506,D,-52.40186645817138,-182.64285119429718,A,A,B,E,A,D,C,-47.88619370172764,0
India,Homosexual,Black,89,92.40832946751412,E,-23.185586681725205,8.417184454912464,D,B,B,E,E,B,A,-26.929398820326277,0
Germany,Homosexual,White,44,274.9077401955851,C,144.096942096246,-53.82356224146363,E,E,C,C,B,B,D,-73.20731909833216,1
US,Bisexual,Black,44,-241.70653709864646,A,-6.002108642003439,-145.54943871183642,D,E,E,B,B,B,B,-3.8370190575340635,1
Germany,Other,Black,62,-110.48018307909848,B,-116.38885290280272,-9.765560069175345,B,D,A,D,B,B,C,23.460226828034283,1
UK,Homosexual,Black,36,-6.947174407784849,D,-12.554801720256334,-157.34134981229306,A,B,C,A,A,D,C,192.360780231187,0
Brazil,Homosexual,Hispanic,51,135.8577946074742,B,-55.38419871769848,82.76873142536668,A,D,D,B,B,A,C,-8.699433729569618,1
Germany,Heterosexual,Other,71,-40.01470844635695,A,146.25251556829525,-87.9173776660166,A,E,E,C,D,D,A,94.06042970078248,0
India,Other,White,57,-28.842832576480422,C,11.890600474720793,-4.867625552374252,E,E,C,D,A,C,A,-61.93041512031967,0
Mexico,Heterosexual,Asian,44,222.54609146682233,A,95.75974682423201,76.05984878263828,E,C,A,D,E,D,B,-106.43887712287456,1
India,Homosexual,African American,73,-24.65153476805294,B,-114.44931607147934,-41.04767248700082,D,D,A,B,A,C,A,-38.67275722448236,1
India,Other,Black,28,128.95552110422025,D,9.529751036494053,-24.647673428116317,C,E,B,D,A,B,C,124.5127424862576,1
Germany,Bisexual,African American,26,-30.793295237021823,B,82.04800419845756,29.88075692291612,D,A,A,B,B,E,C,-34.57619053645746,0
US,Heterosexual,White,95,-185.6865130144561,D,-23.374117563189635,-114.63398639021023,D,D,D,E,A,D,B,86.12290576734632,0
India,Homosexual,African American,26,-18.80617913101852,B,81.26677615321518,-42.39727652629897,E,D,C,D,B,D,B,-94.41457244233703,0
Other,Other,White,37,-39.171049229861985,E,-174.61846976559872,52.2523812544954,E,A,E,D,C,E,A,-155.03281549492993,0
US,Other,Hispanic,29,80.53149680595712,C,-69.23970760572516,21.08341689262061,E,E,D,B,E,E,D,-33.86056371936938,1
China,Other,Asian,75,5.641979433419935,A,-159.68296059960355,-11.723141462325577,A,A,A,D,A,D,D,-106.94091630168761,0
China,Other,Hispanic,28,-105.575002518307,A,-24.430910056866566,1.8565578406340988,B,C,C,E,C,D,A,-108.45170543296898,1
China,Other,Hispanic,31,-3.103200445226296,B,73.6226224393243,197.5995432269364,C,C,D,D,D,E,C,133.1299745825522,0
Other,Bisexual,Hispanic,85,80.17525322569071,E,-5.083217900702838,68.25579783865822,C,B,C,E,A,D,C,-87.62245303065794,1
Germany,Bisexual,White,37,103.99808335911345,D,-58.883369589020475,14.405488852782128,D,D,D,C,D,B,B,38.09343078834681,1
India,Heterosexual,African American,75,51.75985283049357,D,76.3695947498799,72.4291564301258,A,D,C,B,B,E,D,27.399996778467674,0
Mexico,Homosexual,White,33,9.64894482065416,C,-132.46763448982796,-147.43104438388565,A,E,A,E,C,A,E,-39.25305260774542,0
Mexico,Homosexual,Black,24,49.261166612128704,E,-2.153468219690406,-46.83295374683279,A,D,E,D,B,D,D,-116.85809672375439,1
Mexico,Heterosexual,White,87,-17.669852790740244,E,-23.367458596410085,-86.66016291918919,A,D,A,A,C,D,C,41.64536950496743,1
US,Heterosexual,Asian,61,-154.92408943777997,E,112.33447190637126,-7.2683324295003615,B,A,A,C,E,D,D,-25.15556101471444,1
Other,Other,Black,56,-10.916194994802627,C,82.7962353985996,-129.4426111899328,E,E,C,A,E,E,E,-197.49351012023564,0
Brazil,Bisexual,Asian,64,-147.70238394481134,E,154.17089513095132,41.70948791765589,E,C,E,A,E,D,B,79.10128063090029,1
India,Heterosexual,Other,67,-204.06730100948226,C,66.7888148573657,9.454643178897719,D,B,A,A,B,E,C,89.1323565208143,0
US,Homosexual,Asian,59,-25.354293009968032,C,35.129463511411245,22.872793525506225,C,C,C,E,B,C,C,-224.35705467095806,1
Mexico,Heterosexual,Asian,39,103.25295722529366,A,79.52361731645861,146.15676048523022,C,D,A,A,A,E,E,-74.59063161389227,1
Mexico,Heterosexual,White,23,44.889023310397896,A,18.599938753153754,213.47093493516132,B,A,E,E,D,B,A,210.1204756390391,1
US,Other,White,76,-70.03209049922744,E,-95.44399358226757,58.07311430633105,D,D,A,A,D,D,D,102.90760151347658,1
UK,Other,Hispanic,80,58.34196191907828,E,88.63796662687783,20.668356382638777,D,B,E,C,D,D,C,21.097915888697177,1
Mexico,Other,Other,73,-30.196716382757216,C,-2.5539184342066528,72.1370067662295,E,B,C,E,B,C,C,-187.2477929485496,0
Mexico,Heterosexual,Black,36,-46.07987429516283,E,7.964389504069215,33.29671638835571,A,C,B,B,A,B,A,-277.32212347167405,0
US,Other,African American,55,30.82446754844545,E,-108.3360566315901,77.1868466614178,B,C,D,B,A,E,A,-101.95324442742265,0
India,Heterosexual,Other,61,-67.76717165259865,C,51.968800664355875,57.59550974006638,D,D,E,B,E,E,D,-82.46812901882366,1
China,Other,White,60,25.430344439112005,E,-49.44713191838629,-95.28280737494565,E,E,D,C,D,A,A,77.63919020885568,0
Mexico,Bisexual,Black,47,-51.29786373324683,C,56.868799699732605,16.08392467647055,C,B,C,B,C,C,D,92.72337507938074,0
Mexico,Heterosexual,White,42,-40.07097637346981,D,77.45629541242351,-41.677754267725796,A,D,E,E,D,B,E,-221.6720844095688,0
UK,Homosexual,White,51,-84.628741777393,E,60.9437472357264,-248.13011280519692,D,D,A,B,B,E,D,-48.411400761934665,1
Mexico,Heterosexual,Other,47,197.5408636213782,E,-37.072769695107674,-48.27577881813682,D,D,B,C,B,E,B,-32.315112849632634,0
UK,Heterosexual,Hispanic,79,-3.656674042936621,A,38.85385098063547,-95.34299595316878,C,A,C,E,C,B,B,-32.46991548430964,1
India,Homosexual,White,95,-5.785281598367693,E,173.49319932542738,25.5857813936946,D,A,B,D,D,B,A,-22.54981837572607,1
Germany,Homosexual,Other,59,-8.599461627775689,E,23.165526606888786,-30.337716248093216,B,A,A,B,E,C,D,5.2719860004099495,0
US,Homosexual,White,93,-28.962731841202466,B,10.203571217367431,51.28290627549222,C,D,A,E,B,B,B,-175.4052671420775,0
Other,Heterosexual,Asian,71,-123.67889996341461,D,49.0824101556528,-4.074888057978649,B,C,D,E,E,E,E,-9.906183025522642,0
Brazil,Homosexual,Other,89,-16.909139357537832,B,-39.294098262361324,-20.038560851061412,C,B,B,D,A,D,C,-97.57930597834792,0
US,Bisexual,Black,34,11.824533393448206,A,85.95813396943907,-191.74134162447493,D,D,B,E,A,B,B,135.65067239120427,1
Germany,Bisexual,White,39,129.22962711886962,E,-70.83589777527195,-100.92129311618498,C,E,A,C,C,C,E,118.82659259008955,0
Germany,Heterosexual,Hispanic,41,1.8659857701487215,B,-49.57818435641797,98.07921843573459,B,A,A,A,A,D,C,161.76049069580233,0
Germany,Other,African American,18,-85.71473108876152,B,89.79617831130392,55.81336816556042,A,D,A,B,E,A,E,34.122810578681914,1
UK,Homosexual,White,92,-85.34579087864702,E,-46.94696419176614,-93.75807126333432,E,A,A,E,A,D,E,-53.365795456266966,0
Other,Heterosexual,Hispanic,65,110.40246506270945,A,96.94656637918256,106.40361289753119,A,E,C,C,B,D,A,8.4589117388778,0
Germany,Bisexual,Black,86,35.998799067373824,C,-43.81136399218311,63.91946478726496,E,B,D,B,E,A,C,-131.35179024534403,1
Other,Homosexual,Black,60,-51.037142733266315,D,-36.92762435266336,4.82885999251451,D,E,D,C,D,A,A,-106.60244036211239,0
India,Heterosexual,Asian,74,-111.84453338584701,B,-105.51451322498997,-127.9459297888169,D,E,A,C,B,B,C,-23.666253164926896,1
Other,Other,Asian,65,76.61807936691478,B,81.79552939980216,89.79167351401813,C,D,A,C,E,E,E,42.93037285666907,1
US,Other,White,60,-175.62758548871219,E,-90.87572961519018,103.65300790109116,A,B,E,D,C,B,B,-96.92423142264327,0
Brazil,Homosexual,African American,91,-50.24913799366553,A,-32.02674987307843,-10.99146403079608,E,C,E,B,C,D,A,-14.542905135642481,0
US,Bisexual,African American,34,177.5953092792901,B,-58.29046088638553,-118.68730073523295,B,A,E,E,B,B,B,2.220327274072043,0
US,Homosexual,Black,38,-44.99931223824654,C,-29.84834971371906,42.94566442055805,D,E,B,B,C,C,B,-113.65836104583622,1
Germany,Homosexual,Hispanic,81,146.88584630475776,C,72.7965203161419,-103.00614543956475,E,D,A,B,A,E,B,15.71796006420987,1
Mexico,Bisexual,African American,88,-31.69446125205846,C,-122.51163481107756,-17.637418209713555,A,B,E,B,C,E,B,14.264169825003364,0
Brazil,Homosexual,Black,94,27.055135657082275,A,67.06274778062999,-15.619652113758073,C,E,E,D,A,C,B,38.43938833499453,1
Germany,Bisexual,Black,52,-82.85839867327186,E,-92.66799055675254,42.435083804470594,E,A,D,C,B,B,A,96.06891961080161,1
India,Other,Asian,99,80.60991538557276,C,-53.23019759633506,-42.235546347582044,B,B,B,E,D,C,D,108.66106191267619,0
India,Bisexual,African American,87,-235.73271586132353,D,20.964823858176324,13.823529403725646,C,C,C,C,D,E,A,55.579212770954975,1
Mexico,Other,African American,38,-10.757202827047632,E,-12.054100081369844,-73.68700103134971,E,D,E,B,D,A,B,8.327956364643823,1
Brazil,Other,White,86,69.08919977649782,A,41.719427262226525,40.27330625548014,B,C,C,C,B,B,E,13.329211880461544,1
UK,Bisexual,White,66,31.68612942720342,C,-2.694313925073003,-54.19629541132931,C,D,D,B,C,D,D,59.22831964651445,1
Brazil,Homosexual,Black,97,84.5578569332759,E,104.57922241032507,73.2145909367683,B,E,B,B,E,D,C,-184.8281819567236,0
UK,Homosexual,Other,56,-55.18956674691255,B,-65.40097549365473,11.528517551361302,D,D,C,D,A,A,E,-19.833609586699165,0
US,Heterosexual,African American,43,-67.38623558538559,C,113.6559382492997,-224.23838345656785,D,C,A,C,D,A,C,122.52418783041794,1
China,Other,Other,91,71.5459646965239,A,113.85776065219422,128.73829718889823,B,A,B,D,B,B,B,-53.160644079203415,0
India,Homosexual,Hispanic,26,48.40847939267791,C,23.31215483466733,31.22088756958139,E,C,B,D,A,C,C,-23.03399377608606,1
Mexico,Homosexual,Other,29,136.04973895462192,E,128.59279704313192,-75.02109975907946,E,C,E,D,C,B,B,-19.862555516934346,0
US,Homosexual,Hispanic,51,37.3641205195734,A,17.280058778253345,117.88490085688406,C,A,A,D,C,A,E,-83.51921129916376,0
China,Other,Asian,28,52.602876848903804,A,266.6675722973514,-156.98267705416583,B,A,A,A,C,B,B,-65.9805385865208,0
UK,Other,Black,60,-150.84744410208899,B,-4.435421015708523,25.983870806980974,E,D,A,E,B,D,E,-82.37568217589586,1
Mexico,Other,Black,73,63.56979822547139,E,-206.02103234983903,-92.7276527741071,E,E,C,C,E,E,D,-64.1386325265889,1
Brazil,Homosexual,White,35,-109.42528983309225,E,50.86139909170889,-1.2702347082670677,D,E,B,A,A,D,D,92.37831306739635,0
Germany,Heterosexual,Other,52,-133.53051076271097,B,-111.21987526936023,109.64298682490825,E,C,C,D,D,E,E,38.772307305299,1
Brazil,Other,White,79,-42.86386823181684,E,-22.444899745065708,63.64698826012075,A,B,C,E,A,B,E,-58.13538451881154,0
US,Heterosexual,Black,30,8.4918899496185,E,67.48772379272135,-129.80472059437315,C,D,E,E,C,E,D,-60.21109734117487,1
US,Other,Black,98,232.90545174530473,C,35.978804317380856,-117.5753707892322,C,C,C,D,A,D,A,172.03137521684988,1
Brazil,Bisexual,African American,49,-87.6571422116124,B,83.24368832581132,-10.425723105008295,C,D,B,C,E,C,A,-67.39790425288194,1
Mexico,Heterosexual,African American,78,-24.007992407695124,E,-66.99401439241028,-94.46580199132946,C,A,D,C,A,B,B,-159.31722950502564,1
Mexico,Other,White,57,-137.0823470128226,A,-119.0052865327109,105.59729554003158,A,A,D,C,A,E,D,-99.65711797264397,0
Germany,Homosexual,White,88,-127.73640342389487,C,24.684675560241274,11.190156396312673,E,D,B,B,A,E,E,-14.566555197470437,0
UK,Heterosexual,African American,96,72.56274914874993,A,-97.26364594132467,-77.74874258552043,E,A,E,A,A,B,D,-102.86048235776224,0
