Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
None,-92.35779421175413,-156.1724790607517,68.74703848621668,-5.258823080679284,61.87737875888987,23.526059969402752,-9.862130593475175,B,C,D,17.918154606022014,78.4728206285203,58.18299690196649,D,44.47313746049944,27.316616984325986,C,0
None,105.42887870572366,40.73783244106987,9.159181156889666,38.704760408341414,53.20043460413131,113.06839570430476,94.8940421578216,B,D,A,-6.39607224813649,72.20128052299309,24.28663656498405,C,-88.99993917834824,-112.61346660594673,B,0
Yes,-43.391126395008406,87.70186376197051,123.12564829704098,-73.1166022139388,63.541271234817856,-23.82420330250704,19.983776119170187,B,D,B,61.62732913283012,17.420105750043444,13.146933685854675,D,-122.67132238003124,-31.9198545085619,A,0
None,-30.218353031678983,-20.485740954026603,17.39278212229063,48.422960644195776,46.35587121414522,160.16448185328832,1.688178061546556,E,B,C,225.36722839856816,-77.30103814720069,45.40557410563536,C,12.276085295745466,76.63397632441726,E,1
Both,53.534486426293405,-102.377636822784,-86.55252080826213,-93.32341374306374,-92.37557494640814,14.015279548705498,103.93131273270753,C,A,C,-29.132651068817207,-8.233977133579689,77.5492541284064,E,77.87355099235546,-274.3553095737183,D,1
Both,167.05047720466345,58.870768686622256,-56.55222195806344,-130.4588244308573,-81.08118035882318,-39.474720503125866,-22.446396840134497,E,E,D,60.24990254713865,52.705056172255574,21.771345608490705,A,143.17171496458803,-12.343292054312151,A,1
Yes,21.94102043444224,-103.1331109889067,-15.022264557365958,-117.43480646037602,56.67523385762945,-92.85942233989721,30.27909012665035,B,D,D,235.06512796723501,-35.32445289182217,35.07458276346767,E,-96.3144811801019,-124.96910808930906,B,1
Physical,35.791402483573,-19.433873371592735,-17.682510027729304,-60.871494536904336,-9.391176273646574,15.11087670972285,-196.46810613557335,A,C,C,-203.41096323080694,9.281546875409449,79.83368969620274,D,171.5251278806355,-149.30721140103304,E,0
None,91.05521314434422,45.905665947555036,43.51705894504525,-172.17749753562646,-118.75455669888989,194.4122697391666,-27.04843909924954,C,C,B,-222.29288188376296,-72.80382535415664,-104.78615347227212,D,18.418770874277598,-175.4004237645008,B,1
Yes,5.1887749416586635,24.76102397489732,-189.11110825727667,256.47887198462314,207.3140513737275,-22.929896065013512,-67.67491614257717,E,D,B,15.098017611747691,-7.231200604865809,-129.46053426273454,C,109.47636845640456,-143.6083958675088,E,0
None,29.49091914310862,-53.124760056857255,112.66128360214141,-73.19663537666791,-120.66000567152166,-84.36599111869816,-66.6987713818064,C,A,E,-24.693039689413666,-131.3482855354194,-12.695805897941655,C,113.32190437873034,-64.02690196583067,E,0
None,47.48920720347026,-64.07982007765996,-2.7952774763438066,-138.04596327649878,-101.08324621484917,-100.09003710966049,88.07947560912865,E,A,D,-56.88192746024485,94.05887425600154,74.19011397462464,A,104.01242775371861,236.69732221311926,E,1
No,-153.68556389159812,25.787130344513027,101.85361171696248,-37.07178583971148,81.98622106454857,-220.65370979661589,91.21693882922028,C,A,A,27.51121787608955,-55.251806868408984,-39.447189679362054,A,35.40685989282383,114.13563572617238,E,0
None,-8.735533321938064,-10.952060459369681,136.5629674804406,-212.76273845080019,-42.8633711837831,5.495975634425329,78.69757118940625,B,C,E,25.104387067389432,-33.49419484412153,3.3859268896123362,B,-39.549798401966946,3.4316094307035145,A,0
Both,-0.9483118396005488,163.2614466803088,130.373125048727,-67.65831508004594,-65.6587650479058,34.69865572833117,-12.779226010497608,C,B,A,-73.37662213400797,16.789606332697137,-31.39900121575162,B,179.087116769895,-62.80716507049796,B,1
Physical,-90.76266214545782,12.045438697290912,72.67562007042199,151.89815183629975,-23.9087822286121,-47.16776144044953,163.65980081567128,B,A,D,-172.63767125724087,-54.715732678071646,-107.0546904951799,D,-11.145975910609282,90.53797027089148,B,0
None,-98.9052773973188,68.13391146672092,-41.32673360151324,9.734677240137687,150.37465837527563,154.1813351229266,40.973052246524844,E,C,C,-36.97381775722361,16.6131213505004,92.30069278787639,E,-32.45136632074812,-25.246982728096633,A,1
No,3.1964344511685012,38.7830557794531,17.742642626165583,-37.934399479151146,128.94601190484082,-19.689723555008186,133.37361715636405,B,E,D,74.74556848325061,42.76244099813816,-62.84086197231289,E,32.89459210911799,47.31856385694382,C,1
Physical,-60.62663183590866,16.651164151633587,-46.84479615441438,-3.840900875756411,35.71855906434816,25.513740106225256,8.735503264128724,A,C,B,30.670516165046678,-19.125972208409532,-107.19073568384428,E,-25.186971999175185,-74.50898440861542,A,1
No,26.055442503225073,-24.944965610942504,112.29901984092088,24.684810509411502,25.986221165221206,64.79223390543018,82.54803048904934,C,B,A,-28.36094960992322,76.09429356494145,-85.31421042289631,D,109.43227612170605,103.33095959608578,B,0
No,-229.88207902860137,-96.73003598323834,-126.36841300051884,16.956672707616267,127.57931387640014,-2.5361965900957935,28.60317191076758,C,E,A,-85.63096085135521,-135.12778728820595,53.811137459741396,A,-22.02803629026846,156.28518433421016,A,0
Physical,21.06905151502584,-81.20624797981014,-98.55864502981505,-91.73762090610042,-84.88365582768222,-243.48632518484678,10.637839036708836,C,D,B,40.90779282755149,-0.6074592375365953,142.5600830431329,C,53.23350602598125,-101.38741565093873,C,1
Yes,66.88877531680166,83.2993294455173,128.14762398969577,-86.50045636819692,76.03949969792414,-59.95555078262059,-144.80109465749257,C,A,D,-126.90879851719907,-186.6809587143696,136.66281006579482,B,-126.81549968174039,-172.92424341368738,D,1
No,76.85637797671151,57.60789424177444,19.909826603968277,-26.321599596520628,-3.460199887512605,129.54926647838028,-84.29623729454056,C,C,B,-41.18348744317949,-32.17441297870459,-66.2692430286007,B,-75.83250502125536,51.00844809682816,B,1
No,26.86613046794238,62.81453739051681,-7.82847308057451,-79.55798755447357,-18.359384185447954,-84.29213424888205,-109.57299878129525,E,A,D,135.94708032519048,-168.5442444119217,53.696958789433204,E,68.86931833764174,32.118458475538795,D,1
None,34.07633863200682,57.01340052042081,-53.311984964963365,121.03444161466759,25.875838596591127,-302.18546419147026,-113.36720008233665,C,E,C,-197.9467090104009,-40.81304297050475,8.664187594649214,D,104.50761125908821,-5.21052339745617,E,1
None,103.44066777452979,4.333629640130581,27.20021453247126,-94.93583550819868,-104.89036780011098,-221.13354022707082,-93.55748583417318,B,C,A,145.21702392974433,-71.12198905321522,38.018365736127244,E,-14.000065351659579,-105.49548753109951,B,0
Physical,-35.658616919923176,-28.49427550362435,116.07857967033699,173.106525004589,-12.859749429454595,-65.49639342494812,61.52371320223138,B,D,B,58.998732684383405,-157.54707784458188,-105.15037221899675,E,-74.11305602832894,99.08349605101313,E,0
Mental,92.47580639137838,-40.466838446575956,193.7781815989836,15.43676018231406,10.878539551986972,158.01729654607456,-77.11821347580825,A,C,B,63.60940202648591,-125.62374608688486,70.26003276944155,D,-37.67088622110183,-59.90169990585702,A,1
Yes,12.81938556324769,-78.28591017806436,-75.39538686700402,-328.38754615468815,-189.1045558449261,187.93412270266535,-56.145715687792695,D,E,D,-53.65117056414546,47.707080579993686,-19.980311719247943,C,62.896029238556494,161.28800550839796,A,1
Both,208.41097331328547,108.02125341039297,-95.70650810574574,218.4778928746601,11.82257361531156,-2.7107745162468824,-88.1243592808874,A,D,D,-70.60736732979368,107.23534641730251,-45.66423235104657,C,45.58264048448481,132.05287055493426,E,1
No,-134.92565726823827,-113.47980752448797,45.98717274614575,130.07657764805788,26.449337467361538,-151.3472874243482,-102.15738123258835,C,B,B,-72.29501828804666,10.118441187101773,-145.1739185968805,E,23.98584247698695,-36.53763584014238,E,0
Both,20.504918345615046,-78.72108799892868,133.0073506045543,227.95168055318814,126.90608912424699,153.99087731201195,6.384351749104359,E,A,A,20.323950297186574,-65.66749128189767,19.429945120177504,E,-141.66823728617965,-31.855673960411163,C,1
None,242.35158916500646,-80.08961369245462,-50.90698099925797,115.07934467125762,96.63733521350723,164.76422740576103,-106.60452269670833,D,B,C,-101.26274758247216,-54.69813808550459,121.84162934829806,E,-124.81988604546939,26.99749394700922,A,0
No,-64.65032666746069,-27.465607335265574,-6.66282464384215,2.2534248788075324,27.996052451445546,110.68676908030727,121.50432964983324,B,A,A,37.821676144709606,-73.95033129254762,-30.0784339227673,E,-138.56170787616148,-33.62304241713998,D,0
No,-11.454080688927613,17.83498405104944,-53.50410297817197,76.79622043441383,-124.83475958442094,26.188806027352502,-167.26145024390996,A,C,C,-37.719235763003894,-47.748938142244334,51.893355917866465,B,66.23591096291946,278.76696974460594,C,0
No,-46.89225911466522,-13.427703459454039,30.886273719300263,-142.29040838852774,-3.1716544990630884,51.68797982100099,94.17735356275213,E,D,B,150.26379880924424,120.28878835444392,71.38204528737629,C,-67.09767808381709,69.50290754857949,D,1
Mental,-48.49250840770064,132.84447450643034,-157.47626921959522,120.17889759568816,-141.381255543176,40.56552356105203,43.84846294000273,E,A,C,-2.4438905909804056,-69.02940437661485,-134.6713384634062,C,-82.33136115521013,-15.746598450327642,E,0
Yes,226.4515121680835,88.71028145568847,-10.24774944852055,-136.95675172750722,104.95267907025611,-111.60178015563471,-71.13489705415617,B,D,C,152.79054570776728,53.79600619589612,91.09458786319864,B,102.30890368126842,95.19130264354796,E,0
No,56.30992216062906,58.13697015496162,69.50655705419865,25.230751430873223,34.28413655920794,-1.173587614470437,-26.676425084379485,B,D,A,-176.9045306770741,94.01575144478007,31.55998153765749,E,55.59102686402101,15.399185764808887,E,0
No,174.70734491774223,188.55384116339357,108.17033909942361,141.70956182442538,-83.78649092595374,28.32586985848959,-196.86653296327486,D,D,E,17.11265258118335,11.908044818696606,-6.04792596706449,C,-23.2870504528093,-183.36653581443002,D,1
None,-24.985073220792707,-77.31400744086007,-123.81840434011846,77.37501910951651,-154.00988221867675,163.3066828816842,-141.91374932769656,E,B,B,30.984718014608585,72.66696824182293,-7.151015890174035,A,-107.03531551912616,60.62126518917299,C,1
Physical,-69.18417530715294,142.84841267398994,-67.52975890045246,85.79586236371468,-93.32943145779194,-103.13724382343823,7.108598186467306,A,E,E,118.31153931818714,128.78048928912273,102.23147569814745,C,-0.6971889610141442,102.86103146773675,E,0
No,65.9903633183582,-6.244323592597296,-50.45195651073625,60.16486887483212,-60.336631947734496,47.185589339568615,-137.29936204177136,A,C,B,-29.72042332916851,-151.01403391462026,42.728280980574525,A,39.01350436484193,73.18379500441425,E,1
Physical,12.149104182250445,-16.66738647714695,-125.89600472951447,-32.04536668015066,189.056084145099,34.930538299667916,-8.872320101123243,E,A,D,-34.93155557413813,34.55661344512521,41.02519990389722,E,126.75441767912963,153.00070100642824,E,0
Yes,-62.591237826365166,-5.541948672124613,-12.38926045038586,-89.5607770145157,-16.60838609226529,14.85217569761409,55.08134891998685,D,D,C,-69.6003120260963,169.61664856783966,-166.76076592163588,B,-47.19126497368205,-29.2795172065429,E,0
Physical,-110.80390564957277,90.21886358662573,-39.91302242171829,-141.4581401746277,180.27014590754217,13.272073967588538,85.73180724236133,D,A,A,-55.5478436262679,10.786459035641252,-21.903148397195856,E,117.70010374954512,-27.889233771827517,B,1
No,197.71468834524063,-36.08061699037254,50.20742649230879,-110.75217539448923,141.53790386842223,1.443991351747103,-63.34328803580691,A,E,C,-3.7395359336924443,21.3206476880303,-59.376429632328545,A,-38.58140895526239,143.6687215648239,B,1
Both,40.56427432396571,-67.46255678730627,14.878423918487504,68.61338848942145,158.06995007215076,48.45140065580289,99.71177216890929,E,B,D,-16.72536063890602,-159.37149450185743,-161.28947688430915,D,22.58094921807975,82.12997836276122,B,0
Physical,110.74995507466623,47.5959430480709,205.14654976610504,-38.213924610212615,142.02510265766105,-15.163447466594212,-144.47653249814974,E,D,B,-154.4449858087239,136.9978249964027,41.83604148997326,B,181.434828936322,-10.80893454303828,C,1
Physical,16.32992476912972,57.65971714399271,77.92657770828085,40.034449623818645,1.6542698895020025,131.9764965453594,87.35086639533941,E,A,C,31.695718621124907,-87.04092219146133,-93.90998324609401,C,-155.65180613588188,27.98801568134637,D,0
Both,-37.25343856504338,-133.60499435412362,-97.52634417690487,25.35073658144992,194.22739241668353,-133.95207265093265,-49.50492805523867,A,C,B,-0.8338648307482276,120.35820630464364,-106.31467196973223,A,-128.03695630959783,52.4221211673484,E,1
None,79.04431284442286,85.8101816093112,28.85014312508083,140.17932647221988,-92.97838352892182,117.40690395132928,19.30133891654019,B,D,C,33.357877094852476,197.85443034875826,160.95463857475607,B,56.33117490023311,151.89607697143634,B,1
No,71.92030801960192,78.6981494718711,20.262725537334365,-39.03050579646173,-15.901962014102514,-50.83654148038337,-0.33571569356409725,A,C,B,-34.154201162070095,67.62961641125005,55.7634616737532,B,64.1630768573333,24.175418485140888,C,0
Mental,-167.04247336777803,-57.723552102643495,-5.4784111477420065,77.26374184822528,-214.30272462272194,-0.41523456456262453,5.282344319074478,E,D,E,14.148465625163398,-43.896789517681974,-120.83275524037631,A,153.0597265243232,1.286589736537372,B,1
Yes,123.23563380803799,-104.08848500301036,59.981723007654594,63.5383474188256,14.640190914417808,29.626042544614517,128.9220395818616,C,E,C,109.39503808260976,-7.8530204957573515,5.003830424130637,D,-11.264385710116622,-11.721842653071022,E,1
No,-5.997708734274403,59.14616435990647,-25.203687142602355,-43.372578095011555,78.97700964517051,70.50343260075694,178.33491540470723,E,D,D,42.1166012631793,-11.488494800080854,51.4929982012016,E,92.36036753766062,8.68627787752638,D,1
None,-120.5320505768838,-110.13892306389634,41.107283112380436,-80.13685095163669,-14.53676201772913,-25.529698632700764,-68.6628192722954,E,C,D,85.52812482237997,121.02993256720076,118.15765144231767,B,30.36162246811745,-9.856636262446395,E,0
No,-49.392266710951766,-192.0236205707472,-63.58724799532949,102.20719023972333,-38.934240002611325,-53.76563293954548,-31.267388597610555,A,A,A,146.3834465324348,-188.70305904039168,-41.38696240216796,C,-23.991351772102483,-166.26234788988342,C,1
No,147.46962743448358,-32.21615763853405,-76.94673834804468,-138.12334396077765,22.504200324313008,-36.753990728591866,-147.98757342288627,A,E,C,180.48964725906868,66.3377047845718,-62.862834873975935,B,-221.20436945104456,-27.72508358191661,B,1
No,-8.560731258451233,-53.69246032557915,13.17616080893291,116.05002272092733,118.06784093783536,114.50302974313178,-48.65539216443307,C,A,C,-106.30301268513591,-55.69774881968318,42.26115943516152,B,-105.97143412852303,25.183679337916505,A,0
None,117.88160614909673,-7.704559487249344,44.38642607555399,-22.926127169786,-4.327818167819817,-76.89208522197775,-9.654614214531325,C,B,B,11.63837177591931,-38.978287399592794,126.9455790321711,E,117.60708191925472,-45.05685663433063,E,0
Physical,-66.04826755302496,44.76437958490104,-176.0965179924256,-75.01277266069557,-34.294368947789735,32.54069739651732,-96.8021343957411,B,C,C,66.65916020591844,-40.582931917891706,-122.97366691373077,D,115.5896553531236,-117.84640779800786,D,0
Both,-19.751306568676654,-127.5372221678377,158.48016074974808,117.94091319777577,-189.02844520833278,-158.00737393128026,91.02773074463303,E,A,D,86.14349956000576,-53.980873972311606,68.6213266391696,A,102.70358976954958,-5.945064907064073,E,1
Physical,-78.48627306253259,-27.22386768232254,81.38886811933381,20.90623095491492,0.2702709553502427,-70.87051153791465,17.00409443125759,A,C,B,185.35036966260137,40.19451809112572,233.77204616777888,C,119.8879323640328,3.147918755841081,E,1
Mental,20.133259497890062,-23.249703208524735,181.9402545259728,-24.36799259808378,45.239802840126,-67.39654039989065,60.94867100728809,E,C,D,5.312161754394383,-52.54675704390577,91.07411997488067,B,56.74954124258629,-141.81430346087737,B,0
None,104.08948588341866,-104.91727763292656,34.6044191452147,74.92557934662439,-103.50710497014232,131.6874779063002,-72.25848395960033,D,B,C,85.32020807530873,41.73328558034614,129.03116192107547,C,-281.68020972862126,87.37793287947869,D,1
Mental,-96.3609473546977,92.51079459674952,-168.4621862294486,119.55245149675768,37.88995463645498,-27.832847092633678,109.93278435017811,E,D,A,45.76703932470746,-15.757582323538264,132.8179937569248,A,-188.38999379612403,108.90335607632673,E,0
No,220.12099086976679,-7.149560091859921,110.78597575980231,3.8753079026140633,220.07354344497313,-6.280713796419388,-21.977946352278288,A,C,B,54.685011056037666,12.22737748741261,-142.85373866446648,B,14.176033742948233,-4.536680904824361,E,1
None,-99.56882594756087,-9.895743442684546,-107.86789664680619,-20.869678782223854,-229.73376952263914,59.98161627119403,44.67035921165685,B,C,A,-0.18836597981814512,-61.251131194026264,43.28356547593041,B,95.37969515665635,-95.71619319637017,C,1
Mental,17.004879379158172,9.777927918699811,-72.42834762958908,-73.9032160996597,132.29875522507643,69.84975436036798,223.5526564450317,A,A,E,5.602428624437739,-194.36221301041724,-106.75789984909916,B,89.82170397751904,235.19872565874743,C,0
None,-69.06140609147006,69.58837385642272,32.52286224138195,54.307768981513426,-33.71189243390365,-7.49802679047315,-10.997940959099688,B,D,D,-0.6652232154489419,-171.67666915183975,143.3766037469406,A,45.050398852969806,9.512488882622238,C,0
No,96.5876168835613,21.055821217567182,-41.54136023722685,-71.6557420972751,-90.22459753523377,-184.23291540556573,1.7839205861106446,B,A,D,8.391489276960508,-110.153297271171,184.2433675201988,E,161.50507731341733,29.89425111988909,D,0
Physical,69.4575834720926,-29.006221223334034,29.38617487969499,-62.31352512041648,9.827314124417905,158.82896904397998,-88.251769114896,E,A,A,-75.35829325704118,-11.348974759595079,111.17476545096898,D,-53.63414404202887,102.35879844981748,E,1
Physical,62.5762064639322,-182.63625249919255,55.72327984005948,91.69164020353541,-48.55145492388405,39.297575651060356,-14.857854535192407,E,C,A,-71.3708992876886,-77.84314893844036,109.5809709006056,C,-0.5404970498538159,-91.97771951095058,D,1
No,-8.486201205468442,44.3245696874773,13.26776086586883,-162.4682723448184,-8.278694872729435,132.3032143047885,7.795506607879775,B,B,D,-40.289663198158046,-117.0222139621234,-38.180517894539534,A,-61.482671924751095,-104.71519612249121,B,0
No,39.296533429731376,-46.05205670441001,-157.71818524982433,113.87530342570436,-72.05689239987,-130.62807049315742,-33.33583291713443,D,C,A,71.68951769115473,47.48423942684379,-3.0128364518844193,A,-16.096789007578245,-40.00963082811923,D,0
None,16.438759530305592,-158.69994718362497,205.3464535698702,-55.29871228524858,-118.75143387775037,20.578855580805634,81.58182200306969,A,D,E,-80.12666650828344,-32.57770202284343,151.56880553904085,E,38.475064474986596,-15.246256112096168,E,1
No,-148.61281576762588,20.771803331468906,67.84092380341052,-101.69341877696132,-34.59879734220508,40.05458167016741,-19.702207847936375,E,E,C,71.14206567936611,113.92833529588087,-52.40382635526111,C,23.6380270173295,-63.42873866915828,D,1
No,-116.78237256472907,24.375727516616713,146.0257170515924,-3.74970807578782,-6.5999969369233495,48.025985661630656,87.00472381194596,C,E,C,12.842823497683288,149.26117999922053,-53.35922539982595,A,27.173732300314008,350.89973454982146,A,1
Both,130.7826886701794,85.79705736857305,-32.536866556125226,4.541237670924813,115.88409719426083,130.27986983142705,-198.41056964114568,E,C,A,119.86732912390323,-146.78075806686402,66.1905128494179,B,29.721561857756768,125.69914684753631,A,1
Mental,-162.54135455113618,-48.88972985508923,-48.4809933044896,-97.51143452600238,15.076805761003934,-88.26510628134346,41.797411147647374,C,B,E,-4.493601680131685,138.09150693557712,30.754068883197426,B,145.41762052844825,-42.643071900558745,D,1
Both,143.3312410387382,-32.46302679391875,-155.9909521190193,-131.38169293198936,150.8826779904578,-191.59429424743564,-42.536409363414265,E,E,B,-155.28953506966835,101.70184331722267,178.1294825049824,D,-21.212591844831607,101.55393463404054,E,1
Mental,96.82307595913913,119.5382672822147,48.114853976934626,-57.28352350841609,-56.033799235381046,-117.80759122189993,-138.97644571915976,E,C,E,20.517988156082822,120.00636835237617,98.9883160496318,B,79.83070304046322,-23.434913324665075,D,0
Physical,17.960736450885324,-107.82181252537397,-227.8379451477442,9.92863017424834,210.9150105140149,71.78055317185296,-104.17987745692487,A,A,B,16.278239874115368,92.14657646520756,23.806614925140423,C,-19.57363920602605,19.63092611051981,D,0
