Veteran,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
No,51-65,-122.64975810860352,E,C,-14.346850153879279,10.57685111962713,C,0
Yes,65+,-28.281774647467415,D,E,154.7310788108017,-121.04218344419893,B,0
Yes,51-65,192.19882638367392,B,A,-83.21714726913085,181.6722922798266,E,1
Yes,65+,360.36885539500736,B,C,-100.78713017931311,16.84046403027398,A,0
Non-Veteran,36-50,103.30976028935332,E,E,3.7979526777545876,95.49259273172878,B,0
Non-Veteran,36-50,-52.791534214264665,C,B,112.95669690265593,-98.53290355330844,B,1
Veteran,36-50,80.12829965864967,A,E,88.07426227366209,102.74570133571943,C,1
Non-Veteran,36-50,104.6694819293293,E,B,43.117849375824676,-67.57038378062484,C,1
No,65+,-245.74803280280665,C,D,-27.493259092596755,-26.72595281156573,D,1
Veteran,65+,-112.9207449109237,C,A,248.92193771353917,-123.48466675457121,A,0
Yes,51-65,7.579886688383638,B,C,-122.12195222241613,225.87711890377014,A,1
Yes,36-50,112.56329334042942,C,E,-81.44431934961372,141.52683316735198,A,1
Non-Veteran,51-65,29.24762895611095,E,A,-64.1342765251786,37.765619030583686,B,0
No,26-35,9.009810015458163,D,B,35.59054990110182,-2.969790922545683,D,1
Non-Veteran,65+,-92.95925297042503,A,A,-24.56503684250188,-32.09469546805007,C,0
Non-Veteran,36-50,33.248703215670375,C,A,-43.752043527414486,-63.34555308516423,A,1
Yes,26-35,-92.06352097157435,A,C,-6.033209686206045,-25.833695447919457,A,0
No,36-50,-138.9180835958688,B,B,-13.768853370843242,-37.75890281552188,D,1
Non-Veteran,18-25,-65.14324321698183,B,A,-46.239832774162984,117.25438342937122,A,0
Non-Veteran,36-50,-22.304914341368182,A,C,-61.76823414849719,-17.870069424008378,B,1
No,36-50,-67.23722549227023,D,A,-6.742161009773157,-99.25183289039587,D,1
No,26-35,5.332903906676177,E,E,161.0053794922049,235.45381328798976,D,1
Veteran,65+,66.88050972183123,D,D,-133.04284074112445,9.848996760065173,C,1
Yes,26-35,97.64067792056628,E,E,63.45316262284394,29.651440042033688,B,0
Veteran,18-25,153.57939455132077,E,D,-210.1999159156418,-4.262351756627517,A,1
Yes,65+,25.49269061772736,C,B,-111.54044756621897,-33.11942705594855,B,1
No,51-65,121.53950033795135,C,E,188.64187342732473,-68.8154609690606,E,0
Veteran,36-50,-79.98536452398054,A,A,-125.918131664814,-17.499987977010687,C,0
No,26-35,-50.925035038100816,A,E,102.95625341316553,30.402904184909136,E,0
Yes,26-35,4.868453830473328,B,B,-93.22138551567855,153.62657346887235,B,1
Non-Veteran,18-25,345.1694771975334,E,D,-142.5325763161962,-23.484155428689487,D,0
Veteran,18-25,-42.154694068149425,A,D,2.21437651598161,-93.30211952185292,B,0
Yes,26-35,-73.17757997060548,A,C,-108.47508351537545,94.45150390642357,E,1
No,65+,64.69024453932154,C,C,137.40618400120331,-2.0334004388971665,C,0
Veteran,36-50,1.4668047864025135,B,E,-21.90808315457765,-60.72262028139548,E,0
No,36-50,-151.38788357414734,A,E,-29.669797243752278,69.56459491895706,E,0
Non-Veteran,65+,5.44638652296819,D,C,59.94675932170273,-6.690028481096412,B,0
Non-Veteran,18-25,17.587346046040338,A,A,158.0238666946762,-11.551983193508484,C,1
Non-Veteran,18-25,3.9492321057746778,B,B,-42.945398480473536,-39.172736196293066,E,1
Yes,51-65,57.28963260015784,B,D,-65.46738717287795,-157.39962900930098,E,1
Veteran,26-35,-32.01297084342961,B,C,64.11907888482045,-19.313147496820505,C,1
Veteran,51-65,-21.620888775625573,B,A,138.7758703926624,18.2129360431628,C,1
Veteran,18-25,-51.315055785183716,A,A,-95.23583872776065,203.9651945437166,B,1
Non-Veteran,65+,-83.7354512800547,D,B,-178.4972531017519,235.30306791463232,B,1
No,65+,-39.32496574107163,C,D,64.81774407306193,83.79471000426517,A,1
No,65+,-3.847078984987752,C,C,108.51909009002527,-40.66112872659639,E,1
No,51-65,193.17448934232507,A,A,-36.67036520001354,46.415805175872265,B,1
Yes,51-65,-184.7099457539731,E,E,-44.353832250640494,-163.15129330950535,B,0
Non-Veteran,36-50,-68.95693458122504,D,E,20.48286101310862,171.0688796915286,A,0
Yes,36-50,31.303622128366687,A,C,77.6952380011735,116.73914489737174,A,1
Yes,65+,35.744377818662194,C,D,-22.690747030780123,-99.16171330841372,E,1
Yes,36-50,12.093821825191005,C,C,-42.898828479676794,130.23425135781184,D,1
Non-Veteran,51-65,52.86727067811936,E,D,-179.6264033806366,-154.40612175456926,D,0
Yes,36-50,7.148125546223406,C,E,-36.63179737394479,-46.37027002099183,D,0
Veteran,26-35,91.07537598788727,C,A,-127.09424180225159,-50.52095411101916,E,0
Veteran,18-25,8.673539681937175,A,A,29.71151204311584,48.95335786141188,D,1
Yes,26-35,8.459014535223242,D,C,25.637676130753196,-4.100953230335281,B,1
Yes,18-25,36.248392482740634,A,C,42.23833142483448,14.177676941933603,B,1
No,36-50,67.05508416248865,E,A,-78.42550886116648,0.9937511361190013,D,1
Veteran,18-25,-160.89014019800933,B,A,-11.680093052487567,-13.97412986941036,E,0
Veteran,18-25,29.815707044531912,D,D,-48.76103758258804,7.437037003645503,E,0
Non-Veteran,36-50,-238.6888905279218,C,B,-62.51742906296687,-92.57516403157054,D,0
Non-Veteran,26-35,-71.50380848093101,D,A,-12.352127196343117,-195.60759208224715,C,0
Veteran,18-25,104.84548689556765,B,D,-82.50066530928977,60.3688801727399,C,0
Non-Veteran,51-65,126.21572137679252,E,D,17.91486208402863,13.170446928265662,C,0
Non-Veteran,18-25,80.87327727968386,B,E,-82.99078917787898,-52.41519186549737,E,0
Veteran,36-50,127.23483595574227,D,B,70.98094710906486,-10.752330981711319,A,0
Non-Veteran,36-50,11.877633858564,B,A,-46.68428420505326,41.52538900219112,C,1
Non-Veteran,51-65,-58.16942503343328,A,B,125.32404577759372,-104.57022823856248,A,0
Yes,18-25,76.87809429472765,E,A,-31.602419060316826,-22.705836051131694,E,1
Yes,65+,-158.24768219812393,D,A,37.826888410356844,-58.7609019305243,E,0
Yes,26-35,-7.396097722805282,A,E,43.628824273240866,240.7634048647551,A,0
Veteran,51-65,79.64701814018993,C,A,72.05177552010561,31.45052181709862,E,0
Veteran,65+,20.495538929380658,A,A,39.971986785205324,-8.42140689898336,C,1
Yes,51-65,-77.48605013295578,A,B,59.561054051159616,99.48472087705423,A,1
Veteran,65+,-91.22001096623387,D,C,6.918851659916636,245.8769842278228,B,0
Yes,36-50,104.3405652038399,C,E,29.21610232797636,33.81040589143781,A,0
Yes,36-50,-20.287434656804518,B,A,164.309916098303,129.0713802814924,E,0
Veteran,65+,-24.941209985839468,D,B,16.258903791760545,93.8922949253975,E,1
Veteran,65+,20.160787965707133,A,A,-17.808263399872665,-6.288458041253195,C,1
Yes,65+,34.25262579438005,B,D,55.165729312963286,110.54126418321918,E,1
Yes,26-35,32.234750254396985,C,C,27.928920071122494,-11.057827637550524,E,0
Non-Veteran,18-25,19.729509027171396,D,C,-97.50809472371927,-28.972481683814088,A,0
Yes,18-25,63.11325523571553,C,C,-13.090268512489029,119.45680769068025,D,1
Yes,26-35,120.45318320052374,B,D,77.17172651624611,-58.310370294435465,C,1
Veteran,18-25,-184.7811519592407,B,D,-110.13368401221584,25.125866497911947,E,0
Veteran,18-25,-117.18260315037028,A,E,63.539192812641346,128.74537533410864,E,0
Yes,65+,-72.00171037100898,B,B,-138.224714431367,-54.305958603603464,E,0
No,26-35,15.280259516093189,C,A,126.75996619426644,-35.48335758919556,C,1
Veteran,65+,-131.9677756531684,D,B,20.984035477346637,-43.81553829159357,C,0
Yes,36-50,152.1727637264992,C,E,-9.32599172091521,220.3746697074632,C,0
Non-Veteran,65+,-6.0453316662840555,D,B,-159.7306019039853,-11.393161129229094,E,0
Veteran,36-50,-0.20675540218890776,A,A,32.82852698384413,101.41427066950524,D,0
No,36-50,62.62748483408179,C,A,22.39613472567442,-19.436002788628176,B,0
Veteran,18-25,36.12424026183848,C,D,5.588573218272878,29.968505916901893,B,0
Yes,65+,-54.951675012763836,D,A,58.93447586086039,71.07995834419059,D,0
Veteran,26-35,39.76268197089185,E,A,228.2168869038134,15.500821776022258,E,0
Non-Veteran,26-35,-16.21752024972451,E,A,178.86090155034807,-7.957843097426455,B,1
Veteran,65+,-203.51795061158077,C,A,142.41827417749923,-14.833266245533,A,1
Non-Veteran,26-35,89.55373881724918,B,A,57.07438183194501,-67.86260864396219,A,0
Veteran,18-25,-62.57591707341953,D,C,-117.53073190852845,-6.001481612660573,A,0
Veteran,26-35,-76.38810316345776,C,C,167.40034927903253,-9.024305723786501,E,1
Non-Veteran,51-65,34.11426732195267,B,A,-31.999670331672135,45.05036645275561,C,1
Yes,65+,-102.725850703642,B,A,-30.9042295325481,-111.71864306375664,A,0
No,26-35,50.704035254000104,A,A,84.49051161131871,-161.73643184498243,D,1
Veteran,26-35,-130.47696362184226,B,E,76.62080848407878,16.4440192446369,E,0
Non-Veteran,36-50,170.05213845600494,D,A,16.61306541146078,-90.62480642797354,C,0
No,65+,79.84391406512442,D,D,-120.27540766139279,-133.9168037388514,C,0
Veteran,26-35,175.9763457953477,A,C,-82.54336393265272,66.01390508167285,B,1
Non-Veteran,36-50,-27.427619971108335,E,E,-107.26259273440174,125.14948411954067,E,0
Veteran,65+,-135.80420337138176,B,E,-32.626524333686824,-233.32216871649288,D,1
No,18-25,235.50065702250237,A,B,130.63270648556278,232.15033028920215,E,1
Veteran,36-50,71.6465585582345,D,A,-55.26212267652859,-146.93317879555372,D,0
Non-Veteran,36-50,-115.85113395988745,D,B,120.22608627195777,59.98344011493795,E,0
No,51-65,-41.74821731161032,D,B,-53.12372806276715,9.928861760571568,A,0
Veteran,51-65,-96.32473700115796,C,C,1.5891603294026428,12.668982169067966,D,1
No,26-35,85.02283178601647,D,C,61.482529427284874,21.732884663724104,D,1
No,65+,-192.7015174184683,E,C,37.24078569345807,-61.52277513795544,C,1
Veteran,18-25,61.09794327256972,E,D,103.0474427473127,109.59741954164298,A,1
No,26-35,-100.10201977269324,E,B,10.838613744383583,39.250782698511756,D,1
Veteran,65+,83.92340173084982,B,C,-169.22084042270532,24.007640025290915,A,1
Yes,51-65,-21.927908855371648,D,A,-64.43180274310866,118.16444912410596,E,1
Non-Veteran,51-65,-185.22769197566686,E,E,8.74323862823179,-8.976293474796256,D,1
Veteran,36-50,-83.25223353338214,A,C,7.0277194655056565,-129.34963995389174,A,1
No,36-50,-83.09244744707004,B,A,-56.261167603993265,-81.7433924766447,D,0
Veteran,26-35,-198.94790783299638,B,A,101.4099391996786,-135.7441417056117,C,1
Yes,65+,-19.824179487844372,B,A,183.5418520252429,-61.82187496232331,C,1
Veteran,65+,268.0508364950791,E,E,4.714822414952449,33.13955835974479,A,0
No,36-50,-99.59932889422916,B,A,-100.6556249695003,76.85165523812412,A,0
Veteran,65+,-47.88798025164894,E,C,112.49174249059305,-217.67856031147957,C,1
Yes,51-65,-70.09966657327108,C,A,-49.91399382707013,-178.8378265477017,E,0
Yes,51-65,1.4822878239595016,D,C,28.894242677016006,-27.276259467358173,C,1
Veteran,65+,50.7194034269142,C,B,-4.52549933890896,149.39595708892438,E,1
Yes,36-50,-63.010068867134486,B,D,-82.31511237774065,17.921365535817007,D,0
No,18-25,-77.17386293432938,D,D,191.86761320114135,-32.00015820232155,B,0
No,36-50,62.57214702805348,C,D,7.999173968823838,86.53938859561275,B,1
Non-Veteran,36-50,-57.668108921443796,B,D,-37.824922294697195,154.0725723517005,B,0
No,18-25,-126.26629951620349,B,D,-91.92360660990775,-131.7272181797831,B,0
Yes,26-35,38.605233988987905,C,A,1.2311379298970206,-27.091393755465553,A,0
Non-Veteran,18-25,108.58631661041942,D,C,145.2121999410124,-73.83330035232397,E,0
Non-Veteran,36-50,2.8669181829598616,C,D,-87.74206013640121,-77.70330290590577,E,0
Yes,65+,90.87309819299195,B,D,-103.67249400135763,-42.889145624283536,C,0
Veteran,51-65,-106.1019253959733,A,A,-65.0504038695504,49.27286439379065,D,1
No,26-35,-4.835671439915581,E,C,15.627803940996088,-252.2893922376293,E,1
Veteran,51-65,98.53127560147124,B,A,-7.870304387127828,19.381642631537623,A,0
Veteran,18-25,17.560438932173486,B,A,54.09665258304048,13.453013216741397,B,1
Non-Veteran,18-25,-53.63508972028771,E,C,61.01151249096974,91.08396047000933,A,0
Yes,26-35,37.109097101097326,D,D,-9.313750108099997,1.0800090009524876,E,1
No,65+,-55.206703713540364,E,D,53.019849485204574,27.317362654015753,E,0
Yes,18-25,113.88046774497376,A,C,-62.16491278278372,35.616631078255175,C,1
Veteran,18-25,114.78010616881762,C,B,-26.235227321696712,-159.34729211553736,B,0
Non-Veteran,65+,134.5415560513159,E,E,41.03299627019935,-200.99567881390578,E,1
Yes,51-65,-93.14958369476571,D,A,26.31323133613951,2.4182958092397544,C,1
Veteran,26-35,140.94918435536619,A,A,52.96761627250828,-17.64363255910014,A,1
No,18-25,74.28734022439787,D,E,-60.82888632672474,164.5233510517965,D,1
No,26-35,-194.0377687729782,E,C,164.94819343608995,75.70868549079377,D,0
Yes,51-65,193.2750508566285,B,A,39.58142240326603,-28.783630745536126,D,1
No,36-50,-29.199311438837366,C,E,-16.560561854453024,187.3541735134487,B,0
No,26-35,-2.2966915781030997,B,D,60.35624514548129,-43.0977033291984,B,1
Non-Veteran,51-65,-77.04747366835308,C,C,136.69663353721072,177.7217097204194,E,1
Veteran,65+,-11.052993736543762,B,C,-7.669578231054749,-102.48583764919566,E,0
No,65+,-53.97269264257001,E,E,-25.00519312577967,57.72608145387517,C,0
Non-Veteran,51-65,-11.167146975038317,B,B,-106.67233913955106,-8.32186653459681,B,0
Yes,65+,-68.475070735552,C,B,-11.592898325576844,-49.84664927859181,C,0
Yes,65+,29.2286850895013,C,B,104.8434050161561,181.1925079366051,A,1
Veteran,65+,-15.415074968708659,E,B,-67.41277164928731,-168.6242207064183,B,1
Yes,36-50,74.11045024428405,E,A,-163.10601405110538,113.99603653782431,D,1
Yes,65+,146.82250550662783,A,B,132.39425832890655,137.54361886012742,E,0
Veteran,51-65,-46.16076364092742,B,D,129.33758678097556,115.4038372384205,C,1
Yes,51-65,-105.35338754497063,B,A,-141.57040377994298,-67.09419696321854,D,1
Veteran,18-25,-265.2131808451865,E,D,-129.3993695729324,97.98023488429057,C,1
Non-Veteran,36-50,-73.1026047194232,C,B,17.647911306869947,-88.71260150918916,C,0
Non-Veteran,18-25,-60.39270856918249,E,B,66.97932171571765,-79.54666790553954,D,1
Yes,18-25,-29.164260632944387,A,C,-41.34977742147978,150.45267833620645,B,1
Non-Veteran,65+,-59.65530570054056,A,C,-31.414252131652475,-50.69552503413366,A,0
Veteran,18-25,-39.62446474303344,D,D,94.69608396246606,145.56490307435521,D,1
Veteran,26-35,88.19897486333019,A,C,-17.176973025036375,34.56022922380086,B,0
Yes,65+,68.86572824101854,E,D,-35.53130179526967,-59.23968471521892,D,0
Veteran,65+,15.447352700658335,A,D,111.94610068180137,-29.272933033163046,D,1
Non-Veteran,51-65,-83.99534394381686,C,D,7.238647895493252,20.85529240412514,B,0
No,18-25,-16.358811982470534,C,B,196.58532622412116,-49.61046311546464,C,0
Non-Veteran,51-65,-41.51135949637917,E,B,1.800652807114782,88.857902917088,D,1
No,51-65,-175.67396026501953,C,B,216.6090730396407,-66.08016185034046,A,0
Non-Veteran,18-25,72.1189856243412,E,E,126.31654582023634,-34.58057068152177,D,0
Yes,18-25,65.07939712431454,B,C,15.42538662486314,188.61409738454404,B,1
Veteran,51-65,72.15339537857004,B,B,-127.70961828260954,11.372705938875402,A,1
Non-Veteran,18-25,26.158566615314804,C,E,111.71640168562082,-43.84960017651985,E,1
Veteran,51-65,38.03392133732645,B,C,-80.48380618076419,-94.2487237826139,D,0
Veteran,26-35,47.21214757997777,E,B,7.555856906722076,27.147128792258858,B,1
Non-Veteran,51-65,69.1998114276287,B,E,-98.62516889975404,-114.62064542333259,A,1
Veteran,65+,39.65047495374985,D,A,-81.93493762450163,-13.964391002200955,D,1
No,18-25,-46.09333051925857,D,C,-68.30509536727571,18.14377602369238,E,0
No,36-50,102.17815910118108,A,E,115.00926607700019,-49.50074877799035,A,1
