disability,faith,Race,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Both,Hindu,African American,US,147.16096470773041,E,D,-77.5835669797156,E,78.31417285193484,B,0
Physical,None,White,US,-47.757960893358465,A,A,-94.47348684558328,B,-78.09269394057132,E,0
No,Other,Asian,UK,199.45432456259016,E,A,-127.94104690729331,B,153.96818710818022,A,0
Physical,Hindu,White,Brazil,181.3397680732907,E,C,-143.28485908578824,B,125.01952417208919,E,0
No,Jewish,Asian,Germany,-102.7826172747001,A,D,-164.19836786903255,D,-70.7671237353232,B,0
No,None,Black,Mexico,98.36170128937873,C,E,16.8830272080015,D,-138.87648117958142,E,0
None,None,African American,US,-136.21823646159154,E,C,-24.727321518170147,A,23.78637557374748,E,0
No,Other,White,India,-105.16879796470448,B,E,157.96845294313474,E,300.62817483970457,B,0
None,Christian,Hispanic,US,127.61568818718968,D,E,-159.36514137326822,B,177.35188708758864,B,0
Yes,Jewish,Other,Germany,90.52143392713509,A,D,3.4021621780948266,D,19.52752213490216,B,1
No,Other,African American,Brazil,-104.88435273426543,D,A,-13.998492870493873,A,0.0071041886414925925,B,0
No,Other,Asian,China,-26.41426542608056,B,D,93.43936576362063,E,-49.422164904713405,D,0
Yes,Jewish,Black,US,158.34835999831571,E,C,63.703536349061906,D,47.92125847397621,A,1
Both,Muslim,Black,Other,-136.43428231284483,E,A,-135.75556158443476,B,-42.006458087218384,E,1
Both,None,Other,Mexico,46.771149146745195,E,E,-82.46684253420796,C,11.343719878108717,C,1
Yes,Muslim,Black,Germany,-19.542881470938475,B,D,-95.11231333038177,A,-163.96212176960952,A,1
None,Other,Other,UK,126.35821155693468,E,A,-113.9177653163433,C,-141.8995133471793,B,1
Physical,None,Other,UK,-2.4229010071171984,D,A,-44.31984049846334,A,117.44983942655092,C,1
No,None,African American,Other,51.76939248612564,C,C,22.00845302517911,E,107.41518905078553,C,1
Physical,Christian,Other,Germany,85.43412556572711,E,B,-15.07875483586583,C,173.56615432343432,C,1
No,Hindu,Asian,India,-120.96371251854112,E,C,68.77321516465099,A,65.64812400724901,E,1
Physical,Hindu,Other,US,49.82490547918933,E,D,54.581340153393775,C,22.35668179289855,E,1
Yes,Hindu,White,Germany,128.46114630143256,E,E,63.630954705255135,B,-234.08604574032665,C,0
Both,Christian,African American,UK,-32.20729935012041,A,C,-165.16350873736084,B,-152.86493834680945,E,0
Mental,Jewish,White,Other,69.69501123976876,B,B,-72.08316095366608,E,-82.60454976270856,A,1
No,Christian,Asian,India,-52.18443404638068,A,D,-125.36599621453033,E,47.97883025862402,A,0
None,Jewish,White,China,-150.55925770212508,D,D,-141.6542603697222,D,-118.04915601123827,D,1
No,Muslim,Other,China,72.51615186890508,A,D,-54.27377870180815,A,31.55806286095546,C,1
Yes,Buddhist,White,UK,153.24163153190392,E,D,196.31257754569435,D,101.1471277491178,A,0
Mental,Buddhist,Hispanic,US,-65.07961815270934,D,C,42.05368216161065,A,-55.52204402108721,A,1
None,Other,Other,Germany,109.60142480604402,C,A,129.0822905778224,B,119.67205929768964,A,1
Both,Other,African American,Other,-133.48761525146088,E,B,71.40370784709113,B,260.6516412404972,C,1
Both,Jewish,White,Germany,26.756287489118037,A,C,-36.514337387160964,D,42.764333081256666,D,0
None,Other,Asian,Germany,-25.060421500647646,D,D,-15.750712360309038,E,12.344737583143012,C,0
No,Buddhist,Hispanic,China,182.5933091588981,E,C,-40.673886923500376,D,-102.50214087162422,E,0
Mental,Other,Hispanic,UK,14.125397333343736,C,C,121.18814465125655,A,-55.02843899866725,D,1
Mental,Hindu,White,UK,126.01050846434106,A,E,59.39928358730119,E,-78.34357367518955,C,0
Mental,Buddhist,White,UK,-7.903077442328342,A,B,58.20425023198107,C,-20.930884471218906,C,1
No,None,Black,India,44.77312241096508,A,A,-114.29211843123082,D,53.773790398955455,E,0
Both,Christian,African American,Mexico,-141.951738277318,E,E,110.83035400956183,A,-92.49118102280912,E,0
Both,Jewish,White,US,50.10177963535683,E,D,-96.83691913039529,C,-105.39837055030428,C,1
No,Jewish,African American,Other,-107.59768780146514,D,E,-118.7160022171329,E,22.560689744898042,E,0
Mental,Other,African American,China,-71.29106462497894,B,D,246.55912924686646,D,2.043107604042324,B,0
No,Hindu,Asian,Other,146.42665869462863,D,A,-88.01839019832036,E,-82.18578504727611,D,1
Yes,None,African American,India,43.747463909039546,A,B,99.71710922255546,C,-121.101871610696,B,1
Mental,Muslim,Other,Other,185.03965259827854,B,A,82.30402281079077,A,87.29690815036102,C,0
Physical,Other,Black,US,-80.04321309390471,E,A,-81.1924234444715,A,-29.337565804360533,D,0
Yes,Other,Hispanic,Other,-20.86979469510949,A,D,126.9198451092056,E,-12.04347310204341,C,0
Both,Hindu,Other,China,8.946696515818491,A,E,-249.83264270584505,B,-69.39880519799608,D,1
No,Hindu,Hispanic,Mexico,-12.493867995960084,E,E,26.005371329140775,D,143.00265934513638,E,0
Mental,None,Asian,Germany,64.26395619592894,C,E,-43.798857630540155,E,-56.56133530436639,C,0
None,Hindu,African American,India,100.22993983280352,D,E,-59.81774121623319,B,61.06717406404655,C,0
Mental,Muslim,White,Other,-19.81862202504571,D,E,58.79407896593426,A,-55.576143805825,A,0
Mental,Christian,Other,US,-58.6876792003486,C,D,46.510209286234634,D,-2.4752777161086774,E,0
Mental,Buddhist,Black,India,17.731065466196494,A,C,62.65027088639881,B,21.503570638635974,B,0
No,Jewish,Black,US,-61.07472205767526,D,E,77.3760815958511,C,34.85755236171782,D,0
None,Jewish,White,Germany,89.76752862342927,E,C,31.49905835132883,B,116.13164434802789,E,0
Mental,Buddhist,Other,China,70.8143116152274,A,E,-177.44974737180573,A,-62.876380835780324,A,1
Yes,Hindu,African American,China,-24.976923199957824,D,B,-96.23108627169098,E,-168.9904298490532,E,0
None,Other,Hispanic,Other,31.540360280070583,D,A,-31.120911559019966,C,-134.52024419241206,C,0
No,None,Asian,Germany,-103.52578699163215,B,A,-122.45326232818647,C,2.151194655347117,B,0
Yes,None,Asian,India,-141.97317407056332,E,C,0.6901810776940576,E,53.257278192440324,E,1
Mental,Other,Black,Germany,23.70064890149208,C,B,-91.70544184445072,A,-37.51601498808279,D,1
No,Buddhist,African American,Germany,33.7983582620292,E,B,-91.55568479855918,B,-25.786402507620053,A,1
None,Other,African American,US,61.31119447704671,C,E,-120.44229901482606,C,-38.23103785993497,D,1
Both,Jewish,Hispanic,Germany,-162.58784596488448,A,E,-51.82210763415007,C,-122.98667256061798,B,0
Mental,None,Asian,Germany,23.056197035088715,E,E,42.73633076303259,C,108.14610527803748,A,0
Physical,Other,Asian,China,5.5568029739949605,D,C,-70.49097085146289,C,122.06199504320496,E,1
Both,Jewish,Black,UK,62.81138507597234,C,E,-21.280174125640492,D,52.525230466567095,B,1
Mental,Buddhist,African American,US,-6.5796876977624486,D,D,29.79259685653954,E,68.03100399163137,B,1
Yes,Buddhist,African American,Mexico,2.652876782076329,A,B,-54.48162855390386,A,98.50580831746424,D,1
None,Jewish,Hispanic,Mexico,81.02304054500348,C,D,-105.15215232962724,B,-131.58616699606605,D,1
Yes,Buddhist,Black,Germany,-40.60228035877162,C,E,-108.11103114400848,C,12.946704961094415,E,1
Physical,Other,African American,India,121.58287677240448,A,C,104.40503750397355,D,-55.37743500707089,A,1
No,None,African American,Brazil,-62.55860198136066,D,E,25.12751218344403,D,163.85885503164212,A,0
Both,Buddhist,Asian,UK,40.37824566036175,C,B,-14.848591230557467,D,19.399248558990685,A,0
Mental,Muslim,White,UK,-39.23193486216041,B,B,-56.68843170900373,D,-176.87335539475188,B,0
Physical,Hindu,African American,UK,-41.1417904976179,D,B,-129.40476265210162,C,-80.94441480272879,E,1
Physical,Other,Other,Other,-17.817181488181724,A,C,-15.090492964927495,B,-33.61823622480529,D,1
Mental,None,Hispanic,India,93.12820704211934,E,E,-139.7729440196019,B,-257.8762548060317,A,0
No,Jewish,Black,UK,-57.84878235193573,D,D,-75.65688416316888,D,53.61968797639577,C,0
Physical,Buddhist,Hispanic,Mexico,-32.96808866715216,D,C,-64.78912758577341,D,33.59753736867426,E,1
Yes,Muslim,Black,Brazil,43.03530151725386,E,C,40.69206822242745,C,23.348504492902517,D,0
No,Muslim,White,US,-19.67202516167533,D,D,-80.70181351642125,D,-23.81763291898983,A,1
No,None,Black,Mexico,-154.19804049510424,A,E,104.95720177580483,A,107.17455730036029,C,1
Yes,Muslim,Black,Germany,-52.89073452002682,B,C,14.029405307130949,D,-34.25177493345946,E,1
Mental,Other,Other,Mexico,-45.46580976982889,E,B,-89.57937924055479,C,-4.223653126147899,B,1
Mental,Other,Hispanic,UK,-43.18746442556057,B,D,-152.04786999939972,D,-9.566844629157156,E,0
No,Muslim,Other,Brazil,-34.367399096957406,D,B,-84.86304718849851,D,-88.49497387544503,D,0
None,None,Asian,Germany,56.704524243425745,C,C,37.07061856473119,C,28.178979083995582,E,1
Mental,Other,White,Other,-138.63764454090614,B,A,3.619823692429163,A,113.50958845144072,D,0
Mental,Buddhist,Hispanic,Other,-73.78934382623225,A,A,52.65695975974582,D,-33.53641065175446,B,0
No,Hindu,African American,China,96.42202610102565,A,C,-35.958246079329534,A,20.805460271966133,A,1
Both,Buddhist,Black,India,-48.40108146649241,E,C,-96.99159167056341,E,-81.7882979284084,E,0
None,Jewish,Hispanic,UK,-19.514552670175007,A,C,-153.01507408945284,A,-134.3404273761793,E,0
Physical,Other,Black,China,-32.019162862489765,E,D,-189.33090802870117,D,132.02361994896555,D,1
Physical,Muslim,Other,Germany,70.1233080738177,B,D,-71.18805799105007,A,11.912707372561234,E,0
None,Christian,Asian,Mexico,6.563891192916582,C,E,-118.57916673344218,E,111.27499843240503,D,1
Both,Other,African American,Brazil,-98.59609095654895,D,B,54.04837604960777,A,-42.91353379962213,A,0
No,Buddhist,African American,Mexico,-37.07889582115632,D,E,-62.01902768692833,B,90.46256948812766,E,0
Yes,Christian,Black,UK,90.33077776693412,D,C,180.14762195798707,B,-135.91027651369836,C,1
Mental,None,Hispanic,Brazil,130.59159230243625,A,C,17.22596352664909,B,167.41030043572405,B,1
None,Muslim,Black,Germany,141.25103095952346,C,E,-98.42396105144161,D,-26.713502144172935,B,0
Physical,None,African American,Mexico,100.89114908906893,A,A,0.8551798261668027,A,22.075635347779215,A,0
Both,Jewish,White,Other,-15.154264622214916,B,A,100.73528221433021,D,-148.52203957830005,C,0
Yes,Other,Asian,Other,123.61939351125264,E,B,9.72268511962748,D,-145.45733590029977,E,0
None,Hindu,Other,China,78.25676767475733,E,C,-186.23742418959418,B,42.697315509154095,B,1
Physical,Buddhist,Other,India,-5.659522275889379,D,B,100.21838492802988,D,82.70517582252387,B,1
No,Christian,Hispanic,US,-146.35666389338041,C,D,69.13310275963097,B,-31.238158362488043,E,1
Both,Buddhist,Black,US,-92.23052889999194,C,E,63.62938388671061,D,18.423866825362484,B,0
Physical,Other,African American,UK,43.68288241008385,E,D,-103.12770464820449,D,-160.48955814738542,C,1
None,Christian,African American,India,-16.247099998047343,D,D,61.8123265679709,A,95.4720617335411,B,0
Yes,Christian,Hispanic,India,-147.89323401191766,D,A,28.196677405444092,C,-87.09344870401954,D,0
None,Muslim,Black,UK,22.137590988986492,A,E,83.04032482743284,E,118.23718426836291,B,0
Yes,Christian,Asian,Other,-12.626070816978983,A,C,-72.43328710439094,C,-100.10143632733939,B,1
No,None,Asian,US,-131.71093642668606,A,D,49.069517704233796,B,75.68881511414818,C,0
Yes,Hindu,Hispanic,China,-72.75456967260439,E,C,-59.33836996236206,E,105.45460611396014,C,1
Yes,Jewish,Hispanic,US,-212.39536368352918,A,A,0.47360191461881357,A,-13.714364620316061,B,0
Mental,None,Hispanic,Other,-198.07391280773984,D,B,190.7569427071353,C,49.868032579130784,E,1
No,Hindu,Other,Germany,3.6547019023556184,D,A,-138.14332870006368,E,40.3639979733393,A,0
No,Buddhist,Other,China,-40.833156665810115,B,C,75.8651254312409,A,-50.7350309614789,E,1
Yes,Jewish,Other,US,-52.72326868001059,E,B,-17.025791302334927,D,45.641866317858586,B,0
Yes,Other,Hispanic,UK,-142.48093286843235,B,C,-17.377911628887336,D,31.369692410577,A,0
None,Christian,White,Germany,174.38357271900776,E,D,-70.50560765354255,C,-0.3462057729407093,D,0
Mental,Buddhist,Black,Germany,-61.088510462848575,C,B,193.43528899561375,E,-93.94753273369089,B,1
Mental,Christian,Other,China,-79.24633339653944,D,B,103.55231794137458,D,-148.7382705576306,D,0
None,Christian,Other,US,7.135976862866958,C,D,150.71577401322634,D,53.33063975929393,C,0
No,None,African American,India,72.32684697296484,C,C,46.31999377167502,D,252.51864475261,D,1
Yes,Other,Black,Other,-7.775418660748468,A,C,47.10912136674991,A,-171.98610069185742,E,1
Yes,None,African American,US,297.2885446751804,A,B,-78.91660831373744,A,-53.89707532971062,A,1
Yes,Other,White,Other,8.78371086814704,D,B,-38.42822951681886,D,-34.44893333579183,E,1
No,Hindu,Asian,Germany,83.97960919438736,B,C,-17.528695730835857,D,-68.59214107823448,D,0
Yes,Other,African American,Mexico,99.99525651863675,D,A,-78.99414414287197,A,-52.194930181195545,D,0
None,Other,African American,Mexico,87.3745602276708,C,C,-65.54236883441573,E,53.94660261396985,D,1
None,Christian,Hispanic,Mexico,107.95578920600157,A,D,9.680532569929087,B,-77.1830161757922,C,1
None,Christian,Black,Brazil,-125.32142145921642,D,D,-85.2555499338981,C,-93.57791539754876,C,1
None,Jewish,Hispanic,UK,-41.23474204640347,B,C,151.36294972233617,D,87.8629080511132,B,0
Physical,Christian,Other,US,234.67157789531137,E,E,86.37374560662134,A,58.82456321992695,A,1
Mental,Buddhist,White,Germany,41.25360827701987,D,A,-38.78521732268514,B,-71.10321518526402,C,0
None,Jewish,Asian,Germany,-19.205673187652085,B,D,59.95672245590292,A,57.34969935007614,E,0
Mental,Jewish,Asian,Germany,315.51938123444216,D,C,-20.016224868119664,D,-26.574242857819986,B,0
Both,Muslim,White,Other,-132.24027106170402,C,E,60.47201327338133,C,13.063171728514023,C,0
Mental,Buddhist,Other,Other,164.1508901407146,A,C,-194.60302962810866,C,-48.73915482067147,B,0
No,Muslim,White,Other,108.62601514981232,A,B,54.176860526255346,B,-65.80589651481515,C,0
No,None,African American,US,59.263569562074416,A,D,5.269128588264448,C,89.3033990389719,A,0
None,Christian,Hispanic,India,-32.73886840302935,D,B,-167.34210525621174,B,89.46637369786406,B,1
None,Other,Asian,Other,-145.08049020569544,D,C,103.09687393865599,C,-27.644626338341006,C,0
No,Hindu,Other,Other,59.580074553787234,C,C,37.41699167795836,C,71.3146803157558,E,1
Physical,Muslim,Asian,UK,-86.65837552813475,B,E,29.96281367546257,A,32.53441313946608,C,0
No,Muslim,African American,Other,41.176651366875156,D,C,-10.496678797519001,D,48.831005849497224,D,0
Both,Jewish,Black,UK,-14.123480361382635,B,D,-175.8758869838266,C,50.75150399290528,E,0
Mental,Hindu,Other,China,-64.21004061632166,B,E,286.5676616827452,C,-33.19266537996825,D,0
Both,Buddhist,Other,UK,-35.242806925988816,D,B,-77.77198710023224,A,-64.47868016125875,E,1
No,None,Black,Brazil,180.68410176487635,B,C,-73.13082825111766,A,-74.38481836085805,A,0
Yes,None,Other,Germany,38.932167632435394,C,E,212.39147080574935,D,127.8177076848817,B,1
Physical,Christian,Asian,Other,-133.05452508856402,E,A,-70.82891322424197,B,35.420621274223166,C,1
Both,Other,Other,China,26.18082208362355,D,C,-64.08418715713258,A,35.56629722233554,A,1
None,Other,African American,Brazil,119.84775610453842,E,B,88.2941280935717,D,62.046693894049476,E,0
Both,Other,Hispanic,Mexico,-54.98421356917197,A,C,5.140598846695484,D,156.28645376309805,C,1
No,Muslim,Black,UK,-114.97465328991943,A,B,-4.696138562520646,E,-118.19326906174288,B,0
Physical,Christian,White,China,-0.9634500064912779,C,D,113.47948411522819,C,-104.24565517349993,A,1
None,None,Hispanic,US,-70.24314899075412,B,B,-177.66565173652597,B,126.61949024157713,B,1
No,Muslim,Other,Other,145.51224833480268,D,A,-105.73617795911126,E,81.86071766263156,B,0
Both,Other,African American,India,-27.16247270961969,E,D,-21.509340048520816,C,-20.027895415496367,D,1
Mental,Other,Hispanic,China,-6.579887627416331,C,D,16.58779907023283,E,43.07865310264414,A,0
Physical,Buddhist,Black,India,82.91493011662763,C,D,46.92525084101988,C,-47.591687340750674,B,1
Both,Muslim,White,UK,-207.53842576035927,A,D,84.66242252274967,D,130.9542387761974,E,1
Yes,None,Hispanic,China,29.598178316861905,C,E,-75.20235110650457,D,34.15818808801474,E,0
Mental,Hindu,African American,Other,121.2239418768552,B,C,-158.0682505110002,D,35.696147161594766,C,0
Both,Buddhist,African American,Germany,117.26048296047959,B,A,-177.21707766342226,C,-26.899974009733057,B,0
Mental,Buddhist,Asian,China,-143.01384920531675,A,C,19.333408064613774,B,-73.57439757178915,A,1
No,Hindu,African American,Brazil,61.131342744873486,C,D,70.57073443674878,A,74.5537444021755,C,0
Yes,Christian,Asian,Other,77.14568476851582,D,A,-34.61856146829507,D,-69.59372661492421,E,0
None,Hindu,African American,Brazil,-55.77667538191881,B,A,72.27747665019592,C,-49.991037810912914,D,1
No,Christian,Hispanic,Brazil,-235.38764463420486,C,D,-61.39641999779807,A,270.8648063972562,C,1
None,Other,Other,US,171.80476345181995,D,B,6.458828191820339,D,136.70619712269752,D,1
No,Jewish,Other,Mexico,-99.14359582929228,C,B,49.461083760675166,A,140.95962147088323,E,0
Yes,Other,Hispanic,UK,29.13118843898188,C,A,110.33366550525352,A,-42.683000119327396,E,1
No,Hindu,Hispanic,China,13.063635957428026,D,C,20.814031628798393,E,-86.72864406690249,E,0
Mental,Buddhist,Other,Brazil,-27.645111933658868,A,D,72.91332591695789,D,58.575871807003644,A,1
Mental,Other,White,China,-74.4822936142012,A,E,91.77447008971306,C,222.6627336016422,B,0
Yes,Jewish,African American,India,-50.489212323024304,E,C,183.3307413021467,E,117.03236368975134,B,1
None,Muslim,White,UK,53.46711582758578,A,A,-42.111073612059094,B,-28.789100605766865,B,0
Physical,Hindu,White,China,-184.8979417528842,A,B,102.94267863830507,A,-185.41574732977827,E,0
No,None,African American,Brazil,17.31463894194451,B,A,34.5697478847146,A,13.275047992401909,D,0
Physical,Christian,Other,Other,-132.36534920743378,D,C,-35.69599114082306,C,181.81972509371022,E,0
None,Other,Asian,Germany,8.454685096916776,D,E,114.08448497167993,B,-129.49754000778432,C,0
Yes,None,Black,US,-214.59743832785912,D,E,91.34897285225311,D,-142.44838748994334,E,1
No,Buddhist,White,Brazil,-21.334344387298362,D,B,-48.26251097519153,C,-73.1483848123173,A,0
No,Jewish,Other,Mexico,81.11647363340084,A,D,83.17497972792283,E,64.44967194575528,A,0
Physical,Buddhist,White,Germany,46.362153498827766,E,E,-18.376101655613457,D,92.83040487124975,D,0
Yes,Buddhist,Asian,India,-152.09970049855878,D,B,-61.38820774774308,C,-96.25026632134254,D,1
Physical,Other,Black,UK,1.6367634833955715,B,A,81.05584787032413,A,-6.078897459687062,C,0
Both,Christian,White,US,194.52701159350235,E,C,15.391954752098222,B,-82.83835378908388,B,0
Physical,None,African American,Other,15.45103328200564,C,C,80.54020733264538,E,-67.53579803729137,B,1
Yes,Muslim,Black,Mexico,11.611458433852027,B,B,-48.367540048390055,E,39.06778293955146,B,1
Yes,Buddhist,Black,Other,-177.56822256204077,E,D,93.1280713688201,B,28.944135400080484,B,0
Yes,Christian,Hispanic,Brazil,36.2852369272342,D,E,-24.85649568867662,D,39.14343407502652,E,1
Physical,Other,White,Other,-122.50074890571116,B,D,-66.57224521377778,C,-16.115698363562263,C,0
Yes,None,White,China,103.4977888163305,B,D,117.85490622471269,D,-46.29108622071358,E,1
None,Hindu,African American,UK,-25.417859647525674,D,A,88.8432724300727,C,-45.61169342665913,D,1
Mental,Jewish,Other,Other,-31.95206314901251,E,E,198.87078226867143,D,-108.6869063037607,D,1
No,None,Asian,UK,37.61658200942345,A,E,123.15222851529941,C,-45.8128832704681,B,1
Both,Hindu,Other,Germany,-71.01521593537541,C,D,184.22481333466354,A,-12.281727992496288,E,1
Mental,Other,Black,UK,-41.26811244252395,C,E,-66.03430772779355,B,-20.645344421972776,E,0
None,Christian,Asian,Mexico,123.31773901748615,E,A,34.419706496861444,E,116.34017803116197,B,1
Both,Other,Asian,Germany,-56.943269822752725,B,D,100.5608621827547,B,53.829264852562,A,0
No,Jewish,Hispanic,Brazil,45.52149791764987,E,B,90.76433161942235,E,-59.27930429123081,A,0
Mental,Jewish,African American,Mexico,-0.6042937856864852,B,B,-131.4378279409015,C,-6.183304973869371,B,1
Mental,Other,Hispanic,China,19.5621417081946,E,A,139.98338429557802,D,-17.63594151096363,A,1
Mental,None,Asian,India,-39.361410968455154,B,E,-50.46394982489828,A,49.1933874581474,D,1
Yes,Buddhist,White,Germany,129.96396061231076,E,D,-111.17458616942359,A,109.08605783353305,A,1
None,Christian,Hispanic,India,-110.77787649774426,C,C,66.53060495161677,C,-92.02505923111197,B,0
None,Other,African American,India,22.85624410218085,D,E,58.38551413466785,A,175.4010954469393,D,0
None,None,Hispanic,Germany,122.77343023933417,D,C,-106.99075845636142,B,-56.13889564662625,A,0
No,Other,Asian,Mexico,-114.645084994234,D,D,-124.22661030999744,A,33.286093202547384,A,0
Both,Buddhist,Hispanic,US,-127.13948758984522,A,B,151.0368958909183,C,-32.686756139654335,D,1
None,Other,White,China,44.883455105989256,D,A,56.61741072603162,D,21.24025651741516,B,0
None,Christian,African American,India,218.01650677594046,B,D,68.2052006136245,E,31.847996190834316,C,0
Yes,Jewish,White,UK,-17.92224791750273,D,E,119.88116822564423,C,-60.94944113239449,E,1
No,Buddhist,African American,China,171.3366295648729,C,D,144.81240709912922,C,-50.80785596761227,C,0
Both,Other,African American,UK,25.964151341247515,B,C,178.7793246792475,C,-27.58494527728542,B,0
Both,Other,White,Other,-97.73198226049047,C,C,46.09862143912591,B,64.99148027737877,C,0
None,Buddhist,Hispanic,UK,-71.24720656749159,C,C,-153.0877688602675,D,62.67745137115022,E,1
No,Buddhist,Asian,US,52.66707454839412,B,E,27.319945876170664,A,-22.375851000050105,C,1
No,Jewish,Hispanic,China,60.4931617963668,D,D,-90.89131742760425,E,171.8366406495625,D,0
None,Hindu,Asian,China,134.54563274363264,A,C,-26.291977453299374,E,-62.22984298394023,D,1
No,Hindu,Asian,India,-33.333059220680504,E,E,102.28307520347295,D,-39.713175918505044,D,0
Both,Christian,Asian,US,56.38885029888725,C,C,-17.315901920056763,C,64.05999451939344,D,0
Both,Other,African American,Other,105.58320095743426,E,A,-35.199446690937485,D,169.00757122852556,B,1
None,None,Asian,Other,-29.336337852287485,D,E,-65.24222357945068,D,52.17794728131192,C,0
Yes,Buddhist,White,UK,-113.57795798782469,A,A,-33.75178148019195,D,-4.884665144010398,C,1
Mental,Muslim,Asian,UK,86.52080467047283,C,C,-214.27411276974024,E,-115.87597438766315,E,1
Physical,Other,Asian,Mexico,71.48946161006819,D,D,66.06914556840955,B,-30.627014338186072,B,0
No,Muslim,White,Brazil,-16.330196834687648,B,A,139.55484120098998,C,-92.07775877266793,B,1
None,Hindu,Black,Germany,55.70085199450122,A,B,18.310708143376683,D,-183.46055089231567,A,0
None,Hindu,Black,Brazil,18.065315689015303,D,E,201.7508530113429,E,35.29046452855738,E,1
Physical,None,Other,US,-109.76581037774706,A,D,174.88926195507196,E,100.96935077063587,B,0
Yes,Other,White,UK,-162.81566919692193,D,C,16.3985128223713,D,-8.277586112948883,B,0
Both,Christian,African American,Mexico,-126.19724120987514,B,B,-7.850642409433033,B,-236.17760800423815,B,0
Mental,Christian,White,India,-204.0878725504249,B,D,107.79972354739817,B,171.80454102504902,C,1
Mental,Buddhist,Hispanic,Germany,25.412287831780578,A,D,-100.3505343174914,C,-39.44083242967022,B,1
No,Muslim,Hispanic,China,-87.76876114132112,C,C,39.86217389760432,B,13.633367114346532,B,1
None,Christian,Black,UK,-36.05478225458996,D,C,-96.10625213687605,C,-1.7751811070441654,C,1
Both,Buddhist,Asian,UK,-153.8822877550781,E,C,-36.41816547802981,A,-184.09890191474196,D,1
Both,Jewish,Black,Other,-29.595132024772887,B,A,23.006644825902573,A,40.250528293307795,D,1
Both,None,White,Other,-53.52627742169145,C,E,-24.437401933831726,B,66.21731711639602,D,1
Mental,Muslim,Asian,India,81.10438923330335,D,A,-105.57026382510506,D,41.06649245741519,C,0
Physical,None,Black,China,-65.00157274385052,C,B,-96.35750720142741,C,-153.12283335880633,C,0
Yes,Jewish,Hispanic,Other,23.025803560108834,A,E,115.62306670217062,C,62.11810830757931,C,1
None,Other,Other,China,-221.0609600408162,C,C,-139.18100122481496,D,-47.52382624054834,D,1
Yes,Hindu,White,Brazil,-188.5767639259939,B,A,113.8154378054806,C,52.28072772405793,E,0
No,None,White,Germany,-89.65499364429593,E,C,88.57915993351367,A,-128.11918794772356,A,0
Yes,Buddhist,African American,Mexico,-10.038869873323748,A,E,-37.49113954561864,B,-73.53643437020749,E,1
