orientation,age_range,Nationality,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Heterosexual,26-35,Brazil,F,B,-55.485324323177835,D,A,129.96644405539755,82.31614789545448,C,-43.78734250846044,168.56849340785766,-221.15885980226673,115.31752142686587,D,-12.896911649762947,C,-10.613813227610516,D,E,C,-222.90785467469752,1
Bisexual,26-35,China,Other,C,-41.33964195570665,D,B,181.44069816601078,-8.650230790773719,B,-161.23312284882306,-196.78682780962166,-35.39635682156321,-88.58780262714788,E,188.52698447415273,E,23.27675534892194,A,B,A,-114.44806708062487,0
Other,26-35,UK,Female,B,-12.922889440779292,C,C,-34.45050189774214,132.29889094150485,A,-95.02435895616156,112.38046362482024,-43.88335044843705,-34.38483566562972,A,-135.792986450612,B,-12.125803283911713,B,D,E,-98.49576621682343,0
Homosexual,36-50,UK,F,A,69.03128050027381,B,A,50.11977361629349,-13.990991563094529,A,31.597636651227006,74.28139733577747,-23.38625738579406,46.678098266362305,B,33.213653867401064,B,13.1986089364739,C,D,D,33.33411263936472,0
Bisexual,51-65,India,M,A,-139.59227343553707,C,C,-51.50025388630015,7.854478488471371,A,83.26132283742186,-207.46425378107728,86.69909436558171,18.785592884543263,E,42.031044645474736,B,90.54515284308708,B,E,E,12.851361906771327,1
Homosexual,36-50,China,Non-binary,C,77.70635025657184,B,E,-66.3212420380571,-2.6515407935570012,C,-20.096403684012124,292.94695026067956,1.551423179065264,87.54442912133385,C,86.0688541986261,D,10.472913558057153,A,A,B,-36.731986586328574,1
Homosexual,51-65,Brazil,Male,C,-67.79773567504895,A,A,-56.47272646473663,198.34896689315138,C,-34.048520115225664,208.09016270264652,-133.30182972126968,-52.80890450126813,C,-69.17079773288904,B,124.85521213253914,E,E,A,-15.723164511306756,0
Bisexual,18-25,China,F,D,10.983000579934705,A,D,117.10347326621095,114.51307951382246,E,-88.21349787720894,-32.26909460291784,-35.106976685305675,-9.725266002923506,D,21.375208786462903,B,-65.96969592029218,E,E,A,259.20809425445725,0
Homosexual,36-50,Other,M,E,-15.599509179290848,D,A,87.46526017186068,-86.17864760068963,E,20.84953258297747,-53.4008032600768,55.690009958360584,-152.42586979922785,E,45.150203525178476,E,-172.61595185163284,D,E,D,101.42222735860035,1
Bisexual,18-25,UK,Male,E,22.36282205429489,C,D,-64.37503703355603,-23.16651397208032,B,56.83788446446927,14.728220387378519,35.763050007529436,72.47003377781333,E,257.3989833515414,D,-70.60727537373678,C,A,A,-92.76436681373819,1
Heterosexual,51-65,China,Female,C,66.86964147942344,A,A,-141.09408738557622,-125.23994090904816,A,-63.01014787051278,-29.166985451180828,6.751911701560558,-8.622734483998746,D,69.93753156079578,B,28.97001586705269,C,A,B,241.71867168963868,1
Bisexual,65+,China,M,D,-20.601070305012065,B,D,71.13458456893586,-41.704939359669744,A,127.42729836315077,-95.98210878372927,62.191484611306024,-60.631053657665355,A,79.79669007471716,A,67.10546415402715,D,A,E,-86.85949361580552,0
Bisexual,36-50,Other,Male,C,26.427861156443917,E,E,77.64954780271547,-15.786501070955392,A,25.28766959871216,11.215003663012666,0.2282074426032122,29.52385729813364,B,-90.77051734971998,E,-14.566480230048514,A,C,B,19.54999658212157,1
Homosexual,51-65,UK,Female,C,-88.85531118662598,A,B,24.66413539365623,-147.79542927515493,A,149.82811713673428,139.96432016700373,-68.97040172966823,178.9076994761112,D,57.404918607191405,E,-227.63649698217395,B,E,D,-14.513747218026898,1
Homosexual,51-65,Mexico,Non-binary,E,-35.537045649327034,D,E,170.68527807123522,41.25979063419882,A,-21.155179914033013,124.2143691788844,264.88479465883285,79.53407574183072,D,-168.9862435927695,B,-50.50281923902609,E,B,C,-244.93455378237877,1
Bisexual,65+,UK,Female,C,-299.45964405193604,D,E,78.517441946737,91.29706473762269,D,85.71940534093534,15.906717078405011,-242.38892950165024,191.91532501885814,A,77.54142189465708,D,-6.22910966126473,D,E,C,95.58470954848495,0
Heterosexual,36-50,Germany,Male,E,-21.31394104328713,B,C,-111.23124824046778,-18.84838233105332,D,-25.24731958147393,57.51363552209755,-26.233117821426287,-225.03640010582657,C,102.61185322263977,C,-0.902200393075581,E,D,A,-76.09493556739581,0
Heterosexual,65+,Brazil,Other,E,-87.91637609366947,D,D,-3.8746644351385418,-31.06926048810849,B,-148.8988748622074,-66.33348259593782,162.40105998392346,80.7746576027426,B,-143.2018577968624,E,-11.739119569274525,C,A,E,-52.72639804985039,1
Homosexual,36-50,US,Non-binary,A,207.34848742063684,D,C,73.98697174748831,107.89022995925974,B,59.51855616533967,39.62733702822607,87.83847597362524,80.31477769527571,E,31.89603045078452,C,67.2787611885385,A,E,C,-21.756231232608165,1
Bisexual,36-50,India,Other,E,38.31134572663696,D,D,148.74128098193964,-57.756374245327265,A,163.12282038105616,229.72051305774846,-52.17109622046381,67.85210406992518,C,36.15163072677679,E,-26.341958758171874,A,E,B,-98.34684260417065,1
Heterosexual,36-50,China,M,B,-14.555647359343771,C,A,43.61242068747343,-19.155420469422957,D,5.32234431407378,-137.4093469840749,-6.365911157893982,25.88065984531741,C,24.72991335263445,C,74.07682417022994,C,A,B,-25.14797340120586,0
Other,65+,China,Female,D,-58.58256290026578,A,A,-69.0159540093692,6.995348166450757,B,35.56669185795347,13.933766987221263,-48.01838290433474,44.38225795033489,D,-37.60797734506725,C,-69.9339091386297,D,B,E,-14.767552348267094,1
Heterosexual,51-65,Germany,Non-binary,B,-90.93733224557411,A,C,112.31516015714342,-103.83757634482092,A,26.67833690916893,-60.70487140421049,28.3643416740452,105.16420338666619,B,104.93092272950868,B,148.4771992432122,B,E,E,-45.729097094549644,1
Heterosexual,65+,China,Male,D,-18.308930484458855,B,C,52.7765399466541,139.58025041380196,B,63.02153462831151,-14.456008559296269,57.235794279281684,-65.7367464284845,A,-42.27085066457417,B,111.50606618701582,A,C,A,26.518548360815906,0
Other,65+,US,Female,D,43.743500419809735,B,A,114.66840174052192,-1.1471434909671152,D,-85.29292084434654,195.25733194187757,43.66851914458415,158.28795770335338,B,-22.70987017125902,D,2.1980470604871263,B,C,E,167.29544196388935,1
Bisexual,18-25,Other,Other,C,25.88369102453371,C,E,121.19455924298524,-9.231851767586912,C,33.93535776946271,-54.54101405753411,87.67047887778462,-0.4743014307802624,B,-99.41814694609712,B,-165.7185949463438,B,A,B,33.3822804029294,0
Other,18-25,India,Male,C,-1.2713748342314044,E,C,-57.29172010026251,-142.85403575339316,E,24.898533527573825,-102.60123829949875,-36.58358052581831,87.66152129265552,D,-4.322044674458245,C,57.290023343216376,A,C,B,-24.56417430256039,1
Other,65+,India,Male,B,-72.07226703504372,A,D,-34.87668505307035,19.323427318626017,E,-115.12148387918175,-9.886630095920527,88.72860042363577,-109.67107166423882,B,102.0024713856275,D,134.20264198205686,D,E,B,99.99661848893247,1
Homosexual,65+,Brazil,Female,D,-160.86513078711167,A,B,-165.80589008710743,36.59781170650817,E,64.64572880404928,53.148318948412246,-12.354638727534393,131.22910484231107,B,60.008307084317615,D,-76.30608838945608,B,E,A,72.3678635808229,1
Other,36-50,Other,F,B,47.40561805844676,D,C,161.2480248803508,96.21108591058398,D,-51.27784272260806,-18.97459115124753,-78.02129816161184,-51.36398824787193,A,-141.24062741361487,D,-44.321091578719184,E,C,C,31.297334411924275,0
Homosexual,51-65,Mexico,Other,B,-39.050736170499334,A,D,-47.90622860752384,-9.836965413029587,E,-55.86497552224513,-102.37540936095746,0.09594932141128862,2.7844482108901936,D,159.3666509489057,B,-77.37072187859792,C,A,E,-177.8940945970446,0
Heterosexual,65+,India,Non-binary,C,-165.80428062507372,E,C,-60.515392928220265,99.66452639892968,C,22.461310645758456,-122.57461855966814,88.31963502193683,-31.159549212128834,D,81.65210875545182,E,81.09970904214376,D,A,D,-15.733564309989346,0
Homosexual,51-65,India,F,C,12.758199886706453,B,B,-87.9952805042268,79.1682182142609,B,-19.22646613090852,19.828186009993363,-156.7588795654475,-95.06511842431517,D,93.12443612200944,E,-192.5361604760704,E,D,E,-2.3141970897552473,0
Homosexual,65+,UK,F,E,157.2729351346567,C,D,139.414861883073,40.454031533349806,D,-73.84330819226439,30.14033303748945,48.54513780195082,-52.602884561334406,D,-23.736189866448445,A,-41.65798252089906,D,C,A,-70.60657612049084,1
Homosexual,51-65,China,Female,C,-167.1735543015885,D,B,-74.84820855795535,64.2251024569747,C,-29.052944466923964,56.705553086545265,-27.54696588045933,37.03488139502206,D,-91.22528218885425,D,59.62650373111735,E,A,A,-53.18079375182817,0
Bisexual,51-65,Germany,Other,C,60.93362173081551,B,B,-46.34237544155711,-33.95884142776346,C,42.094137421140886,48.70997583525599,9.712271301944151,-112.70850467718662,E,8.800933912543316,D,-47.27163912703876,E,A,D,-4.473868525195165,1
Bisexual,18-25,China,F,A,121.6296572991623,B,B,-7.403767947596568,33.5309258517545,C,3.5154685910101695,190.96707664418352,26.886197937585298,57.54875198457452,C,-223.89643181706944,D,-30.204894776156017,A,C,E,15.109059024326701,0
Bisexual,26-35,Germany,M,D,123.86236791817058,E,E,-123.8499090811205,42.06972313430591,D,-114.66350429704093,105.65450807030992,122.18066233381523,32.89956147538021,B,-24.791077722914807,E,-107.80656724902815,C,D,D,-33.66373148662813,1
Bisexual,36-50,India,F,A,208.94298880012192,A,B,-7.031480757588124,-101.01251662336881,E,32.46619984487914,-82.23438345996684,66.17949403783098,77.8849487300336,E,-74.46236734136576,B,116.83272155929411,D,C,D,-46.95380015153122,1
Homosexual,65+,Germany,F,C,7.715264579628671,B,D,-102.16575787282089,1.1510898947110757,A,-0.6333899699495659,234.04454098914016,-30.42985929678083,124.67381058223832,C,-35.218387679674755,C,123.43000746300694,A,E,D,-59.17001746942277,0
Bisexual,51-65,Brazil,Female,D,-31.27070444344586,A,E,135.6934865684692,34.09451585999134,E,-13.577438708110904,162.06073816014566,-182.41335222960433,102.02526532358303,D,-69.56328022107246,A,20.765418516367635,D,B,A,83.74058213450725,1
Homosexual,18-25,Germany,Male,D,-60.379083329926154,A,B,-60.99896806155554,41.41399538759116,D,48.429024939814475,93.06705993156848,48.17062895408655,191.90885682094893,D,17.004373960731755,D,2.8540359424200927,C,B,A,18.362973742355067,0
Homosexual,26-35,China,Non-binary,A,-111.54605885895509,A,E,-47.35761498561784,-196.66453299156908,E,204.02623346690768,-15.084742987216988,60.606756933310656,45.33988953791334,C,129.43793428198822,A,-50.453977965924956,A,D,E,94.60577119492768,0
Other,18-25,Mexico,F,C,-68.55108290701781,D,B,-25.562746688547545,15.248363569207992,D,-153.2078735624649,35.12456417068146,-24.881355659998654,-31.167022041422136,D,-139.93016215022348,E,-73.9489049478751,A,E,A,142.00749389465835,1
Heterosexual,36-50,Brazil,M,A,-5.762833322468867,D,A,-23.835501985548824,-286.14168130095516,B,50.63045514959096,115.06582893596344,45.66985398438737,-74.36360508747427,A,196.63460487570077,B,69.05512206505993,A,D,C,-140.53448869058835,1
Heterosexual,18-25,Germany,Female,E,115.06361960048687,E,A,137.88084958700423,63.0200029283839,B,-85.94941142518519,100.10441291216512,-179.3964908057038,-138.3607250336558,E,-78.55218531423581,D,12.147653043408132,C,A,E,50.095942539134676,0
Bisexual,36-50,China,Female,C,71.93094229488742,D,A,157.92130165550475,29.086420588103163,E,-92.83973163556605,52.4123207690934,-140.4598846746189,136.20899646816528,C,114.16545233916607,E,-88.45841946156328,E,D,A,101.56240993564623,0
Other,18-25,Other,Non-binary,B,52.21761031241022,A,C,-57.23897152458763,146.36737307017233,A,15.407188293891789,210.59394422233945,-56.04610914099264,82.62723819120622,C,-136.4231548523418,A,41.649706228179056,B,B,A,79.32627098039775,0
Homosexual,18-25,Brazil,M,D,-12.274203768274244,B,B,-67.63389346627632,-67.31066594943836,C,39.3642853312149,-18.501195325268863,110.37484190995495,84.20437664729951,C,106.98128775285906,A,81.85303541174555,C,A,A,90.301020082189,0
Other,51-65,China,Female,B,133.20959665010798,C,E,-3.418625424015896,67.31628085067652,D,-4.793352852195229,189.87638899999345,-31.110820728924516,60.362844283748416,A,140.09537433087613,C,-132.30807068574765,C,C,A,23.703862539227476,0
Homosexual,65+,UK,M,E,16.478913576790497,B,E,3.546309064750501,-180.17010131825126,D,-23.450141297894945,38.327914362168336,98.99744432073281,-56.76486129256306,C,-21.159417401159804,C,9.41811317342231,D,B,B,-40.494190659852414,0
Bisexual,26-35,Germany,M,E,-62.14017132176658,E,D,85.16409579392935,-115.52990928185207,D,-120.37775354169025,76.20569327246169,-153.53471663322279,-49.64997706484484,A,-49.193932775994256,B,-17.56690467556364,E,D,D,69.22651177183671,0
Heterosexual,36-50,UK,Male,E,25.9042810006221,E,A,-187.7556405863088,-130.1393124383116,A,-116.96233204517121,-8.840833464808227,73.7212118231413,219.38178934908973,C,152.98139432839878,C,28.320161750079265,E,C,B,-21.560827552407417,1
Heterosexual,36-50,Other,Male,A,-35.58424898711362,B,B,-219.09213412601085,8.817574975233905,A,27.092856903198964,79.89274046351437,50.24871847731399,106.5504445612359,B,-183.14352307238076,C,63.3050401309352,C,D,E,105.03079206346209,0
Homosexual,26-35,China,Female,C,-77.2614063551628,E,D,53.30647632056602,67.86358983724774,E,91.85099504375509,-50.12240386730683,147.91899350881502,10.227279208537343,B,-63.10331043980425,D,113.04204997010261,D,C,A,1.2041220705720672,1
Heterosexual,26-35,Brazil,Male,E,-30.667198873468415,D,D,-163.08055633972188,56.849797867172335,E,-107.59997792140324,-170.72524355020892,69.76461539942223,-83.30663815903165,A,-77.77106289097956,E,86.83574298689767,D,A,A,20.650621399675153,1
Bisexual,51-65,US,F,D,144.55249986378408,E,D,-1.8074101661061401,-108.5172058136489,A,-1.2879581290833144,-20.364130115502608,-48.0646733706543,-29.2339755142224,C,32.948694868015735,B,65.39801429899215,B,A,E,-118.23049603803555,1
Homosexual,18-25,Germany,Other,D,-174.7808228608263,B,D,-136.1023409049982,60.376233605359666,C,125.46482937056508,35.76845958789534,-102.85880333319967,136.10962485161076,C,116.90703746513924,B,6.670808354520333,B,E,D,123.84701616395009,1
Heterosexual,51-65,China,Male,D,-141.79926242494287,B,E,-43.812528781391066,-144.0284128903984,E,38.31922168637193,63.43563875875857,-120.1013283572874,-80.64250489797112,D,-36.72568257161764,E,-140.9029953382233,B,D,E,66.21066040991738,0
Bisexual,65+,Germany,F,B,-9.265710326195897,C,A,-119.30448130436461,-65.76626305164639,C,-14.387670743780525,51.05003073380415,-49.171899830645565,-119.43648343155093,C,-177.6980569424723,C,51.0333985289877,E,D,E,72.482785750288,0
Bisexual,18-25,Mexico,F,B,-28.68920126226284,E,D,44.170275781698834,16.021813774079803,D,111.97082374030984,109.70479132852229,50.40257334287167,47.68660245556591,A,137.8123881148505,E,-66.58495450257034,A,B,B,207.49109243955323,1
Bisexual,65+,Mexico,F,C,110.89024195751966,A,E,-53.57765040404324,95.99352363650866,B,-7.19269957535331,127.82190461649185,167.0445169013271,-1.3128020075932534,E,-157.54351625287214,D,52.09589726236147,A,D,C,10.672505200321334,1
Other,18-25,Mexico,Other,A,30.280745088901135,B,E,56.343804954963915,119.12024021713614,C,-4.229171715804991,-60.48658040159286,42.77366108354831,129.51466653490914,C,16.13454866723156,E,32.97461885442402,C,A,A,86.24969774774856,1
Homosexual,65+,UK,Other,C,-0.3046556627924595,D,C,58.71723251558558,7.831237900831411,A,-100.6140093994483,46.49288921000732,22.455627241775538,-199.22280848258333,C,-94.95792292654569,B,-146.80624443154764,A,C,A,39.49423493062043,1
Homosexual,65+,UK,F,C,45.83913461645023,E,B,-67.98145313943225,-2.5819634157879627,D,-91.64085218328944,33.796314773826325,-8.305904419295143,-61.68404064917892,E,-7.54088293823369,C,62.22174336528199,C,C,A,39.530063610908805,0
Heterosexual,18-25,US,Other,A,148.3115001035095,C,E,-26.41804734712784,-220.35292718401206,D,86.72350931712404,143.78237246908418,-118.0186775573189,110.4275717708221,B,2.0450017289102176,A,74.89925718343903,D,A,A,-119.42121979634308,0
Other,18-25,US,Non-binary,E,39.4502383289917,A,C,-160.1745529347533,26.789897135811703,B,11.79953153374634,-71.87856865654506,-128.87947931835828,-95.26152341026162,A,-61.66130086670309,C,-110.7847418302978,A,E,A,-167.2610594475999,0
Heterosexual,18-25,China,Non-binary,B,-40.26655204018329,C,D,-118.93343677389143,-86.73482681544925,B,-56.70312938465535,-6.436858028856067,-138.85281193249946,25.139390857192538,E,82.03975781997052,C,-70.09438768552828,A,E,A,27.0216569380653,1
Other,65+,Mexico,Other,A,61.27433833091669,C,E,-43.93964496736454,-98.4894442332514,C,-111.19985377373935,-21.463231952504174,43.814786624436266,101.01974529393335,E,70.8643230869957,D,-30.832439201089297,A,E,D,-40.91687599010077,1
Heterosexual,18-25,US,M,C,-86.26594282690105,A,C,163.4674643515641,81.19481000947505,E,-144.3306258692005,63.65197895334018,-14.535554512740628,-41.936630137672076,E,-43.55484717099955,B,-87.40092316358827,B,A,C,49.17088816952708,1
Heterosexual,51-65,UK,F,B,66.23648424006862,D,C,-91.74803004116039,35.70856449692594,D,-0.5343241917670508,150.10878982155396,-90.57649851260085,-70.75564478261643,B,-64.65228078405674,E,77.24640083313594,A,D,D,-26.656560250746924,1
Other,51-65,India,F,E,133.35135523496115,D,D,51.718361105139266,126.33243256432587,A,66.39394287966441,-222.9639197004754,156.15836950152078,63.46388202820887,D,-11.345581388157058,C,158.72243944109806,E,C,E,-85.09901575163171,0
Other,18-25,India,F,E,31.1868761299038,B,E,21.31204521273921,-67.29111303171553,D,190.3481853871877,-60.36236191234345,-9.690010989046973,138.38369708967411,E,57.25003518556977,E,-56.28321095537492,A,C,B,16.218952693321796,1
Homosexual,51-65,Brazil,Female,C,125.76419394119792,A,C,49.54084832030293,97.8651531633837,C,138.01573612126657,-44.42074795462496,-126.77079775373907,-114.11784693836896,C,-219.06545974438038,C,40.12037347006493,A,D,C,-43.46164244122818,0
Other,26-35,Other,M,E,68.09562136791062,D,C,-134.89617610171928,-56.919757507823185,E,-32.78618901301081,-78.44917529114053,117.88312056771883,183.09244268490255,D,-151.01420652324376,D,-92.98538539826762,C,B,D,-139.61704721118616,0
Heterosexual,36-50,India,Other,D,-210.1013043581796,E,B,-140.09037352275354,129.23536211606577,A,144.1526447140502,45.419641681600424,185.3962628329594,20.510372299263278,A,-63.80523388358195,B,10.74433849957114,C,B,C,-75.39993480204386,1
Homosexual,51-65,Mexico,M,A,7.649640565341452,A,A,102.60145528169198,66.64495804688823,A,-41.13917513829895,-134.13855096296737,181.59868664829744,16.279590206308438,E,86.29428836459154,B,-71.87552858120807,B,C,D,-46.53797008015238,0
Heterosexual,18-25,Brazil,Non-binary,E,-85.77527627488892,D,B,-15.203553040629872,28.437321264100063,E,-1.3493177169073494,129.04250118703794,-23.58610457973205,-17.807684220310318,A,-0.4864663551853934,E,-94.82650172576632,D,B,C,-56.49566491444621,0
Homosexual,36-50,Other,Other,B,89.40370941745026,A,D,31.835869586755518,-30.959796774454013,E,52.03396954866629,-137.17250255234683,74.47551149556519,-65.45028766207534,A,89.51323652649818,E,117.1760137265213,D,E,E,34.791320202445036,1
Other,51-65,Mexico,Male,D,194.62157892482645,A,C,-213.71874748441027,-33.434840635649756,D,42.173054707665436,-11.348488518142904,18.427918579902435,-16.446692163829034,E,-4.544689995886053,A,-52.796019513659566,E,D,B,-51.84805973656273,1
Heterosexual,65+,Germany,Other,E,-189.61380237498182,E,C,-15.416135401210488,69.39517152705702,C,-107.14677963221553,-16.69514839563773,53.0576179146548,82.1612516881407,B,28.388075872980906,E,163.0290807158482,E,D,B,-117.5811517599972,0
Homosexual,18-25,Brazil,Female,B,20.258773951835707,C,D,2.3557355032734404,-120.48550448869011,A,53.74673892123607,24.214896190346217,-162.0747064960657,-89.37345820457287,C,187.0185789575828,A,-181.78834246414272,E,D,A,-39.13212037627939,0
Bisexual,36-50,Brazil,F,E,25.308262517265224,D,B,-109.84377582706092,145.06445650551927,D,-34.51839538445714,1.2575761819989093,-35.531561375596205,-35.08647759328159,B,20.2533363240915,B,123.43032033912318,A,B,D,73.86540724819834,1
Other,26-35,Brazil,M,D,-121.26468247022655,D,B,15.550892418443782,90.00465575775377,E,-61.07232390679158,41.62776447437244,-135.44898795073397,139.22950027879753,D,86.35685982133523,C,-140.30999260334073,A,E,E,-28.839247657248418,0
Heterosexual,36-50,UK,Other,D,-111.411173591586,E,B,-96.41457062251637,110.74984337833769,E,-131.70113043996884,-93.87467140096874,152.47370960207124,-136.43574582704866,D,-102.63315418852457,A,-120.73396424823974,E,D,C,-37.80710474166363,1
Homosexual,26-35,India,F,B,-17.681907365792938,C,E,-102.1714357568718,35.5569905786912,B,-8.569688024761696,21.6320071396643,-109.30391927213725,42.225244984793356,C,249.75255265735575,B,-37.150326732130274,D,D,E,-127.99082432536832,0
Homosexual,51-65,Other,Male,C,-108.70872053178167,E,D,-183.13237881309067,140.60975539503212,E,78.87325851677625,101.26190941203907,-166.21676162518835,36.055997095103976,A,98.79637952689986,C,48.22265968985349,C,E,B,16.740798698096416,1
Heterosexual,36-50,Germany,F,D,-15.140266999011843,B,B,34.1790796195993,-68.31381262990634,C,-204.7445584954818,148.18445051108893,18.56840614038405,79.34707453453255,C,125.973979991578,D,74.52667528996719,A,B,E,1.6054561689580698,0
