orientation,age_group,age,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,51-65,43,African American,191.0521407346538,D,E,B,103.48925937383173,73.94457307874248,E,-68.42370941617443,B,E,224.34263803515546,167.53089691218116,-83.23375287728561,B,-39.286488384877735,C,A,0
Homosexual,26-35,28,Asian,-76.59982874196129,E,B,D,-119.69719912082411,64.00217846226538,B,57.45784095114751,A,E,105.43110128842825,81.49825641941378,-164.23436904495668,E,-15.922976326822697,D,B,1
Homosexual,36-50,82,Asian,-30.383828881874486,A,E,C,-111.16559189658332,-152.40827575270325,A,-47.10418090992189,B,D,31.123113296457085,-123.46064758014674,-130.34200736073777,D,-182.9558219842753,E,C,1
Homosexual,18-25,56,Other,87.80823851105204,A,B,B,-95.30197207719385,-113.95401563982783,C,20.226952389900248,C,C,-10.216956920872356,117.583435539926,106.60827695636115,C,97.256217102291,B,D,0
Other,51-65,52,Other,-9.460589831949044,E,C,A,15.041677915992386,159.41224965890504,A,101.27228938344533,B,B,-32.30224877190801,93.61202771646116,-196.9394438892307,D,69.5762149730448,B,C,1
Homosexual,26-35,39,Hispanic,78.60191397581339,C,B,A,-104.9285319609591,14.707502279132633,D,-26.678101997130128,D,C,-109.01829827556521,-75.56727430000883,48.75671099429259,C,83.20184019691183,A,C,0
Bisexual,65+,31,Hispanic,-112.38800600062531,C,D,A,-222.71182873836395,17.73235225758376,A,-154.46528655679964,B,A,-41.539261855551594,-7.223950625705693,-6.732747605923739,E,-184.6345584630893,D,C,0
Bisexual,18-25,69,African American,-143.75799589620462,D,E,C,-65.25028935552054,19.19614140467488,A,-47.26701954449432,D,A,130.36656872243623,-110.83885777202647,51.89932966933887,E,-29.344308891165916,E,B,1
Heterosexual,65+,59,Other,109.9133734764987,E,B,C,64.79133620452389,-82.1815501659045,C,123.1077450048812,C,B,94.95109387651794,53.93708775827166,121.70715390528247,A,-82.30984877056505,D,A,0
Homosexual,18-25,90,Asian,-169.25440895381337,B,B,A,32.083282319090664,-21.789796641319803,C,28.043226755536327,C,A,-103.73030004415686,-88.38102563952756,-102.47484110763831,A,-151.56068751039948,A,C,1
Heterosexual,36-50,39,Black,-3.1596005431302423,B,A,B,153.6929144397648,-175.49263504738104,B,6.3843949919259675,B,B,130.16584759706848,61.89679170699828,87.2528380578818,B,150.77984642689492,C,B,0
Heterosexual,51-65,34,African American,34.139486264065795,A,B,C,3.1648720858430126,-13.557374056128685,E,-12.15363326973852,C,D,107.21762696899242,-138.06269563799353,-51.704956197047615,B,-29.876583229104426,B,C,1
Homosexual,51-65,27,Other,-43.22266384221717,B,E,E,55.33922044553049,-19.818076100204554,D,97.63571405995707,A,B,-135.61774136902696,-58.255681866728104,-91.4691436387254,A,-198.82226248013632,C,E,0
Other,18-25,42,Hispanic,119.06879429340704,D,C,D,12.494077795881111,-73.65107532701897,E,60.76979982764973,D,B,143.87550047320053,82.5058593461623,-36.0523575466022,E,-64.27174124390038,B,D,1
Homosexual,65+,85,Black,-12.444473081484974,D,B,E,-79.01784676261417,0.45931485710228426,C,132.0566657357758,D,C,95.32407942375072,39.12836729057384,-57.31950368074129,E,80.19097771523045,C,A,0
Bisexual,26-35,81,Asian,169.01209466612096,D,E,B,115.52396710794297,-68.158459322662,A,-10.937926896633805,D,A,54.49182382325414,-54.34436219223101,-178.3021720637336,C,-80.30174259306727,B,C,1
Bisexual,26-35,28,White,-36.62982671392151,E,B,A,11.989919737191764,-60.404624838163755,D,46.27536312826042,D,E,90.40313834942067,164.16970221896148,-80.11376541949751,B,-46.11055265164455,B,B,1
Heterosexual,51-65,57,Other,-48.96633684552668,B,D,D,-76.29210468160258,-43.989744001758865,E,-22.17171435664801,E,C,43.38758332601931,-195.06345059506313,-21.878017388932353,C,-118.45528412996795,D,A,1
Bisexual,18-25,95,Asian,100.99444590190242,C,B,E,-84.16963915650827,-16.600021549711922,C,-93.32928822272949,C,A,-114.23859688394782,273.51862718559676,13.472528208133935,B,-10.69731295772041,C,B,1
Heterosexual,26-35,98,Other,-137.35336378418015,B,E,E,117.2638492282988,62.40397945010514,D,-175.82240949512519,E,A,66.58054639609186,-37.5394637151053,-77.9380208101548,A,-71.37175708000166,B,C,1
Heterosexual,65+,27,Other,38.89345007659947,E,D,A,-138.2427716435187,-82.23487231443227,A,-184.66883610765535,E,B,-52.17661661471823,-99.81834811864448,131.97391209436105,A,116.67325454091429,A,C,0
