Disability,Religion,Nationality,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Physical,Christian,UK,Yes,99.72114396686771,-13.98444859416911,212.46512117296245,C,A,D,D,1
Yes,Muslim,US,No,-21.846384488284638,-136.81142173708392,-123.01114779368301,B,E,C,C,1
None,Muslim,India,Yes,31.21745483305623,-52.2448824252453,-43.9495225854437,B,B,C,B,1
No,Buddhist,China,Yes,-40.9460145118267,98.18092419539995,20.15848714371913,B,A,A,C,1
No,Christian,Germany,Veteran,-36.4014744033432,68.64982129045104,-13.956146423195367,C,D,D,B,0
Both,Hindu,Mexico,Yes,-228.7068732555635,-34.059235639834945,-152.65007404300545,A,A,D,C,0
Mental,Jewish,China,No,-140.91856899179726,-14.450487509829124,-89.52602578684224,E,A,B,C,1
No,None,UK,Non-Veteran,-207.9284596743944,-66.89190823063548,-114.79095639601373,B,E,E,D,1
No,Christian,India,Yes,-21.87101157427159,34.74638107573388,25.144028875384492,A,B,D,B,1
Physical,Christian,Germany,Veteran,-137.39524900354814,-26.999558283322354,94.03234400608775,B,C,B,B,1
Physical,Hindu,Other,Veteran,-1.732534795610137,-166.0285290258856,-71.95994094158652,A,E,A,A,1
No,Hindu,Other,Non-Veteran,107.62700110463771,272.4682048118904,186.55460685009274,D,E,A,D,1
Physical,Jewish,Other,Veteran,120.00917431641336,-84.62376983998897,-91.82616096731977,D,C,E,A,1
Yes,Buddhist,India,Yes,17.742565357821995,268.7151773593616,-142.24416537038732,E,C,C,B,0
Yes,Other,Other,Yes,-104.82825355564816,87.01512805967991,46.939795377584446,D,E,D,B,0
Yes,Buddhist,China,No,143.57534704214177,-25.977377745550474,-139.05423601180166,D,C,A,E,0
No,Buddhist,Germany,No,-59.31930847827087,-66.4815160827699,39.94515687653003,B,B,D,E,0
Both,None,Germany,Veteran,104.05004908996804,46.083232573817,77.78377105704057,A,B,E,D,1
No,Jewish,India,Yes,99.01529413344153,102.15124314662596,-34.90329591151436,A,B,A,B,1
No,Muslim,UK,Non-Veteran,0.8039364073148307,-19.5244600298001,2.82141371443811,C,B,A,A,1
None,Hindu,Mexico,No,42.496145338488105,-8.79775557794738,3.7195295484942723,E,A,A,E,0
None,Jewish,Brazil,No,27.18000509760563,-72.01223146740728,0.9099498463823001,E,D,A,B,1
No,None,Other,Veteran,113.1389706988809,56.41670374240175,-82.35925587326514,D,B,E,E,0
No,Other,India,Non-Veteran,-10.141773388499836,-59.915053010443565,134.09537854866383,E,E,A,A,0
Both,Christian,Brazil,Veteran,127.34214939519744,181.5083847039234,-8.506784030375394,D,D,C,B,0
Physical,Other,Brazil,Yes,-7.087607951220775,-107.63616571657586,97.03745845302235,E,D,A,E,0
Mental,Buddhist,India,Yes,51.044076508911616,124.62992788313491,-83.46172725568263,A,D,A,A,0
None,Muslim,Germany,Yes,22.933603681320978,17.71170067786679,-29.90081124307405,B,D,C,C,0
Physical,Hindu,China,Yes,1.7006427833548963,36.400691142738005,149.37712320631215,B,E,A,D,1
Physical,Other,Other,Veteran,200.39194349339854,-22.535653919430988,-133.11778934236168,A,D,E,D,1
Physical,None,Mexico,Veteran,21.24114538499812,-19.663494436866035,6.011660553627417,B,D,C,D,1
Yes,Hindu,Other,Yes,22.255038386376146,-200.58903943774968,1.691510775365416,E,D,C,D,0
Both,Jewish,US,No,-16.499695227459444,-5.257497290115654,81.32660412634462,B,B,B,D,1
Physical,Muslim,Mexico,Yes,146.91988137484202,-171.3417322579831,-116.47101857607478,B,C,D,B,1
Yes,None,Mexico,No,-144.38500801534968,-109.63909987966662,130.02938358841175,A,B,D,B,1
No,Hindu,UK,Non-Veteran,78.79331069591328,-66.58804773204182,-82.02067992886603,C,D,C,A,1
No,Christian,Germany,Yes,148.74069909079773,-31.770390951756795,-19.18664535028143,B,B,D,A,1
Mental,None,China,Veteran,-13.273499939804829,24.666520596597998,-41.767701418735584,C,A,C,E,1
Mental,Muslim,UK,Yes,-28.63770991137673,-23.580996387931247,-75.49020229171532,B,D,E,B,0
Mental,Jewish,Brazil,No,-96.14172479533701,-49.22319389992186,61.4895799385881,C,E,B,A,1
Mental,Other,Mexico,Veteran,-131.98247167804615,-119.97743410863538,123.30699556951612,A,E,A,A,1
Mental,None,Brazil,Yes,65.96121413440656,-46.72025328938065,-227.06738938621345,D,E,D,C,0
None,Jewish,Mexico,Veteran,135.2570718538456,107.97021023197829,-95.6961520610823,C,A,D,D,1
No,Hindu,India,Veteran,25.896655468355,22.845758527748362,-45.34686462086585,C,E,B,C,1
No,Muslim,Germany,No,-5.385945113555311,-46.22036125220582,39.95316492986301,A,C,C,A,0
Physical,Jewish,China,No,163.46720533029634,207.51257954988023,-39.394880119484455,D,B,B,B,0
None,Jewish,India,Yes,-70.83261194030415,-34.64583376516919,54.23673632042576,B,B,D,A,0
Yes,Christian,US,Yes,107.62942479790556,-8.245983870940028,-22.043996538522922,B,E,C,E,0
Yes,Other,Other,No,56.38981422418217,-51.87364400569939,144.97339885514475,C,E,A,A,0
Mental,Jewish,China,No,-112.21277708174946,-45.10017343141591,24.73687028948864,C,C,D,A,1
Yes,Jewish,UK,No,29.736050825517363,113.47292700665844,1.6741114495528588,C,E,A,E,1
Mental,Buddhist,US,Yes,79.26464127055233,-76.24926624228034,274.7155050937576,D,A,B,B,1
Mental,Other,Germany,Non-Veteran,-91.33219749350222,-69.54787522184708,40.04379048490042,E,C,D,C,0
Physical,Muslim,Other,Yes,10.380130450940975,65.63498914096296,32.668729893992534,B,B,E,E,0
Both,Christian,Brazil,Yes,37.14290762286595,109.88176713091644,-124.66804359759894,A,C,D,A,0
None,None,Germany,Non-Veteran,-154.9238015657145,85.05676454339812,-37.073171377146345,E,D,E,A,1
Both,Hindu,Other,Non-Veteran,1.6311756838210425,-82.19483859794305,0.557816928765693,D,E,E,B,0
Yes,Jewish,US,Veteran,42.18162105220598,58.57727390044671,-137.5808286261275,E,A,D,C,1
No,None,Other,No,109.34540551332172,-23.839600867358115,-107.75430671776567,A,D,D,E,1
No,Christian,Other,No,40.10127102042083,-41.76418507217512,7.25796339518755,D,A,B,E,0
Mental,Muslim,Other,Non-Veteran,133.77909061087485,31.569229437129607,-90.78474558792932,A,E,B,D,0
None,Christian,Germany,No,54.495536814037784,-78.77167657732431,65.30044028103981,C,A,C,A,0
Yes,None,US,Non-Veteran,55.97785145271271,-48.27401773657931,-173.15386812108304,B,A,D,C,1
None,None,India,Non-Veteran,-56.263840257327615,-201.24452440265935,123.78238677591393,A,E,D,A,0
Yes,Other,India,Non-Veteran,111.04370557731372,56.30944069637269,96.21267817010131,B,E,A,A,1
Yes,Jewish,US,Non-Veteran,-46.15394444226517,39.324406266778595,-121.84915247984134,D,A,A,E,1
Both,None,Other,No,10.770271808879047,-28.87381881371566,27.409493722883077,C,B,E,C,1
Yes,Christian,Brazil,Veteran,115.62358681753413,12.009087209092172,132.1448720720538,A,D,A,C,1
Both,Buddhist,Brazil,No,102.45900288859502,38.82275736266909,-149.87087518046818,A,C,D,C,0
Physical,None,US,Yes,-56.54517070093846,-30.37379149931211,13.606681479081134,D,C,E,E,1
Yes,Jewish,Brazil,No,-31.856191162602478,69.99061858295342,26.74223212048201,E,B,B,D,1
None,None,Brazil,Veteran,334.1212874744411,54.201420032489665,-26.555628755519784,C,E,C,B,1
None,Jewish,Mexico,No,-116.31167521825444,-61.22206700837432,27.269280879420464,E,D,D,E,0
No,None,US,Non-Veteran,-174.60691020125049,126.56287047634687,-99.44082631885439,B,B,C,D,1
Both,Hindu,UK,Non-Veteran,23.77587063421655,-64.56324098759686,-149.16621957025544,A,A,E,A,0
Mental,Buddhist,Mexico,Non-Veteran,43.24968398059448,22.691693055869372,135.38116184266653,A,A,D,E,0
Physical,None,Mexico,No,-83.42908586533623,44.18097578272306,70.93658881974018,E,E,A,C,0
Yes,Buddhist,Brazil,Yes,-19.594007627615227,-105.67252411451543,-2.2031490969149012,E,D,E,D,0
No,Other,Mexico,Yes,86.90581584469797,84.39004664856175,-45.023385196489436,C,B,E,C,1
Physical,Buddhist,Mexico,Veteran,-24.053583517240654,-149.2745110555613,-36.372702671587035,D,D,B,E,1
Mental,Other,Other,Veteran,-68.75777656086835,92.38221496722751,42.76193269650223,D,D,A,A,1
Both,Christian,Brazil,Veteran,-33.51308470209653,55.00996339593185,97.3569447416527,E,D,D,A,1
No,Christian,US,Yes,18.90712491662521,-171.27875152893674,-42.517271010961196,B,A,D,E,0
None,Muslim,China,No,-88.16928530855151,82.92122303331963,184.9098613626379,A,A,E,B,0
Yes,Christian,Other,Non-Veteran,-29.690825091684157,90.74016935394867,181.2275112368003,E,A,B,C,1
No,None,Brazil,Veteran,-94.05141218693832,-229.21165749405813,-100.97221432274131,B,E,A,D,0
No,Jewish,Brazil,Veteran,52.289784023359374,157.13341331996068,152.05451972871697,B,D,A,D,0
None,Muslim,US,No,-14.541068732650858,114.00111446624248,-48.641165076424166,D,E,E,B,0
None,Buddhist,Germany,Non-Veteran,-158.36737930944406,-125.31610913671597,0.543177330542532,E,A,B,B,1
Physical,Hindu,UK,Yes,-49.57223127221428,25.00920552482116,-78.166912362647,A,A,E,A,1
None,Other,UK,Veteran,176.17549148015434,13.666848526937386,-68.21122629796433,B,E,C,B,1
None,Other,China,Yes,-125.62271608708897,13.850013241849737,-108.0316201327982,C,E,D,C,1
Yes,Hindu,Mexico,No,-21.230100374522948,101.31853868042259,-32.96019411116557,B,C,C,E,1
Mental,Hindu,Mexico,Yes,-72.84315381092327,10.649020946434803,62.87429437470313,E,A,C,B,1
Both,Buddhist,Brazil,No,7.95061340319886,45.065482131664666,-75.49310097618523,E,A,A,A,1
Both,None,Mexico,Yes,55.73722072445629,131.2242361641838,3.191330201017379,D,E,B,D,1
None,Christian,Germany,No,44.14385464333393,92.5427055011437,21.332247734126515,A,E,D,B,1
None,Jewish,Brazil,Non-Veteran,120.94287330202303,-75.63404205198438,-41.21010944148726,C,C,D,C,1
Both,None,Brazil,Veteran,9.958566248957435,-108.87625016072224,5.030173251220553,D,C,B,E,1
None,Muslim,UK,Yes,107.0169658674018,-11.864438008944827,-159.24977394499896,A,E,A,D,0
None,None,China,Yes,-33.14017844223148,-46.74739584748668,77.47809318439438,B,D,C,B,0
No,Hindu,India,Non-Veteran,-29.98450295195883,-180.60711178667765,-33.81578408212448,E,D,D,E,0
Yes,None,Brazil,Non-Veteran,36.19625610032677,-153.12523978705246,36.410318170950696,B,B,D,D,1
Both,Other,India,No,-0.814019649460139,-7.844602029002306,-86.8458903066912,A,E,D,D,0
No,Christian,US,No,214.29021498943013,-0.8386123047228645,-77.16078231395117,B,A,C,A,1
Mental,Jewish,Germany,Yes,-5.435442337768468,-138.34229044680453,30.369669185008526,E,D,C,A,1
None,Jewish,China,No,130.15376469729293,-124.89833031877534,-28.862938583554627,C,E,B,C,0
Yes,Buddhist,Germany,Veteran,-120.57862041478582,26.024296021421677,87.38948530379652,E,C,B,B,1
Physical,Other,UK,No,9.77143265890376,-61.95835981949479,-30.866700718007944,C,A,A,B,0
Physical,Jewish,China,No,-15.247768985639093,65.74195813030407,-11.250571732339846,E,E,C,A,1
Physical,Buddhist,Brazil,Yes,-155.23128328305808,137.4998176916161,129.84466455605897,A,B,D,A,0
Physical,Hindu,US,Yes,5.087450483461343,-172.354490827529,-14.633879920779542,C,E,D,C,1
Both,Other,Germany,Veteran,-65.45859040486035,-4.128400289259254,86.05905523441685,A,A,C,E,0
Physical,Christian,US,Yes,-129.5201795929647,22.85443960168114,188.47920552990166,E,B,B,C,1
None,None,China,No,68.67286698273635,18.027823237527514,44.117344442743516,D,B,A,D,0
No,Muslim,Mexico,Yes,-245.0371488834703,-137.73148685299083,-48.987502493021374,E,A,E,A,1
Mental,Hindu,US,Non-Veteran,3.1546865880612716,-94.93559637429134,-62.38627179937497,D,C,B,C,1
None,Other,UK,Yes,-50.686315340856034,34.856686703438115,155.44978419204085,A,A,C,D,0
None,Hindu,Germany,Yes,70.7100643546377,-86.34072679758569,28.65548686741396,A,E,C,E,0
Yes,Hindu,Brazil,Yes,139.47850562710445,21.77454411569161,-50.74897545637879,B,D,C,B,1
None,None,Brazil,Non-Veteran,76.06835105385503,-123.88916820585743,-98.11764270696573,E,A,C,D,0
Both,Buddhist,China,Veteran,133.5259418601948,-21.305143459761084,-29.92359968387778,C,B,B,E,1
None,Hindu,China,No,26.462180421392517,22.632033819023913,-54.54310730423189,A,C,D,C,1
Both,Other,US,Veteran,57.809405977232906,306.52594518477076,-176.9187116131666,E,C,A,A,0
Both,Hindu,Mexico,Non-Veteran,88.9931251422881,11.83482353834572,286.8589756688155,A,B,D,C,1
No,Muslim,Mexico,Veteran,-101.68292865835187,-60.96828313327046,-100.36905357712205,A,D,D,A,1
Yes,Muslim,US,Non-Veteran,163.02112180751726,-71.31677255330004,107.16912832106429,E,E,C,C,1
No,Christian,India,Veteran,-18.720551378008174,67.41223041585785,-72.80343335445978,B,C,E,B,0
Yes,Jewish,Germany,Non-Veteran,69.43684796736714,57.47180223978226,-131.0235029333519,C,C,D,D,0
Yes,Christian,UK,Veteran,117.68185097594007,157.49129594364499,53.84344779939757,E,A,B,D,0
No,Buddhist,Other,No,-88.97834965082225,-173.07557902570747,-77.16537412688027,B,E,E,C,1
None,Hindu,UK,No,-163.45256926388993,-188.01274499373037,-132.30399118286675,E,E,D,C,0
Both,None,India,Yes,-212.0096737594284,-46.90831800231112,110.0262335095538,A,C,C,C,1
Both,Other,UK,Veteran,-213.7079936739278,156.02058419060867,-96.66949467979916,A,A,B,B,1
None,Other,UK,No,-14.546962523280465,-2.9989424090189742,83.74348120007666,B,D,C,E,0
None,None,Brazil,No,51.22788599351789,-12.493430977366751,32.27107732071875,A,C,D,B,1
None,Muslim,Brazil,Non-Veteran,35.752328481256015,-83.61329931400864,60.60063712551306,D,B,D,E,1
No,None,Mexico,Non-Veteran,85.7002605529533,20.811505102898025,97.74753071931501,E,A,D,B,1
Physical,Muslim,UK,Non-Veteran,-61.80805541483374,191.03390551247153,-41.435507363142136,D,E,A,D,0
Yes,Muslim,Brazil,Veteran,-125.10387677818755,48.11702559277265,-131.6488247851391,A,E,D,A,1
Both,Buddhist,China,Veteran,-67.4351776195928,-163.98480119658063,-7.387531300006893,C,C,E,A,0
Mental,Muslim,Brazil,Yes,110.46191768153379,-86.48122893367777,15.996321334012128,D,B,B,C,0
Mental,Jewish,Brazil,Veteran,-169.3226439554096,-10.361479818473084,-7.343115161951866,D,A,B,A,0
Mental,Buddhist,India,No,-100.11616952682472,-83.15475524674838,27.44856598218348,A,E,D,B,1
Yes,Muslim,Other,No,26.674989590349117,-196.696838811492,47.767638442310606,A,D,B,B,1
Both,Hindu,US,Yes,-25.771743950647874,-85.14077553676928,-122.11884257997114,C,D,D,B,0
Physical,None,Brazil,Yes,158.62479118250178,-74.82746855319262,68.3140075640662,B,D,A,C,1
Physical,None,Other,Yes,48.187456909177584,-112.75517514775957,62.63064250886444,C,C,C,D,0
Yes,Hindu,Mexico,Veteran,-45.436724148414605,13.088576716623344,2.428283568390677,C,A,D,C,1
None,Hindu,UK,No,-148.3137182215845,-21.339255125947236,-22.08880430186563,E,D,A,A,0
Physical,Muslim,China,No,-5.889313712999134,205.4356978843833,-118.72823951019191,C,D,D,E,0
Physical,Buddhist,US,Non-Veteran,61.001178215913384,-25.635365386394266,-27.481679760710197,A,E,E,D,0
Yes,None,Other,Veteran,-4.375907121645858,-99.95652018962979,-152.35120723423202,A,B,C,A,0
None,Jewish,UK,Yes,-102.24741801783257,-31.648469206039774,182.7005366014724,C,C,A,A,1
No,Christian,China,No,-129.78284904985563,-103.16921845805564,-33.66329726747437,E,C,B,B,1
No,Muslim,Germany,No,151.76541802853401,-232.0183360055551,-204.349323978448,B,E,B,A,1
Yes,Christian,China,Yes,27.11282369322513,6.6940445437881815,-346.45873046628793,A,D,A,B,0
Yes,Other,UK,No,-43.001327189357994,87.17979061859582,-43.693504151077974,B,C,D,D,1
No,None,Mexico,Non-Veteran,13.063448741119027,33.26390471546279,77.69656522833597,D,E,B,A,1
Physical,Jewish,Brazil,Yes,-50.68574827937928,156.14202857500737,-159.1412611926184,E,E,A,B,0
Both,Christian,US,No,-142.18239865327772,-170.96040911297456,-73.1894543765664,A,D,B,D,0
Yes,Hindu,Mexico,No,36.76100643641994,-7.6393224819717265,-92.16518148506202,B,B,E,B,1
None,Hindu,China,Veteran,34.7473634325466,-10.34932770198399,-23.493563081962787,A,C,A,B,0
No,Muslim,US,No,-174.03428671830514,-227.84998041123959,40.51853763257536,A,E,C,B,1
No,Hindu,Other,No,91.19242482502838,166.29505066194295,73.3231174274102,B,C,A,B,1
Mental,Buddhist,China,Veteran,-192.31880464194205,-72.91872482347564,114.4970189500387,C,C,A,E,1
Mental,Jewish,US,No,29.644156747881496,5.625951098115473,77.87109733931098,C,C,A,C,1
Yes,Buddhist,UK,Non-Veteran,-147.60126793708926,-97.22189168043613,10.957119101213223,A,E,A,B,1
Yes,Hindu,US,Veteran,-124.61980404082773,-55.34170391699556,-81.23585771791029,A,D,B,D,0
No,None,India,Non-Veteran,-65.99964083338273,-120.76934434851691,69.88812773489536,A,C,A,E,0
No,Buddhist,China,Veteran,-46.71917996208836,57.385508966918906,-97.99629106093609,E,A,C,C,0
Mental,Muslim,India,Non-Veteran,125.55109056791862,-138.97134049178115,21.15877781174943,B,E,B,E,0
None,Buddhist,Brazil,Non-Veteran,147.4217712831173,-146.8589410926011,31.187580964239608,D,C,D,B,0
Mental,Christian,US,Yes,171.9357622438518,-85.406064576133,20.930120854007946,A,A,B,D,0
Both,Hindu,US,Non-Veteran,84.6241730620498,30.480102455166424,-197.56987170859153,E,A,C,A,1
Physical,Other,Mexico,Yes,2.8488076416233254,-24.640036524907398,-18.405244730220296,C,D,B,B,0
Physical,Christian,Brazil,Yes,-50.412453704809955,84.41446497966282,133.308883403459,D,A,D,E,0
No,Buddhist,US,Yes,-52.74766153302088,4.268050416314286,14.42704323211124,A,B,B,E,0
Both,Christian,UK,Non-Veteran,-20.64496764324842,114.71558236719159,-66.67918944861894,A,E,C,B,1
Physical,Buddhist,Germany,No,98.9605532160525,-135.60460581282413,35.627949309370585,C,C,C,E,0
No,Buddhist,Brazil,No,34.99253639049055,31.210905942929813,-146.56891452237574,A,B,A,A,0
Yes,Jewish,Other,No,-141.6993599233758,88.46853010166043,-62.22068906322858,B,B,D,B,0
No,None,China,No,-66.10345673454039,-1.2996165664234047,4.8594951453353925,D,A,B,E,0
Yes,Christian,Other,Yes,46.55484010550337,-178.55798419301638,-3.0350447779574354,D,E,C,E,1
No,Other,India,Veteran,-99.17763325516601,11.188436485992598,-48.38644696952753,C,A,E,C,1
None,Jewish,UK,Non-Veteran,-218.4154380986512,30.907464368661135,-78.4449718405071,D,D,D,B,1
None,Christian,India,No,11.361289150441452,-62.54419949770777,133.21354078144657,D,A,A,A,1
Yes,Other,Brazil,Veteran,2.3931607468423355,93.65778235372755,47.854598948039786,E,A,B,A,1
No,Other,UK,No,-80.87693733734753,-57.20381318116085,28.826958783400862,E,C,B,D,0
Physical,Buddhist,India,Yes,66.5794212401056,-210.09303302329064,-0.8652330124368166,D,D,D,C,1
Mental,Buddhist,Other,Yes,45.48629570215168,-83.72385171177424,82.62512766812424,E,B,C,A,1
Physical,Christian,US,Veteran,-138.30330643235789,-123.29040126873122,-62.68337649189482,A,D,E,B,0
Both,Buddhist,Brazil,No,-88.09493928697133,-10.236241858366817,13.155937179203944,A,A,D,B,1
Yes,None,Mexico,No,-69.0985498495586,-13.91242480790045,84.10218614963244,C,D,D,D,0
Mental,Christian,Mexico,Veteran,-45.51753818959961,121.42503363344406,51.08342955264086,E,D,A,E,0
Physical,Other,Germany,Veteran,73.87594152136155,80.39677708854373,-49.9054212697612,B,A,E,C,0
Both,Muslim,Germany,Non-Veteran,81.71292399126597,-103.46038206029277,-22.158540360355925,C,A,B,D,0
Mental,Hindu,China,Non-Veteran,102.04662211004272,-91.7504567326325,-15.306712722478716,D,E,B,D,1
Physical,Christian,Germany,Veteran,-0.09493480872048604,88.92690319829487,-21.392090994710234,E,A,B,D,1
Yes,Hindu,Brazil,Veteran,52.348567169450234,111.89062542266083,13.084856715457835,D,B,C,B,1
Physical,None,Other,Veteran,-59.957130846030715,-39.50783188350929,10.562935666687862,D,B,C,D,0
Physical,Hindu,Germany,No,-80.44360496021964,26.877924714826047,76.82860960295706,C,B,B,B,1
Both,Buddhist,US,Non-Veteran,175.55172213125374,85.21921544252864,62.67168638425379,A,D,E,E,0
No,Buddhist,Brazil,No,-155.36214180234796,-208.91726810877228,44.42717673048822,C,D,B,B,0
Yes,None,UK,Veteran,-79.95170244473945,-22.94697858140928,40.38975203631478,D,B,B,E,1
