genero,religious_affiliation,country,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Other,Hindu,Germany,Widowed,A,-117.06637941019333,-165.2532818613066,-16.4339549650558,C,-27.69639466398097,A,B,-50.01595509342711,60.04733040847323,0
Female,Other,UK,Single,B,166.81133048591818,31.59365358728639,-98.33933370107675,C,6.917013999514234,C,B,-144.50613242966844,-47.815861294928915,0
M,Muslim,India,Widowed,B,-7.980528997039498,-15.050146755414909,115.64343695497708,E,52.04795334926593,A,E,-87.19807146111056,-7.621343869465133,0
Other,Christian,Germany,Widowed,A,169.1364379537618,-129.54671012114696,48.780606836394774,B,-193.99282276506634,D,A,57.584710942144355,44.838232271652714,1
F,Jewish,China,Divorced,C,-98.17411830832629,-105.28837413185373,-65.7747344267088,B,-37.140105386837874,E,B,-27.53303841002052,23.23897562265306,1
Female,Muslim,Brazil,Married,D,-74.90360921028991,-80.26591642681099,19.264163878119216,B,62.68771438443892,A,B,76.45626036344491,-76.55922023686061,0
Other,Buddhist,India,Married,D,40.39587111150253,-60.67820157868636,-75.74346398022226,C,90.91833045460426,E,B,-16.141045240995826,139.6622834510021,0
Male,Jewish,UK,Married,A,-31.4380734509598,-16.528122107863783,-163.76021751591148,E,-65.0843081443947,B,A,-60.55942743756536,-246.7344738796493,1
M,Jewish,Germany,Divorced,D,50.2241221058155,76.11279252809464,-144.81851785583345,B,22.750382151637496,A,B,-124.43690656011388,-79.72288732185623,1
M,Muslim,UK,Divorced,C,-51.43126117523046,-55.86974779240547,-77.99286687763059,E,134.53324526123916,E,E,36.93567990565576,-110.19250673342088,1
Non-binary,Hindu,India,Widowed,C,74.70935983211119,93.20911918994068,18.990883915200204,E,142.41633216350976,B,B,39.601623324505184,-4.101252808882185,0
Other,Jewish,China,Married,E,-21.132090482021184,-229.34821255202192,46.481879993137305,D,-103.11401195005526,D,D,46.20509746675366,8.404631171966578,0
Female,Muslim,India,Widowed,C,-5.211817926190263,87.5891672849307,154.5082119400361,B,-2.117396545115533,D,E,-167.24560700593346,68.24394092438752,0
M,Muslim,Other,Single,D,-103.85002543540602,214.39656636808616,131.34892914401064,C,267.85327360858366,B,B,23.915246526356064,181.81329527003402,0
Other,None,UK,Single,D,149.12236126079,34.788827874069526,131.06627417133564,C,121.36176273440498,B,C,-95.27701060346601,-68.86924001101494,0
Male,None,Mexico,Married,A,-70.54260159606878,50.940322419521586,-0.4752147067306128,C,-31.93660359135529,B,E,-73.92625193138885,86.7606703479884,1
Non-binary,Muslim,UK,Single,B,178.04820208506987,26.99375648833053,-62.454114818943495,C,66.2639901645834,B,B,-74.55256319651701,-164.63645100252916,1
M,None,Germany,Married,C,91.9307947960338,124.36234906048334,280.0545585240289,B,52.401333803076625,A,E,-84.09988379804689,-3.009708662354638,0
Male,Muslim,China,Married,B,112.22462491276586,-63.0338862859147,-11.3680228452699,C,110.79183854140983,E,A,-50.15107233075686,149.123919570064,0
Non-binary,Muslim,Germany,Widowed,D,-108.05740544002569,146.3309034754005,40.119150172577875,C,30.82290303919686,D,E,-103.61595923049933,-49.78649627642314,0
Other,Muslim,Other,Married,D,107.67658158424555,-281.17284857957657,8.989447386099226,D,-11.267302817366495,C,B,70.66876778329446,-37.66022046841325,1
Male,Muslim,Brazil,Divorced,B,-93.8442883892047,21.25380379162235,45.94952129753621,B,-139.00318370280974,D,A,113.28042732747528,93.11197016628401,1
Male,Hindu,Other,Married,A,6.8894694056384305,-97.17949825202267,48.07541830437017,B,20.06724391588765,D,D,16.049071198114863,-68.57002898923199,0
Male,Other,China,Married,D,88.20022086594508,-8.623564974589232,-10.868868535851554,A,-1.2647698729978012,A,E,30.902327040235804,-56.50412519160862,0
Other,Buddhist,Mexico,Single,D,53.70702508264379,3.02331025320064,-103.38992122792364,D,-82.99238749993432,D,C,-13.88257049250348,35.558570488569444,1
Other,Jewish,Brazil,Widowed,B,-70.96806293845384,-6.600411153914227,104.40283975685946,A,-84.0751237805638,C,B,2.794647597558797,-82.29251993655879,1
Male,Other,UK,Single,D,176.44894627912035,19.78197459804779,125.52336400135957,B,146.61523448088502,B,B,33.91034690280879,-3.2966406486284408,1
F,Christian,UK,Divorced,A,-63.22753814054786,63.83486282929376,-37.300830838569816,A,-29.760228429328766,E,A,7.1099377780948325,125.43954114095803,1
Male,Christian,Mexico,Married,A,12.931324858286564,174.73630478438324,-18.19191503085796,E,176.44971726168893,B,E,84.19328972362665,111.36188164201614,1
M,Christian,China,Married,A,-87.92322824227917,7.4213449825008535,46.832183583699404,E,-3.9356856032310454,B,E,-164.74902215661777,19.786806340989752,1
M,Other,Germany,Divorced,C,87.95251496681549,3.429045739610945,-153.74172278892758,A,-18.252742430431063,D,B,-146.0118786026514,164.43255381535224,1
Male,Buddhist,Germany,Widowed,E,63.25247095702768,-119.18176520029384,37.27469595648504,B,-121.54397516119883,E,B,50.83214418118608,-51.89089765507128,0
Female,Jewish,UK,Divorced,C,-169.25517883566764,-166.34925638004668,89.05547683146261,E,22.408946901586646,E,C,37.776756412870455,-131.2597763611398,1
Other,None,US,Widowed,D,243.59059846091037,-104.37072220034582,92.30266226397761,C,31.148305923631952,A,C,19.934026341262452,-171.49139221000618,1
Other,Muslim,US,Married,A,-49.195911463719646,60.356978111414804,-8.93223537173736,A,-68.98459908685311,C,A,94.8862686965285,-163.79473979644658,1
M,None,Other,Married,D,249.8291289136417,24.28950005356168,-99.13060790546646,B,42.202783665462206,D,C,22.676778114789172,96.15448497628594,1
Male,Buddhist,UK,Divorced,A,117.70323469921999,-115.26361909328277,-61.09539585085927,C,-40.16632167321631,D,C,-56.36371214882235,54.80523712584598,0
Male,Hindu,Brazil,Widowed,E,89.17198559076836,-230.45728441351528,102.9766940433074,E,-137.7046156209866,E,E,-59.15885181775429,-131.746059644324,0
F,Jewish,Other,Married,B,-81.98082193843365,214.75674875849666,-122.59929873461613,C,63.396937188971194,A,C,14.133353914648975,-8.769025788137704,0
Other,Christian,Other,Widowed,D,-18.323270979620684,132.49218648417573,-126.55110373091063,D,-160.82084168178827,C,C,-166.91776723227753,-67.5274268511793,1
Non-binary,Jewish,US,Widowed,C,53.20685241811947,62.40693772821857,129.60980450049294,B,9.447153742270553,D,B,60.87897308625914,-21.95547066470672,0
M,Other,Other,Widowed,B,-2.5227838085806065,111.36394180821637,257.8585392357015,B,-97.92810867923134,D,B,-129.91859980902345,-73.49059194048247,0
Female,Other,Mexico,Widowed,B,-32.70256505199187,30.95288979982388,-5.696927217293565,E,86.26725808689186,A,E,-1.0260946076732358,-82.1885017804666,0
M,Christian,US,Single,A,-78.63405040242338,39.110728093853346,-65.71284720479335,D,65.87796005789436,C,E,-141.3365421411772,-22.3870830604655,1
Male,Muslim,Mexico,Widowed,A,-57.04755790941453,-58.90614354964781,-155.17386595356197,E,-97.50800510164214,A,E,61.21064048841429,133.50951599787473,0
M,Buddhist,UK,Widowed,D,139.9845527454482,96.54499391135755,88.78360248984652,C,-68.90833382577397,A,B,35.26893703284241,96.54710705602967,0
Non-binary,Hindu,US,Widowed,C,-131.49765913891528,-112.98000932618567,69.36799940728574,C,-15.991441814185281,D,A,-133.56153655099553,-4.154132701939181,0
Non-binary,None,Other,Single,B,-55.32412701110293,-11.182854625955462,-1.3597208314137597,D,60.04508278473145,C,D,-11.250616566430287,-28.128810063575887,0
Female,Buddhist,India,Single,E,80.23937704452433,64.50655164143564,95.68378638200909,D,-2.4519803749496973,C,A,-99.47185777669772,102.37298564563626,1
Female,Christian,US,Divorced,D,156.94165569691097,-75.74030187464619,-280.63102067093644,C,-143.15543057395988,D,D,173.63285748140396,-90.31971255585192,0
M,Hindu,US,Divorced,E,-21.155153796208058,-38.87815033547587,109.33560132503214,A,-125.42724626686183,E,B,60.71983479227795,65.60400008635627,1
Other,Other,China,Widowed,B,-108.13628805751061,133.69775873638895,-128.63660010554014,E,236.503869961189,E,D,37.13557982033596,165.77190171770366,0
Male,None,Other,Married,A,-5.447500796563569,30.44880061742396,-149.65059531988467,B,-70.17967192190389,C,B,-93.08948985711811,31.539571983307162,0
M,None,UK,Single,E,20.916779805942944,53.62120000616915,106.30548656987034,D,22.177505677785202,B,A,36.5046505640256,11.244567454929005,1
Other,Buddhist,Other,Divorced,D,70.8509132868934,42.595216208018336,107.78777928051437,A,-0.17646900766149598,C,E,-50.133355319417525,-11.797884667540119,0
Non-binary,Christian,China,Married,A,105.02317636718652,-73.3829198399023,-52.931546114587846,A,104.53771958881381,D,A,7.028966029369162,-44.426916910585156,1
Non-binary,Other,Other,Widowed,B,6.079670099357063,23.1595787403218,114.9140352973969,C,84.22313150896268,D,E,54.735802489000704,6.976036252946346,1
Male,Christian,India,Married,D,-215.0214695694472,-13.978626128132271,-77.53301604915231,C,-0.6524877434876649,D,A,-169.51697272067761,-12.566555148703737,0
Female,Muslim,India,Widowed,A,43.292532909150864,-41.61813670641907,230.45232179329872,C,-10.610532238988855,C,A,153.62912895382522,-34.492581054778576,1
Other,None,Mexico,Single,B,-70.65251799222496,-34.73540098588329,106.74248636359822,E,66.54907037405954,A,C,-200.00606749440473,65.5152513562723,0
Other,Jewish,UK,Divorced,D,-2.233209257308145,-139.319808897298,74.52067692697322,A,-0.08173740486878989,C,D,62.354388052307044,-184.75459672823342,0
M,Other,Other,Married,A,180.86236702121298,90.07307997062523,-89.47981265151948,C,173.27963651453433,E,B,-10.797398221370644,-21.545779643093752,1
F,Christian,Germany,Widowed,C,-239.61047518257942,103.83666826407958,4.436174010225665,A,-43.50878960218887,A,A,-183.30946172469316,3.2130135894201475,1
M,Buddhist,India,Single,A,-100.45533121370376,182.08431812936723,-26.223078870060522,B,-12.304352482111286,E,B,79.57615977770855,-2.704802301706385,1
M,Jewish,US,Widowed,A,-84.2357971512111,-125.20833366994732,1.5564051905052276,B,4.733363328787873,B,A,-147.90747679557325,121.76372254257646,1
Other,Hindu,Germany,Single,A,145.83140226090833,55.72678886551729,103.59895379592561,C,-296.9983892701306,C,D,-248.93100324755872,-29.532809426873065,0
Male,None,Brazil,Single,E,0.7341357058147617,-116.63489278213981,91.63854753424164,A,-44.170847159037294,E,E,66.63631308015928,-63.64985652620756,1
Male,Christian,UK,Widowed,D,-24.59910598782547,-131.6646320270245,62.670464398675385,A,-154.18414890577867,C,B,-171.02077921844347,-7.3348244687107895,1
Other,Muslim,Other,Divorced,E,-48.70750003862842,99.36318776890221,-60.31737573349674,E,-78.98343496111839,D,C,-20.552538789944087,146.20189144657846,1
Female,Jewish,Mexico,Married,E,-172.7079443721118,40.668189881021576,158.2701124472748,A,-83.68903156553338,C,C,127.13893620589664,-86.64306259330048,0
Female,Other,Germany,Single,C,37.060049391400135,63.578433733521535,62.82506214198702,E,67.96151240452133,B,D,-20.315315258945464,21.3602915553701,0
Other,Buddhist,UK,Single,D,71.05335876986273,88.92567169865279,-43.79478044733729,B,-83.07290145118672,D,E,140.21254646957317,44.51503626559577,0
Non-binary,Muslim,Mexico,Widowed,B,82.61810556301336,74.83781537259537,10.728477627641766,A,-219.11857276893244,C,A,6.359159382778663,189.9216220772803,1
Other,Christian,India,Single,E,-72.6613855342421,-110.34780820232466,2.850430376737572,C,-58.04964636307254,D,B,-21.302195571116027,136.54339765141802,1
F,Christian,India,Single,C,-168.99299230131717,168.3483355629533,-157.72658164114307,D,47.37519659857563,E,D,-217.01537583838052,35.92181141784585,1
M,Christian,India,Divorced,C,58.74908653798481,-40.24237828916593,189.72777247629227,D,-65.1829548515327,E,C,-35.01010670976665,-44.52163049316521,0
Female,Jewish,Brazil,Divorced,E,-14.616883513377152,97.10667597833002,6.824912185723514,E,-154.83130567448947,D,C,41.6319317589603,32.561197731053355,0
Male,Other,Germany,Married,A,67.0010864367825,-49.303319871208544,-64.3520101458944,B,-89.596605817174,A,A,171.63279437608853,-23.286775791511094,0
Other,Buddhist,China,Married,E,125.34237539679845,-75.74748219172707,7.649110999519984,A,-82.94531556926617,D,C,73.42267568562905,83.88469949065373,1
Non-binary,Other,India,Divorced,B,-158.3776833615524,-27.23010602554728,-58.62859518426302,E,2.4742054833132547,A,D,29.72292222605303,-27.50208081368848,0
F,Other,Other,Widowed,C,93.31488018677301,73.04521144500004,60.66139170589938,C,-101.17961153964951,B,B,40.097614864418475,-84.63749422971387,1
Male,Hindu,Brazil,Divorced,A,-59.048761246557156,-36.637772693900125,25.700858873247622,A,-47.755076207826605,B,D,0.7328556329300987,-58.8813949941896,0
M,Hindu,Brazil,Divorced,A,-125.3661240358599,-163.49479186335236,19.083098938367506,C,127.65493580726034,B,B,188.35439333998707,-90.4178554378659,1
M,Christian,Brazil,Married,B,10.177894487414365,-16.02629967489413,144.5992966588045,E,15.764917583343083,D,A,-88.0189437793148,90.30894853675863,0
F,None,Brazil,Widowed,D,-115.40607560267253,-8.959375914394924,-93.96473608682945,E,-24.384251352899692,C,D,47.14585565726923,-36.93313371496155,0
F,Jewish,India,Widowed,E,30.83053871160762,147.25793147094797,-48.94332793183331,B,-115.80195887541036,E,B,-48.899070247835,104.33393259387218,1
Male,None,UK,Single,A,-44.52474189714241,-204.75222630309116,83.29621260648797,B,163.51518208635144,C,D,25.53769961688494,74.69659010569222,0
F,None,Other,Married,A,15.586248875810716,-193.7259304212791,-66.61538853350494,E,-6.540076326959767,A,C,126.07656954676297,-157.6564412432734,1
M,Muslim,India,Single,D,26.15969157378526,42.680793999938906,13.607781332478929,C,-137.8022434419728,D,C,-120.24918369877398,163.31570952823367,1
M,Jewish,Other,Married,C,-106.400820536178,-128.60923595966142,-91.8132226481603,E,27.65284284183717,C,C,-13.455406249086513,82.81474794838358,1
Non-binary,Hindu,UK,Divorced,C,-125.07549776668247,23.453965766861813,-37.08365692753605,B,-46.36754695479808,E,B,-65.13785823448495,-19.284378540905713,0
Non-binary,Hindu,Mexico,Divorced,B,-10.573283248326728,27.687184753339434,-238.70842121663807,C,-49.82434191204882,B,E,64.88686737363928,57.769666811717734,0
Other,Hindu,Other,Widowed,A,7.510860977678743,5.482623750054869,-64.80742420527845,D,-84.96558025067668,D,E,118.5743961580854,-1.1959296432252313,1
Male,Muslim,Germany,Single,E,151.88428772232442,210.5733454855005,-204.6897309457379,E,84.2001039477059,B,A,96.77603552787353,70.47067453796484,0
Non-binary,Buddhist,Mexico,Divorced,C,-116.88472624728384,-146.12050365150864,-87.58413098433807,E,34.17037681126956,E,A,169.1978816706799,-61.66574092447251,1
M,Buddhist,China,Divorced,C,1.72722076226862,62.8297070245765,-24.49728267836642,A,-89.88464959965484,D,B,-271.2156963100827,210.50585793450637,1
Other,Other,Germany,Divorced,D,30.273946747673016,-46.753524443645944,74.70256827458026,E,-199.20041321738645,A,B,77.86664889495786,62.59244955720257,1
M,None,Germany,Married,B,155.64127406568477,34.27255560462418,-25.009190206784034,C,90.01778310160402,E,C,-104.64558291862545,-38.5184999806167,1
F,Jewish,China,Single,D,12.72220322552992,-20.561293759803274,112.52251621881524,E,47.390019295232435,B,A,172.68866309215895,-120.609037918934,0
M,Other,US,Widowed,C,126.70616028816579,-86.5917955049098,-82.06227076365494,B,33.96784342463797,E,C,-7.141652866650243,-1.0390313029339133,1
Female,Other,China,Widowed,B,40.991370622757486,-67.0323383513328,-2.9033571614256957,B,-42.13355647902712,D,E,15.356314857824527,2.963709930028869,1
F,Muslim,Other,Single,C,32.36594671540123,-55.88054020295499,23.482199437797043,B,14.660102812851058,D,E,123.75543696031883,33.453174772786646,1
Non-binary,Muslim,China,Single,D,49.6486135744519,138.7332854016379,-78.92464800260797,A,35.81015601411467,B,E,-63.2320822237848,49.389124441288736,1
Non-binary,None,Brazil,Married,E,-46.73831475389115,30.334547589944698,-125.90093991272407,C,-131.08281226902938,C,E,-187.1927703392182,-10.988914149869213,1
Non-binary,Christian,Brazil,Single,D,-14.882708837289046,11.059587410874522,93.5136402952304,C,58.250855977521375,D,D,-76.29246948261887,-56.69166682342743,0
Male,Hindu,India,Divorced,E,51.60927708279666,-23.29128194190592,-109.36404318829318,C,-68.051483850031,A,A,-83.04937171832279,-25.37595976387102,0
M,Other,Mexico,Married,E,37.16885953663901,16.390818014691455,28.48507233653168,D,107.99969624124886,C,C,-112.50146354926385,-42.50905100371335,0
F,Hindu,Mexico,Single,D,110.98143593830055,-35.270832651357054,-108.8693470637822,D,-133.21207699425668,A,D,12.005673946338398,-41.461519663385594,1
Female,Jewish,Other,Widowed,E,137.91599848452717,-68.99302928200731,12.610499630872669,C,-22.005613032233633,E,C,55.54064298488226,-28.39696064268769,0
M,Buddhist,Brazil,Single,D,94.22060126323497,-31.94575099976293,19.906742851237027,C,25.98552532496149,C,D,47.801409872214364,-130.98119877941096,1
Non-binary,Christian,Brazil,Widowed,C,19.456136175949368,98.6923499443146,17.160215290985693,A,-33.598640343975646,B,A,-79.68047515888276,35.28116157079978,0
F,Buddhist,UK,Single,B,108.14537399752346,191.2444153336761,-161.53699928207018,A,54.45752000929194,B,D,63.312442275113014,-236.08083583707273,0
Male,None,China,Married,A,50.91257759358041,-49.19612004818755,32.07394062127991,D,100.11370851075164,D,C,-44.7340131397125,-89.3578578046548,0
Non-binary,Hindu,US,Widowed,A,82.13531278708271,-1.7098553888607513,45.027149305535595,D,-31.761838058185806,C,E,-187.53704774924196,169.73516931805514,0
M,Buddhist,Other,Widowed,B,101.15603842537195,-413.1754859684195,32.490194761035525,A,80.27900282688053,C,C,-35.260936268304185,127.26669974772373,1
M,None,China,Married,B,30.59551193953712,63.741621598145,70.28396171205497,B,-48.473930484563176,A,B,-89.72293682458599,-175.1689844837116,1
F,None,India,Widowed,D,4.697778706998075,-9.117285273989609,-29.42884088140661,A,-36.170839152196486,B,B,-45.31822685965773,49.357056445295584,1
Non-binary,Jewish,China,Married,A,-203.8916758599354,-17.30407067566169,13.191271253821487,B,-204.52872315568715,E,D,-202.01575611227213,15.024265490232752,0
F,Buddhist,China,Married,E,-166.23415494395394,24.95449055680173,-15.892021282771601,C,-255.02272993595673,A,E,153.05691658498205,-81.90601753098443,1
F,Jewish,Other,Widowed,B,100.74901978086275,72.71371563515791,-19.3474010163577,B,102.1321160142318,D,E,190.10650604380538,-45.4360967347278,1
Female,Hindu,Mexico,Widowed,A,100.24202658299319,-104.3019264404435,86.37713727929399,C,13.131478051088713,B,D,-71.27592190475407,14.58697702905895,0
Non-binary,Jewish,Other,Married,E,119.96031974067618,4.260634897055684,-204.91625965663712,D,-89.72582022400417,B,A,-27.30455076426385,-33.0527897443839,1
F,Buddhist,India,Widowed,A,-52.25042111769225,79.28520485388167,23.667481746250957,B,-79.48251494684472,E,D,-337.36187621508276,5.245396433318682,1
Non-binary,None,US,Married,E,-116.6499367659243,87.65231523099557,-106.89684459216903,B,-112.24261997108947,B,D,85.55862076746322,-32.7689664865856,0
Other,Muslim,Other,Married,E,-88.49786627890803,-68.64674006022018,10.671423142372202,B,76.69911205552316,A,A,60.931108400222215,8.422099994987336,1
Female,Other,Mexico,Widowed,C,-34.49120780766612,60.33765661270804,191.74256639682037,C,137.70189192214139,B,A,35.1761389280087,3.9818798675069806,1
Other,Jewish,China,Married,E,3.266089960389651,-181.5912255852619,-8.495339461943024,C,175.49138193626055,D,D,-170.1182813782397,-182.70585534122876,0
Female,Hindu,US,Married,A,50.027402416141484,126.48377773935144,174.7939597897124,D,-89.19003512674962,A,C,76.68273195169485,-21.1633279176705,1
F,Other,India,Single,D,-121.00001661180393,-108.23431897720157,-54.418220561907525,A,82.44898385405496,B,E,83.65500399733813,68.97761830241406,0
M,Buddhist,China,Married,D,-56.32400783949751,-74.01078515866786,55.2457731457775,B,-91.69496585686299,C,B,-142.95441659922497,10.934670222490418,1
Non-binary,Muslim,India,Single,C,207.76059366555097,84.45487123716016,110.14413984712688,D,-98.61360344667969,B,C,-51.65285504110281,-2.8111396937332422,1
Other,Christian,China,Widowed,E,59.53875328170507,43.988483628645334,-115.13480922920378,C,-33.61931912315857,C,C,103.23246697478157,45.35837798039505,0
Other,Hindu,Mexico,Married,A,31.449644371028622,-127.61604523671947,28.339078142990903,E,245.1113559678932,D,E,158.96576385035317,-146.02305384435158,0
Male,Buddhist,Germany,Married,D,1.2001294665435465,-29.20695048081977,5.569147919724365,C,-72.68952271421819,D,D,-7.768163491799858,83.00656678374231,0
F,Buddhist,Germany,Widowed,B,-89.35875037511047,6.288447576448925,-28.693608769330986,E,-220.52661422828953,C,E,51.62182406429555,-89.78818867081684,1
M,None,Germany,Divorced,A,90.7628059166145,91.25609574449281,1.9878479971461278,C,-98.08841667196786,B,A,-155.018147764439,199.77750155548236,0
M,Hindu,Germany,Divorced,A,-125.36345341902404,0.5926257606861478,42.63320488377445,D,-56.70303072601204,E,B,-21.652272269842186,-70.51300254935315,1
F,Jewish,Other,Married,D,115.60385995515526,-193.75581853090333,-83.73647673245137,D,-110.23434264767897,B,A,39.04212359924343,-49.08330712644198,1
F,Christian,Germany,Married,A,53.64937595784269,-129.86998271455775,119.53616435614047,B,32.201124709977776,D,B,-102.0012018967456,-151.91574936946486,1
Non-binary,None,Germany,Married,B,-9.436002676911524,-5.517355336117088,182.64342161651683,C,39.15038745818042,B,A,-76.32943785101696,-51.20539226420101,0
F,Buddhist,India,Divorced,A,120.57870713950666,46.07073206654725,24.45418324608037,C,16.527107268960975,C,C,-97.71714998759539,-242.58038419071332,0
Female,Other,Brazil,Divorced,C,-114.55852907014913,-66.10970502323198,123.82752747863704,D,-108.50646247358047,A,A,-60.84081746680998,28.15722976456666,1
M,Buddhist,Other,Married,D,113.93606824327091,34.37454214818382,119.77754070002837,C,22.462233287978524,C,D,-248.4327311850897,124.64563932180603,0
Female,Other,Other,Single,A,-226.2689879216245,48.78269703642297,39.634955008919775,E,-11.51026102385555,B,A,-24.7778338572683,-114.34280966665675,1
Male,Hindu,Other,Widowed,C,-240.12867483317555,102.71408955887502,-6.499029415487079,A,-15.336472543909679,D,D,-104.65493394608896,58.358932355240825,0
Other,Buddhist,Mexico,Divorced,E,-137.10761260881114,13.869425565470062,208.0286016539481,E,-9.40241822201055,E,B,184.5454224787639,-52.28198055763569,1
Female,Christian,Mexico,Divorced,C,294.7276857993432,-42.52476666345169,30.09514846189154,B,112.51542879039995,B,C,-29.106080192614105,50.198901530801535,0
Other,Buddhist,Other,Divorced,D,-52.4020458192137,124.20801903041094,104.69123941905023,C,-61.63889865154088,B,E,-143.52611533436666,-54.52598380800844,0
Other,Other,US,Divorced,D,30.853176101140107,-7.05252101044826,-30.273142491895218,A,21.809680096278367,C,C,70.97891579610783,-16.823772766148885,1
F,Buddhist,China,Married,B,-75.61799640539594,67.10541702419584,180.111387074764,A,-17.305747639294054,D,D,-99.96150356037546,145.0098282887352,0
Non-binary,Christian,Mexico,Single,B,-94.77427282792658,128.73268415723948,125.87761486930735,B,164.30610147345422,D,A,-20.772175860740344,117.31516740690964,1
F,Buddhist,Brazil,Married,B,-0.4070344243838976,26.382701547543654,-79.90062113960744,D,-41.50785718494892,B,D,47.49734688808559,-125.9598887255895,0
M,Jewish,Germany,Divorced,C,-70.28372177757186,-30.57835436361011,-71.06197449671232,D,-148.3798061308842,D,D,-19.648814404786417,-10.091530876059721,0
M,Jewish,US,Divorced,D,14.04297197658714,-25.065499780462925,-2.699057551983141,A,65.0116550470498,C,E,27.233510071186135,137.59021560554402,1
F,Other,China,Divorced,D,121.68932748928273,-37.16320264128889,-30.717534336419504,A,59.05112040029387,B,C,-5.718681401172577,-6.037072871551678,0
F,Muslim,Germany,Divorced,A,44.05002335633787,-50.710547070582976,58.63119143695733,B,45.96341902535354,A,A,-128.40492661999397,-221.06537439667053,0
Female,Christian,China,Widowed,C,6.963893068222214,-137.42901290275205,-168.72089853692842,A,25.17041261973337,D,E,27.253698159472243,-132.93680414967912,1
Other,Muslim,UK,Widowed,E,54.322960043314296,55.74293266983816,30.25842709580353,E,-177.54883935432167,C,A,45.28246952689319,48.920902010667334,0
Other,Christian,Brazil,Married,B,39.344252916932625,204.36174759985443,-121.9469728381016,D,120.84972125039396,E,A,11.274291460139306,-0.8696150460518841,1
Female,Other,Mexico,Single,C,-72.79490007171707,-188.9336202560735,-86.57976095016818,B,87.45821507411198,C,B,-24.573953329958336,-41.766924516266215,0
Male,None,Brazil,Married,A,120.23915768206115,-2.1673202695658658,-24.794365772066584,C,-49.7686211320229,A,C,149.1326935835628,137.3695176120196,1
Other,Other,US,Single,A,115.88680423257351,44.00277421421291,64.88402816245257,A,146.32092875063856,E,D,15.711749090570715,105.5710440932744,0
