country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Germany,E,B,C,C,E,B,E,0
UK,A,A,D,B,C,A,D,0
India,A,A,A,D,D,B,E,1
UK,C,A,A,C,C,A,E,1
Germany,A,B,A,C,A,E,C,1
UK,A,A,C,E,C,B,C,0
US,B,D,E,C,E,B,E,1
Germany,B,C,B,B,E,A,C,1
India,A,D,C,B,E,B,E,0
India,C,A,A,C,D,B,A,0
India,C,B,D,B,C,A,B,1
Mexico,D,C,E,A,C,B,A,0
India,E,C,B,A,B,B,C,1
India,D,E,A,D,C,C,A,1
Brazil,E,E,D,B,C,D,A,1
Mexico,A,E,B,B,D,B,B,1
Germany,D,E,B,A,D,D,B,1
India,B,C,A,B,D,E,D,0
UK,E,D,B,E,E,C,C,0
India,E,C,C,D,B,D,A,0
China,C,A,A,E,A,B,B,1
China,D,D,C,C,D,A,B,0
China,E,B,D,A,D,D,E,1
UK,E,A,A,B,A,B,B,0
UK,C,B,C,C,B,E,B,1
Other,E,E,A,B,B,A,E,0
Other,B,E,A,D,C,E,E,0
Other,D,A,D,C,A,C,B,0
China,A,C,B,A,A,D,B,1
Brazil,C,C,A,D,C,A,D,0
Brazil,B,C,A,E,C,E,D,0
Other,D,D,B,A,D,A,E,0
Other,A,D,B,B,C,B,E,0
Germany,A,A,D,B,D,C,B,1
Mexico,E,D,E,E,D,A,C,1
Other,A,C,B,A,D,E,A,0
India,D,C,E,A,C,D,A,1
India,C,A,B,A,C,B,E,0
Brazil,D,D,E,A,B,B,B,1
Germany,B,D,D,B,B,B,B,1
China,E,E,A,A,C,B,C,1
Mexico,E,E,A,B,B,D,D,1
Mexico,D,B,B,D,E,D,C,1
China,B,C,D,E,A,A,A,1
Mexico,C,B,A,C,B,A,D,0
US,D,B,E,C,B,D,C,1
US,B,E,E,D,B,E,C,1
Brazil,B,B,E,E,C,B,D,0
Other,A,E,C,A,D,B,D,1
China,E,C,D,A,A,D,E,1
Brazil,A,A,D,E,D,A,E,1
India,C,E,D,E,C,A,D,0
Mexico,C,B,D,E,A,E,B,0
US,E,B,B,A,C,E,E,1
Brazil,B,C,C,C,D,C,C,1
Other,D,E,A,D,D,E,C,0
Mexico,A,B,B,A,D,A,B,1
Brazil,E,C,C,A,A,E,B,0
UK,B,B,C,B,A,E,A,0
Mexico,E,B,B,D,E,C,A,0
India,E,B,C,A,D,B,D,1
China,E,E,D,E,B,B,E,0
Mexico,A,A,D,E,B,E,A,0
China,B,B,B,B,D,A,E,0
Mexico,C,C,A,E,B,D,D,1
UK,C,E,D,A,A,D,E,0
India,E,A,B,C,A,B,B,1
Brazil,A,A,B,D,E,E,D,1
UK,D,B,C,B,A,E,C,1
Germany,A,B,A,E,A,B,B,0
US,E,B,B,E,B,A,A,1
China,C,C,A,E,D,C,B,1
US,A,C,A,E,A,C,C,0
Germany,E,E,B,E,B,B,A,1
UK,E,A,E,D,D,A,C,1
China,A,C,A,D,E,C,C,1
Other,C,E,B,A,E,A,E,0
Brazil,D,A,D,E,A,C,B,1
Brazil,D,A,D,B,C,B,E,0
India,B,D,D,D,B,E,B,1
Brazil,E,E,C,D,C,C,D,0
US,C,E,D,C,B,E,E,0
Germany,B,C,E,D,A,A,D,0
Germany,D,A,D,D,D,D,D,0
US,A,E,A,D,D,E,B,1
US,D,E,E,E,C,C,C,0
Brazil,D,A,A,B,E,B,B,0
Brazil,C,B,A,A,B,C,B,1
US,D,D,E,D,B,D,B,1
Brazil,B,A,B,E,A,A,B,0
US,A,B,B,C,E,D,E,0
Mexico,D,B,A,B,A,E,A,0
Mexico,C,D,E,A,B,B,E,0
China,C,B,A,A,A,D,D,0
Brazil,B,D,E,D,A,C,E,0
China,A,D,C,C,D,D,D,0
Other,D,A,A,D,D,E,D,1
Germany,D,D,A,B,E,C,C,0
Mexico,B,A,E,C,A,D,D,1
US,A,D,E,B,A,B,A,1
Germany,B,E,E,B,B,D,D,0
India,C,D,C,E,C,B,A,1
UK,A,D,A,C,D,E,B,1
Brazil,B,A,E,B,B,A,A,1
Germany,A,D,D,D,D,D,D,0
Mexico,C,E,C,D,D,D,E,1
Germany,E,A,D,A,E,E,E,1
US,B,C,A,E,D,C,A,1
India,B,E,B,D,A,C,B,0
Brazil,A,B,B,D,D,C,D,1
Brazil,B,A,A,E,B,B,C,0
Germany,A,C,A,C,E,A,A,0
UK,D,D,A,E,D,C,C,1
UK,D,A,D,A,B,A,E,0
Brazil,B,A,E,A,C,A,D,1
China,C,B,A,C,E,E,D,1
UK,E,D,A,D,E,C,D,1
US,C,A,B,D,A,D,B,0
Germany,E,E,E,A,C,D,A,0
UK,A,B,C,E,C,C,B,1
US,B,B,B,D,C,E,C,1
US,B,C,E,E,C,E,C,1
US,D,A,B,D,B,C,D,1
Other,D,C,A,A,A,C,E,1
UK,B,C,D,D,E,E,D,0
US,B,E,D,C,A,D,C,0
China,B,C,E,A,D,C,E,0
UK,E,C,E,D,C,C,C,0
Mexico,E,C,D,A,C,E,E,0
China,D,E,E,E,D,E,B,0
India,A,B,A,E,E,A,E,1
Brazil,C,B,D,A,B,D,D,0
US,D,D,B,B,B,E,D,1
Brazil,C,B,B,D,B,D,D,1
UK,E,C,C,B,C,C,B,0
China,A,B,A,C,A,E,C,0
Mexico,A,C,B,E,B,E,C,1
China,E,B,D,E,D,D,C,0
China,C,A,D,A,E,B,D,0
Germany,A,A,E,A,C,A,A,1
Mexico,D,B,A,E,B,B,E,0
India,A,D,C,E,A,D,A,0
Germany,A,C,B,C,C,C,D,1
Mexico,A,B,E,C,D,B,D,0
Brazil,D,C,A,B,B,D,A,1
India,D,C,E,B,A,E,B,0
Other,A,B,D,A,B,D,A,1
Mexico,B,C,C,C,C,D,D,0
US,E,C,E,B,D,B,D,1
India,A,E,A,C,E,B,D,0
China,D,A,C,D,B,E,D,0
UK,D,E,A,A,E,B,A,1
Brazil,C,C,B,E,E,A,B,0
Mexico,A,C,D,B,C,C,B,0
China,E,B,E,C,C,C,C,1
Mexico,D,E,B,C,A,B,B,1
Brazil,D,C,D,C,E,D,D,0
Germany,D,D,B,A,B,D,E,1
China,A,B,A,B,D,D,C,1
Other,D,C,B,C,A,D,C,1
China,E,E,D,A,D,D,E,0
US,A,B,D,E,D,C,C,0
Other,B,D,D,D,B,C,E,1
Mexico,D,E,E,C,C,E,E,0
US,D,A,D,A,D,E,E,0
Brazil,D,B,B,B,A,C,E,0
Germany,E,C,B,E,D,E,E,0
US,E,A,B,C,C,A,E,0
Brazil,D,A,A,D,A,C,E,0
Brazil,D,E,C,D,B,D,B,1
China,B,E,D,E,A,C,D,0
Brazil,D,E,E,B,E,D,B,0
US,E,D,A,E,E,D,B,1
China,B,A,E,A,B,A,B,1
Mexico,D,B,E,A,A,E,D,1
Germany,B,C,E,B,C,B,A,1
US,B,B,D,A,A,B,B,0
Brazil,A,C,C,E,C,B,C,1
India,A,D,E,D,A,A,A,1
Other,E,A,A,D,E,E,A,1
India,E,C,C,D,D,C,B,1
Brazil,D,C,C,D,B,D,B,1
US,E,E,A,D,B,C,B,1
Other,A,E,D,E,A,B,D,0
China,D,B,D,A,D,C,C,1
Brazil,C,B,E,C,D,E,A,0
China,D,A,A,B,D,B,D,0
Germany,B,B,E,C,D,D,B,1
UK,A,C,C,C,C,E,E,1
Brazil,E,E,C,A,B,B,D,1
UK,C,E,A,A,B,C,D,1
UK,E,E,D,D,B,E,A,0
Other,D,C,B,C,B,D,A,1
India,A,E,C,C,D,A,E,0
Mexico,C,A,C,B,E,B,C,0
Brazil,C,D,D,C,D,A,C,1
UK,B,E,E,B,A,D,B,1
Germany,C,B,A,D,D,D,B,0
China,E,E,C,E,C,C,A,1
China,B,C,B,B,E,B,C,1
US,C,D,A,C,D,C,D,1
China,E,E,A,A,E,D,A,0
Mexico,E,C,D,A,D,B,B,1
Germany,E,E,C,E,D,B,E,1
Germany,D,C,A,A,D,E,D,0
Brazil,C,B,D,A,B,D,C,1
Brazil,D,D,D,A,B,B,D,0
UK,A,C,E,B,A,E,E,1
Mexico,B,C,C,A,A,A,E,1
China,C,C,A,D,C,D,D,0
UK,B,C,C,E,C,A,C,1
US,D,B,A,A,B,A,A,1
Other,E,D,A,C,D,E,D,1
India,E,A,D,D,C,A,D,0
US,E,D,B,E,E,B,E,0
India,B,D,D,A,C,A,B,1
Mexico,B,A,E,D,A,E,A,1
Brazil,B,E,B,E,B,C,B,0
Brazil,D,A,C,E,D,A,D,1
Brazil,A,A,D,E,E,E,B,1
Other,C,D,E,B,A,D,B,1
Mexico,A,A,D,A,A,D,C,1
China,E,D,B,D,D,E,A,0
UK,A,D,C,C,D,A,D,1
China,E,A,C,A,E,E,D,0
US,C,D,B,A,C,A,C,1
UK,A,C,A,D,E,A,E,1
Brazil,A,C,C,C,D,D,D,0
Germany,A,D,D,E,A,A,A,0
China,A,B,D,A,E,B,E,1
US,E,A,A,D,B,C,D,0
UK,C,D,A,C,A,B,E,1
Mexico,E,D,D,C,D,A,A,0
China,B,E,B,D,B,C,E,0
US,D,E,B,D,A,A,D,1
India,A,B,B,B,C,C,E,0
Brazil,E,D,D,C,A,C,D,0
UK,A,E,A,B,B,D,A,1
Brazil,B,D,A,D,E,E,D,0
UK,A,C,A,A,C,E,D,1
US,A,C,C,B,E,A,C,0
China,A,C,D,D,D,D,D,1
Other,D,A,A,E,E,E,C,1
Brazil,C,B,A,D,A,E,C,1
Mexico,C,A,C,A,E,E,D,0
India,B,C,E,A,C,C,A,1
UK,B,E,B,C,C,E,B,0
Germany,E,A,E,A,B,C,C,1
Other,B,D,E,B,D,D,C,1
Mexico,D,A,D,A,D,E,E,0
UK,D,C,E,B,E,C,A,1
Brazil,E,B,C,E,E,A,D,1
Brazil,C,A,E,B,E,D,C,0
Mexico,B,C,C,E,E,A,B,0
China,B,E,C,E,C,A,D,1
Brazil,D,E,B,A,C,D,C,1
Other,D,D,E,D,E,D,E,0
India,E,C,B,B,E,A,E,0
Other,A,B,B,A,E,D,E,1
Other,B,A,C,D,B,B,E,1
Brazil,C,B,B,E,C,D,C,1
UK,B,B,E,B,E,A,C,1
India,C,E,E,B,E,E,A,1
India,C,E,C,A,A,E,E,1
India,E,C,B,B,E,D,C,1
India,C,A,E,D,B,D,D,1
US,B,C,B,C,E,C,B,0
UK,E,E,A,A,B,C,D,1
India,A,D,D,B,E,E,E,1
Mexico,A,B,A,D,D,B,C,0
UK,D,B,D,D,D,C,E,1
Mexico,D,A,B,B,E,D,E,1
Other,D,C,D,E,C,D,D,0
Mexico,D,D,A,E,D,B,A,0
India,C,A,B,C,E,B,E,1
Brazil,B,B,B,D,D,B,C,1
China,B,B,B,A,A,E,E,1
Mexico,D,A,E,C,E,E,E,1
Brazil,E,E,A,D,E,E,E,1
Other,A,C,C,A,E,C,A,0
China,B,A,B,D,D,C,B,0
Mexico,B,A,D,E,D,D,D,0
UK,C,E,E,B,A,C,B,0
China,B,B,D,C,A,B,C,1
India,D,D,C,C,B,D,A,0
Other,E,A,B,B,A,B,E,1
Germany,D,B,A,B,A,C,A,0
UK,E,E,A,C,A,A,B,1
China,D,A,A,A,C,A,C,0
Brazil,E,E,D,A,B,D,A,0
Other,B,E,A,A,C,D,C,1
Other,E,B,B,E,E,C,C,1
Germany,D,C,B,B,D,B,E,1
China,C,C,B,D,D,C,E,1
UK,C,B,A,C,E,C,C,1
China,D,B,E,D,A,E,D,1
China,B,E,C,E,D,A,C,0
Mexico,E,B,B,A,E,E,B,0
Brazil,E,B,C,D,C,D,D,0
US,D,C,E,D,A,E,E,0
Brazil,E,A,D,A,D,A,E,1
UK,B,E,D,C,D,D,B,1
UK,E,C,E,C,D,E,B,0
Brazil,A,A,D,B,C,C,B,1
Germany,E,E,B,D,D,D,A,1
Mexico,D,D,C,A,C,A,D,0
US,E,C,E,E,D,C,B,0
China,D,B,A,A,D,E,C,1
UK,E,A,E,B,D,E,C,1
US,B,D,E,E,C,A,A,0
US,C,E,C,D,C,A,E,0
India,E,B,D,A,B,A,D,0
India,C,A,E,A,B,A,A,0
US,C,D,A,B,A,D,D,0
US,E,E,A,E,C,A,C,1
Mexico,B,D,A,B,D,C,A,0
India,E,D,E,D,E,E,D,1
Brazil,D,C,B,B,D,D,B,1
UK,D,A,E,E,D,C,A,0
Other,D,B,A,C,E,A,D,1
China,E,E,B,E,D,A,D,1
Other,E,B,A,D,D,C,C,0
India,A,C,C,D,B,C,D,0
Brazil,D,C,B,C,C,E,D,0
Mexico,A,D,D,B,C,E,E,1
US,D,E,B,B,D,A,B,1
Brazil,A,A,E,B,B,D,D,0
Brazil,D,B,B,B,A,C,A,0
UK,D,B,C,E,B,E,B,1
Brazil,D,E,B,D,A,E,A,1
India,E,B,C,E,E,B,A,0
US,E,A,A,E,A,B,C,1
India,B,C,B,C,D,A,C,1
Germany,C,A,E,B,E,D,D,1
UK,E,A,A,D,C,C,A,0
China,A,B,E,A,C,C,E,1
Other,A,B,B,C,D,A,D,1
Brazil,C,A,C,C,C,D,E,1
India,A,C,E,E,B,D,E,1
China,B,E,E,B,E,A,D,1
UK,D,A,E,B,D,D,A,1
India,C,E,B,D,D,C,C,0
China,E,E,E,E,D,A,E,0
India,D,A,C,B,A,D,C,1
UK,C,D,E,E,A,A,D,1
Brazil,B,A,B,E,D,E,D,0
Mexico,C,E,D,B,C,C,E,0
US,E,B,C,B,A,C,C,1
China,C,D,C,B,E,E,E,1
India,D,B,E,C,A,A,B,0
Germany,B,A,B,C,A,D,B,1
China,B,C,A,A,B,E,E,1
Germany,A,E,B,C,B,B,B,1
Mexico,B,A,D,B,A,A,D,1
Brazil,C,C,D,A,A,C,D,1
US,A,C,C,A,A,B,A,0
Other,D,D,A,B,E,A,E,0
China,E,C,C,E,D,E,C,0
Mexico,C,B,B,D,B,B,C,0
China,E,A,D,E,E,E,C,1
Germany,E,C,A,C,B,E,E,0
China,A,D,A,C,B,E,C,0
China,A,D,B,B,C,D,C,1
Germany,E,B,E,E,C,B,D,0
US,A,A,E,B,C,E,E,1
Mexico,A,A,E,B,E,B,B,1
US,C,A,E,C,D,D,C,1
UK,A,B,C,A,C,B,A,0
Mexico,E,C,D,E,C,C,D,1
Other,A,C,A,A,C,D,C,1
Brazil,D,E,C,D,B,E,B,0
Brazil,C,C,D,B,A,E,D,1
India,C,C,A,C,C,B,A,1
Germany,B,B,D,C,D,D,B,0
India,A,C,D,A,A,A,C,0
UK,C,B,C,A,A,E,B,0
Germany,E,B,A,E,A,A,B,0
Other,C,E,D,E,B,C,A,0
Germany,A,A,B,B,B,E,B,0
India,D,D,D,E,E,A,C,1
US,C,E,E,D,A,B,D,1
China,E,A,D,A,D,E,B,0
India,A,C,A,D,C,E,E,0
Germany,E,E,B,D,C,D,C,0
UK,D,B,B,C,C,E,D,0
India,E,D,D,C,D,B,E,0
US,B,D,C,E,C,A,D,1
China,A,A,E,B,B,E,C,1
US,D,E,A,A,C,B,D,1
India,B,E,B,B,D,E,B,1
Brazil,A,E,E,C,C,E,D,0
Other,B,D,C,C,D,C,D,1
Other,C,D,B,C,A,A,C,0
UK,D,D,A,A,C,C,A,0
Other,A,E,E,C,C,D,A,0
UK,E,A,E,C,B,D,E,1
Mexico,C,E,B,A,D,E,A,1
US,E,E,A,A,D,C,C,1
Brazil,D,B,C,D,D,B,C,1
India,E,E,C,A,A,B,E,0
Mexico,A,D,B,A,E,C,D,1
Germany,A,B,D,B,B,E,D,0
China,D,B,C,C,B,E,D,0
Other,C,D,C,B,B,A,C,0
US,D,A,E,D,D,D,D,0
Germany,E,D,D,D,A,B,C,1
Mexico,E,E,D,A,B,A,A,1
Mexico,C,E,B,C,C,B,D,0
China,C,C,A,B,D,A,C,0
Germany,E,C,E,E,E,B,D,1
Other,C,B,A,A,B,D,B,1
UK,B,C,B,E,C,A,A,0
Mexico,C,A,C,E,E,B,C,0
Germany,B,C,B,D,A,C,B,1
Other,C,D,E,D,D,D,D,0
Germany,B,A,A,D,D,E,C,1
Brazil,B,A,E,C,B,D,C,0
Other,B,B,A,E,B,E,E,0
US,D,B,C,C,D,D,C,0
Germany,C,C,E,D,E,A,A,1
Other,B,D,A,A,B,A,C,0
India,B,E,E,B,D,E,E,0
Other,E,C,D,A,C,D,A,1
UK,A,E,C,D,E,C,E,1
Mexico,C,D,C,C,B,A,A,1
China,B,D,E,E,B,C,E,0
Brazil,A,E,E,C,D,C,D,0
Brazil,A,D,A,B,E,A,C,1
India,A,B,E,B,C,B,B,0
US,B,A,A,A,E,E,D,0
Mexico,A,A,C,A,B,A,C,0
Mexico,C,E,C,D,C,D,E,1
India,A,D,B,A,A,D,D,0
Other,D,B,B,D,E,B,C,0
Germany,D,B,D,B,C,E,D,0
Mexico,B,B,B,C,D,C,E,0
China,D,C,E,E,E,C,D,0
Brazil,A,A,D,A,C,A,A,1
Other,A,A,A,C,E,C,E,1
Germany,C,D,A,A,D,E,D,0
Brazil,A,A,A,A,B,E,B,1
India,A,E,C,D,D,C,A,1
US,C,A,A,A,A,E,D,1
UK,C,B,C,E,A,D,A,0
Brazil,A,B,A,D,D,B,D,1
US,D,D,A,D,B,A,E,1
Other,A,D,D,C,B,A,B,1
UK,E,D,D,B,B,A,A,0
Germany,C,C,E,B,D,B,E,0
Brazil,E,A,C,A,A,B,A,0
UK,B,E,D,C,B,D,E,1
China,B,D,C,D,C,D,C,0
Mexico,D,B,C,C,A,B,B,0
UK,E,B,B,B,C,A,B,1
Brazil,B,E,A,C,E,D,D,1
Brazil,B,D,C,B,E,D,C,0
UK,A,A,D,E,B,C,B,1
Germany,D,D,C,D,E,A,B,1
Mexico,D,E,E,E,C,D,B,1
Mexico,B,D,B,B,A,B,C,1
Mexico,A,E,B,B,A,A,E,0
US,B,D,A,C,D,A,E,0
UK,C,C,B,B,C,A,C,1
China,B,B,C,E,D,B,B,0
Brazil,C,C,D,E,C,C,A,1
Germany,A,E,D,A,A,D,A,1
China,E,B,B,A,B,E,A,1
Brazil,A,D,D,C,C,D,B,1
China,D,C,D,B,A,D,C,0
India,A,A,A,A,E,C,B,1
Germany,E,D,D,D,A,B,B,0
US,C,A,B,D,E,B,C,0
Mexico,E,B,A,E,A,D,D,1
India,C,A,B,C,E,E,D,0
India,B,E,E,D,B,E,A,1
Other,E,E,C,A,B,A,A,1
Germany,B,A,B,A,D,A,E,1
Brazil,B,E,B,E,E,B,C,0
China,A,D,D,B,D,E,B,1
Brazil,D,B,B,D,A,B,E,0
Other,A,A,E,C,B,B,C,0
UK,E,B,B,C,D,A,B,0
UK,C,A,D,C,B,B,E,0
Mexico,B,D,C,E,D,A,D,0
Brazil,B,D,C,B,D,B,C,0
Other,C,E,B,C,B,C,B,0
Mexico,D,C,E,A,A,C,D,1
India,B,C,D,A,A,C,E,1
US,D,D,C,C,A,B,E,1
China,C,D,D,A,E,E,E,1
Mexico,C,A,E,C,B,A,C,0
Brazil,A,E,A,B,D,D,C,0
China,A,A,C,A,E,D,A,1
Brazil,E,C,C,E,B,C,A,0
Other,C,D,C,C,B,C,A,1
Brazil,E,C,A,A,B,C,A,1
Other,B,C,A,A,C,C,E,1
UK,C,D,D,C,A,E,E,0
Other,B,B,D,B,A,A,A,1
China,C,E,B,C,A,D,A,1
US,C,B,C,D,E,C,D,1
US,E,D,E,C,E,C,B,0
Germany,E,E,E,C,D,B,D,1
Mexico,C,B,E,A,B,A,D,1
Other,B,A,E,E,D,C,D,1
China,E,B,B,B,B,D,E,0
Brazil,D,B,E,D,C,A,B,0
Other,C,D,C,C,B,E,E,1
UK,D,B,D,D,E,E,A,0
Other,A,E,E,A,A,C,D,1
Germany,D,D,B,B,C,D,C,1
Mexico,D,B,C,D,C,A,C,1
India,C,B,E,B,D,D,A,0
Brazil,E,A,A,C,D,A,C,1
Other,E,D,B,A,C,B,B,0
India,E,C,D,D,A,B,B,1
UK,B,E,D,D,B,C,E,0
UK,E,D,C,E,B,D,A,0
UK,E,E,C,A,E,C,E,1
US,D,B,D,D,D,B,B,1
Brazil,C,C,A,D,E,D,C,1
UK,A,B,E,D,E,C,E,1
Mexico,A,E,D,B,E,C,C,0
US,D,D,B,C,C,E,E,1
Brazil,B,A,E,B,E,A,D,1
China,B,C,A,D,E,B,D,1
US,D,B,D,C,A,B,D,0
India,D,E,A,E,B,E,E,0
India,A,C,B,A,E,A,E,1
China,B,E,C,C,B,A,C,1
Mexico,A,C,D,C,D,D,B,1
US,E,C,B,C,B,E,D,1
UK,D,E,A,D,B,C,C,1
Brazil,C,C,C,C,B,E,B,0
Other,C,E,A,B,B,A,A,0
China,A,C,A,D,C,D,C,1
Mexico,C,A,E,B,E,E,D,1
China,B,E,B,C,D,D,B,0
US,A,A,E,C,D,A,D,0
Brazil,E,E,D,A,A,D,B,0
China,E,A,B,A,E,A,E,0
Brazil,D,C,A,E,E,D,B,0
India,A,B,A,E,A,C,D,1
Mexico,B,C,D,E,A,A,B,0
Germany,C,E,B,A,B,D,A,0
India,A,A,C,C,E,C,E,1
Brazil,A,E,D,E,B,B,C,0
China,B,A,D,D,E,D,A,0
Mexico,C,B,D,C,A,E,B,0
Brazil,C,E,C,E,A,C,B,1
Brazil,D,A,C,C,A,D,E,0
UK,A,B,E,C,A,A,D,1
Brazil,B,E,D,E,D,C,B,0
China,C,E,C,E,B,A,E,0
Other,C,E,B,D,B,E,D,0
Germany,A,B,E,C,E,D,C,0
Mexico,B,B,B,A,D,A,E,0
China,B,A,A,D,C,A,E,0
US,C,B,C,B,E,A,B,0
Mexico,A,D,A,D,D,C,E,1
US,C,C,A,D,E,C,B,1
Brazil,B,C,D,D,B,E,B,0
Other,D,C,B,A,B,A,A,0
India,B,B,E,A,B,D,E,0
India,B,D,D,C,E,D,B,0
UK,D,C,E,C,D,C,A,1
US,C,A,E,E,D,C,B,0
US,D,E,C,C,A,A,E,1
Brazil,D,D,D,C,B,E,B,0
Germany,C,C,B,A,A,C,E,0
China,E,A,B,A,D,C,E,0
Brazil,D,D,E,B,A,A,B,1
UK,B,B,A,A,D,E,A,0
Other,E,D,A,C,E,D,C,1
Germany,E,D,D,E,A,A,A,0
Brazil,B,D,B,D,D,B,D,0
India,B,D,B,A,A,A,C,0
Other,D,C,D,A,B,E,C,0
Germany,D,E,B,E,C,E,D,1
US,B,D,A,E,A,E,A,1
Other,B,B,D,A,D,A,B,1
UK,A,E,D,A,D,E,E,1
India,E,A,A,B,A,B,E,1
Mexico,B,B,B,B,E,D,B,0
Other,C,E,D,B,A,D,E,0
Mexico,B,E,B,A,A,B,A,1
US,B,B,B,A,D,A,E,0
China,A,B,E,C,B,D,B,0
India,D,E,D,C,B,C,B,0
US,E,D,C,D,B,C,D,0
India,D,C,D,D,A,D,E,0
China,B,E,A,D,E,C,E,1
China,E,A,B,B,C,D,A,0
India,E,E,C,D,D,D,C,0
US,A,C,A,C,B,E,A,1
Other,C,E,D,C,B,C,C,0
UK,E,E,B,B,C,A,C,0
Brazil,B,D,E,A,B,A,D,1
China,A,D,D,C,E,E,C,1
China,C,C,A,E,B,C,C,0
Mexico,A,A,D,C,E,D,B,1
UK,E,E,C,C,B,E,A,0
India,C,D,C,D,C,E,E,1
Brazil,B,A,E,A,E,C,A,0
China,B,D,C,E,E,B,D,1
Germany,A,E,B,E,D,B,B,1
Mexico,D,C,C,A,D,E,A,1
Germany,B,A,C,E,A,E,A,0
UK,B,E,E,B,E,C,C,1
Germany,B,C,B,A,B,D,C,0
India,B,E,C,A,E,E,E,1
Mexico,A,E,C,C,A,C,E,0
Brazil,C,B,A,B,C,B,A,1
China,A,D,C,E,A,C,A,1
Germany,D,A,A,A,D,B,C,1
Mexico,B,C,C,A,C,E,D,1
UK,D,B,B,E,D,B,A,1
Mexico,A,D,E,B,D,B,B,0
UK,D,D,D,B,C,E,E,0
Germany,A,C,A,C,B,E,E,1
China,A,B,B,A,D,D,C,1
India,B,B,D,D,E,E,A,0
China,A,A,C,A,E,E,A,0
Mexico,D,A,B,B,B,B,E,1
China,B,C,B,D,D,B,D,1
UK,B,C,D,B,E,A,B,0
US,C,D,A,C,B,C,A,1
UK,E,A,C,B,C,C,D,0
Other,D,B,B,C,C,C,E,0
US,E,C,B,A,B,C,C,0
Other,D,B,D,E,A,E,D,1
China,C,C,E,C,A,B,B,0
China,D,E,A,A,B,E,A,0
Mexico,B,B,E,A,D,B,C,1
China,A,A,A,D,A,D,E,0
India,D,B,C,A,A,B,E,1
Other,C,A,C,C,C,C,B,0
Mexico,A,D,A,C,A,C,C,1
Other,D,D,E,D,C,A,D,0
China,C,A,E,D,B,B,C,1
India,B,C,D,A,D,A,B,1
Brazil,D,A,C,E,C,A,A,1
US,B,A,B,C,E,C,D,0
Mexico,D,B,B,C,E,B,A,0
Mexico,A,C,A,E,B,D,D,0
Other,E,A,C,A,B,B,B,0
China,C,A,A,C,C,C,D,0
China,B,C,A,A,D,C,E,1
US,B,C,E,E,A,A,A,0
Brazil,E,B,C,C,D,B,E,0
US,D,C,E,B,C,E,C,1
Germany,D,D,D,B,E,A,A,0
US,D,B,A,C,D,B,E,0
Germany,E,D,B,E,D,E,B,0
India,B,E,C,D,D,D,B,1
UK,A,B,D,C,E,D,B,0
US,A,A,C,D,C,A,A,1
Brazil,B,D,D,D,A,C,D,0
UK,C,B,E,E,E,C,E,1
Other,B,C,A,E,A,D,C,1
US,E,A,E,C,B,D,E,0
Germany,C,D,E,D,D,B,B,0
