Gender,religious_affiliation,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
M,Other,Other,57.17766753013823,161.8644737564615,E,C,A,C,A,C,-106.33590466694784,D,-73.6015117191144,D,B,63.337784760065055,-155.13098414478245,18.46220312595816,A,1
Other,Hindu,Black,33.517408239005775,-64.3793045294038,E,A,A,B,C,C,-75.1110641644681,A,-8.973313590215598,A,D,43.77673955067266,120.82003348460877,34.532742543009924,E,0
Other,Muslim,Other,-44.824059617996895,60.751073365843325,D,D,B,C,B,D,27.599178697432553,B,14.571439746979408,C,D,49.73199811699662,168.0059266235262,-239.26868160790318,E,1
F,Jewish,Other,-115.83126126289973,-54.13746706739141,D,E,E,B,A,C,-93.99830341597011,D,32.845506664291335,B,D,-43.26677432842293,-10.559420499195552,-127.2976608078301,C,1
F,Jewish,White,-26.529032999065848,-12.206521562359693,E,C,B,D,A,E,-228.74690268539263,B,107.16599612208029,C,A,104.1899433968536,-21.07011071592598,-27.501266446238887,B,1
Non-binary,Buddhist,Black,115.0800361837001,76.89141643625855,A,B,B,D,C,E,60.72148305159036,A,-117.71258962752181,B,C,-42.324371843910704,-67.80142389385261,-56.158007557247366,B,0
M,Christian,Other,131.54830800281678,47.555350255290065,E,A,E,D,B,B,-39.777499715177214,D,183.45655755199473,C,E,138.24201462520435,162.14378983226484,-19.838822551877122,B,0
Male,Hindu,White,19.161577588559283,51.20706757616903,B,C,B,B,E,B,22.955216265142685,D,86.21479805909146,C,C,107.8886794544335,42.980999276408724,147.71084420262432,B,1
Non-binary,Other,Black,84.70482334322651,-24.91885508744759,D,D,C,B,D,B,-89.01404619267892,D,109.06035642035452,B,A,19.524077266476176,-171.13595579727817,-25.166998182809635,E,0
F,Other,Other,-69.82650544311076,-222.24563929191828,A,E,C,E,E,E,99.9333039631853,B,162.7951426835231,A,B,-24.945400061878278,241.02351390081776,-31.058009041739354,A,0
F,Hindu,African American,25.75904065450672,-47.46517396934915,D,B,C,A,E,D,77.07944949168962,E,-202.8249544089519,A,E,-25.621632386643412,53.7104227030219,12.309463153311489,E,0
Male,Jewish,Black,-5.080657773373448,19.45690643751518,D,A,C,D,C,A,-29.593987030741282,B,150.94651176207364,E,E,83.13873229008433,45.190364187376616,-66.63847628238071,E,0
F,Other,African American,-78.74381328246707,73.33676368174532,B,C,A,C,C,A,141.32630071586584,C,6.589444139775439,E,D,21.364592814681476,39.59494188016874,9.486566033846751,E,1
M,Buddhist,Black,-87.33569140797755,143.00128352280365,E,C,C,D,A,A,-11.736961606993788,B,161.55654293708136,B,D,134.31127954423437,-17.099372352724302,40.05326536002464,C,1
Non-binary,Jewish,Asian,-146.1954442432251,39.54524654798304,D,C,E,B,C,E,121.42748596883384,A,-82.52668231866133,D,C,-100.37505154621232,-34.52710185270313,-52.34855506602189,A,1
Non-binary,Jewish,Asian,1.462033102549035,-61.517878645383796,D,C,A,B,E,E,-176.74871143545388,A,81.34634848610962,A,C,145.3336490890535,77.09171436966696,84.94929871759419,D,1
F,Muslim,Asian,-277.1145349487312,65.02436484056526,C,D,B,D,C,E,-134.88747656335687,E,64.35654666843789,C,A,72.91030725674102,-64.89076613047922,14.402557331554188,D,0
Other,Muslim,Asian,30.454122236931404,183.2649757859201,C,D,C,E,E,E,87.28536564831421,B,35.49324689847113,A,D,-122.20726041134753,81.46953976432748,-8.969207502681613,E,0
Other,Muslim,Hispanic,-52.35455164841489,-61.3688557056726,E,E,D,A,D,E,83.67632420533552,C,-102.79393654380323,D,E,180.2770941069808,-55.37029187583878,10.944965971285193,E,1
Non-binary,Jewish,Other,12.912338088056313,49.80712902528743,A,E,E,D,B,B,61.00420987768344,C,36.8364172943662,A,D,112.94794531895785,-174.57584477311923,-91.26686567288078,D,0
M,Buddhist,Other,81.7142776195582,30.50326059723526,A,E,A,B,B,E,120.99788918227053,A,-59.34124968524205,C,C,46.262036484427625,76.92670272533213,30.803421675164877,D,0
Other,Muslim,Hispanic,-34.97078411226632,38.434954207634426,D,A,A,B,D,D,-65.46329994239116,E,-36.06140644242705,B,B,-240.22348766495747,50.958334874736124,16.225335526169836,B,1
Other,Muslim,Asian,112.85852795429865,45.585002244265674,E,A,A,C,D,C,-18.317526263750192,A,-91.525200221113,C,D,-24.02345235460993,13.248214675580286,113.88800119797493,C,1
M,Christian,Hispanic,-0.8668510106607473,-118.69260928870946,E,D,A,A,B,B,153.38216393545792,B,15.053376899406803,B,E,55.34860125535667,199.70615883304825,-68.48107389806502,E,1
Female,Buddhist,Other,170.4647963490505,64.07341354847904,D,D,D,A,E,C,27.97908502522181,E,233.88550274687137,E,B,6.4247073646853305,101.22336735255173,238.6515664329542,B,0
M,Christian,Hispanic,82.67590799663817,0.40007997027376757,D,E,B,D,B,B,-65.41321619748722,B,198.66602665885955,B,C,-89.89210862248328,113.83736923743814,143.93388312040017,C,0
F,Buddhist,Other,65.28136184646509,-222.88520114820201,C,E,B,E,D,E,2.1389903903284937,A,-80.07882157873138,A,A,-20.548528553346358,142.22915679153112,77.69974371292821,C,1
Non-binary,Christian,Other,-17.553003512014005,-62.55280728323799,C,E,C,D,D,A,-88.11600866166059,B,227.52413254513195,B,E,-42.01590412763002,74.50571734352275,157.52237424817548,C,1
Male,Buddhist,Asian,-0.9866045144318343,91.47621776802245,B,B,E,C,C,E,25.228600030639093,B,-14.015936319434802,B,C,43.46726623462688,98.16314737510015,-54.829249098805846,D,1
Male,Christian,White,74.26927361950882,-106.68687378983203,A,A,D,B,B,D,176.61062554026907,B,-20.23588187098425,D,E,-66.30282359067962,73.52686249171563,-106.79652846126947,D,0
M,Other,Asian,14.430800474271674,29.543116558014965,B,B,A,D,C,C,2.7320440307564966,B,-55.629546573878855,C,D,-161.24299143235663,124.80772551572372,41.2605542048927,D,0
M,Other,Other,7.377256204645183,42.72780685099918,A,C,E,D,C,C,141.9085429203362,B,1.0791416371365283,B,B,104.9581830821032,-9.030463710150071,52.003208818789524,B,1
Other,Jewish,Other,-64.74920206606292,133.93974268856326,B,D,D,C,D,B,-71.32347112219645,E,120.91850069268311,B,E,43.52377230867581,-45.057223858927856,30.056974289283172,D,1
F,None,White,-136.98983787353498,21.912229350953773,A,D,C,D,C,E,-110.40963032574238,D,-46.80858379755326,E,C,-62.45388008228871,129.932110029628,-51.641924679969776,E,1
Non-binary,Jewish,African American,-161.704742702897,-139.48680346724078,C,B,D,B,B,E,-30.59158784745154,B,-133.65833945396898,E,B,-102.61361452535105,215.18634892880138,77.02489266510513,A,0
M,Buddhist,Black,-84.56585080144751,-13.22155996887036,A,B,B,E,B,B,77.44860376923808,D,-217.72252659212853,D,B,88.75558196261828,35.64973029979805,-61.678599052663984,D,0
Male,Hindu,African American,6.849382098543597,9.244625153540161,B,E,C,A,D,B,-29.75292121781828,B,-16.5017003123269,B,A,177.24404668500532,-68.95388655645496,4.7072219030603915,B,1
M,Other,White,43.06663920182229,87.66184795712458,E,D,B,A,B,B,-23.68204425732085,D,-28.12840460356832,D,E,-25.257238515387208,-5.554358898300279,-15.313591940238538,C,1
Male,Christian,Black,-56.332270409930516,-69.4296348841659,A,D,C,C,D,A,30.138038744164113,E,47.92106918471273,B,C,81.78829328200486,70.44710100260086,-37.74268509813297,E,0
Female,None,Black,-2.694581890332395,71.17891087207808,A,C,C,D,D,C,-176.27350905579607,E,-76.25288637509759,C,B,24.76860837003522,41.14213573477174,-79.10064813455699,E,0
F,Christian,White,45.89878516566143,14.860767851076684,D,E,A,C,E,E,-16.87661860062712,E,-82.73637766937787,D,D,135.65674074967217,-33.420440573277325,177.98963368769708,C,0
Male,Christian,Hispanic,8.767358585767441,207.42271306781834,A,D,D,B,D,B,135.85915116174453,B,-149.6870823257924,A,A,-137.90397418090984,71.52847464893158,-186.97879036589416,C,0
Male,None,Hispanic,12.037085818826945,-79.38098527714969,B,C,C,E,A,C,-35.01418003342326,A,-104.33241399297646,D,B,50.18007342834082,-68.3675260757113,1.3828504745295271,A,1
M,Other,Other,122.31962358294406,-121.45742726642179,A,E,D,C,C,B,137.2311270708809,E,-14.921042980971338,B,C,-87.41186033378018,-90.77666440791197,20.662184834458444,B,0
F,Christian,African American,46.25515553674276,-134.21249451512685,D,B,B,B,C,D,232.90668488200694,A,0.3983452356442943,D,C,34.19674472225617,-98.4407052329792,-40.114709192823994,B,1
F,Hindu,White,93.41125060616471,84.5030946101297,B,E,A,D,A,E,-181.04666653767504,E,-81.21738404465381,C,D,-8.227673943286822,160.7099824974767,-44.25311346652427,C,1
F,Hindu,Black,42.36873631967196,-74.45909157795695,C,E,C,D,E,E,50.22707602846322,E,-34.507914862591704,D,D,194.3733292589044,-63.00943201555833,78.29443153618307,E,0
Non-binary,Jewish,African American,-66.23614323975606,-94.99244803509751,E,A,D,B,C,A,-270.23800850232595,D,1.032915071525345,D,B,78.20434860977163,96.33082147920075,27.204128539655866,E,0
M,Hindu,White,-22.779151864288792,-162.3160852989072,A,C,D,E,B,B,122.59389320321009,B,65.52221260924065,D,A,4.834464764212935,-25.991237375680885,29.453084229379183,A,0
Male,Muslim,Other,111.67169230562111,-8.498305603708388,E,E,E,C,B,D,158.13509475353646,B,49.356544401758775,C,D,-82.97442932981079,-45.51638249347813,17.116485451438727,E,1
F,Other,Asian,-38.09988921181178,-103.3066681994701,E,E,A,E,E,B,-75.41155418052114,D,-104.72236194670425,C,B,-5.339436768239923,-9.606615505976905,-5.709596925893877,B,0
Male,Other,Hispanic,60.755612497863645,-3.395657187163295,A,A,D,E,B,A,-137.2124059534387,C,-39.03610319924269,C,B,-159.4014028205422,57.96586722488731,-37.96199151339994,E,0
M,Muslim,Black,-143.4055969433983,-5.272964662488392,C,C,B,E,C,E,-107.75257054638203,E,153.11088972467098,A,A,-45.84775438097803,-140.69537346568782,87.3425906706705,C,1
Male,None,African American,18.953888631300714,114.15188372475136,D,B,E,B,E,C,-12.265712628379966,A,-167.29513870089764,A,B,169.70589763005094,129.81923291002764,-27.559223122191074,A,0
F,None,Other,72.02876389507229,-205.12236937807006,B,C,D,C,B,C,16.170613322283124,C,-178.74938774075426,E,C,-132.4273578914172,36.38034459655594,-116.81026542194289,C,1
M,Other,Other,0.29242962251733223,95.86307368061068,C,A,D,A,C,D,35.791809762183426,B,-84.9766439496136,B,A,-52.805860476074464,-141.5671465033658,-102.66734988031423,B,0
F,Muslim,African American,49.849281775717415,-87.1682335006058,A,E,A,D,D,D,14.242890190728613,C,-224.34696564678683,D,E,41.07877801074451,14.917384154310778,-8.044398975093722,B,0
Female,Jewish,Asian,-102.67950149636833,-123.39132175202894,D,C,A,C,B,A,-27.395217917550074,D,30.238699664841207,B,E,-29.806351157041703,-104.52505099075657,-21.678366329255013,B,1
Non-binary,Other,African American,21.63104472639107,7.388035716593339,C,E,B,C,B,E,-13.758485350041017,E,-142.22227487186126,D,A,-44.76857897734832,-112.98743987854014,87.61758262027544,D,0
Other,Buddhist,African American,-26.224373851555548,-158.47734483962896,C,D,E,C,B,D,91.82798715359584,E,-63.57712353213218,E,D,7.197590634261421,96.58789996210227,134.81132663196246,B,0
Male,Other,Asian,147.70671896180122,87.02359015454464,A,E,B,A,C,E,25.55097972426048,B,-45.56852285705419,C,B,29.288434895276875,-85.42418873893138,-91.35135492064317,C,0
Other,Other,Other,117.75585261066472,133.39781706228038,D,B,E,B,C,E,-53.202640542281884,B,-186.83214927747787,A,A,-13.027781863034338,-146.02659942368587,123.02183218700529,D,1
F,Hindu,White,116.9048234939875,-84.15839877679981,D,D,C,D,C,B,152.04304335411246,D,-16.251495094125968,E,C,-62.00843396464813,82.04906409756573,-218.47072885830605,D,0
Non-binary,Christian,Black,53.72558184259169,-21.51914804562884,A,D,A,B,C,A,174.41368901204294,C,27.31963277065555,B,E,-37.008593541011145,-5.223386193437247,74.66078278460603,B,1
Female,Hindu,Black,101.99732408683488,-62.806807889425365,E,A,B,B,C,D,71.40579878419261,B,-82.53070162528742,D,C,134.3225800130592,53.43612001777404,20.165696354989898,A,0
M,Muslim,White,131.48379330734033,179.17962175430492,C,C,D,A,A,C,189.7869012090479,C,-140.79618207812962,C,A,34.08363802069108,5.245717230676866,39.28651214888997,E,0
Other,None,Black,41.66146636210325,63.70837218580153,B,C,D,B,E,C,-9.30636763022549,E,-1.1586846115284517,C,D,340.4310692298403,-93.04576742049974,114.9639588973255,B,0
Female,Christian,Hispanic,52.19672739162887,-7.60554149332191,D,E,C,B,A,D,-103.41806598456861,B,176.70220063734604,A,E,-122.38691425755366,-175.46315322681588,34.94236417747581,C,1
F,Buddhist,Other,80.55449047797578,-11.70355626535913,C,B,D,E,A,A,33.17448628180452,A,129.12704123779997,B,D,-364.85764098345527,209.36750217233583,-12.18966667864759,A,1
M,Jewish,Other,-36.70593788690519,98.66227154779183,A,E,A,B,D,C,5.8626661205911885,E,260.21150663895554,C,D,136.08585951476823,-18.47363300021016,2.217387770316159,D,0
Female,Other,Asian,-118.64722526096396,93.84057524794372,C,B,D,D,B,B,-99.3285094547653,D,102.40029142123157,E,A,103.71632279316461,-87.38273499666236,32.78786551172468,A,1
F,Buddhist,Asian,63.702513599859124,-115.0769091119188,E,E,E,A,B,D,246.20516648870253,C,133.85345402008858,D,B,28.471882665098008,145.69753317134112,-48.13458843561281,A,1
M,Other,Asian,25.87566176282168,-189.99318794769766,C,A,C,A,B,A,-143.57945280455692,D,36.205300156507576,D,D,38.02681462689073,-82.12970569707335,45.58775931882045,D,0
Other,Hindu,African American,76.26374847461138,-14.227228199703386,B,C,B,E,E,C,-33.355603143305004,E,-81.94204926051631,E,D,-136.04362690893765,95.6581787813198,-105.92401615008116,C,0
M,Christian,Black,24.100945576936866,-40.84476163470817,C,D,E,C,E,C,-218.44872943169125,A,-109.616669968303,D,D,19.28970444674756,173.82998793551968,9.84243464174329,C,1
Other,Hindu,Asian,-34.75003568482862,41.56967327197975,C,D,C,B,E,C,88.55356976122721,D,120.62551209607891,B,C,0.1974115010686428,-226.9279612862411,122.35122061711286,E,1
M,None,Black,64.22492221236014,-190.78698084197518,C,B,E,C,C,E,-144.76625666315564,C,-2.205391986220559,C,B,-42.20843221316536,-85.58123662839483,76.49029293225685,B,1
Male,Muslim,African American,13.81986168283476,112.15128400027584,D,E,D,A,D,D,-52.53878185467763,B,71.90448301896177,C,D,108.54152697678796,214.9055384984499,74.52022249289656,C,0
M,Buddhist,White,-87.49119280134273,-91.07578441599632,A,A,B,C,B,D,8.733326844223702,A,-13.705703825128435,D,E,115.56233292922225,-167.12290355758824,20.247520904057943,E,0
Non-binary,Hindu,Black,-44.43177540730676,0.13820038509800817,A,D,D,B,B,D,-83.86012919609183,E,49.36352765503315,B,D,-51.07713502500448,104.04689016488884,237.81570786268324,B,0
Non-binary,None,White,27.036069499192372,159.45009418689958,D,C,E,A,E,A,50.886873339817896,B,-57.669195909317295,A,E,61.08004069407371,98.43364573132435,1.5192394003731855,A,0
Other,None,White,149.8009286560921,-66.37425938204777,E,E,E,C,A,A,79.66531049244284,C,-69.71344122338343,A,D,27.992336911666065,-63.71239135303569,29.184972400929176,B,1
Male,None,African American,-30.569814761271598,-20.686197681130032,D,E,D,B,C,E,-90.85953027314882,D,24.94897944967171,A,B,65.5565166944625,75.53986938677775,47.908798102772806,D,0
F,Muslim,African American,-32.80359020772833,-107.38367658118581,A,D,D,D,C,B,-195.62235983139857,D,-91.10522982020652,B,D,57.50135225587736,16.7549810328298,27.781080096306177,E,0
Other,Muslim,White,103.62488474343088,-140.36406540619456,E,C,B,B,D,C,-161.2396851102713,C,-132.5480591640161,D,A,16.22649494151808,99.66470361192496,-87.96004529325361,E,0
M,Hindu,Hispanic,8.364116135547512,50.5869603280969,E,D,D,E,B,C,-81.52869644152855,A,-55.04293375126236,D,D,-43.520250382368964,-47.313984942864415,86.63614791170751,E,1
F,Muslim,Other,-108.13604931558443,86.62808625683637,A,C,B,C,D,E,111.97451098616963,A,-40.614188583606584,E,E,3.6468463385560237,-120.0320327925911,154.133005197852,C,0
Female,Hindu,Asian,142.87936586621035,-10.825582839894814,E,D,C,E,E,B,-181.2551380066735,C,53.647343792445724,D,B,58.43054498142304,-175.31686797563157,-86.4952289836043,E,1
F,Christian,Other,-96.559586529157,-136.99897223576568,E,C,D,D,A,C,-5.3704821302693615,A,-51.13156011295352,D,A,248.27507376489874,7.87788423659596,126.57740382393057,D,1
Female,Hindu,Asian,137.2743754120261,62.29529074566214,C,B,D,B,A,A,-9.697690269939633,A,-18.605672011493393,B,E,-120.49250652479344,72.52913383739299,-307.6097654203475,A,0
Non-binary,None,Hispanic,-87.36435424177216,71.61951893009316,D,A,C,C,D,A,-72.20963038911334,A,-27.888627804919448,D,D,-55.84735618169129,-80.9871470859056,45.0300959285866,A,1
M,Buddhist,Asian,-62.18523616241994,-69.21609936500104,E,D,A,A,B,A,-64.61436766318201,E,95.40494259814459,B,A,43.78184572367233,-99.77005837945786,4.991533603067841,C,1
Non-binary,Christian,African American,34.28984385650027,37.62008129694703,A,A,E,D,B,A,59.77555094301692,E,-14.979437653408667,E,D,-133.82490145325755,-158.96708643982433,119.68066315345696,C,0
Female,None,Other,-22.17087342944761,-60.1444119005358,C,A,A,C,E,B,-118.53230098801009,C,-159.08729815200752,C,E,-77.52972679023587,14.077549976178652,339.977132997471,C,1
Male,Buddhist,African American,15.954737644867137,103.77159188260987,E,E,B,C,A,E,137.86948774916306,A,-37.161655416709806,E,C,-20.968325455988186,-107.05624672915567,-63.52308491524726,C,0
F,Christian,African American,-99.74943908042988,166.20163502926943,E,D,C,D,A,D,27.4298261662035,E,-83.55323918657416,A,B,44.502834259131326,-18.962622251890277,122.79486905675671,C,0
M,Other,Hispanic,-93.82571388765555,27.94988594968179,A,C,E,E,D,E,177.1867086824541,E,-24.574445960166763,B,B,-16.314779270691584,-55.68995231104705,-117.07790538250946,C,0
Female,Other,White,41.76400092551798,240.50753354751234,D,B,E,E,B,D,-172.65558564699234,D,-81.70456174054142,E,D,-75.47472903377998,-23.543138705478466,1.187113847687101,E,0
F,Christian,White,-108.43903405694863,-19.573771155218772,C,A,C,A,A,A,-91.4190335116007,A,95.88077083690324,C,E,-115.84586419565237,95.68825081294577,35.682460028357085,D,1
F,Jewish,African American,-107.13975101785415,-22.664286670132775,E,E,A,E,A,C,-84.85056128318769,C,1.6523797984435227,A,A,16.916325152303855,-105.12686778106368,93.33466662056065,B,1
F,Christian,White,41.83751719495059,-232.40677015633574,B,C,C,E,A,B,-84.34142134803155,E,-13.624435258364166,D,E,188.92837106405648,-33.44221395469783,73.2235276495461,B,1
Non-binary,Muslim,White,56.38638550103941,-34.86762011260671,A,A,C,D,C,B,89.6901831187211,B,46.06545196685556,A,E,27.29149653969994,-87.19406306238581,18.160351319140847,A,1
Male,Hindu,Asian,-98.22685765688483,-62.75228863636404,B,D,B,D,D,E,133.82881572723647,A,-81.22704155592695,C,B,6.584156998488733,-54.29724214895173,-141.93688519494603,E,0
M,Hindu,White,-58.69755777453373,121.45949906585179,A,E,E,B,E,C,-94.776242384005,B,127.17222618128568,E,E,-111.71845101164415,-28.685864233338354,217.67602263467606,B,0
Non-binary,Buddhist,Black,-66.72541882186681,168.98521720538835,E,B,D,A,D,D,-191.85489361432002,B,-281.38244434410024,A,B,-4.943010611940016,-24.024950547588304,-74.80307227006996,A,1
Non-binary,Jewish,Other,29.76098484085553,-48.24014397131742,C,E,B,E,B,A,180.35720985811517,D,-212.26840975513434,A,D,-9.194237742105283,94.67313544049131,-129.45972546734873,A,0
Female,None,White,233.70556592916424,-131.6012105856831,A,B,D,E,C,B,65.00535441750112,D,7.043243974608771,D,A,-25.721612518654002,13.322379080013949,25.831011172370633,B,0
Non-binary,Christian,Black,-3.581304245961729,17.516876817436273,C,C,E,A,B,D,26.47820344715157,A,47.945586893678744,D,E,-83.97158148394122,-155.5944079099446,-79.04289037534215,E,0
M,Muslim,Black,-187.08760016824897,190.2250338730285,D,A,E,C,C,A,57.626724305765464,D,-27.293964904445133,B,A,69.34906471219247,84.42199662263994,107.12623841787001,B,1
M,Jewish,Black,-128.05719634731088,-138.02240691152136,B,C,E,D,C,B,117.5259065744443,D,37.689350050885295,B,A,24.660874926994865,95.05991478188558,50.58703347919751,C,0
M,Jewish,African American,-172.186659957061,93.10628563007369,A,A,A,D,C,E,8.497772104506096,A,-148.1631712858843,E,D,-214.00458365950303,57.750462921997524,93.6627563000894,A,1
Female,Muslim,Asian,-11.784339986972729,-68.71679543340763,E,B,A,C,D,D,34.88913247004234,B,46.68871736127597,C,D,209.3113423437909,-86.8580150891723,29.708693179028025,A,1
Female,None,Other,-42.19313546965965,119.28072049918956,A,C,D,C,C,D,-134.92080187812687,A,-217.35425324067785,C,A,210.5380328956147,-5.651180407966729,-55.42991638105915,A,1
F,Muslim,African American,160.87932616002178,-62.01159113853717,B,A,C,C,B,D,-70.97661070363785,E,-11.83721206055999,E,C,-137.66682722591668,-18.02846113008388,126.78355044361622,C,1
F,Hindu,Other,-29.435859938525212,-25.271305346329676,E,A,D,D,A,E,20.678848077079913,A,210.51253153093228,A,B,64.4161631544932,-117.60856632680819,145.4314179107481,B,1
Other,Christian,Other,89.07189125443242,-117.87713065240675,A,C,E,D,C,A,-273.85212529039273,B,40.6554756151169,B,C,148.19404258493833,-35.08048277121485,117.74731297442591,D,0
Female,Other,White,-22.93890495236521,35.57745732680819,B,B,B,B,E,D,-168.94913284833953,C,1.5611637488214667,E,A,-160.50577421434912,-65.88748938236915,-73.37308339212007,E,0
M,Muslim,Hispanic,40.254231137310846,16.60820613150932,A,D,B,E,C,C,77.90756293522166,C,23.4440274797436,C,D,37.35744546199438,83.21179352227492,108.46387967256967,D,0
F,Other,White,-266.1035552459279,30.149822655313685,A,D,B,E,A,B,-65.5662194816524,E,211.53561837916027,A,B,58.36139116859121,-3.1680209682178737,102.05841503337567,D,0
Male,Jewish,Hispanic,11.803315853814142,69.0326752327502,A,E,B,B,A,B,-40.03548325291124,A,2.7620684902495856,A,D,63.23257080296484,29.213367174640588,-37.76724785584234,C,0
Non-binary,None,Hispanic,124.52853812844407,34.57753249891891,A,D,D,D,E,E,0.0578348388068906,D,101.13697798187091,C,E,87.75036531081616,-11.092666956656545,-116.20544977446738,C,1
Male,Buddhist,White,102.72519808837643,-188.5038980335241,C,A,B,B,E,C,8.087986614346228,E,42.89213751737544,C,D,-101.04454175341695,201.70913063925573,19.84609216641721,B,0
F,Other,Asian,-28.71719970562589,-4.575150084727275,C,E,D,D,C,C,101.70761410528608,D,-105.40490868827952,B,A,-47.19507661221202,45.02784001218732,-2.202803673666614,B,1
Female,Hindu,African American,27.855934169076285,-54.11675405812466,E,C,B,B,C,D,18.29956216462203,C,-36.654989843350265,C,B,-134.09992396892935,-158.24418569613394,-79.02100848096248,C,1
F,Muslim,Hispanic,-17.03900652177388,66.66889703960504,E,A,D,E,E,D,106.68250722747916,B,29.49867627889079,E,A,123.09183262156608,84.94569371142434,0.6256328083417534,E,0
F,Muslim,Black,21.058630198976264,-126.38430275925927,B,D,D,B,E,D,84.90372132191708,C,165.81622161933825,D,A,-10.628101618426284,-38.00078070121587,-109.4681236956458,C,1
Other,Hindu,Black,255.23105788200235,-2.9665029890620596,D,B,A,B,E,E,85.72678418174448,B,-36.982141357504474,D,C,13.900049087039381,-65.1472119010086,-20.29857482258305,C,1
Male,None,Asian,55.417819484846696,48.27888082493562,B,D,D,A,E,B,49.0050765622189,E,-63.05959120588124,C,C,82.52182520112008,80.49708104988827,-17.07092003737822,C,0
Female,Other,White,-152.76387261584404,25.285101443878933,B,B,E,D,B,A,-189.26597601808257,A,-6.443949238303556,D,A,45.12272194433397,54.69997320139216,103.66068377193267,C,0
Male,Buddhist,White,-38.896809303922126,-86.78126912066828,B,D,E,B,E,E,-97.02287092268828,D,125.44491926499188,B,B,-64.4209546963514,-65.0840396099611,136.0769286538663,D,1
Female,Buddhist,Other,-46.14137434074776,61.166573597234034,A,A,A,E,A,B,-81.39083702482398,A,-4.692294177624484,A,B,-135.13233212975214,92.76777190017327,81.30670924935664,A,1
Other,Jewish,Asian,-101.58754099018157,-105.23039409502988,D,A,A,D,C,D,63.87441771442185,C,-157.49224585479038,B,B,77.42378776524143,39.463543042608315,-59.52132830565725,D,1
Other,Other,Black,-86.43049316205612,132.39628405305174,E,E,B,E,B,B,-36.7766672121111,E,-7.623757639314944,B,B,29.065046917231374,75.54474953653096,50.33808442254741,C,0
Female,None,Hispanic,0.711319894321419,-52.363360817176385,E,E,C,A,C,B,-44.26470240309091,E,137.06965195291914,E,A,110.74914059313778,-80.69527312208571,117.59082875386461,D,0
Male,None,Asian,93.78265587595288,-86.79242555564942,A,B,C,D,D,E,32.20834158300998,C,47.460993523584484,D,E,-86.4772326508847,-32.85475719006543,48.34821131592873,D,0
Other,Jewish,Asian,-63.39308473588462,130.77695388430274,D,E,D,E,C,C,-32.48280710193023,C,-167.11297923244007,A,D,105.3042933617144,-62.81762930542168,-29.51587929980627,C,0
Male,Other,Asian,-9.894828096832518,-231.6757415788049,A,C,C,A,B,B,90.49058383093816,B,-16.212356243252486,E,B,35.284541479332674,76.60483799471366,-172.18700237365448,A,0
M,Other,Other,3.1892567809701386,158.27133935486052,B,E,A,E,E,B,-73.58364834137132,D,-94.83383221985116,E,E,-34.38936126562019,-101.46759243260739,232.60130785865334,C,0
Non-binary,Other,African American,156.28868776086188,-89.68556983015195,E,D,D,C,C,C,-23.64985286639175,E,-3.145198120793507,A,E,22.538053687707507,23.867478385045196,-126.65253780613213,D,1
