nation,civil_status,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Other,Widowed,Heterosexual,71.49218030275254,A,A,A,E,158.0175709626042,-7.012726597495207,B,B,B,43.42440429939533,-2.3828790545054814,-10.772883355314635,-75.21174011185605,19.526145429498065,E,B,E,1
US,Divorced,Homosexual,-95.08830118473935,B,D,B,B,8.787678941575317,-42.592685064201504,A,C,A,205.76290187978543,-48.753776264611496,16.088533596976422,-140.83170841883938,142.6269359961486,A,C,B,1
UK,Married,Other,39.18433450195399,D,E,A,C,-175.69114260094236,-88.10086045008266,B,A,A,5.809634144419028,88.85257730321165,-90.93472550192665,-48.11205465616075,-6.251862990764917,A,A,C,1
Mexico,Single,Heterosexual,1.5766632147206583,A,C,D,C,-10.533896962340812,-40.579791218496815,C,E,E,78.50794838449302,-118.62073985606045,-14.310925352232848,-2.7840335735060293,-163.13158261765963,A,A,E,1
UK,Married,Homosexual,133.48340359407004,E,D,C,A,41.63361427775713,45.57260538401561,E,D,D,-140.88229675662424,83.55331996974003,-23.610656794484374,5.311024323823838,-25.482915056985135,D,C,A,1
India,Single,Homosexual,-7.491892906677592,E,D,C,D,41.014489289993925,12.881063612998348,C,E,C,27.221297095611106,-133.28591360495813,125.6503990310287,-56.515089679213574,-8.880798220067096,D,E,B,0
US,Divorced,Homosexual,117.27152816950817,D,B,B,B,43.62464106382742,-160.39223999140447,C,A,A,-40.505291408173555,-87.04147786803449,-223.24087408568053,-55.305337874976665,-19.43024645801846,B,B,A,0
Other,Widowed,Heterosexual,78.72769950118294,E,A,E,D,31.2496903195678,-117.05227824520597,E,B,C,-54.51750431328848,-104.21345534485884,111.34990882157774,-145.70103873956344,16.847184814533893,D,A,E,1
Germany,Widowed,Other,42.47302756811286,C,C,B,D,-123.77438696958191,-150.50064651990553,C,E,C,-28.587063580410533,88.94393727786061,168.13696535369434,96.19466200647081,237.80407321014235,D,B,A,0
US,Married,Bisexual,69.47608250292507,D,E,E,E,-118.2142546503573,28.795049301182573,D,A,C,-23.62795931729579,74.20345377697582,54.06117062681196,54.67092842581339,-57.62301853268321,D,D,C,0
Other,Married,Bisexual,25.567433659196887,A,D,A,C,-199.0850021383247,-289.0310969818775,D,A,B,57.717789826754476,47.52232840265623,28.57571630363528,33.46492721036699,56.102409056466854,B,D,B,1
Brazil,Single,Other,261.7144502381409,E,D,A,D,11.867902611369322,-108.31217980058642,E,A,E,-219.03146776878617,-115.02253097817214,-278.10125222411097,26.016236779853692,42.31854843024828,A,C,B,1
India,Widowed,Bisexual,-69.04087194236118,A,E,B,B,0.9373215513527896,-135.28710462639785,C,A,C,57.15284667737939,24.843304689093227,-138.99275240534286,15.366695220357258,115.07663079512926,C,A,E,0
UK,Widowed,Homosexual,39.63447036349809,C,E,C,A,-49.058385033195115,151.11211837950523,C,E,E,-49.490491612033615,-125.2973870383387,37.42618774273953,47.38349349492956,70.28018788899801,D,E,A,0
Germany,Widowed,Other,-80.42431644780241,B,C,A,A,70.67660951267491,-14.850788786185475,E,E,D,-22.60981143987848,-59.90765471386481,181.825599080241,-79.65442124280027,-114.41249162852142,A,E,B,0
Brazil,Single,Bisexual,-108.69949894716184,A,A,E,B,-12.29578158913723,-13.742821467219365,B,A,C,-33.89227466093457,153.28433223668213,70.11566455523263,51.13447463538069,123.12345381391745,C,E,A,0
India,Single,Homosexual,171.5583235162782,B,E,D,E,-28.472779243200875,-74.89947401843045,A,E,A,-109.17502918304218,-173.02474794220475,-74.47284102336195,59.854069385633466,-11.52077314162204,B,C,E,0
UK,Widowed,Homosexual,4.745636143675283,D,C,D,E,-133.5944386366489,98.52330415040072,E,B,A,-172.3041199402512,19.70149401504965,-21.051785586365398,37.63363433803023,-5.972348583364271,E,E,E,0
UK,Widowed,Homosexual,-225.799273709068,B,E,C,C,-20.758043107033046,-92.52761229925112,C,D,D,179.47470593756128,26.033227328212405,28.624227631936535,124.9234362364328,-60.75100647079632,B,C,C,0
India,Married,Other,-10.811312942853144,A,A,D,D,-51.49838451448544,168.72279722492343,D,B,C,86.40949052887711,-238.09373400401753,-60.004777237147735,143.2075053486831,-190.16013583587144,B,A,C,1
Brazil,Single,Homosexual,-21.609446800708433,B,B,C,D,-5.15242021043977,213.74929637312903,B,B,D,49.8394067784976,-122.93933278708312,64.34254715334797,93.2658473600602,-34.40870965997079,E,C,E,1
India,Single,Homosexual,72.2425273697206,E,E,E,D,209.0711833703575,170.35432784783205,C,C,D,-6.976406446356072,-70.22965868555372,20.30953446752938,75.23373589152474,42.39419073470029,B,B,D,0
China,Widowed,Homosexual,74.32668027858253,C,D,E,A,128.25157909922103,-41.429725442629284,A,C,D,53.553950311177225,-68.92947156142183,-96.50263776321336,-36.1224037302982,-20.63355671184851,B,B,E,1
Mexico,Married,Heterosexual,149.9546618624903,A,B,E,B,29.79263593412473,180.6016708460328,A,D,B,-121.7482664038857,2.0428370727638914,-41.20635504507821,-123.26794169945809,33.94219635007068,D,A,C,1
Brazil,Divorced,Homosexual,-181.53587404977367,B,B,E,E,-239.36221402733005,-72.91023019991142,C,A,A,71.1381179518065,12.379841824207567,179.0461856234619,143.24520674739364,-22.5277434869599,E,C,D,1
Germany,Married,Heterosexual,-112.42184977778189,D,A,B,A,130.33335939170712,157.3057952028203,A,A,D,188.74814811515876,89.91327258270886,-55.08454848673113,-23.725868551902124,-210.01427262128738,A,E,D,0
Brazil,Married,Homosexual,64.34854102536202,C,E,E,C,24.04375203157255,3.4397878846289616,E,D,E,-113.4073484028614,-59.91428111173103,-41.531189141460715,31.215067421354153,224.13532201992942,A,C,C,0
Brazil,Divorced,Heterosexual,-257.8459808055791,B,D,A,D,-8.413179547332913,42.555239802609826,C,C,D,-151.03515234276477,203.98664310955687,18.719125713946237,40.93490624697078,-89.90828795046781,D,A,B,0
China,Widowed,Other,-29.65495222517521,A,B,A,D,233.67084646712132,37.407481720337756,D,B,C,66.46987449387217,-57.34058256192771,19.1197580757698,-101.08922286102133,44.01691163591702,A,D,B,0
Mexico,Single,Heterosexual,-141.80744462466382,A,A,C,D,-18.599499893413977,68.75981301239908,D,A,B,-46.072435834620876,121.01226095899864,26.312370634139064,137.98531805983635,154.7427078278328,D,C,C,1
US,Married,Heterosexual,-134.88464615057788,A,C,C,B,23.789578866754713,-146.67956309956756,B,D,A,143.47533300918124,-105.93634715898814,-35.509612135216855,-41.96242957656404,-86.664482075698,C,C,B,0
UK,Married,Homosexual,-0.35928147934531945,D,D,E,C,74.90624405211352,11.68993070263344,A,A,E,-140.52229489216265,-100.5573841960296,-105.65106954322687,5.915769981788848,-34.87740995061311,D,E,A,1
Other,Married,Bisexual,-96.6777257095822,B,B,D,A,-255.6675926461886,33.643651909079274,D,D,D,-235.99822421277673,4.2559730491141,-65.47411272493682,1.682479041292198,-40.40345812363568,C,C,B,1
India,Married,Heterosexual,222.49407286599921,D,C,D,D,-41.42034699671778,-79.59384230630076,E,D,B,25.210409698974473,-9.183590279363486,-50.98442354756798,-41.45271455172021,51.2745600599296,B,B,C,1
Other,Widowed,Bisexual,-139.64430682739308,C,A,D,E,95.51790188506722,175.4418325188726,E,A,A,168.8776086497897,-89.64408701591653,-61.46360898630449,-59.53011584225747,104.72744244297073,E,B,D,1
Brazil,Single,Other,-92.7657725328935,C,C,C,A,53.74008022385437,-87.16325790364657,E,D,C,-137.05522279473104,-116.26518684584623,105.67887426650498,-202.95186812575463,-0.27284096501225696,C,D,C,1
UK,Single,Homosexual,43.03192631244475,B,B,E,A,12.788926557696678,5.439561674680858,A,B,B,88.09617376775721,-31.31019482637377,-52.66098530778335,20.289467628842413,158.06894004269986,D,C,A,0
Mexico,Widowed,Homosexual,16.88117862841954,E,B,E,D,-107.66231358150185,11.905247233715134,C,B,D,168.48223865365327,118.0510934997437,100.9502207164904,-7.748722141699167,28.62583200419711,C,A,C,1
UK,Widowed,Bisexual,-230.74058605130793,C,E,B,E,244.54755817108128,-74.65607742642497,E,E,C,129.92712296253998,145.6752100689089,-19.429534641221494,-164.5043436329122,192.71884559929381,B,E,A,1
US,Widowed,Other,58.85567595974977,E,E,E,B,-53.97599321214182,64.54033883212948,D,E,C,197.9071574627041,16.44515824776783,27.550970126364295,-97.87264861639878,-12.086200650953867,A,D,E,0
Mexico,Widowed,Other,139.78724143376203,E,A,A,E,88.43363087733867,-96.3986941652873,A,B,B,84.34892410681383,-16.617646014157717,-58.9812668870677,20.528272171118417,10.28183584000323,D,E,E,1
China,Married,Heterosexual,92.86983104589474,E,E,C,C,170.1546869961203,117.15222976514197,E,A,C,6.102870085533072,53.860844123332065,-63.153090989289886,-114.52887372554619,-45.228319908845585,C,E,E,1
Other,Married,Heterosexual,35.43922816701041,D,A,A,A,-103.7956846740542,18.430661842625295,D,C,B,-60.3869043173769,-106.7217988168663,-1.6769658509016208,136.59130846913575,131.62673745191523,A,A,D,0
Other,Married,Other,-33.31634452621604,A,B,C,A,101.10563862809711,177.77536501699552,A,D,D,-147.593122922984,-113.55965459973594,40.36885136137327,50.577649121447536,104.03520228763054,E,D,A,0
India,Single,Homosexual,-8.054210382616333,B,C,D,A,49.10748409501986,188.46532487242374,D,E,C,-3.1112293917886515,81.47400354640504,-130.40337449438968,125.62413304326942,-41.880385266423744,E,C,A,1
India,Widowed,Bisexual,-2.041591516004511,E,E,E,A,-62.095957311735695,-42.37938105915097,D,B,A,-189.0548261007693,-125.0304879607425,97.83574907811091,-127.81456092681651,-108.4509796408428,E,E,B,1
Germany,Single,Bisexual,-25.96990561211466,A,E,E,B,78.92477285130339,-55.21852457271132,B,C,D,112.25499059134259,155.82657595549,-109.94026669069794,165.08165957597137,-2.4564388422989407,A,C,B,0
UK,Widowed,Bisexual,38.49939482284404,E,C,A,B,-40.09386636973944,-192.95860360474072,D,E,A,119.41109331231041,206.24589834570867,99.42980732980183,-89.84999780530485,119.06231357500575,B,B,E,1
Mexico,Single,Homosexual,11.16039469733555,E,D,B,B,-71.54194804596233,48.74226685384284,C,D,B,-33.07431455040605,-21.289401523276002,-128.86371537683493,17.33862889960746,20.066299104153856,A,E,D,1
Other,Widowed,Heterosexual,59.13860370635244,C,A,C,D,42.1338344962559,-58.56173127428873,E,E,D,32.35996655767222,119.90747871188572,-119.44604253890677,100.46820927158934,333.09063875242526,E,D,A,1
Other,Single,Other,-39.695592480484706,A,A,B,D,111.290550635246,-121.16683781143178,D,D,A,54.19292463397255,196.03214829468644,62.27695292830377,-35.76946497259924,-43.75437725204972,E,A,C,1
Mexico,Divorced,Homosexual,48.430199443870784,A,A,A,C,-154.4389582406317,10.29411728681432,D,B,D,-151.73328155252054,28.393284188424754,-76.71323430689175,220.71620267993518,26.145111957916594,C,B,D,1
Mexico,Widowed,Heterosexual,24.316754387925684,A,A,E,A,67.7330672807497,167.3439880064912,C,B,D,81.28373937541052,-144.5022052057195,47.67782891279522,-81.45553973438044,19.688572715308,B,A,B,0
US,Married,Bisexual,-18.505339909769067,A,E,E,A,-109.98855111569775,59.66446337179189,E,D,E,-111.63217225275066,92.53471235741054,-139.84867897509835,-149.16776752539684,-78.39811966317075,A,A,E,0
Other,Married,Homosexual,92.96200452816036,A,A,D,D,-88.5847323953386,151.44179178638552,D,D,D,17.386740630692486,-189.83715408507348,-75.15154350801005,48.94630769267859,68.10765834655722,E,B,E,1
US,Widowed,Bisexual,26.52699548561564,A,D,A,A,-235.2151120099062,115.8002007853927,D,A,C,-22.236338231606616,-6.874976500902888,-136.13954841982996,31.19098144959137,-14.843243877314277,E,D,E,0
Mexico,Widowed,Other,247.15626646563678,A,B,E,A,92.84198606046951,-37.77277795093375,E,C,D,41.79311865893782,55.98878589206351,-5.1183434147936735,-137.61419756697762,88.7623745199975,A,E,B,0
Mexico,Divorced,Homosexual,-38.1170776393901,C,E,E,A,94.96171120114035,-3.96544852812304,B,A,C,-42.29330497397685,-85.05805719906161,61.341849218408264,-143.06925515230256,122.93116066078342,C,B,E,0
Germany,Widowed,Homosexual,18.459826735240306,A,A,B,A,41.46166080178373,48.14551592963375,C,C,E,44.836251805733376,78.9484724462278,-155.77278169421353,62.22310662319519,1.9355931231559487,A,B,B,1
Brazil,Single,Homosexual,33.963835750092585,E,D,B,E,-35.159517178181254,-131.50451621581442,E,E,C,-24.122032371587228,-85.47620471480613,-23.731475252168778,-17.19141626418008,-68.60058161014581,B,B,A,0
China,Widowed,Homosexual,32.256203450275535,B,E,D,C,-39.48643899431018,247.51241793685188,E,A,B,-174.94223189619254,-146.4992847047884,47.02361822080625,-110.1755937933459,-4.869549028056106,B,B,A,0
Brazil,Single,Other,291.04225326569247,C,C,E,B,130.218550601692,22.144233826641397,A,B,A,68.92133686645444,17.289964188125953,103.97131891471214,33.06471493652384,-19.446141155594756,C,B,B,1
UK,Divorced,Homosexual,-46.70955245746991,D,C,D,A,71.27583829114924,47.82839175822261,E,B,A,13.788690057334168,-0.9022566650612126,-80.64596822225234,126.49003577479176,43.63653685376405,B,C,D,1
Germany,Widowed,Bisexual,31.169014041638913,D,D,B,D,-38.69952641097215,46.34016287744348,B,A,C,98.1258558446726,-201.40994892464167,-131.81980024479526,93.76488201184867,125.72186214199274,D,A,E,0
Brazil,Widowed,Bisexual,185.23012888649544,E,D,E,E,-116.92113672276375,45.86794620839571,C,B,B,142.07941345124473,102.61174722412714,-103.45516035105253,2.5355082755910407,-32.562925559081684,C,A,E,0
Other,Married,Heterosexual,-196.69425157162044,E,B,E,C,67.6305279836336,71.03761532525307,A,B,D,77.48111006100169,52.943947571937514,-110.79045007851693,129.55505305933858,-22.138077559072673,A,D,B,1
Germany,Married,Heterosexual,84.85390416590026,E,D,C,D,130.6693427920578,-96.56965235063204,C,A,A,70.0578908274475,79.69091072746886,-62.505075610326536,67.39159658847663,-89.50045768899986,D,C,E,1
Brazil,Widowed,Homosexual,-50.789336211116996,D,C,D,C,165.40609631063157,78.75464393268466,A,C,D,86.14609911678352,-77.611023719173,-40.07954314096166,64.17058295428262,-65.28402794468923,C,B,E,0
US,Widowed,Other,-10.3655725986206,B,A,A,E,-61.59594900016296,-104.88118559004715,C,C,B,147.19660504553497,53.60286516370589,-52.42504058570779,69.74521007721577,78.22048212869718,C,C,C,1
Mexico,Widowed,Bisexual,-44.436779505901555,D,B,C,E,109.16218763222474,227.09482948417912,D,A,C,-46.171889058833266,-226.0479880353087,3.7997679244558733,-40.77257288714669,-10.610371634079776,E,B,E,0
India,Divorced,Homosexual,24.26964337155314,D,A,A,D,219.12985275498954,-3.9113148335734405,B,A,C,56.72615513615212,-81.73024536796188,16.468564483701723,44.85688184231864,-195.58080500545867,C,A,E,1
China,Widowed,Heterosexual,-17.56044034978803,E,E,B,E,-18.478496477520252,58.12781336907897,C,C,D,-36.43891213418187,-30.463937950377545,-48.63283648615826,5.315737333061847,63.24421594189087,A,E,B,0
China,Single,Homosexual,-124.65589554456122,D,B,D,B,-157.52122695750714,-115.79771258552202,E,A,B,87.55403454567741,-31.504830374918598,-48.3813796626246,-41.61309113754484,-20.022218321205695,A,C,E,0
India,Widowed,Bisexual,39.80718740822183,C,E,B,D,157.37686665657625,-164.90903799821024,A,B,B,189.98441305912723,-20.020243816961862,12.751149876747423,-69.10977948095697,-169.0298620083501,A,E,B,0
China,Married,Other,31.568351533136408,D,A,A,B,-197.6399825278957,-74.21135545415046,D,D,E,118.00715883257078,0.3431361847682281,100.12160972423622,-197.1697357394081,4.815640206962443,E,E,C,0
India,Divorced,Other,115.90402805427036,B,C,A,A,54.21520002119474,-46.613220673024024,E,D,B,51.92757580394153,-33.36507617200179,68.72858759723498,20.8976995361773,133.08076158496408,D,C,E,1
Germany,Divorced,Heterosexual,-64.5740910790532,D,C,A,B,-53.52339378883837,260.64554723377245,C,E,B,-47.23394956080054,11.667256054171412,153.33208907777603,70.80872831279966,80.9334555384521,C,B,E,0
US,Married,Homosexual,29.47716775479555,C,A,C,A,190.40263177604388,-98.2158930668113,D,E,C,54.93872569973033,137.99250842353464,-38.06817577641669,-67.37242498843146,90.17276667601799,E,D,D,0
India,Divorced,Other,97.45849672106543,C,A,D,D,33.92203639348397,67.23423726767658,A,E,B,108.52409260528677,-136.16229034846475,1.3342988609910722,-134.66825696137107,174.26720337501374,A,C,C,1
Germany,Married,Other,-59.07982979300116,B,E,A,C,-241.6933985486038,20.509105452585988,B,D,B,-55.94395443103524,121.92878301720327,-20.045101519203218,-58.20707240882651,-162.40440704698,A,D,D,0
Mexico,Married,Other,-1.2418526243237176,B,A,D,D,-36.647555345370925,-42.68321185793138,A,C,C,78.05265429552333,-8.29978864987067,45.20332923857733,-84.1829846449151,-142.24710417800338,E,B,D,1
Brazil,Married,Heterosexual,-63.27482522576441,D,D,D,B,122.00788984287534,42.16862138580457,A,D,E,119.5308516812855,163.8942877729364,59.50838884162973,-21.173372640255593,-75.19013034105483,E,A,A,0
Mexico,Divorced,Heterosexual,-87.40958946480866,E,C,C,B,31.211986338943927,112.12485892664151,C,B,A,-73.86351051808839,-235.65799321640557,23.824057403709396,-77.87485879829586,36.07548083585069,C,D,B,0
Germany,Divorced,Other,-97.7170028244003,C,C,D,D,-97.85091000155774,-73.34348141601363,A,D,D,-64.34145138914145,-83.88029488395938,-76.07213039543956,-121.6793327023041,80.76020476448758,A,C,B,1
China,Single,Bisexual,91.4917309974928,D,D,E,D,118.29310606641816,104.26908563525257,C,D,D,86.75715734922639,-29.844312137413826,-65.86950238237816,-234.7385327494073,80.78352943852305,D,D,B,1
US,Divorced,Heterosexual,-26.092745698428317,B,C,A,D,-32.2547649107897,35.78733050488721,B,B,B,-109.11033804957586,-24.24634822646018,0.5723983815603423,-240.23162098505338,155.22222052527235,D,A,A,0
Mexico,Married,Homosexual,-97.35286652904463,D,E,E,A,-95.45749583822244,-29.769253652456417,C,D,E,12.088022356101586,17.851972894462666,12.758922660788603,175.96524553834692,50.205943961932334,D,B,E,1
India,Widowed,Bisexual,-167.46309123976116,D,D,B,B,-133.1758822394244,-109.74861858261144,E,C,B,-43.375819640164785,-64.69741240671793,-25.703633533214536,-27.161702176438013,16.136022815090204,D,A,A,1
India,Single,Other,-37.583521468584806,C,C,B,D,-35.72394770839626,173.90052021793414,C,E,B,32.36164993445579,116.4623208393808,-41.53068587823915,128.780076378658,8.934853248245098,E,D,A,1
Mexico,Widowed,Heterosexual,67.76234647320702,A,A,D,D,-215.73007363299678,-92.92882069594293,B,A,C,58.29840356314209,-134.21340312712968,4.19956780482424,-45.28234914398717,36.465696510503264,E,B,C,1
US,Divorced,Bisexual,-103.53565669873038,B,E,C,B,-94.3091618571716,-18.46935121098332,C,A,A,-149.07906850199083,120.01447960837022,100.72994796357521,12.684158850935228,176.7054698293235,B,D,B,1
Brazil,Widowed,Bisexual,193.0684074136242,C,B,C,A,97.4240778091477,-123.48427404081397,A,A,B,48.96894212365832,-28.102160773449224,90.36134168604684,-158.63161110730192,-10.589565035943423,D,B,E,1
India,Single,Homosexual,102.33671449455561,A,B,E,D,-85.80720827030598,21.610006732415073,D,E,E,78.44142298659627,5.109976529116586,28.456114396065864,-72.82803505588615,25.117539022398933,D,D,C,0
Germany,Divorced,Homosexual,174.15614663765453,A,C,E,C,-88.18607286154467,-58.43407297246532,E,D,B,-249.70701195036207,-39.496690338993105,154.00998501378623,-60.135689926351,163.96281362760897,B,D,D,0
Germany,Widowed,Homosexual,155.0060090469905,A,E,C,D,28.94627787317532,110.62336477970564,E,C,A,66.96125934593981,2.6489585685084105,20.4782303484442,-43.110272447864666,-101.4929282273269,A,A,B,0
Brazil,Single,Bisexual,-7.201360941408078,C,B,A,E,33.80056961632699,-39.50095689636357,C,E,D,-34.43114079588421,-16.716850384462486,-52.05753082686084,-41.366958914483924,-142.12720971025593,C,A,C,1
Germany,Single,Other,-114.82155947606219,D,A,A,A,-1.5376822620424158,37.43207547827237,E,C,E,39.81094378626835,10.371091463900187,50.266309954998945,68.87527820305483,-37.955220143734465,D,B,A,1
UK,Widowed,Other,271.9312235558506,A,D,B,E,26.36148683409844,-93.8306225568832,D,C,D,169.46940944654116,29.092611530935002,6.606110549357188,30.764245403726996,-26.607979620699503,A,D,D,0
Brazil,Single,Bisexual,50.69711270260697,E,A,E,B,118.5460525016573,134.25346906722876,D,B,A,76.11381055028579,-38.896177030992035,-0.615756328545025,-7.141466120808546,-12.350601378404754,D,E,D,1
UK,Married,Heterosexual,13.957013963838047,E,B,D,C,-72.79390094517574,-109.20084208711258,D,E,A,-206.51771917342893,-109.37779387286177,54.23787061908727,44.365190284197546,-104.33859488509356,E,C,C,0
India,Single,Other,-132.9588017379785,C,B,A,C,-117.41122006683852,83.44167463990222,B,A,A,-9.845651814186674,-50.003685653697595,-102.89713405312055,24.650472989395784,-36.69008087498685,D,E,C,1
Germany,Single,Bisexual,123.98846166912556,E,E,D,E,109.65608664646906,-51.26646009319299,D,E,B,29.31324844205901,-130.13959303920348,-20.090495229315124,12.592963942917635,55.00657696570368,A,A,C,1
Mexico,Divorced,Homosexual,-138.65501944274783,C,D,E,C,136.36117343061292,111.32798235758908,E,B,B,1.8072637679449073,128.00342058233943,-50.59943468757198,-45.43921556980745,-43.23885464085318,C,B,A,1
