orientation,gender,Disability,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Other,Non-binary,None,Other,E,-19.387944775387762,A,A,-88.82986128523203,E,106.51740851598966,C,B,-9.294891966704077,-9.866988858079237,B,C,-80.19338419534597,A,0
Other,Male,Physical,None,A,143.4590163381239,C,C,37.3192188383203,A,-5.853950514313161,E,C,-196.84578408644566,-50.39605020631873,A,A,32.2734745978485,D,0
Other,Other,No,None,C,-48.51478812731788,D,C,88.1811580133874,D,4.132107014829138,E,B,25.43255255931519,-4.923738763197243,C,A,-12.741024458445743,C,0
Heterosexual,Male,No,Other,E,131.44987802433343,D,A,57.43509195401706,E,-64.32081477517944,D,D,-67.51277833347609,43.27990444590458,B,D,-2.7716686400974657,D,1
Bisexual,M,None,None,A,-95.84348547290719,A,B,164.75126120376277,B,-28.216358359321408,E,C,38.20633909818255,88.54216132934398,C,D,24.327171398316487,A,1
Bisexual,Female,Physical,Buddhist,E,-50.672867689866955,A,E,-75.19779173846807,A,191.63051959103146,C,B,-166.26806333049055,166.5959820781913,A,C,-97.14712664854837,E,0
Bisexual,Male,Yes,Buddhist,A,-83.64193874478174,C,D,-99.8292971464723,C,111.28979751793693,C,B,-21.951930172910554,83.60485483528595,C,C,-90.94242506572805,B,1
Other,Non-binary,No,Hindu,B,-194.15257628493356,B,C,86.74587428989766,A,-169.7303299659074,E,E,166.51272359320106,-68.98347374861339,E,A,179.66532373143536,A,1
Bisexual,M,None,Christian,D,-73.91598936849984,E,C,67.71614479798995,C,174.51699021149904,C,D,-7.589030888905198,-20.34270800936941,E,B,-134.03927515194246,C,1
Bisexual,Male,Yes,Other,C,-93.08114591496825,C,A,143.101740191519,B,-27.94569755634561,C,D,100.64904731235507,25.135417382773102,B,C,11.902670182161426,E,0
Heterosexual,Female,Both,Buddhist,A,-138.1790014700801,A,C,-68.1361056636918,E,-86.06425115659869,C,A,3.9369126910355803,-11.265655765286436,B,D,115.551151732096,B,1
Other,F,No,Hindu,D,146.10210248657472,D,E,-5.949359750453383,B,249.0748447878151,E,C,158.27199460122304,-68.47166525335734,B,E,-99.88654540520182,C,0
Heterosexual,M,None,Buddhist,D,94.68325041494778,C,E,-35.82413484447589,D,16.77522989005478,D,C,-26.39694571040844,-118.04244511295812,A,C,212.15266470908065,B,1
Heterosexual,Female,Physical,Christian,B,292.8896279819741,D,E,-27.875635118933843,E,22.39303076985938,B,B,-104.70428740535304,-41.99184868140176,B,D,-168.33585275886276,C,0
Homosexual,Male,No,Buddhist,D,-57.917489554367485,D,C,58.58882148426991,E,4.648732521742552,E,B,71.85234825574935,-115.7366880025131,E,D,8.704496492041288,C,1
Bisexual,M,None,Buddhist,C,-21.65371029887578,E,A,9.578760259592787,D,-39.67356186023651,E,A,-122.3615243422255,171.18339929885596,C,B,-174.46024521606586,A,0
Other,Female,Mental,Hindu,E,21.134923295443617,A,D,104.64408971425084,B,-125.86823355364223,B,A,59.02865306097629,-68.70074584626374,B,C,-102.25434111061537,D,1
Heterosexual,Other,No,Buddhist,C,-120.79834349870528,D,B,14.053428976040156,C,-38.78522394351312,E,E,68.69839483680481,2.9203612388905755,D,C,244.62874434842607,C,1
Bisexual,F,None,None,C,70.222864110201,A,E,-67.39633266475491,C,61.31786310041972,B,B,3.6750767287184565,-109.14494656201083,D,A,-106.6776072471502,E,0
Heterosexual,Female,Physical,Other,D,-102.26390886186114,C,B,4.130929787485882,C,-11.5623228491181,D,C,-41.423976503395444,-311.66295776910795,D,D,238.45873261984156,E,1
Other,Male,None,None,B,-29.527467694598506,E,A,-91.89459247911977,D,-25.171893243430375,C,D,88.74547958616112,60.43794687376973,A,C,14.250172854893128,C,1
Heterosexual,Non-binary,Yes,Muslim,C,-68.9663580156051,E,C,-131.56627222668584,E,-21.499158690719923,E,A,125.04955093122096,-28.938968907197914,A,E,-42.643107981429466,D,1
Heterosexual,M,Both,Muslim,B,-41.431071535809146,E,A,35.12949086148303,D,-26.833108454804332,C,D,-94.60400015060138,-23.137382575712763,B,C,-121.0579439791132,A,1
Other,Other,No,Christian,E,-34.092121220737134,D,B,-30.790347188545102,E,-136.58766733344325,B,E,69.49839763299529,11.503741647617868,B,D,-42.67557205736515,D,0
Bisexual,F,Yes,Christian,E,43.969921498835404,E,E,33.2593210818725,C,17.411166864329722,B,B,187.4228992954649,164.04676180752114,E,A,-74.48077000995906,D,0
Heterosexual,Non-binary,No,Christian,A,171.5962435376852,A,B,40.49820512549081,B,-190.00550325842232,D,E,-42.95304442238401,291.9094104030302,E,C,-62.2115670162667,A,1
Heterosexual,Other,None,Hindu,D,-33.672768840864165,B,B,-163.51609306849977,E,-92.47459483276928,A,C,-114.63085846313908,-7.231807687354019,E,E,112.29276418104955,C,0
Heterosexual,Female,None,Muslim,E,84.02710949894531,B,B,-30.881979046291836,D,9.787226542951217,E,B,-9.362403320461365,4.275092736706703,A,C,-32.85328369147329,C,0
Other,F,Mental,Muslim,E,-66.69503098734295,B,A,-108.85424400464157,A,6.107609141302168,B,C,37.000305534324156,194.49890450648567,D,C,57.71235031159,D,0
Heterosexual,M,None,Muslim,C,31.61356675381024,C,C,160.949136420997,D,-15.379173690596598,E,D,31.149057556264598,-34.49533165739606,A,D,19.933076244684,D,1
Homosexual,Other,Both,Buddhist,B,-5.227401600489416,A,E,53.395070902058315,D,-170.6433665408151,E,D,186.94748864702953,10.059250138776685,D,E,153.27129825422634,E,0
Other,M,Physical,None,A,-4.0775674496138965,D,A,-13.20678660979086,B,20.46093465870406,B,E,95.66059536578764,133.1816708151318,C,E,37.13588311604698,A,0
Homosexual,Other,Physical,Hindu,A,16.334410272790752,B,A,1.6148238974977482,C,97.58933546124689,C,C,16.66569158999276,-101.02586492727379,A,E,91.49116943411853,C,1
Heterosexual,Other,Mental,Other,C,7.570865403494004,B,E,85.63925202917108,E,115.8845262504227,D,D,58.32980663119791,-56.15496749085332,D,E,266.7362591488269,A,1
Homosexual,M,None,Jewish,B,-85.35262724820198,D,A,-195.23713525798914,B,69.5297868160222,D,E,90.63320987104146,93.33147512252371,D,E,98.24621499912149,C,0
Heterosexual,F,Physical,Hindu,A,-3.0903387896023355,C,C,135.34627062120995,D,-48.95522943158635,C,D,120.18836989170288,31.40189769411219,C,A,111.61280548700753,C,1
Heterosexual,F,Both,Buddhist,C,24.311510730625294,C,C,94.79063347818114,D,-85.33576874567619,B,B,-3.1600985629973315,33.98021842103098,E,B,116.8668324483803,D,1
Other,Other,None,Muslim,B,36.04910942488058,D,A,50.44700146058732,E,3.0766492748350553,B,E,-66.54177801141626,-77.27268660719604,D,C,-40.66241459523168,A,1
Other,F,Mental,Christian,B,24.565497121790962,E,D,181.43373893498165,C,26.33858651805989,B,E,-130.5871838621254,100.96613749313124,E,E,-183.58455699608086,A,1
Homosexual,F,No,Muslim,E,58.67762441638714,C,C,-97.7842313029301,B,80.08318395048299,D,A,-178.55058478770226,-53.266289291820144,C,C,22.385491825459717,D,0
Heterosexual,M,None,Hindu,D,119.12489159594635,D,D,-83.23924459123722,A,87.81195667234428,A,E,-52.42853082030617,183.47120301100335,A,D,-116.66512920648793,E,1
Bisexual,Non-binary,Yes,Muslim,E,-254.50806017460752,E,A,-87.63838233513096,B,-14.064058881415104,C,D,-132.00769072682272,128.71087123037267,B,D,215.9009777589425,B,0
Other,Other,Yes,Hindu,E,-98.94130760566465,B,E,-75.28754072893024,D,-166.88445851690236,B,E,-74.82356643322629,104.39022018920106,B,B,111.49456390098437,D,1
Bisexual,Male,Both,Buddhist,B,-39.19237263829993,E,C,-98.68400223303072,D,198.18692702080364,E,A,-28.64115542914182,-75.7511418944666,C,A,-122.27539237334166,E,0
Homosexual,Other,No,Christian,A,21.1528820050025,D,A,-177.31528359856955,C,162.02830359187345,D,B,-179.27508890871488,-61.48716990575595,A,E,36.46514481377063,A,0
Other,F,No,Muslim,B,196.16056971176212,E,B,31.94776714462956,B,-7.6815012759529875,E,E,102.80181947067186,-2.232207712442246,A,A,135.47123617260843,C,0
Homosexual,Male,Yes,Buddhist,A,-85.90646154222152,D,A,-112.8813567671877,B,36.84583947969862,E,C,-131.83510927784582,-252.08753387359408,E,D,29.48079284955762,B,1
Homosexual,M,Both,Other,A,-141.06858186780613,E,C,2.625231737304838,B,-24.01962324505943,D,C,-49.75375996054879,31.50549248741302,E,E,44.836551296704116,C,0
Heterosexual,Other,No,Christian,D,15.5341274737136,C,C,125.60271692919613,D,-54.520422011756466,D,A,-30.524917042955707,90.47912612289655,D,B,129.4926898689034,A,0
Homosexual,F,Yes,Hindu,A,9.21525550397077,A,D,106.98018619736152,C,-40.05431583553662,E,D,-83.79447726121909,88.31787736067676,C,B,-146.56909322515725,E,1
Bisexual,M,Mental,Hindu,B,44.81764593134502,D,A,-31.69696711243254,E,-87.26717868148837,B,B,-61.73829126753425,-268.8300736400859,B,D,80.67945172753303,A,1
Heterosexual,F,None,Jewish,C,34.28620422794176,A,A,-81.15683144167129,A,110.03729253047881,E,D,-56.04874679600348,-45.95299351581617,E,E,-64.08883569448783,E,0
Homosexual,Female,Mental,Christian,B,-66.89587021252123,C,B,-84.69835268488002,B,8.402423528458817,B,E,40.89021316821289,94.55292793774893,E,E,-36.557576438310754,A,0
Other,Other,Mental,Other,D,-32.86959780134243,D,A,0.47466509234653265,B,-20.946059916681044,D,E,6.788898287959401,-61.44101098488133,E,E,34.7381978504265,C,0
Bisexual,Female,Physical,None,B,38.57727602751645,A,A,63.27505188107862,A,-92.69235320539536,A,B,78.72228332365177,203.33342685591006,E,C,-120.24094261893772,D,1
Bisexual,Female,No,Muslim,B,96.89324179433693,D,E,117.93406099285019,E,90.73438978237928,A,E,-4.019979763251869,-216.22575527720716,C,C,-160.57113368465323,D,1
Bisexual,Male,Physical,Jewish,E,31.292990331357956,D,E,-95.14929033639984,B,-111.39096683870456,A,E,91.56779234830967,76.37948760418396,A,A,-86.94493273416609,B,1
Homosexual,Other,Yes,Hindu,A,-33.943583763277765,B,B,60.384949274815156,D,154.02872895373955,B,D,-79.89333359448585,-19.220156716879934,A,C,-64.07714539668335,B,1
Homosexual,F,Yes,Hindu,A,25.18966166448095,A,E,-134.054700997873,E,-51.464008126121094,D,C,-63.267497013389075,190.12894808696797,E,A,-143.40540001764768,A,1
Homosexual,Non-binary,Physical,Buddhist,D,21.696825161222094,E,A,-13.591940521255449,C,-99.56110223443957,A,C,-62.927453359393816,-13.653924016677099,C,B,-146.9909064243594,A,0
Other,Female,None,Other,C,-70.28516226365745,C,D,61.50594823021086,A,-27.451564890231918,A,B,-84.0961626034997,162.75912098977224,A,B,22.405718130664045,B,1
Heterosexual,Non-binary,Physical,Other,B,71.22451750986856,D,E,-5.303153911357399,A,134.47471100102985,A,C,-68.84856449980921,10.56632286053999,A,D,136.88340761284076,E,0
Bisexual,Other,Physical,Jewish,E,-32.737513513527446,D,C,-134.59763519614094,B,-54.4115849470497,E,B,4.583425091751991,65.82377487502848,C,A,-41.173743522416956,D,1
Other,Non-binary,Both,Muslim,E,-90.30590295591499,C,D,-46.39527606788823,E,86.2788581447474,D,C,-145.74207595550533,134.10480770886866,B,C,-44.02972434994927,A,1
Bisexual,Male,Physical,Muslim,D,-3.8126382016655107,D,D,-188.51918826698494,B,-224.1813456672269,D,C,19.322722071460312,47.28837492288538,C,A,-18.594768541369003,C,1
Bisexual,Non-binary,None,Other,D,94.81666467739524,A,C,103.92108965990228,D,-13.230313870966176,C,B,161.99302512160446,-75.59341185150117,C,C,150.9951028366007,A,0
Heterosexual,Female,Physical,Muslim,E,-139.33760914819536,D,D,11.567729310516421,D,127.23453059547074,A,D,-163.2671447233121,-10.119653746985458,D,E,97.39482362879636,B,1
Homosexual,F,None,Muslim,B,-53.60580502601244,D,B,165.30233030370286,C,-30.712543073325126,E,D,19.714529890627464,71.76463661070183,E,B,72.20024694195362,D,1
Homosexual,Male,Both,Muslim,A,3.8769478101434967,D,A,93.60931950356034,E,63.013416669612376,A,A,104.41149970639788,90.01015780351966,B,C,19.320828770277384,C,1
Bisexual,Non-binary,No,Jewish,A,-21.19813777263024,C,D,-84.2278121883521,E,38.699019441200086,E,E,-15.077719812946219,-7.642891090170381,A,C,-42.673773729528115,C,1
Bisexual,Non-binary,Both,Other,D,106.34294920060485,A,D,-7.163496086956103,D,-125.43483039172936,B,A,-90.59509487025748,-0.45066926309987765,C,A,-62.592509334487055,A,0
Heterosexual,Male,Both,Jewish,A,122.90360223830481,D,B,325.4034194934369,E,38.58966449736877,E,A,-159.05023855972956,61.23528693796783,A,D,-71.43770892386773,A,0
Other,M,Mental,Muslim,D,91.8988552253781,D,C,-61.57362625143414,B,1.6465991457187368,D,A,-110.28525150861957,31.428177999910766,D,D,123.83467485602534,A,1
Homosexual,Female,None,Hindu,A,-10.709863787357094,C,B,-182.03044966347747,B,-32.17297714469106,D,B,-74.55091891817021,-152.4948752195928,B,C,-58.134534178916006,A,0
Other,F,Physical,Christian,D,-136.6692007961411,B,C,-10.004233990619662,D,-42.197545980671734,D,A,-345.51742170513484,-123.55337811837424,C,B,-7.6664744181393925,D,0
Other,Female,Mental,None,C,46.68895805763961,D,C,23.372872412306858,D,-88.79940262417936,D,A,-126.75938907190086,15.569179951636022,A,D,119.25624214590947,B,1
Heterosexual,Female,None,Hindu,C,-51.40754120403217,D,B,32.40189448335619,C,280.3477435618133,C,A,123.85553538393792,99.56072143651443,C,B,37.34187507960803,A,1
Other,Female,No,Hindu,E,65.88536875401813,C,A,121.37868822420916,B,-163.68967829441715,D,B,-47.746636629985275,-76.85499812839484,B,E,-66.65903942924827,C,1
Homosexual,Other,Mental,Hindu,C,148.39316855963978,B,B,194.03279284143494,C,-32.376510904617625,A,E,-82.84286759320862,-96.97936540612471,B,E,101.61602807964579,B,0
Homosexual,Male,Physical,Jewish,C,-26.732243904819853,B,E,35.03700403732667,A,147.59791678593479,D,C,72.42034506761198,185.45755854591823,E,B,-44.42151402975786,C,0
Other,Non-binary,None,Other,C,-63.610333924946694,A,E,-80.45241250974475,D,-71.55017662447545,D,A,101.93739803601245,-249.76280680786095,E,D,102.97367039460836,E,0
Homosexual,M,Yes,Jewish,D,-178.64228460798373,C,B,-126.9135470145508,C,23.658709273235353,A,A,23.585634401325624,57.44672337020873,D,A,-34.613205391140895,C,0
Other,Male,Both,Jewish,B,101.36206410488748,B,A,96.91944561712813,E,-30.94872740162358,E,D,-6.098865168784057,214.2073032327715,D,C,-17.761351210977864,E,0
Other,Other,Physical,Buddhist,A,23.279817579793445,C,B,-162.89336077555,C,-3.7832138234843478,A,E,-110.54825519178732,-112.26218375789085,A,C,55.46290229178472,C,0
Bisexual,M,Both,Other,A,-109.44469646196315,A,E,40.03051478134156,B,-31.621930579711222,D,B,-73.00561440583265,102.17913231075842,E,B,-172.37318596106977,A,0
Heterosexual,F,Yes,Christian,B,-130.96721095971452,E,C,-82.06759061677386,C,13.971416176969234,B,A,-39.99380756903272,165.8406900984576,C,C,-243.02075067334877,A,1
Other,F,Yes,None,C,29.51202301457317,E,C,157.5750598140472,C,-41.79747190701602,B,C,-131.69502826073054,-144.73444935675542,A,D,-53.44506436306259,E,1
Homosexual,Non-binary,Mental,Jewish,C,-52.113415726241655,D,C,-78.0284617845933,D,-39.08498040382971,C,E,-34.15141535378528,-51.544404176658844,D,B,52.34100452562092,B,0
Homosexual,Female,Physical,Buddhist,B,152.19363053169255,E,D,82.0278371344776,E,-35.18387806903323,E,D,31.07212040228865,186.42619096356992,D,B,105.19654430730871,E,0
Homosexual,M,Both,Christian,D,11.853060409260936,D,C,-135.46723289577864,A,114.01266960650452,A,E,133.09461342297206,-104.97035307777355,D,E,10.811710489624978,C,1
Other,Female,Mental,Muslim,E,68.52617606407368,A,D,-4.5613231930979214,B,-16.94132159880605,B,D,62.14583999865864,-43.930843926947254,D,E,83.46800480719992,D,0
Other,Female,Physical,Other,B,-34.311776503471805,E,C,68.96051395563634,A,83.38526475521503,D,B,122.89538587741662,78.3559361269822,E,D,-119.20899733311006,D,1
Homosexual,Other,None,Buddhist,E,25.851156070455446,A,B,104.04658660506433,D,-84.50411328477087,C,D,-56.00557847451928,-50.33783883311609,B,E,7.360211852121417,E,0
Other,Female,Physical,None,B,-71.00447811427573,D,D,36.89039582989806,A,5.022133023266845,A,B,151.46664651290652,-217.991409953544,B,C,69.8107567790228,A,0
Heterosexual,M,Both,Muslim,D,56.836214389858654,A,E,184.23016815681393,B,260.7338491604582,A,B,-138.9327933897451,15.764747473795884,E,C,117.5324717144453,D,0
Heterosexual,Female,Yes,Buddhist,E,-154.43651279106584,B,D,66.3913833045288,D,36.780129958800686,B,B,75.75591542558567,-124.91536121565623,E,C,19.921002714017572,E,0
Homosexual,Non-binary,Mental,Hindu,B,55.856364219527265,C,B,-1.830891775994772,C,-99.61503990003814,D,A,-138.58136119666383,49.17038966469862,D,C,12.22218524126876,A,1
Other,Other,No,Muslim,A,-145.13313031295854,E,D,180.88157746976478,D,-7.832078891362275,A,B,-24.189632512321353,185.71121877248206,A,D,76.26385189231294,B,1
Heterosexual,F,None,Buddhist,E,-65.57985892587024,C,B,34.0685859870485,A,14.82934332394523,A,C,36.465942096382406,100.59749250331227,E,B,-87.78305885347179,A,1
Other,F,Physical,Hindu,E,-109.9056252943002,A,A,99.72949471152002,B,46.094296451699435,C,B,-48.220938150423265,-44.89246706862704,A,C,-189.35712510102252,E,1
Heterosexual,Male,None,None,E,-212.77848745326492,E,A,59.2881488466403,C,-102.73341520202396,D,B,-3.0377080228578635,-5.979861767493276,E,E,-50.09665135750886,B,0
Other,Non-binary,Mental,Christian,E,95.08043327733681,A,E,61.82945533597031,D,101.47212472660381,B,E,8.376976663412956,-72.69394952036602,B,E,-200.00266986419447,A,0
Bisexual,M,Both,Buddhist,B,-35.70439057549921,D,C,-26.222248565200555,D,77.34451438389358,E,D,65.64439981652573,21.877363750676334,B,A,-31.080668584916516,C,1
Heterosexual,F,Physical,None,A,-156.03891214200615,E,D,-133.61813546625413,C,-62.63513880889673,B,E,-99.06569939918658,113.27963724170172,E,B,135.6809534430822,C,0
Other,Female,Physical,Hindu,A,23.381040336482414,E,C,15.352201209635712,A,23.614548932512907,D,B,199.94851309780432,51.06107105543847,C,C,87.09959712077784,D,0
Homosexual,Male,Both,Muslim,C,-44.01677783294369,A,D,-92.8663236188597,E,47.981361469229185,C,D,-135.14628665125346,54.479184277906725,D,A,213.44669645829475,C,1
