marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Widowed,B,D,B,E,31.07136584493041,C,A,A,C,58.29779775759303,54.64760628906705,202.83670176041758,1
Widowed,D,A,A,B,-99.28156852634416,E,D,C,C,-129.06419863135062,16.246365508544006,-101.86714167436408,0
Married,B,C,C,B,-75.50655528813404,E,D,B,B,15.968571679578217,-6.624947263662824,-81.20441766083346,1
Divorced,D,E,C,A,-68.66695429667743,A,D,D,E,-184.2711615940389,78.55017462555568,12.537774563069028,0
Widowed,C,B,D,A,-14.773243877648168,E,E,A,D,174.80617426710623,-51.699073818694785,40.75769749240584,0
Widowed,E,A,A,A,-22.950150994660234,B,B,A,A,-87.47480041768186,-229.71881577389243,50.237334489356286,1
Single,D,E,D,E,142.58914183981665,E,E,C,D,-126.2776594930956,-22.742402078954278,-68.82731265685686,1
Widowed,A,E,B,E,172.5303402567416,C,C,B,C,1.525118572862801,-74.017802846957,-28.902624504040343,1
Divorced,D,B,E,C,16.188268085425282,E,C,C,D,108.91862103251452,-125.25018905338443,-33.348455972790326,0
Divorced,B,E,E,B,-68.39850688611736,B,A,D,D,145.44078184324098,29.209274369336057,17.706571579696845,1
Married,B,A,A,D,-177.19579472101822,C,B,E,B,-56.41755696999793,16.894152319075832,-96.64134756814738,1
Widowed,A,A,A,D,-223.74306718714817,D,E,A,D,57.25889996955053,27.467425310805044,-193.3288792193847,0
Single,E,A,B,D,118.93616931896585,D,A,C,A,66.21469556977485,-0.558349603463355,73.0158844273589,1
Divorced,E,C,A,B,-11.00916812631796,D,B,A,A,-45.966389141591144,-17.16679189084093,212.9253528096613,1
Divorced,B,E,B,D,-76.52010213483297,C,C,C,E,16.22224208749407,-45.76094496381178,-134.0866162330233,1
Married,B,B,A,D,-57.88123114404529,B,B,D,B,-221.38649012902835,53.78235593044549,-2.0088402079346643,1
Married,A,B,A,C,11.355038819912197,B,E,E,A,-104.34236776757142,236.7700583048609,31.860641183389127,1
Married,D,C,D,E,-8.79647317196018,E,A,B,C,-63.124092833109835,-28.87530748124662,246.5866054645632,1
Widowed,A,A,D,D,15.019424791750636,C,D,C,A,31.81241025505116,-170.6399284970821,-0.10892279561315732,0
Divorced,B,D,C,C,55.28545025806272,C,E,C,E,-115.61063445845876,-160.12357142657547,49.087469143304496,0
Single,D,C,A,C,-28.607484964069762,D,D,E,B,25.007022329356225,85.84104991412416,-7.701979919554233,1
Married,D,A,C,A,3.3605948705076183,E,B,C,C,201.52985769918024,-102.5506834706767,-12.733476743416286,1
Single,B,C,B,B,-188.59837179604492,D,C,D,A,55.092572250825675,-35.36707951545374,-82.76780780213012,0
Widowed,E,B,E,C,-86.47412371076388,C,E,E,D,-136.43286205270678,-84.01991215383026,89.69816042004652,0
Widowed,A,E,A,A,-115.39673671111186,D,C,C,C,-52.20653204100021,-8.604093740543355,-95.81956544396579,1
Divorced,A,E,C,A,-247.86730778217202,B,C,A,C,99.63581077050661,-42.929423053416,-19.166684986420282,0
Single,D,E,B,B,-25.685487754040437,D,C,B,C,146.74059209114057,76.23191477323968,73.28110873954306,1
Widowed,A,B,D,E,-94.3617578157411,E,B,C,A,69.58373012197661,-58.1113488080331,56.59608482599147,0
Single,E,D,B,D,-20.205379289598692,B,A,B,C,4.113070727340769,-78.37023297185172,-92.50677718248853,1
Widowed,D,C,B,D,-25.71860035941252,E,B,A,B,114.82533683341126,-16.085771902177854,16.602402928082622,0
Married,A,E,E,E,116.38817605131348,B,E,D,B,-86.6519978798877,-55.521957046173284,-37.71667825235821,1
Married,C,E,D,D,116.67656316745168,E,B,E,E,85.6398598458628,16.47774417006414,-88.26233641973668,0
Married,E,B,D,C,77.79131654489201,C,B,A,C,117.6300950504476,-120.24430403576223,128.2862866877731,1
Divorced,A,D,E,B,73.08807538636425,B,D,C,B,-33.90763149907245,-49.21576617043299,46.932152703496435,1
Married,B,B,D,B,169.89309300388248,A,B,B,A,-3.5884927638927264,-186.8044880805692,38.398988453057534,1
Single,C,E,E,E,101.45145048972115,D,D,B,D,55.369250091777545,-5.299203391208336,46.56795875746687,1
Single,C,D,B,B,-35.79140127004163,E,A,E,B,19.758363292526603,122.21778106636403,-62.29877035629149,0
Single,D,B,A,D,55.72125096553398,B,E,C,C,-96.29387289583619,20.873031649966965,172.95097407454176,1
Widowed,B,D,C,E,40.65168789509854,B,B,C,B,187.80464899310948,-123.07672756784109,-110.16014582775182,0
Widowed,C,B,D,D,9.173636478170483,A,D,A,D,-92.61217421298518,52.18879144150562,68.04920053196776,0
Married,B,E,D,B,-74.45018445795849,D,E,D,A,-219.63209212631315,-166.30084104836223,-108.67795168631753,0
Widowed,D,E,B,D,257.4141917265975,A,E,E,A,98.71099319994438,-31.82239551051167,-6.22746404466988,0
Divorced,E,A,B,C,76.11181215732935,A,C,D,D,-87.75506838810368,-11.043424750331274,-188.10365948956346,0
Married,B,E,C,D,-201.96948302815917,C,E,B,B,-21.713755265350326,-119.5537546386203,49.28065395647429,0
Single,B,D,C,E,-22.212109736943543,E,A,C,D,46.31167617492796,172.6689373164774,21.32413134458549,0
Divorced,D,B,E,D,-87.3493662688578,D,B,A,B,44.75445373672267,51.61484695760801,6.1436023517715,1
Widowed,A,C,C,C,182.8392120629839,B,E,D,B,-90.04275692235967,-110.27753368992335,-195.43997379154118,1
Married,C,B,A,D,-167.06725509012134,C,E,D,A,-153.87263321073425,-219.98698272637262,-28.75719226406129,1
Divorced,C,E,B,B,3.758191253948384,D,E,A,D,13.783483005998153,3.705866606981739,-201.59771876749178,1
Widowed,A,B,A,E,8.227394286817878,D,A,B,C,60.67351102498473,92.78210161452782,81.37506633310947,1
Divorced,B,D,C,A,-177.62244733399405,D,B,C,B,-53.11701220343548,-61.94828143295146,-33.561378701382424,0
Widowed,E,A,C,B,107.94657514572556,B,D,A,C,-108.20174640041071,118.01951561490543,67.07251276171819,1
Divorced,B,A,C,C,-70.46539922024205,B,D,E,B,129.71351656675898,-101.17303479491117,-188.58969959648877,1
Divorced,B,B,D,B,-107.43005683771952,C,A,E,B,-172.15948555251944,11.750084813106074,2.846560767701493,0
Single,A,A,C,A,9.623653061283779,B,C,D,C,-136.62121933946864,2.934247039953999,-64.59055572163288,0
Married,A,D,A,A,125.54657405636856,A,A,A,B,-36.80165352927475,45.87075864955044,57.74617624237951,0
Widowed,C,E,B,B,121.63652264055737,D,A,A,D,-4.673195386066604,77.29210506613991,65.95522933459007,0
Single,A,C,B,D,21.758135458725185,D,E,C,B,-63.18564899016478,78.48238346030124,-102.31040399521356,1
Single,C,D,A,A,-63.079538775912425,B,B,B,B,73.05612841854388,-65.12291577434011,-76.22585294039908,1
Married,B,A,A,A,157.61408883061273,E,D,D,C,-29.449517456161768,-30.439569830307168,225.69934089427025,0
Divorced,B,A,D,D,40.163775458315826,D,B,D,A,-20.330441198044156,-111.73871583842285,-93.90939037814525,1
Divorced,D,C,D,B,-33.745618785183,B,B,C,D,-28.25452252646895,-204.2370392703352,42.68681279841222,1
Widowed,B,B,E,C,73.83927694090896,A,B,E,A,-131.07297733792058,-127.49442531280646,121.86091463663105,1
Widowed,D,E,E,B,241.04559843710229,B,A,C,C,121.05722920552466,-77.43648953233772,75.89357459317505,1
Widowed,B,E,D,B,80.20386563772898,C,E,B,B,69.25400063042389,-31.366625692290206,-77.56605462768752,1
Married,B,B,E,B,-91.12432318051923,A,D,E,C,13.953117788139041,-4.54498050534681,46.75959854168826,0
Married,A,D,D,D,-62.76226980307593,A,B,A,C,71.52070850920094,-48.59108940005678,-23.283919737306846,1
Married,C,B,D,B,84.33275854095716,B,B,A,D,73.9005472730599,38.4779667212791,-211.67978857197807,0
Married,D,B,C,C,-164.70288966053909,B,E,E,A,-5.789411746193781,-113.91404645386618,54.504202233445255,1
Divorced,A,B,A,C,-143.4379992969197,C,A,B,B,-100.28282216165803,-45.580851562845304,110.6323993175435,0
Widowed,A,B,A,C,-92.96932491226602,C,A,A,B,18.671927035150286,185.1724046654168,26.322944373026484,0
Widowed,B,B,A,E,-34.087114732891585,D,D,A,D,158.15913253226853,-82.60257997729285,-18.5162563103877,1
Divorced,E,A,C,D,-5.364646314911747,B,A,C,C,-212.813976183728,228.30520335821637,88.49516564673992,0
Single,E,B,C,D,-70.78400380507804,E,A,C,A,55.72038226227405,-17.621752749454775,47.61537832327907,0
Single,A,B,C,A,-32.7717616363119,C,A,C,E,34.854475129994725,47.81035567246059,55.68878821964886,0
Widowed,A,C,A,B,-66.19400862072598,D,A,A,D,-15.756680381445095,-25.184664822139098,-73.39579410039423,1
Divorced,D,E,C,B,-49.877266501822284,E,C,C,B,-190.27173743359202,21.624796255794475,71.98086624404225,0
Divorced,D,D,E,E,-88.39147472272182,C,D,D,A,89.03464915615002,-105.28449270345858,-287.0369355092571,1
Single,C,B,D,D,42.54358974310378,C,B,E,E,45.42170594151307,54.808024724934924,-111.7868945127881,1
Married,B,B,B,D,50.56236375821802,B,E,E,C,59.797166492462836,-35.46490414170053,53.71214197711291,1
Single,A,B,E,D,12.366583895198847,C,C,D,B,40.59784990924783,68.16062793335855,-97.61906790523814,0
Divorced,B,C,A,B,12.576541257659688,E,A,C,C,13.773191461335067,-153.57750650650948,-24.507320429989555,1
Single,C,E,A,B,-77.98120987620513,E,D,D,A,-36.63629072266092,131.17821647063832,60.00435445572542,0
Single,D,E,A,C,-156.49147074990097,E,D,D,D,10.208696434847173,-136.2790349117044,-29.552610073261317,1
Divorced,A,B,B,D,-58.90061418077239,A,A,B,C,0.7275324473584976,-162.63851270526777,-70.08965021443588,0
Married,B,E,B,D,-38.16043536494917,E,C,A,E,-157.52714834676357,113.4953221328681,-34.67322606428135,0
Single,C,C,C,B,170.54978388608637,C,C,B,D,-117.92866349407176,77.61455267897753,124.48472701675033,0
Widowed,A,A,E,D,-4.119971345146487,B,B,A,B,71.24571537307699,-3.463664734308243,166.47341007491482,1
Single,E,D,B,A,223.4420060062968,B,B,D,C,-11.97918171899112,81.4639106603789,178.4397763137531,1
Single,A,E,A,C,-17.778526547256092,A,B,E,A,-25.62238269645883,-0.9361836157683215,136.64080640621845,0
Married,E,A,A,A,184.00258421090373,A,C,A,D,9.807021955787304,39.49101351398714,112.42777309459045,0
Single,A,A,D,C,185.43675650120468,B,C,C,E,-13.242330379858672,-21.756600176556084,-120.5784556378205,0
Widowed,D,B,A,E,-63.79723311075627,D,A,B,B,10.473634890509967,148.456792307639,196.19209440682627,1
Married,D,B,D,E,8.8454727136562,A,E,D,E,85.98644651277841,67.49197781433406,-21.947196257001263,0
Single,D,D,E,C,-42.97901966092708,D,A,B,D,8.003826312203213,16.10078078690026,172.08367101323282,0
Divorced,E,B,B,C,22.322805544026615,D,D,C,A,21.101027390556002,-65.72362607104577,-52.483694065878794,0
Widowed,E,D,A,B,45.691268074991,D,D,D,E,11.944297254216172,1.7772675816094472,-21.91236514770006,0
Widowed,C,D,B,A,-44.63897580710065,B,C,C,B,-12.09589119194714,13.755016339982342,-63.66495051103489,0
Single,A,D,B,E,49.50374217897199,C,B,B,D,3.1531679292895602,54.330524615581865,10.297246579231063,0
Divorced,E,D,C,E,110.74717788271113,C,E,A,A,2.7109521956202376,-155.24877733043968,-125.39242808862367,0
Married,E,E,E,A,31.40371829794147,B,A,A,E,77.7834170675273,-107.94280858897531,-3.2260841684679042,0
Widowed,B,D,A,B,-296.78670044830653,E,D,E,D,161.13512768073878,237.5419871763988,-86.87233566445309,0
Widowed,E,A,A,D,111.50614008780737,A,A,B,E,17.786780382784357,-117.74535706817886,-107.48620840438701,0
Married,A,B,E,D,-87.03968800669097,C,C,B,A,158.9711435388553,-72.15295472015043,78.19260888675903,0
Married,C,C,B,D,-86.73375849672445,A,B,C,E,55.58127653519178,44.723090761449164,-92.43225973410333,1
Single,D,A,E,E,-121.12450556655293,A,E,A,E,52.69648047910794,24.056447393443474,52.3547949895112,0
Widowed,A,B,A,C,186.40484532191388,E,B,A,B,-36.1566359683215,60.79961641540983,-114.95529432386643,0
Divorced,D,E,B,E,-43.054415380176096,B,C,E,E,-120.0754326339219,-160.87315900377553,52.12813394234621,1
Divorced,E,B,C,B,-200.6638547226137,B,B,A,E,75.50568405163729,-48.73038479683714,-7.247051650165298,1
Married,E,E,D,E,57.50443235011385,E,D,D,C,14.598409053370768,21.96010350999328,151.6030570982613,1
Single,D,E,A,B,175.46459946902525,B,C,B,D,-128.94397850846272,4.82984987064777,36.70379901951353,1
Widowed,E,A,B,C,-2.741913636532482,D,B,E,E,-154.50526976767117,-166.69372185524486,-7.4799290364593265,1
Single,E,E,C,E,17.0245914569386,A,B,C,C,-117.691604069,45.398374392561244,52.369438097850974,1
Divorced,A,D,E,B,40.761695170877054,E,E,D,A,-89.16380608732113,173.00153463546496,-66.35682268335376,1
Divorced,A,A,D,B,-58.04505058970619,D,C,D,B,-38.17817786222261,113.238431005791,133.75076237420123,1
Widowed,C,D,B,C,38.6229588870506,D,E,C,D,3.174573444905597,257.6234553167625,14.359478407331405,1
Divorced,C,B,B,B,121.52070012170495,E,E,D,D,148.77680576850793,-91.69979310770051,-90.6188717224052,1
Single,D,B,E,C,22.995603365152103,B,E,E,C,-241.32825864928304,1.0550178607772827,-186.0281696419288,1
Divorced,E,E,C,B,-75.84145425947123,E,D,C,E,71.59120721149336,-75.89472889906436,36.70714287727423,1
Single,A,A,E,A,22.961047047559013,A,C,B,C,-241.83191839635413,-66.8488010598439,137.6360379911687,1
Single,D,B,C,D,86.2305347275832,D,E,B,E,-2.678357795178747,92.73812339503425,136.780917986121,1
Divorced,B,E,C,E,78.00182790679592,E,A,D,A,-48.43124426750312,55.28424352138488,26.00724902589035,0
Widowed,C,B,A,D,-136.90471224425835,A,E,A,D,98.61043412361691,-105.60660481367437,43.30577195153163,0
Widowed,C,A,C,D,96.6875133124803,E,C,E,A,-31.319689421078213,78.24498175769973,55.51406610955579,1
Divorced,B,D,C,A,62.32092738045305,E,B,A,C,149.9501918513124,-123.81899885246001,10.890358870561666,1
Married,B,E,D,B,-69.45424007371683,C,D,D,D,-55.75304189509187,-41.486052070734445,-3.2547461043050334,1
Divorced,A,A,D,E,-83.28386730193746,D,B,B,D,11.516340355310001,4.963979826259819,-84.38440542506387,0
Single,E,B,D,B,-123.31896626258987,D,D,A,E,-248.54712465204457,-102.85537950821897,17.84216679696716,0
Widowed,A,D,B,B,135.89095978375894,D,C,E,B,8.912694354525456,91.20069751191637,160.44124537300485,0
Widowed,B,B,E,E,-61.819673208369565,A,D,A,A,123.66408173590673,31.032525386087055,-28.480122015314198,0
Widowed,D,E,B,C,-109.11376789654837,A,A,B,C,-19.04831164612062,-91.63008976545986,77.60182510341134,1
Married,B,A,D,D,98.03102511083267,B,A,C,A,-52.97416635784194,-161.58311402814743,24.987390832124863,0
Married,E,E,E,E,-33.308434565829515,C,C,A,D,54.71673476543355,-84.94809770513221,30.749745993590594,0
Single,D,D,E,E,183.09850879044978,D,D,C,B,-156.96249436763424,109.8408801305596,75.99208824998455,0
Single,D,A,C,D,196.85928672639054,E,C,C,C,8.742714379372595,-31.723318247198772,89.66003026931996,1
Married,A,A,C,C,-183.340723464063,E,D,A,B,-96.44576798030346,43.77368992380716,-79.99031810139641,1
Divorced,A,B,B,A,-92.19040118665221,B,C,C,E,-237.80669029665438,-90.01912183419736,5.203562811910813,0
Divorced,A,E,D,B,-210.12640752052025,E,A,B,E,-21.002195973408814,-68.75625590472141,29.339908327495568,1
Divorced,A,E,A,D,73.54218900705554,B,C,D,C,27.594176016770923,76.74740053522498,92.90132459338328,1
Widowed,B,A,B,A,-23.848524425687128,C,E,B,A,-26.075706924805424,126.6377591651139,-30.637386356932677,0
Married,C,E,B,C,-32.90577596587605,D,E,E,A,-11.977338488071396,-87.49144649674511,85.80558554346086,0
Single,B,C,E,B,131.15952900279288,B,A,A,E,-162.74582411561155,-65.70129526106486,-72.29213793611649,0
Single,A,E,E,E,78.60488765175421,D,B,D,B,-76.92744701487105,-113.89482085516636,112.07997864550667,0
Widowed,E,B,E,E,92.63983558598866,B,D,E,A,-55.26979694696551,-145.4433242953199,115.13131006046883,1
Single,C,E,E,D,61.01792891574102,D,C,A,C,-68.42875443527682,83.02435840862924,-44.67161619682546,1
Married,D,B,E,C,92.6557680085582,A,A,D,A,129.25874417417788,69.48699311442863,-0.8051792757885572,0
Widowed,A,E,E,B,119.39574210885289,A,B,B,D,-92.6111794459087,-131.93340353100052,44.663231115499535,1
Married,E,B,C,D,10.227171107500226,C,D,B,D,119.2259323504177,16.557470521577645,-27.124284059117386,1
Married,E,D,A,B,3.477452864616433,D,A,C,A,-68.06679378198181,36.18143311584777,-172.78233624881173,0
Single,A,A,A,D,-111.25717416015846,B,B,A,D,-71.31386954326786,15.149228436017445,159.79884760435002,0
Widowed,B,A,D,D,-138.54923292635047,C,A,A,B,190.52045121933298,38.93759885723216,66.98135963272716,1
Divorced,A,C,E,D,120.60185351457298,E,B,D,E,117.99124387535167,-35.82923996937101,-10.962985174298078,0
Divorced,D,E,E,A,-16.008144503445816,D,C,E,E,211.0621938263521,26.660919459919725,122.03337569564403,0
Widowed,D,A,D,C,136.95171344482878,C,C,A,A,10.167714415414943,-241.6610855752844,11.247914288520823,1
Widowed,C,D,A,A,-41.80653313807775,D,C,B,B,92.7221526976997,-44.463265785498976,-133.52684568704208,1
Single,D,B,D,A,298.1643448577378,B,A,C,A,178.76600737905437,-6.21312184358132,-127.02126336489141,0
Divorced,E,D,D,D,-111.28320485547721,E,B,A,C,33.164244470603904,-81.99008717662814,-161.8266868341031,1
Single,B,C,D,A,15.692503926115267,E,C,A,D,214.76224442892757,-34.36071952250316,-37.77675136688073,0
Widowed,A,A,B,A,-200.45773165606357,E,B,D,A,133.1083664478552,63.995272600845134,-78.71387816491955,0
Single,D,C,D,A,179.05726438944959,E,B,C,C,-16.002983241749895,-10.815012871773003,29.703486160826863,0
Divorced,B,D,D,D,-102.81218344793466,E,B,B,B,95.87668023018585,113.92669260457262,36.07968633446439,0
Widowed,D,A,E,A,190.48385747737214,A,E,C,D,-179.51699813416613,-78.72204520414127,38.67942829802322,0
Single,E,C,B,C,108.51767894485265,C,E,B,B,142.5554816829085,4.287571724143576,-146.58145651642133,0
Divorced,E,D,A,B,-113.82652957692719,B,E,E,A,-47.020423496410814,148.6843585805122,94.11320228049358,0
Married,B,B,E,E,87.44029245451578,D,A,A,B,-83.1684882136997,22.925995658867265,-113.1229628870154,0
Divorced,A,A,E,B,40.48891013560025,A,E,D,D,65.08763586009395,-42.22973031327624,-117.52547899360755,0
Widowed,D,E,B,D,-72.04344698036095,E,A,D,E,-10.764624376259379,119.35337510640605,-147.45859902294708,0
Divorced,A,C,A,C,15.253907295455965,A,E,C,A,24.910843147855864,-62.19034378027156,-4.758911023365873,1
Widowed,D,C,E,A,182.82440371892298,C,C,D,C,-76.86845670751889,9.240428248789357,20.53598302786308,1
Divorced,D,C,D,C,-101.88994904604276,B,E,E,D,-175.68891281005548,-189.5437285364057,-145.11863596675775,1
Widowed,C,A,E,D,-17.51350736065061,A,E,D,B,55.964385866323695,1.4966644428928881,42.88672740310459,0
Single,D,C,C,C,-21.208674654401385,C,A,C,D,-19.366510404773873,66.81292069687494,186.68180442109343,1
Divorced,B,E,E,D,5.2620250565517335,D,C,A,D,-0.6131163168961143,-68.55834914908876,9.898564116773082,1
Single,C,D,A,B,-232.54974384248976,C,E,D,E,-145.85735471283488,-0.9133539620912685,66.22869985601953,1
Married,D,B,C,C,-43.74441670431291,B,D,D,E,-14.020921249712432,50.4579331937812,-60.662760289594665,0
Single,B,A,A,D,-111.2274846877958,E,D,B,E,115.03991396383935,41.564142774837926,86.81529039405541,0
Married,A,D,E,B,79.13271188499797,E,D,B,C,46.70446598637364,212.8269606480167,-54.64872553688972,1
Single,B,C,E,D,-82.71212859755627,E,B,D,D,-91.685705611001,-73.91224907070826,47.84889584416281,0
Widowed,D,C,E,B,-22.63358428531689,D,D,D,B,-197.63135991781124,-21.722085640928277,54.98474216799466,1
Married,B,E,C,A,37.763470415678526,B,D,A,D,-18.142767491593776,48.14900304046084,120.3286593009445,1
Divorced,B,D,B,E,-72.3045950770765,C,C,E,B,142.61167430874605,146.43762072778944,-149.03486204848312,1
Widowed,C,B,B,D,-104.34524481357606,B,C,E,E,113.14135326713163,35.94397433380371,-37.07249966355622,1
Single,E,E,C,C,26.268611878395593,B,C,A,A,-10.731312032847848,-17.516424685565678,80.73271274188463,0
Divorced,E,B,C,D,50.19700572026432,C,A,D,D,-184.33656402645124,99.05603800184191,-129.76872023089865,0
Single,A,C,C,A,118.57592483978104,A,E,B,B,-148.13336941234593,-38.087914315388964,30.550576827070095,0
Widowed,D,D,B,C,353.53001539099085,D,D,E,E,-17.450482832375233,-6.931511451707968,-37.69704809356692,0
Married,A,C,C,A,1.0753811460928833,B,E,E,B,-60.397981547940816,0.7091117193881368,91.28347666035604,1
Widowed,A,D,B,B,-35.82167493892237,B,E,B,D,43.69258736701894,-184.69148141369405,-64.20716120245527,0
Divorced,A,B,C,D,84.97637488527272,B,C,A,E,103.47225100210522,-60.9682913862705,-47.925274902724816,0
Married,B,B,D,E,-124.03873836502859,E,B,A,C,108.92988428984198,87.01212588407775,81.75786703227207,1
Single,B,C,A,B,120.75133876045973,A,B,B,B,33.48840373552058,22.414454185255785,193.17835068485093,0
Single,E,D,C,A,41.419850752226786,B,C,C,C,-12.840959343261607,94.19573617289487,-13.65582053467343,0
Married,B,E,A,E,67.21415780982318,A,B,B,A,20.577963124377945,264.35345472435125,161.07950753671184,1
Single,B,C,E,D,-66.06204320996808,D,C,C,A,71.19191354845633,175.76072914112208,-60.859242837233694,1
Widowed,D,B,C,B,104.39177969511913,E,C,B,D,-64.7153224364265,-138.22335941711933,-104.2422868056265,1
Married,C,D,E,C,117.23914674202331,E,B,D,A,-214.0334312379846,-28.46462325665659,95.62546423093431,1
Divorced,B,B,C,D,13.500823729136762,B,D,E,B,30.16429220875182,56.23971335744321,129.75552312767203,1
Single,E,A,E,E,12.236085131045602,B,D,A,B,-63.55321450284652,48.92439608745475,140.44540444716807,1
Single,C,E,C,D,59.219249264456955,E,A,C,D,14.416082970043067,-154.58044148385218,186.14177330027863,0
Divorced,C,B,B,A,87.00556725458672,A,A,D,D,19.183240532526778,-23.374983501214317,170.24332296585143,1
Widowed,C,E,B,C,-10.316321438196374,D,C,E,C,-58.563667556988584,-33.04194033684812,-54.36596528795423,1
Widowed,D,C,A,C,12.480337553267075,B,E,A,E,86.52222216533993,-52.391547702367646,-25.973143871485583,0
Divorced,A,C,C,A,139.38819437263834,A,D,D,D,151.21984429841257,50.13554240115962,-156.14122977509302,1
Married,C,A,D,C,-188.26381248289948,B,C,B,D,93.65947485401624,-173.46794403906958,-75.14033598379184,0
Single,D,A,E,E,112.33019958996103,C,B,E,E,41.34080793039899,11.070458118831247,103.74788507483872,1
Divorced,A,C,B,B,-13.954238724635132,B,C,B,E,-17.316704380722374,-48.198911227523624,-85.09028997445982,1
Married,D,D,A,B,-133.48743307686365,E,C,B,B,-192.7732167589677,25.277352492461567,-43.93003065250819,0
Married,C,A,C,C,63.79362682044017,E,E,C,C,166.35356628504368,48.19788475446375,111.95966443966634,1
Widowed,A,B,C,D,-111.46293461438863,D,D,D,D,-99.9266372496703,-95.1947718716373,-30.893155661912875,1
Single,C,C,C,C,-45.10434068550195,C,E,D,A,94.6589713777436,15.123457140639093,107.77080022041136,1
Married,B,C,D,C,50.37902313752536,D,D,D,B,-33.03331623870691,-46.573899409859344,84.12437270657746,1
Married,D,E,D,A,-29.003547966291137,A,A,D,D,72.15186627909496,237.84316027388903,-52.816756220112914,0
Married,B,D,B,C,-26.565887818419508,D,D,C,A,31.7038671667982,133.93096157860415,94.06441512636577,0
Divorced,A,B,B,A,-116.38028328804867,C,C,A,E,-8.345148303319206,-195.7671564135672,-54.85244522562537,1
Married,A,C,E,D,-2.9111924352742444,B,B,C,A,-157.87411883561276,171.6737465045037,32.619268738144754,0
Widowed,E,D,B,D,-46.604714733961735,A,B,A,D,55.36145087430262,-245.8098466320997,-58.75889545780756,1
Married,E,B,D,D,22.78014841694981,D,E,D,E,-93.13681783668251,-123.46585192129751,-95.94044269924024,0
Widowed,B,D,C,C,-120.57127483079549,D,D,B,C,221.21276927265973,63.07909309932962,8.91617232199594,1
Single,A,B,C,A,54.20299323836818,E,B,C,A,60.83514582066534,7.552048354729051,-206.84076232588185,1
Divorced,C,B,B,C,-3.620448845341385,D,C,A,B,31.095541260692254,0.2278421195875425,30.355755068226813,1
Widowed,B,A,A,B,-17.321604876635448,A,B,C,C,15.248246249676164,75.67807836837568,-64.18992610341974,0
Married,B,D,B,D,-8.72054703533493,A,D,E,B,-53.367677481457875,31.218567268504067,85.10488780577094,1
Divorced,A,E,D,A,222.90675444876476,A,E,B,E,-58.23744215202946,185.67484138110567,67.74559795915577,0
Divorced,E,B,D,A,-158.75222027436712,A,A,C,A,57.02682807473756,22.385162047148004,-258.9889655541212,1
Widowed,B,A,E,C,78.42517913113001,C,B,B,D,-18.13448262886768,-139.78594223826434,78.83706312013999,1
Married,B,D,A,A,-46.120847284856644,D,C,D,C,84.98324479215528,13.680170457731625,-41.19654818580254,1
